UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,TIME,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,JUNEDO,INBRL
00LA00001,00,A1133,04,ch,tai,S0000,10,6.0,31,07,,,A,2,y,c,0328,88,5,3,2,9.5,1,1,Z6080,81,00,00,,0,,,,,,,,TAI,J,1,1025,,1,1,1,1,1,1.0,88,1,75,181,1,2000-03-28,Y,0.0
00LA00002,00,A6176,04,82,e.9,A5129,04,1.0,30,30,,,4,0,y,.,0328,88,5,2,3,9.7,1,1,A7033,04,88,30,6,88,29,T7686,+,,"DEF.JAW,DEAD",,,.,J,1,1250,,1,1,1,1,0,0.5,0,,0,0,,2000-03-28,,0.071
00LA00003,00,A6338,04,82,e.7,A5514,04,1.0,30,30,,,4,0,y,.,0328,88,8,2,3,6.3,1,1,A7031,04,88,30,,0,,,,,,,,.,J,1,0400,,1,1,2,1,1,1.0,67,1,64,181,1,2000-03-28,Y,0.064
00LA00004,00,A6338,04,82,e.7,A5514,04,1.0,30,30,,,4,0,y,.,0328,88,8,2,2,6.2,1,1,A7032,04,88,30,,0,,,,,,,,.,J,2,0400,,0,0,0,1,1,1.0,73,1,61,181,1,2000-03-28,Y,0.064
00LA00005,00,A6419,04,81,e.8,A5789,04,1.0,30,30,,,4,0,y,.,0327,87,8,2,3,6.2,1,1,A7027,04,88,30,,0,,,,,,,,.,J,1,0300,,1,1,2,1,1,1.0,75,1,59,181,1,2000-03-27,Y,0.04
00LA00006,00,A6419,04,81,e.8,A5789,04,1.0,30,30,,,4,0,y,.,0327,87,8,2,2,7.3,1,1,A7028,04,88,30,,0,,,,,,,,.,J,2,0300,,0,0,0,1,1,1.0,60,1,50,181,1,2000-03-27,Y,0.04
00LA00007,00,A6542,04,81,e.9,A5129,04,1.0,30,30,,,4,0,y,.,0327,87,5,2,2,7.5,1,1,A7029,04,88,30,,0,,,,,,,,.,J,1,1510,,1,1,1,1,1,1.0,81,1,73,181,1,2000-03-27,Y,0.076
00LA00008,00,A6673,04,88,e.7,A5514,04,1.0,30,30,,,4,7,y,.,0327,87,5,2,3,9.8,1,1,A7030,04,88,30,3,88,93,,8,,"FX.RIBS,WEAK",,,GXE,J,1,0300,,1,1,1,1,0,0.0,0,,0,0,,2000-03-27,,0.07
00LA00009,00,A6933,04,81,e.8,A5789,04,1.0,30,30,,,4,0,y,.,0322,82,5,3,3,8.1,1,1,A7026,04,88,30,6,84,29,,,,ATRESIA ANI,,,.,J,1,1430,,1,1,1,1,0,0.0,0,,0,0,,2000-03-22,,0.041
00LA00010,00,A6720,04,81,e.9,A5129,04,1.0,30,30,,,4,0,y,.,0328,88,8,2,3,7.2,1,1,A7034,04,88,30,,0,,,,,,,,.,J,1,1025,,1,1,2,1,1,1.0,74,1,63,181,1,2000-03-28,Y,0.087
00LA06645,00,S5178,10,12,81,S9361,10,6.0,41,07,,,1,0,n,C,,,,,,0.0,,,,,12,42,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,,0.019
00LA06646,00,T3825,44,41,413,T6748,44,7.0,02,02,,,2,2,y,M,,,,,,0.0,,,,,41,02,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,,0.059
00LA06647,00,S5329,10,ch,tai,S0000,10,6.0,31,07,,,A,2,y,h,,,,,,0.0,,,,,00,00,,0,,,,,,,,TAI,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,,0.0
00LA06648,00,A2366,04,ch,tai,S0000,10,5.0,30,07,,,A,2,y,h,,,,,,0.0,,,,,00,31,,0,,,,,,,,TAI,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,,0.0
00LA06649,00, 4620,00,00,tai,S0000,10,6.0,00,07,,,A,2,y,.,,,,,,0.0,,,,,00,07,,0,,,,,,,,TAI,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,,0.0
00LA06650,00,A3882,04,73,46-,A5230,04,3.5,30,30,,,2,7,n,.,,,,,,0.0,,,,,88,30,,0,,,,,,,,GXE,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,,0.013
00LA06651,00,T4824,44,42,822,T6699,44,5.0,02,02,,,2,2,n,C,,,,,,0.0,,,,,42,02,,0,,,,,,,,.,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,,0.076
00LA06652,00, 4030,00,00,tai,S0000,10,6.0,00,07,,,A,2,y,.,,,,,,0.0,,,,,00,07,,0,,,,,,,,TAI,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,,0.0
00LA06653,00,A2250,04,ch,tai,S0000,10,5.0,31,07,,,A,2,y,h,,,,,,0.0,,,,,00,00,,0,,,,,,,,TAI,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,,0.0
00LA06654,00,K9285,63,68,05-,K0116,64,3.0,06,06,,,1,7,n,.,,,,,,0.0,,,,,68,06,,0,,,,,,,,GXE,,1,,1,1,0,0,0,0,0.0,0,,0,0,,,,0.055
