UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,DNA_D,DNA_S,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
98LA00001,98,A1236,04,ch,AI,A0356,04,4.0,30,30,,,A,2,n,h,0325,84,8,3,2,11.3,1,1,Z4649,81,ch,30,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,61,,0,0,4,1998-03-25,0.035
98LA00002,98,A1236,04,ch,AI,A0356,04,4.0,30,30,,,A,2,n,h,0325,84,8,3,2,9.8,1,1,Z4650,81,ch,30,,0,,,,,,,,,J,2,,0,0,0,1,1,1.0,92,,0,0,4,1998-03-25,0.035
98LA00003,98,A3098,04,ch,AI,A0356,04,2.0,00,30,,,A,2,n,h,0326,85,5,3,1,12.0,1,1,Z4661,81,ch,00,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,93,,0,0,4,1998-03-26,0.008
98LA00004,98,A3632,04,ch,AI,A0484,04,2.0,31,30,,,A,2,n,h,0327,86,5,2,1,11.6,1,1,Z4667,81,ch,34,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,104,,0,0,4,1998-03-27,0.021
98LA00005,98,A3231,04,ch,AI,A0356,04,2.0,30,30,,,A,2,n,h,0326,85,5,2,1,9.8,1,1,Z4659,81,ch,30,,0,,,,,,,,,J,1,,1,1,1,1,1,1.0,89,,0,0,4,1998-03-26,0.037
98LA00006,98,A4224,04,00,e.-,00000,63,1.0,71,06,,,5,0,y,F,0322,81,2,0,,0.0,,,,,00,76,0,0,,,,"DEAD,DYSTOCIA",,,,,,1,,1,1,2,0,0,0.0,0,,0,0,,1998-03-22,0.0
98LA00007,98,A4224,04,00,e.-,00000,63,1.0,71,06,,,5,0,y,F,0322,81,2,0,,0.0,,,,,00,76,0,0,,,,,,,,,,2,,0,0,0,0,0,0.0,0,,0,0,,1998-03-22,0.0
98LA00008,98,A2326,04,ch,AI,A0484,04,3.0,31,30,,,A,2,n,h,0326,85,8,3,2,11.6,1,1,Z4664,81,ch,34,,0,,,,,BRN.LEGS,,,,J,2,,0,0,0,1,1,1.0,88,,0,0,4,1998-03-26,0.015
98LA00009,98,A2326,04,ch,AI,A0484,04,3.0,31,30,,,A,2,n,h,0326,85,8,3,2,9.5,1,1,Z4663,81,ch,34,,0,,,,,,,,,J,1,,1,1,2,1,1,1.0,82,,0,0,4,1998-03-26,0.015
98LA00010,98,A2414,04,ch,AI,A0484,04,3.0,31,30,,,A,2,n,h,0327,86,8,3,2,11.5,1,1,Z4665,81,ch,34,,0,,,,SUCK1SIDE,,,,,J,1,,1,1,2,1,1,1.0,74,,0,0,4,1998-03-27,0.015
98LA05556,98,S6958,10,ID,L12,S6748,10,2.0,43,43,,,3,7,,G,0524,144,5,,2,,1,, 8665,00,,07,,0,,,,,,,,LIM,R,1,3,1,1,1,1,1,1.0,87,,0,0,,1998-05-24,
98LA05557,98,S7018,10,ID,L13,S7359,10,2.0,43,43,,,3,7,,G,0521,141,5,,2,,1,, 8539,00,,07,,0,,,,,,,,LIM,R,1,3,1,1,1,1,1,1.0,74,,0,0,,1998-05-21,
98LA05558,98,S7170,10,ID,L14,S6772,10,2.0,43,43,,,3,7,,G,0530,150,5,,1,,1,, 8814,00,,07,,0,,,,,,,,LIM,R,1,3,1,1,1,1,1,1.0,89,,0,0,,1998-05-30,
98LA05559,98,S7317,10,ID,L11,S7529,10,2.0,43,42,,,3,7,,G,0524,144,7,,1,,1,, 8676,00,,43,,0,,,,,H4,,,LIM,R,1,3,1,1,2,1,1,1.0,99,,0,0,,1998-05-24,
98LA05560,98,S7317,10,ID,L11,S7529,10,2.0,43,42,,,3,7,,G,0524,144,7,,,,1,,,,,43,1,144,44,,,,DAB,,,LIM,R,2,3,0,0,0,0,0,0.0,0,,0,0,,1998-05-24,
98LA05561,98,S7466,10,ch,L12,Z0000,97,2.0,43,97,,,3,7,,G,0611,162,5,,3,,5,, 8938,00,,10,,0,,,,,SMUT,,,LIM,R,1,3,1,1,1,1,1,1.0,102,,0,0,,1998-06-11,
98LA05562,98,S7600,10,ch,L13,Z0000,97,2.0,07,97,,,3,7,,G,0614,165,5,,3,,5,, 8948,00,,10,,0,,,,,SMUT,,,LIM,R,1,3,1,1,1,1,1,1.0,114,,0,0,,1998-06-14,
98LA05563,98,S7605,10,ch,L14,S6772,10,2.0,07,43,,,3,7,,G,0527,147,8,,1,,1,, 8781,00,,07,,0,,,,,F4,,,LIM,R,1,3,1,1,2,1,1,1.0,77,,0,0,,1998-05-27,
98LA05564,98,S7605,10,ch,L14,S6772,10,2.0,07,43,,,3,7,,G,0527,147,8,,2,,1,, 8782,00,,07,,0,,,,,,,,LIM,R,2,3,0,0,0,1,1,1.0,73,,0,0,,1998-05-27,
98LA05565,98,S7698,10,ch,L11,S7529,10,2.0,07,42,,,3,7,,G,,,,,,,,,,,,43,,0,,,,,,,,LIM,,1,3,1,0,0,0,0,0.0,0,,0,0,,,
