UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,X2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABEWE,DISP,INBD,FONO,FOBR,FOPU,X3,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,X4,Y2,Y3,BRWT,Y5,ABLMB,X5,CDNO,DATEBN
69LA00001,69,,,,70,460,6373,11,1,,,2,,,07,1,,,,,0,,,,,,,,,1,,1777,18,1,,74,6,0,,0,0,0.0,,,,1,
69LA00002,69,,,,70,420,8232,14,1,,,3,,,07,1,,,,,0,,,,,,,,,4,,2772,18,1,,78,6,0,,0,0,0.0,,,,1,
69LA00003,69,,,,70,460,8271,14,1,,,3,,,07,1,,,,,0,,,,,,,,,4,,1777,18,1,,75,6,0,,0,0,0.0,,,,1,
69LA00004,69,,,,70,460,8282,14,1,,,3,,,07,1,,,,,0,,,,,,,,,4,,1777,18,1,,76,6,0,,0,0,0.0,,,,1,
69LA00005,69,,,,70,460,8363,14,1,,,3,,,07,1,,,,,0,,,,,,,,,4,,1777,18,1,,73,6,0,,0,0,0.0,,,,1,
69LA00006,69,,,,70,460,8500,14,1,,,3,,,07,1,,,,,0,,,,,,,,,4,,1777,18,1,,75,6,0,,0,0,0.0,,,,1,
69LA00007,69,,,,70,460,9002,14,1,,,2,,,07,1,,,,,0,,,,,,,,,4,,1777,18,1,,78,6,0,,0,0,0.0,,,,1,
69LA00008,69,,,,70,440,9019,14,1,,,2,,,07,1,,,,,0,,,,,,,,,4,,2306,18,1,,74,6,0,,0,0,0.0,,,,1,
69LA00009,69,,,,70,460,9085,14,1,,,2,,,07,1,,,,,0,,,,,,,,,4,,1777,18,1,,75,6,0,,0,0,0.0,,,,1,
69LA00010,69,,,,70,410,9261,14,1,,,2,,,07,1,,,,,0,,,,,,,,,4,,1132,18,1,,77,6,0,,0,0,0.0,,,,1,
69LA04295,69,2,4445,4,70,590,1831,42,4,,,2,,1,02,,2,121,8,,230,3,,,,,,,1,2,42,1803,42,1,73,74,6,1,,1,2,7.8,0,,,2,1969-05-01
69LA04296,69,1,,,70,380,9159,61,6,,,2,,1,06,,1,108,4,,0,4,,1,,,,,4,1,,7815,61,1,,76,6,0,,1,2,11.0,0,,,2,1969-04-18
69LA04297,69,2,4104,4,70,590,0062,42,4,,,4,,1,02,,1,113,5,,0,3,,,,,,,,2,42,1803,42,1,70,76,6,1,,1,1,9.2,10,,,1,1969-04-23
69LA04298,69,2,3367,4,70,590,0130,42,4,,,4,,1,02,,1,101,5,,0,3,,,,,,,,2,42,1803,42,1,39,75,6,1,,1,1,10.6,10,,,1,1969-04-11
69LA04299,69,1,3968,4,70,590,0591,42,4,,,4,,2,02,,1,112,5,,0,3,07,,,,,,,2,42,1803,42,1,86,78,6,1,,1,1,11.6,10,,,1,1969-04-22
69LA04300,69,1,3641,4,70,590,0938,42,4,,,3,,1,02,,1,107,5,,0,5,,,,,,,,2,42,1803,42,1,95,76,6,1,,1,1,15.4,10,,,1,1969-04-17
69LA04301,69,2,7116,9,11, 70,4002,81,8,,,4,,1,14,,1,97,8,,0,4,,,,,,,,0,90,2885,18,1,65,81,9,1,,1,2,10.8,10,,,1,1969-04-07
69LA04302,69,2,7117,9,11, 70,4002,81,8,,,4,,1,14,,1,97,8,,0,4,,,,,,,,0,90,2885,18,1,62,81,9,1,,1,2,12.0,10,,,2,1969-04-07
69LA04303,69,2,7263,9,11, 40,4316,81,8,,,4,,1,11,,1,100,8,,,5,,,,,,,4,0,90,6715,14,1,84,81,9,1,,1,2,11.0,10,,,1,1969-04-10
69LA04304,69,3,7643,9,00,883,7422,61,6,,,4,,5,60,2,1,140,8,,0,5,,,,,,,,1,90,0000,98,1,57,72,0,1,,1,2,9.0,10,,,2,1969-05-20
