UID,YR,SEX,LAMB,LB1,DATE,BRWT,SIRE,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
53LA00001,53,2,3852,1,407,9.8,3163,1,1704,1,24,5,8,1,4,1,20,200,1,,0,,,,,,,11,,,,11,11,,20,1,12,,63,,,97,11,1,1,1,1,10,1953-04-07,45,50,07
53LA00002,53,2,4011,1,417,9.6,3072,1,1744,1,30,5,8,4,3,2,27,270,1,,0,,,,,,,11,,,,11,11,,27,1,25,,69,,,107,11,1,1,1,1,10,1953-04-17,45,50,07
53LA00003,53,1,4047,1,421,12.0,3072,1,1745,1,30,5,8,2,4,2,27,270,1,,0,,,,,,,11,,,,11,11,,27,1,25,,93,,,111,11,1,1,1,1,10,1953-04-21,45,50,07
53LA00004,53,1,3989,1,415,10.0,3163,1,1764,1,26,5,8,1,4,1,20,200,1,,0,,,,,,,11,,,,11,11,,20,1,27,,62,,,105,11,1,1,1,1,10,1953-04-15,45,50,07
53LA00005,53,2,3902,1,410,10.4,3192,1,1775,1,19,8,8,1,4,1,23,230,1,,0,,98,,,,,11,,,,11,11,09,23,1,18,,68,,,100,11,1,1,2,1,10,1953-04-10,45,50,07
53LA00006,53,2,3903,1,410,8.2,3192,1,1775,1,19,8,8,1,4,1,23,230,2,,0,,,,,,,11,,,,11,11,,23,1,18,,55,,,100,11,1,1,2,1,10,1953-04-10,45,50,07
53LA00007,53,2,4035,1,420,11.0,3192,1,1860,1,36,5,8,1,4,1,23,230,1,7,230,,,,,,,11,,,,11,11,,23,1,10,,,,,110,11,1,1,1,1,0,1953-04-20,45,50,07
53LA00008,53,1,4071,1,430,10.0,3192,1,1874,1,17,5,8,1,3,2,23,230,1,,0,,,,,,,11,,,,11,11,,23,1,17,,72,,,120,11,1,1,1,1,10,1953-04-30,45,50,07
53LA00009,53,1,3906,1,410,12.4,3340,1,1898,1,,5,8,1,4,1,63,580,1,,0,,,,,,,11,,,,11,11,,20,6,28,,85,27,,100,11,1,1,1,1,10,1953-04-10,45,51,07
53LA00010,53,2,4040,1,420,7.8,3163,1,1903,1,27,5,8,1,3,1,20,200,1,,0,,,,,,,11,,,,11,11,04,20,1,26,,52,,,110,11,1,1,1,1,10,1953-04-20,45,50,07
53LA03562,53,1,1876,5,428,9.4,5359,4,0085,,6,8,7,1,4,1,18,182,1,2,118,7,,,,,88,92,,,,11,48,,18,1,00,,,,,118,40,1,1,2,1,0,1953-04-28,46,50,01
53LA03563,53,1,1877,5,428,9.6,5359,4,0085,,6,8,7,1,4,1,18,182,2,,0,,,,,,,92,,,,11,48,,18,1,00,,90,,,118,40,1,1,2,1,10,1953-04-28,46,50,01
53LA03564,53,1,1886,5,514,8.2,5963,4,0083,,5,8,7,1,3,1,15,152,1,,0,,,,,,,92,,,,,48,,15,1,00,,42,,,134,40,1,1,2,1,10,1953-05-14,46,51,01
53LA03565,53,1,1887,5,514,8.6,5963,4,0083,,5,8,7,1,3,1,15,152,2,,0,,,,,,,92,,,,,48,,15,1,00,,58,,,134,40,1,1,2,1,10,1953-05-14,46,51,01
53LA03566,53,1,1873,5,421,12.4,5359,4,0079,,6,5,7,2,3,1,18,182,1,,0,,,,,,,92,,,,11,48,,18,1,00,,89,,,111,40,1,1,1,1,10,1953-04-21,46,50,01
53LA03567,53,2,9389,6,425,8.0,8564,6,1630,7,,8,3,1,4,1,73,136,2,6,115,,,,,,,67,,,,,60,,61,9,00,,0,04,,115,60,1,1,2,1,0,1953-04-25,50,51,06
53LA03568,53,2,9084,6,417,10.0,8346,6,6233,6,,8,6,1,4,1,83,024,2,6,107,,,,,,,60,,,,,60,,82,7,,,0,,,107,60,1,1,2,1,0,1953-04-22,47,51,06
53LA03569,53,2,7177,3,406,8.0,6626,3,6262,3,0,8,3,1,4,1,70,730,1,6,96,,,,,,,17,,,,11,17,,70,2,00,,0,,,96,17,1,1,2,1,0,1953-04-06,49,51,07
53LA03570,53,1,3845,1,407,10.0,3509,1,2634,1,27,8,5,1,3,1,19,190,2,6,97,,,,,,,11,,,,11,11,,19,1,13,,0,,,97,11,1,1,2,1,0,1953-04-07,48,51,07
53LA03571,53,2,1859,5,406,11.2,0000,,6433,4,,5,2,1,4,1,00,000,1,,0,,,,,,,40,,,,,48,,,0,,3,75,,,96,00,1,1,1,1,10,1953-04-06,51,51,00
