UID,YR,SEX,LAMB,LB1,LINE,BPEN,DAM,DBRD,DB1,INBRL,CODE,ADAM,TRT,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,INBRD,FONO,FOPU,TRT2,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,CODE2,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,DATEBN,STMD
71LA00001,71,,,0,24,240,5500,11,1,36,5,-0,,,07,,,127,,,0,,,,25,,,,1,11,6408,11,1,0,24,1,0, 6,0,0,0.0,0,,1,1,1971-05-07,07
71LA00002,71,1,6512,1,32,320,5562,11,1,31,5,-0,,1,07,,1,104,8,,0,2,,,29,,&,,1,11,6452,11,1,63,32,1,1, 6,1,2,7.4,5,,1,1,1971-04-14,07
71LA00003,71,2,6513,1,32,320,5562,11,1,31,5,-0,,1,07,,1,104,8,,0,2,,,29,932861,-,2,1,11,6452,11,0,65,32,1,1, 6,0,0,6.2,5,,1,2,1971-04-14,07
71LA00004,71,1,6506,1,32,320,5741,11,1,28,5,90,,1,07,,1,101,8,,0,3,,,22,,,6,1,11,6452,11,1,54,32,1,1, 6,1,2,10.0,10,,1,1,1971-04-11,07
71LA00005,71,1,6507,1,32,320,5741,11,1,28,5,90,,1,07,,1,101,8,,0,3,,,22,,,6,1,11,6452,11,0,65,32,1,1, 6,0,0,8.8,10,,1,2,1971-04-11,07
71LA00006,71,2,6502,1,24,240,5766,11,1,38,5,90,,1,07,,1,100,5,,0,2,,,32,,,6,1,11,6408,11,1,59,24,1,1, 6,1,1,10.2,10,,1,1,1971-04-10,07
71LA00007,71,1,6525,1,24,240,5794,11,1,36,5,90,,1,07,,1,106,8,,230,0,,7,30,,&,,1,11,6408,11,0,0,24,1,1, 7,0,0,9.2,0,,1,2,1971-04-16,07
71LA00008,71,1,6524,1,24,240,5794,11,1,36,5,90,,1,07,,1,106,8,,0,0,04,,30,,,2,1,11,6408,11,1,96,24,1,1, 7,1,2,10.2,10,,1,1,1971-04-16,07
71LA00009,71,2,6184,3,76,762,5917,11,1,,5,80,,1,07,,1,113,8,,0,4,,,,,,1,1,18,4970,18,1,52,76,6,1,,1,2,8.8,10,,1,1,1971-04-23,07
71LA00010,71,1,6185,3,76,762,5917,11,1,,5,80,,1,07,,1,113,8,,0,4,,,,,,1,1,18,4970,18,0,59,76,6,1,,0,0,9.4,10,,1,2,1971-04-23,07
71LA04051,71,2,8043,9,97,700,7634,90,9,,2,20,,1,15,,1,108,8,,0,3,,,,,,,0,90,3564,18,0,73,97,8,1,,0,0,7.6,10,,2,2,1971-04-18,51
71LA04052,71,1,8054,9,98,700,7650,90,9,,2,20,,1,48,,1,115,8,,0,3,,,,,,,0,90,3431,42,1,57,98,8,1,,1,2,8.0,10,,1,1,1971-04-25,52
71LA04053,71,1,8055,9,98,700,7650,90,9,,2,20,,1,48,,1,115,8,,0,3,,,,,,,0,90,3431,42,0,69,98,8,1,,0,0,7.6,10,,1,2,1971-04-25,52
71LA04054,71,2,8045,9,98,700,7653,90,9,,2,20,,1,48,,1,109,8,,0,3,,,,,,,0,90,3431,42,1,61,98,8,1,,1,2,7.0,10,,1,1,1971-04-19,52
71LA04055,71,2,8046,9,98,700,7653,90,9,,2,20,,1,48,,1,109,8,,0,3,,,,,,,0,90,3431,42,0,65,98,8,1,,0,0,6.6,10,,1,2,1971-04-19,52
71LA04056,71,1,8050,9,99,700,7668,90,9,,2,20,,1,69,,1,114,8,,0,3,,,,,,,0,90,0476,62,1,68,99,8,1,,1,2,8.0,10,,1,1,1971-04-24,53
71LA04057,71,1,8051,9,99,700,7668,90,9,,2,20,,1,69,,1,114,8,,0,3,,,,,,,0,90,0476,62,0,73,99,8,1,,0,0,8.2,10,,1,2,1971-04-24,53
71LA04058,71,2,8056,9,00,000,7702,90,9,,1,10,,1,00,3,1,119,5,,0,1,,,,,,,0,90,0000,00,1,68,98,0,1,,1,1,6.4,10,,1,1,1971-04-29,00
71LA04059,71,3,8079,9,00,000,5122,42,4,,,10,,1,00,3,1,125,5,,,1,,,,,&,,2,90,0000,00,1,,,0,1,,1,1,8.6,0,,,1,,02
71LA04060,71,2,8080,9,00,000,5445,42,4,,,10,,1,00,3,1,130,5,,0,0,,,,,&,,2,90,0000,00,1,74,,0,1,,1,1,11.0,5,,,1,,02
