UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MAT,BCS,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
25LA00001,25,S3969,12,,17,X0000,84,3.0,,07,00,1,0,N,,011525,15,8,1,3.0,2,3,0,2,11.0,1,1,X2419,84,,00,,,,,,.,.,1,1,..,,M,1,,1,1,2,1,,,,2025-01-15,,77,125,1,,
25LA00002,25,S3969,12,,17,X0000,84,3.0,,07,00,1,0,N,,011525,15,8,1,3.0,2,3,0,2,12.2,1,1,X2420,84,,00,,,,,,.,.,1,1,..,,M,2,,0,0,0,1,,,,2025-01-15,,68,125,1,,
25LA00003,25,A1548,06,,30,X0000,84,3.0,,30,00,1,0,N,,011725,17,8,1,3.0,3,3,0,2,8.8,1,1,X2421,84,,00,,,,,,.,.,1,1,..,,M,1,,1,1,2,1,,,,2025-01-17,,63,125,1,,
25LA00004,25,A1548,06,,30,X0000,84,3.0,,30,00,1,0,N,,011725,17,8,1,3.0,3,2,0,2,9.4,1,1,X2422,84,,00,,,,,,.,.,1,1,..,,M,2,,0,0,0,1,,,,2025-01-17,,73,125,1,,
25LA00005,25,S4034,12,,17,X0000,84,3.0,,07,00,1,0,N,,012225,22,8,1,4.5,2,2,0,4,12.8,1,1,X2423,84,,00,,,,,,.,.,1,1,..,RED,M,1,,1,1,2,1,,,,2025-01-22,,85,125,1,,
25LA00006,25,S4034,12,,17,X0000,84,3.0,,07,00,1,0,N,,012225,22,8,1,4.5,2,2,.,.,9.8,1,1,X2424,84,,00,6,22,14,,,.,.,1,1,..,RED,M,2,,0,0,0,1,,,,2025-01-22,,,,,,
25LA00007,25,S2963,12,,22,X0000,84,5.0,,07,00,1,0,N,,012325,23,8,1,3.0,2,3,0,2,14.5,1,1,X2425,84,,00,,,,,,.,.,1,1,..,,M,1,,1,1,2,1,,,,2025-01-23,,76,125,1,,
25LA00008,25,S2963,12,,22,X0000,84,5.0,,07,00,1,0,N,,012325,23,8,1,3.0,2,3,0,2,14.2,1,1,X2426,84,,00,,,,,,.,.,1,1,..,,M,2,,0,0,0,1,,,,2025-01-23,,85,125,1,,
25LA00009,25,Y0613,52,,e2,X0000,84,1.0,,Kt,97,4,,Y,,030125,60,2,0,0.0,0,1,.,.,0.0,.,.,.,,,,0,60,27,,,.,.,1,1,..,,J,1,,1,1,2,0,,,,2025-03-01,,,,,,
25LA00010,25,Y0613,52,,e2,X0000,84,1.0,,Kt,97,4,,Y,,030125,60,2,0,0.0,0,1,.,.,0.0,.,.,.,,,,0,60,27,,,.,.,1,1,..,,J,2,,0,0,0,0,,,,2025-03-01,,,,,,
25LA03325,25,L3528,70,A,53,L0000,70,3.0,,PC,PC,2,0,N,,042625,116,8,2,4.0,5,2,0,4,10.2,5,1,L5491,70,,PC,,,,,,.,CU,1,1,..,,J,1,,1,1,2,1,,,,2025-04-26,,24,134,1,,
25LA03326,25,L3528,70,A,53,L0000,70,3.0,,PC,PC,2,0,N,,042625,116,8,2,4.0,5,2,0,4,10.2,5,1,L5492,70,,PC,6,118,42,,,.,CU GI disease,1,1,..,,J,2,,0,0,0,1,,,,2025-04-26,,,,,,
25LA03327,25,A0607,06,,31,L0000,70,6.0,,30,PC,1,0,N,,042625,116,5,1,4.0,5,3,0,2,14.0,5,1,A2795,06,,LP,,,,,,.,CU,1,1,..,,J,1,,1,1,1,1,,,,2025-04-26,,29,134,2,,
25LA03328,25,X1394,84,,70,L0000,70,2.0,,LT,PC,2,,Y,,042525,115,8,1,4.0,5,3,0,2,11.5,5,1,X3445,84,,00,,,,,,.,.,1,1,..,,J,2,,0,0,0,1,,,,2025-04-25,,23,134,1,,
25LA03329,25,A1775,06,,36,A2025,06,2.0,,30,30,1,,N,,032625,85,8,1,2.5,3,2,0,2,12.7,1,1,A2711,06,,30,,,,,,.,.,1,1,..,,J,1,,1,1,2,1,,,,2025-03-26,,39,127,2,,
25LA03330,25,A1775,06,,36,A2025,06,2.0,,30,30,1,,N,,032625,85,8,1,2.5,3,3,0,2,10.2,1,1,A2712,06,,30,,,,,,.,.,1,1,..,,J,2,,1,1,2,1,,,,2025-03-26,,33,127,2,,
25LA03331,25,T8134,45,,47,T8032,45,3.0,,02,02,2,,N,,031725,76,9,1,0.0,0,1,.,.,7.5,1,1,.,,,,1,76,44,,,NO.SCORES,.,1,1,..,,J,1,,1,1,3,0,,,,2025-03-17,,,,,,
25LA03332,25,T8134,45,,47,T8032,45,3.0,,02,02,2,,N,,031725,76,9,1,0.0,0,1,.,.,7.0,1,1,.,,,,1,76,44,,,.,.,1,1,..,,J,2,,0,0,0,0,,,,2025-03-17,,,,,,
25LA03333,25,T8134,45,,47,T8032,45,3.0,,02,02,2,,N,,031725,76,9,1,0.0,0,2,.,.,9.0,1,1,.,,,,1,76,44,,,.,.,1,1,..,,J,3,,0,0,0,0,,,,2025-03-17,,,,,,
25LA03334,25,X1537,84,A,e3,L0000,70,1.0,,97,PC,4,0,Y,,032625,85,5,1,3.0,2,2,0,2,9.9,5,1,X2827,84,,00,,,,,,SCORES.ESTIMATE,BRWT.ESTIMATE,1,1,..,PUR,J,1,,1,1,1,1,,,,2025-03-26,,36,126,H,,
