UID,DAM,DBRD,LNDAM,BPEN,ADAM,STMD,TRT,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JUWT,JDAY,BAND,SPEC,DATEBN,YR
88LA00001,K1747,63,63,633,30,06,7,,0408,,,,0.0,,,,,,0,,235203,,,,2,K1945,63,06,63,99,+,0,0,0,0,0,0,5,0,0,0,,,1988-04-08,88
88LA00002,K8918,62,61,611,80,06,7,3,0414,7,3,1,10.1,1,1,,,1,105,44,664680,IN SAC,26,,2,K2791,63,06,61,105,+,0,0,0,0,0,0,5,0,0,0,,,1988-04-14,88
88LA00003,1,97,97,297,50,97,7,1,0410,7,5,2,8.8,6,1,,,1,101,44,,IN SAC?,26,,2,M6574,97,97,97,101,,0,0,0,0,0,0,0,0,0,0,,,1988-04-10,88
88LA00004,S8108,19,11,  3,10,07,7,,,,,,0.0,,,,,,0,,,,,,1,S6934,19,07,11,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00005,T6981,43,41,005,30,02,,,,,,,0.0,,,,,,0,,,,,,1,X0616,95,52,44,0,,1,1,0,0,0,0,0,0,0,0,,1,,88
88LA00006,K1063,63,61,005,40,06,,,0510,8,5,2,10.5,5,1,,,6,131,01,,SMOTHERED,,,2,00000,97,30,00,131,,0,0,0,0,1,0,0,0,0,0,,2,1988-05-10,88
88LA00007,M6577,97,97,297,40,97,7,5,0411,3,4,2,7.2,6,1,,,1,102,44,,,,,4,M6574,97,97,97,102,,0,0,0,0,0,0,0,0,0,0,,,1988-04-11,88
88LA00008,X3846,80,65,  9,10,56,,,,,,,0.0,,,,,,0,,,,,,1,00000,19,59,59,0,,1,1,0,0,0,0,0,0,0,0,,,,88
88LA00009,M1849,94,46,462,70,52,,,,,,,0.0,,,,,,0,,,,,,1,X4169,80,52,46,0,,1,1,0,0,0,0,0,0,0,0,,1,,88
88LA00010,X1022,80,67,671,20,56,,,0408,7,2,1,5.5,1,6,,,6,99,01,,DEFORMED LEGS,,59,1,X3742,80,56,67,99,,1,1,1,2,1,0,0,0,0,0,,,1988-04-08,88
88LA06643,T8406,43,43,433,20,02,7,5,0519,5,2,3,12.6,5,1,X8087,80,6,172,01,,,,,1,00000,97,20,00,140,,1,1,1,1,1,0,0,0,0,0,,2,1988-05-19,88
88LA06644,T7062,43,40,401,30,02,,,0520,5,4,2,14.8,5,1,X8088,80,,0,,,,,,1,00000,97,20,00,141,,1,1,1,1,1,1,10,96,48,181,3,2,1988-05-20,88
88LA06645,S5642,19,10,005,40,07,,,0520,8,3,3,10.6,5,1,X8089,80,,0,,,,,,1,00000,97,10,00,141,,1,1,1,2,1,1,10,65,28,181,3,2,1988-05-20,88
88LA06646,S5642,19,10,005,40,07,,,0520,8,3,2,13.1,5,1,X8090,80,,0,,,,,,2,00000,97,10,00,141,,0,0,0,0,1,1,10,54,22,181,3,2,1988-05-20,88
88LA06647,K1704,63,61,005,30,06,,,0521,8,3,3,12.8,5,1,X8091,80,,0,,,,,,1,00000,97,30,00,142,,1,1,1,2,1,1,10,65,33,181,3,2,1988-05-21,88
88LA06648,K1704,63,61,005,30,06,,,0521,8,3,2,11.2,5,1,X8092,80,,0,,,,,,2,00000,97,30,00,142,,0,0,0,0,1,1,10,81,34,181,3,2,1988-05-21,88
88LA06649,S7453,19,12,941,20,07,7,,0521,5,1,2,11.8,5,1,X8093,80,,0,,,,,,1,00000,97,10,00,142,,1,1,1,1,1,1,10,73,34,181,3,2,1988-05-21,88
88LA06650,S6717,19,18,005,30,07,,,0522,5,3,2,11.5,5,1,X8094,80,3,145,93,,,,,1,00000,97,10,00,143,&,1,1,1,1,1,0,0,0,0,0,,2,1988-05-22,88
88LA06651,T3444,43,42,005,80,02,,,0523,5,4,2,16.0,5,1,X8095,80,,0,,,,,,1,00000,97,20,00,144,,1,1,1,1,1,1,10,94,42,181,3,2,1988-05-23,88
88LA06652,T4492,43,40,403,70,02,,,0525,5,4,2,11.5,5,1,X8096,80,,0,,,VLT'S,11,,1,00000,97,20,00,146,,1,1,1,1,1,1,10,84,37,181,3,2,1988-05-25,88
