UID,YR,SEX,LAMB,LB1,LINE,BPEN,DAM,DBRD,DB1,INBRL,BAG,ADAM,TRT,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,INBRD,FONO,FOPU,TRT2,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,DATEBN,STMD
73LA00001,73,2,6636,1,32,320,5741,11,1,33,2,-0,,1,07,,1,101,8,,230,2,,7,22,,&,,1,11,6535,11,1,0,32,1,1,,1,2,6.6,0,,6,1,1973-04-11,07
73LA00002,73,1,6637,1,32,320,5741,11,1,33,2,-0,,1,07,,2,101,8,,104,2,,6,22,,,,1,11,6535,11,0,0,32,1,1,,0,0,8.0,0,,6,2,1973-04-11,07
73LA00003,73,1,6644,1,32,320,5970,11,1,29,2,00,,1,07,,1,103,5,,0,3,,,35,,,,1,11,6535,11,1,57,32,1,1,,1,1,11.4,10,,6,1,1973-04-13,07
73LA00004,73,1,6625,1,24,240,6088,11,1,42,3,90,,1,07,,2,100,8,,0,2,,,28,,,,1,11,6524,11,1,62,24,1,1,,1,2,8.6,10,,7,1,1973-04-10,07
73LA00005,73,2,6626,1,24,240,6088,11,1,42,3,90,,1,07,,1,100,8,,102,2,,6,28,,,,1,11,6524,11,0,0,24,1,1,,0,0,5.6,0,,7,2,1973-04-10,07
73LA00006,73,2,6612,1,32,320,6122,11,1,47,2,90,,1,07,,1,94,5,,0,2,,,28,,,,1,11,6535,11,1,59,32,1,1,,1,1,10.0,10,,7,1,1973-04-04,07
73LA00007,73,2,6601,1,24,240,6204,11,1,33,1,80,,1,07,,1,89,8,,0,3,,,27,,,,1,11,6524,11,1,67,24,1,1,,1,2,8.4,10,,6,1,1973-03-30,07
73LA00008,73,1,6602,1,24,240,6204,11,1,33,1,80,,1,07,,1,89,8,,98,3,,6,27,,,,1,11,6524,11,0,0,24,1,1,,0,0,8.0,0,,6,2,1973-03-30,07
73LA00009,73,1,6653,1,32,320,6247,11,1,40,2,70,,1,07,,2,107,5,,149,4,,6,26,,,,1,11,6535,11,1,0,32,1,1,,1,1,11.6,0,,6,1,1973-04-17,07
73LA00010,73,1,8934,9,97,065,6253,11,1,,3,70,,1,51,,2,107,5,4,0,5,,,,,,,1,90,0013,95,1,80,78,8,1,,1,1,10.6,10,,,1,1973-04-17,07
73LA04176,73,,,0,70,702,3104,62,6,,1,20,,,06,,,98,,,0,,,,,,,,2,62,1327,62,1,0,70,2,0,,0,0,0.0,0,,,1,1973-04-08,06
73LA04177,73,1,4219,6,01,013,3105,62,6,32,1,20,,1,06,,1,90,5,8,0,1,,,31,015409,-,,2,62,1027,62,1,63,01,1,1,,1,1,11.0,5,,7,1,1973-03-31,06
73LA04178,73,1,4885,6,72,903,3106,62,6,,1,20,,1,06,,1,113,5,,0,5,,,,,,,2,62,2154,62,1,83,72,3,1,,1,1,12.6,10,,,1,1973-04-23,06
73LA04179,73,2,4305,6,70,701,3115,62,6,,1,20,,3,06,,1,99,5,8,0,3,,,,284262,-,,2,62,2231,62,1,89,70,2,1,,1,1,9.6,5,,,1,1973-04-09,06
73LA04180,73,2,7578,3,72,920,2386,18,1,,,70,,1,07,,1,100,8,,,3,,,,,,,8,18,5438,18,1,74,72,3,1,,1,2,9.0,10,,,1,1973-04-10,07
73LA04181,73,1,7579,3,72,920,2386,18,1,,,70,,1,07,,2,100,8,,,3,,,,,,,8,18,5438,18,0,77,72,3,1,,0,0,9.0,10,,,2,1973-04-10,07
73LA04182,73,1,4511,6,00,000,0000,00,,,,40,,1,00,3,2,104,8,,,0,,,,097704,-,,,62,0000,00,1,84,00,0,1,,1,2,10.4,5,,,0,1973-04-14,00
73LA04183,73,2,4512,6,00,000,0000,00,,,,40,,1,00,3,1,104,8,,,0,,,,969814,-,,,62,0000,00,0,56,00,0,1,,0,0,10.0,5,,,0,1973-04-14,00
73LA04184,73,1,4883,6,00,000,0000,00,,,,40,,1,00,3,1,113,5,,,0,,,,,-,,,62,0000,00,1,104,00,0,1,,1,1,14.4,5,,,0,1973-04-23,00
73LA04185,73,2,9180,9,00,000,0000,00,,,,40,,1,00,3,1,112,5,,,0,,,,620018,-,,,90,0000,00,1,38,00,0,1,,1,1,10.6,5,,,0,1973-04-22,00
