UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DATE,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,X3,ABLMB,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
57LA00001,57,2,1996,0,69,671,1638,10,0,,1,9,04,1,07,,1,404,94,5,,0,3,07,,,,,,,0,10,2504,2,14,82,68,5,1,,9.8,,,,,1,1,1,1,1,10,1957-04-04
57LA00002,57,,,,69,671,1643,10,0,,1,7,,,07,1,,525,145,-,,0,,,,,,,,,0,10,2504,2,14,,68,5,,,0.0,,,,,1,1,0,0,0,0,1957-05-25
57LA00003,57,1,2152,5,00,671,1643,10,0,,1,7,,1,04,2,1,525,145,8,,0,4,,,,,,,,0,48,0000,,61,58,68,0,9,,9.0,,,,,1,1,1,2,1,10,1957-05-25
57LA00004,57,1,2153,5,00,671,1643,10,0,,1,7,,1,04,2,1,525,145,8,,0,4,,,,,,,,0,48,0000,,61,58,68,0,9,,10.8,,,,,2,1,1,2,1,10,1957-05-25
57LA00005,57,2,2067,0,69,468,1644,10,0,,1,6,,1,07,,1,419,109,5,,0,4,,,,,,,,0,10,2583,2,14,83,68,4,5,,11.0,,,,,1,1,1,1,1,10,1957-04-19
57LA00006,57,,,,69,328,1645,10,0,,1,6,,,07,,,409,99,-,,0,,,,,,,,,0,10,4520,1,11,,68,4,,,0.0,,,,,1,1,0,0,0,0,1957-04-09
57LA00007,57,1,2016,0,69,681,1646,10,0,,1,6,,1,07,,2,407,97,5,,0,4,,,,,,,,0,10,2516,2,14,103,68,5,1,,14.6,,,,,1,1,1,1,1,10,1957-04-07
57LA00008,57,2,2063,0,69,469,1647,10,0,,1,6,,1,07,,1,419,109,8,,0,4,,,,,,,,0,10,1575,2,14,71,68,4,5,,11.0,,,,,1,1,1,2,1,10,1957-04-19
57LA00009,57,2,2064,0,69,469,1647,10,0,,1,6,,1,07,,1,419,109,8,,0,4,,,,,,,,0,10,1575,2,14,70,68,4,5,,10.8,,,,,2,1,1,2,1,10,1957-04-19
57LA00010,57,2,2058,0,69,518,1650,10,0,,1,5,,1,07,,1,417,107,5,,0,4,,,,,,,,0,10,1470,2,14,85,68,4,5,,11.0,,,,,1,1,1,1,1,10,1957-04-17
57LA03359,57,1,1595,6,75,056,1788,67,7,,6,2,,1,06,,1,418,108,5,,0,5,,,,,,,,7,61,9744,6,60,103,73,9,5,,12.2,,,,,1,1,1,1,1,10,1957-04-18
57LA03360,57,2,2086,6,75,066,1792,67,7,,6,2,,1,06,,1,512,132,5,,0,3,,,,,,,,7,61,0340,6,61,68,73,9,9,,9.8,2,,,16,1,1,1,1,1,10,1957-05-12
57LA03361,57,1,1937,6,75,026,1796,67,7,,6,2,,1,06,,1,429,119,5,,0,4,,,,,,,,7,61,0740,6,61,90,73,9,9,,12.0,,,,,1,1,1,1,1,10,1957-04-29
57LA03362,57,2,2013,6,75,096,1799,67,7,,6,2,,1,06,,1,502,122,5,,0,4,,,,,,,,7,61,9970,6,60,73,73,9,9,,8.8,,,,,1,1,1,1,1,10,1957-05-02
57LA03363,57,1,1772,6,75,086,1805,67,7,,6,2,,1,06,,1,424,114,5,,0,4,,,,,,,,7,61,9865,6,60,93,73,9,5,,12.0,,,,,1,1,1,1,1,10,1957-04-24
57LA03364,57,1,2041,6,75,016,1806,67,7,,6,2,,1,06,,1,503,123,5,,0,4,,,,,,,,7,61,0638,6,61,101,73,9,9,,11.6,,,,,1,1,1,1,1,10,1957-05-03
57LA03365,57,1,1945,6,75,076,1808,67,7,,6,2,,1,06,,4,430,120,5,,0,4,,,,,,,,7,61,0765,6,61,80,73,9,9,,6.8,,,,,1,1,1,1,1,10,1957-04-30
57LA03366,57,1,1836,6,75,046,1809,67,7,,6,2,,1,06,,1,425,115,5,,0,4,,,,,,,,7,61,0047,6,61,91,73,9,9,,10.0,,,,,1,1,1,1,1,10,1957-04-25
57LA03367,57,1,1674,6,75,106,1814,67,7,,6,2,,1,06,,1,421,111,5,,0,4,,,,,,,,7,61,9858,6,60,85,73,9,5,,10.4,,,,,1,1,1,1,1,10,1957-04-21
57LA03368,57,2,1824,7,73,056,0998,68,8,,6,9,,1,06,,1,504,124,5,,0,4,,,,,,,,8,67,9744,6,60,87,61,9,9,,11.8,,,,,1,1,1,1,1,10,1957-05-04
