UID,YR,SEX,LAMB,LB1,DATE,SIRE,BRWT,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
51LA00001,51,1,3597,1,424,2401,10.8,1,0974,1,,5,9,1,3,1,63,610,1,,0,2,,,,,16,11,,,,,11,,20,6,18,,69,27,,114,11,1,1,1,1,10,1951-04-24,42,47,07
51LA00002,51,1,3492,1,413,2594,12.2,1,1084,1,16,5,9,1,4,1,21,210,1,,0,,,,,,,11,,,,,11,,21,1,10,,85,,,103,11,1,1,1,1,10,1951-04-13,42,48,07
51LA00003,51,1,3520,1,415,2781,9.6,1,1173,1,19,8,8,1,3,2,27,270,1,,0,,,,,,,11,,,,,11,,27,1,09,,67,,,105,11,1,1,2,1,10,1951-04-15,43,49,07
51LA00004,51,2,3521,1,415,2781,9.4,1,1173,1,19,8,8,1,3,1,27,270,2,,0,,,,,,,11,,,,,11,,27,1,09,,67,,,105,11,1,1,2,1,10,1951-04-15,43,49,07
51LA00005,51,2,3478,1,413,2837,10.2,1,1191,1,11,5,8,1,4,1,19,190,1,6,0,,,,,,,11,,,,,11,,19,1,00,,,,,103,11,1,1,1,1,0,1951-04-13,43,49,07
51LA00006,51,2,3566,1,419,2771,9.0,1,1211,1,25,8,8,2,5,1,34,340,1,,0,1,,,,,02,11,,,,,11,,34,1,19,,45,,,109,11,1,1,2,1,10,1951-04-19,43,49,07
51LA00007,51,1,3567,1,419,2771,10.6,1,1211,1,25,8,8,1,5,1,34,340,2,,0,,,,,,,11,,,,,11,,34,1,19,,83,,,109,11,1,1,2,1,10,1951-04-19,43,49,07
51LA00008,51,2,3402,1,409,2744,11.8,1,1225,1,18,5,8,1,5,1,23,230,1,,0,,,,,,,11,,,,,11,,23,1,19,,88,,,99,11,1,1,1,1,10,1951-04-09,43,48,07
51LA00009,51,1,3603,1,428,2903,12.2,1,1297,1,18,5,8,1,4,1,20,200,1,,0,2,,,,,16,11,,,,,11,,20,1,08,,81,,,118,11,1,1,1,1,10,1951-04-28,43,49,07
51LA00010,51,2,3588,1,421,2990,11.0,1,1298,1,15,5,8,1,4,1,32,320,1,7,230,,,,,,,11,,,,,11,,32,1,30,,,,,111,11,1,1,1,1,0,1951-04-21,43,49,07
51LA03485,51,1,1537,0,404,0403,12.6,2,1464,0,,5,2,,4,,00,,1,,,,,,,,,10,,,,,10,,,0,,3,88,,,94,13,1,1,1,1,10,1951-04-04,49,49,07
51LA03486,51,2,1547,0,417,0161,5.6,2,1467,0,,8,2,,3,,00,,1,,,,,,,,,10,,,,,10,,,0,,3,52,,,107,13,1,1,2,1,10,1951-04-17,49,49,07
51LA03487,51,2,1548,0,417,0161,6.8,2,1467,0,,8,2,,3,,00,,2,7,,,,,,,,10,,,,,10,,,0,,3,0,,,107,13,1,1,2,1,0,1951-04-17,49,49,07
51LA03488,51,2,1543,0,407,0637,12.0,2,1473,0,,5,2,,5,,00,,1,,,,,,,,,10,,,,,10,,,0,,3,75,,,97,13,1,1,1,1,10,1951-04-07,49,49,07
51LA03489,51,1,1550,0,418,8827,10.2,2,1476,0,,5,2,,5,,00,,1,,,,,,,,,10,,,,,10,,,0,,3,74,,,108,13,1,1,1,1,10,1951-04-18,49,47,07
51LA03490,51,3,1545,0,412,0251,10.8,2,1478,0,,5,2,,4,,00,,1,,,,,,,,,10,,,,,10,,,0,,3,85,,,102,13,1,1,1,1,10,1951-04-12,49,49,07
51LA03491,51,1,1540,0,406,0251,11.0,2,1501,0,,5,2,,4,,00,,1,,,,,,,,,10,,,,,10,,,0,,3,86,,,96,13,1,1,1,1,10,1951-04-06,49,49,07
51LA03492,51,1,1536,0,414,2594,6.8,1,8765,2,,7,4,,2,,00,,1,,,,,,,,,13,,,,,10,,29,0,,3,80,,,104,11,1,1,2,1,10,1951-04-14,47,48,07
51LA03493,51,2,1549,0,417,2594,9.2,1,9624,2,,5,3,,3,,00,,1,,,,,,,,,13,,,,,10,,26,0,,3,67,,,107,11,1,1,1,1,10,1951-04-17,48,48,07
51LA03494,51,,,0,414,2594,6.8,1,8765,2,,7,4,,2,,00,,2,1,,,,,,,,13,,,,,,,29,0,,3,0,,,104,11,1,1,2,1,0,1951-04-14,47,48,07
