UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,STMD,STMS,BGRP,RGRP,CUT,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,JUNEDO,INBRL
96LA00001,96,A0218,04,82,20,A0740,04,3.0,30,30,2,0,n,C,0401,92,0,1,,0.0,,,,,82,30,0,,,,,BLOB,,,,,J,1,,1,1,1,0,0,0.0,0,,0,0,,1996-04-01,,0.0
96LA00002,96,A1236,04,ch,-0-,S2545,10,2.0,30,41,P,2,y,,1230,364,2,0,2,6.0,1,1,,,00,00,0,,,,,,,,,,B,1,3,1,1,2,0,0,0.0,0,,0,0,,1995-12-30,,0.0
96LA00003,96,A1236,04,ch,-0-,S2545,10,2.0,30,41,P,2,y,,1230,364,2,0,2,6.0,1,1,,,00,00,0,,,,,,,,,,B,2,3,0,0,0,0,0,0.0,0,,0,0,,1995-12-30,,0.0
96LA00004,96,A2066,04,82,e.7,A0708,04,1.0,30,30,e,0,y,e,0325,85,5,2,2,10.0,1,1,,,88,30,6,85,14,K852563,+,MOTHERLY+,FROZE,,,,J,1,,1,1,1,1,0,0.5,0,,0,0,,1996-03-25,,0.0
96LA00005,96,A2223,04,ch,j.4,A1297,04,1.0,31,31,e,2,n,c,0410,101,6,3,,0.0,,,,,ch,31,0,,,,,,BLOB,,,,J,2,,0,0,0,0,0,0.0,0,,0,0,,1996-04-10,,0.015
96LA00006,96,A2250,04,ch,j.1,A0987,04,1.0,31,31,e,2,n,c,0409,100,7,2,2,8.2,1,1,,,ch,31,1,,,,,,,,,,J,2,,0,0,0,0,0,0.0,0,,0,0,,1996-04-09,,0.036
96LA00007,96,A2388,04,ch,j.1,A0987,04,1.0,31,31,e,2,n,c,0405,96,1,1,2,8.0,1,1,,,ch,31,1,,,,,DYSTOCIA,,,,,J,1,,1,1,1,0,0,0.0,0,,0,0,,1996-04-05,,0.0
96LA00008,96,A2474,04,82,e.7,A0708,04,1.0,30,30,e,0,y,e,0328,88,8,2,1,8.5,1,1,,,88,30,6,88,14,K858463,+,,FROZE,,,,J,1,,1,1,2,1,0,0.0,0,,0,0,,1996-03-28,,0.0
96LA00009,96,A2474,04,82,e.7,A0708,04,1.0,30,30,e,0,y,e,0328,88,8,2,2,8.5,1,1,,,88,30,6,88,14,,,,FROZE,,,,J,2,,0,0,0,1,0,0.0,0,,0,0,,1996-03-28,,0.0
96LA00010,96,K3936,63,62,56,K7838,63,7.0,06,05,1,0,y,H,0410,101,5,0,,0.0,,,,,00,05,6,102,01,,,L SPOILED X,LOST IN PEN,,,,J,1,,1,1,1,1,0,0.0,0,,0,0,,1996-04-10,,0.0
96LA04528,96,A2760,04,73,,00000,00,0.5,30,,F,6,,,,0,,,,0.0,,,,,00,00,,,,,,,,,,-FL,,1,3,1,0,0,0,0,0.0,0,,0,0,,,,0.0
96LA04529,96,A2769,04,73,,00000,00,0.5,30,,F,6,,,,0,,,,0.0,,,,,00,00,,,,,,,,,,-FL,,1,3,1,0,0,0,0,0.0,0,,0,0,,,,0.0
96LA04530,96,A2721,04,73,,00000,00,0.5,30,,F,6,,,,0,,,,0.0,,,,,00,00,,,,,,,,,,-FL,,1,3,1,0,0,0,0,0.0,0,,0,0,,,,0.0
96LA04531,96,A2781,04,73,,00000,00,0.5,30,,F,6,,,,0,,,,0.0,,,,,00,00,,,,,,,,,,-FL,,1,3,1,0,0,0,0,0.0,0,,0,0,,,,0.0
96LA04532,96,A2782,04,73,,00000,00,0.5,30,,F,6,,,,0,,,,0.0,,,,,00,00,,,,,,,,,,-FL,,1,3,1,0,0,0,0,0.0,0,,0,0,,,,0.0
96LA04533,96,A2771,04,73,,00000,00,0.5,30,,F,6,,,,0,,,,0.0,,,,,00,00,,,,,,,,,,-FL,,1,3,1,0,0,0,0,0.0,0,,0,0,,,,0.0
96LA04534,96,A2773,04,73,,00000,00,0.5,30,,F,6,,,,0,,,,0.0,,,,,00,00,,,,,,,,,,-FL,,1,3,1,0,0,0,0,0.0,0,,0,0,,,,0.0
96LA04535,96,A2772,04,73,,00000,00,0.5,30,,F,6,,,,0,,,,0.0,,,,,00,00,,,,,,,,,,-FL,,1,3,1,0,0,0,0,0.0,0,,0,0,,,,0.0
96LA04536,96,A2733,04,73,,00000,00,0.5,30,,F,6,,,0610,162,8,1,2,8.0,1,1,Z3882,81,00,00,,,,,,,"MISC,FL",,,-FL,,2,3,0,0,0,1,1,1.0,46,,0,0,H,1996-06-10,,0.0
96LA04537,96,S2996,10,11,33,S4764,10,4.0,07,07,1,0,n,R,0327,87,,,,0.0,,,,,11,07,,0,,K852963,+,GRAFT ONLY,GRAFT ONLY,,,,J,2,,0,0,0,0,0,0.5,0,,0,0,,1996-03-27,,0.031
