UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB1,INBL,X1,ADAM,X2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABEWE,DISP,INBD,FONO,FOBR,FOPU,X3,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,X4,Y2,Y3,BRWT,Y5,ABLMB,X5,CDNO,DATEBN
66LA00001,66,,,,02,021,7837,41,4,43,,3, 8,,02,1,,,,,0,,,,29,,,,3,1,,7847,41,1,,02,1,0,,0,0,0.0,,,,1,
66LA00002,66,2,,,70,730,1809,18,1,,,2,,1,07,,1,122,1,,0,0,,1,,,,,1,8,,1132,18,1,,70,2,0,,1,1,7.8,,,,1,1966-05-02
66LA00003,66,,,,70,720,0199,18,1,,,6,,,07,,,126,,,0,,,,,,,,,8,,1244,18,1,,70,2,0,,0,0,0.0,,,,1,1966-05-06
66LA00004,66,,,,53,535,3554,14,1,,,9,13,,07,,,87,,,0,,,,14,,,,,4,,7537,14,0,,37,7,0,,,,0.0,,,,1,1966-03-28
66LA00005,66,,,,72,983,7037,61,6,,,2,,,06,,,126,,,0,,,,,,,,,1,,6860,61,1,,72,3,0,,0,0,0.0,,,,1,1966-05-06
66LA00006,66,,,,10,108,5469,41,4,,,6, 7,,02,,,98,,,0,,,,25,,,,,1,,8864,41,0,,13,7,0,,,,0.0,,,,1,1966-04-08
66LA00007,66,2,,,70,722,6928,41,4,,,4,,1,02,,1,115,4,,0,2,,1,,2579,48,+,,1,,6242,41,1,,70,2,0,,1,2,11.0,,,,1,1966-04-25
66LA00008,66,1,,,15,158,0418,41,4,,,0, 5,1,02,,1,110,1,,0,0,,1,25,,,,,1,,9213,41,1,,01,7,0,,1,1,7.0,,,,1,1966-04-20
66LA00009,66,2,,,46,050,6834,14,1,,,3,,1,04,,1,105,2,3,0,3,,0,,0666,42,+,,4,,5577,61,1,,82,9,0,,1,2,6.6,5,,7,1,1966-04-15
66LA00010,66,,,,70,723,4624,61,6,,,5,,,06,,,126,,,0,,,,,,,,,1,,7102,61,1,,70,2,0,,0,0,0.0,,,,1,1966-05-06
66LA04688,66,2,3679,9,00,733,5930,61,6,,,3,,5,60,2,1,148,5,,0,4,,,,,,,,1,90,0000,98,1,75,70,0,1,,1,1,9.6,10,,,1,1966-05-28
66LA04689,66,3,3680,9,00,840,9728,17,1,,,7,,5,40,2,1,157,8,,0,4,,,,,,,,7,90,0000,98,1,68,72,0,1,,1,2,13.0,10,,,1,1966-06-06
66LA04690,66,2,3681,9,00,840,9728,17,1,,,7,,5,40,2,1,157,8,,0,4,,,,,,,,7,90,0000,98,1,66,72,0,1,,1,2,10.6,10,,,2,1966-06-06
66LA04691,66,2,3682,9,00,535,4901,14,1,,,7,,5,40,2,1,157,5,,0,4,,,20,,,,,4,90,0000,98,1,65,26,0,1,,1,1,11.0,10,,,1,1966-06-06
66LA04692,66,3,3683,9,00, 30,6836,61,6,,,2,,5,60,2,1,158,5,,0,4,,,,,,,,1,90,0000,98,1,63,82,0,1,,1,1,12.4,10,,,1,1966-06-07
66LA04693,66,3,3684,9,00,018,5122,41,4,,,6,,5,50,2,1,158,5,,0,4,,,26,,,,,1,90,0000,98,1,56,04,0,1,,1,1,13.2,10,,,1,1966-06-07
66LA04694,66,2,2515,9,12,110,9171,41,4,,,2,,1,08,,1,95,8,,0,4,,,,,,,,1,90,1777,18,1,81,82,9,1,,1,2,9.0,10,,,1,1966-04-05
66LA04695,66,2,2606,9,01,110,9037,41,4,,,2,,1,08,,1,96,9,,0,4,,,,,,,,1,90,1777,18,1,69,82,9,1,,1,3,6.8,10,,,3,1966-04-06
66LA04696,66,3,3322,9,09,120,9684,41,4,,,2,,1,08,,1,111,8,,0,4,,,,,,,,1,90,1309,18,1,85,09,9,1,,1,2,9.0,10,,,1,1966-04-21
66LA04697,66,3,3549,9,04,140,9587,41,4,,,2,,1,02,,1,118,8,,0,3,,,,,,,3,1,90,7865,41,1,59,82,9,1,,1,2,9.6,10,,,2,1966-04-28
