UID,YR,SEX,LAMB,LB1,LINE,BPEN,DAM,DBRD,DB1,INBRL,CODE,ADAM,TRT,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,INBRD,FONO,FOPU,TRT2,DB2,LBRD,SIRE,SBRD,Y1,WNWT,LNDAM,TM,Y4,CODE2,Y2,Y3,BRWT,Y5,ABLMB,TRT3,CDNO,DATEBN,STMD
72LA00001,72,2,6547,1,32,320,5741,11,1,29,5,00,,1,07,,1,94,8,,0,1,,,22,,,,1,11,6472,11,1,69,32,1,1,,1,2,8.8,10,,6,1,1972-04-03,07
72LA00002,72,2,6548,1,32,320,5741,11,1,29,5,00,,1,07,,1,94,8,,0,1,,,22,,&,,1,11,6472,11,0,55,32,1,1,,0,0,7.0,5,,6,2,1972-04-03,07
72LA00003,72,2,6546,1,32,320,5970,11,1,35,5,90,,1,07,,1,93,5,,0,4,09,,35,,,,1,11,6472,11,1,51,32,1,1,,1,1,11.2,10,,6,1,1972-04-02,07
72LA00004,72,2,6543,1,24,240,5979,11,1,40,5,80,,1,07,,1,89,8,,91,3,33,6,31,,,,1,11,6457,11,1,0,24,1,1,,1,2,5.8,0,79,7,1,1972-03-29,07
72LA00005,72,2,6544,1,24,240,5979,11,1,40,5,80,,1,07,,1,89,8,,91,3,,6,31,,,,1,11,6457,11,0,0,24,1,1,,0,0,6.0,0,79,7,2,1972-03-29,07
72LA00006,72,2,6587,1,24,240,6071,11,1,40,5,80,,1,07,,1,107,8,,0,3,,,31,,,,1,11,6457,11,1,68,24,1,1,,1,2,8.4,10,,6,1,1972-04-16,07
72LA00007,72,2,6588,1,24,240,6071,11,1,40,5,80,,1,07,,1,107,8,,0,3,,,31,,&,,1,11,6457,11,0,64,24,1,1,,0,0,8.8,5,,6,2,1972-04-16,07
72LA00008,72,2,6569,1,24,240,6088,11,1,39,5,80,,1,07,,1,101,8,,0,4,,,28,,,,1,11,6457,11,1,45,24,1,1,,1,2,8.4,10,,7,1,1972-04-10,07
72LA00009,72,1,6570,1,24,240,6088,11,1,39,5,80,,1,07,,1,101,8,,0,4,,,28,,,,1,11,6457,11,0,51,24,1,1,,0,0,9.0,10,,7,2,1972-04-10,07
72LA00010,72,1,6576,1,24,240,6105,11,1,40,5,80,,1,07,,1,104,8,,106,2,,6,29,,,,1,11,6457,11,1,0,24,1,1,,1,2,8.0,0,,6,1,1972-04-13,07
72LA04343,72,2,8332,9,00,099,7752,90,9,,2,20,,5,89,2,1,139,5,,145,2,,6,,,,,0,90,0000,98,1,0,99,0,1,,1,1,4.8,0,,,1,1972-05-18,53
72LA04344,72,2,8156,9,99,099,7972,90,9,,1,10,,1,69,,1,87,8,,0,2,,,,,,,0,90,1388,62,1,79,99,8,1,,1,2,5.2,10,79,,1,1972-03-27,53
72LA04345,72,1,8157,9,99,099,7972,90,9,,1,10,,1,69,,3,87,8,,0,2,,,,773490,-,,0,90,1388,62,0,92,99,8,1,,0,0,5.4,5,79,,2,1972-03-27,53
72LA04346,72,1,8178,9,99,099,7973,90,9,,1,10,,1,69,,1,102,8,,0,4,,,,,,,0,90,1388,62,1,98,99,8,1,,1,2,9.0,10,,,1,1972-04-11,53
72LA04347,72,1,8179,9,99,099,7973,90,9,,1,10,,1,69,,1,102,8,,103,4,,6,,,,,0,90,1388,62,0,0,99,8,1,,0,0,8.6,0,,,2,1972-04-11,53
72LA04348,72,2,8169,9,99,099,7975,90,9,,1,10,,1,69,,1,96,5,,0,3,,,,,,,0,90,1388,62,1,77,99,8,1,,1,1,8.2,10,,,1,1972-04-05,53
72LA04349,72,,,0,99,099,7980,90,9,,1,10,,,69,,,125,,,0,,,,,,,,0,90,1388,62,1,0,99,8,0,,0,0,0.0,0,,,1,1972-05-04,53
72LA04350,72,1,8182,9,99,099,7999,90,9,,1,10,,1,69,,1,103,8,,0,2,,,,,,,0,90,1388,62,1,92,99,8,1,,1,2,6.2,10,,,1,1972-04-12,53
72LA04351,72,1,8183,9,99,099,7999,90,9,,1,10,,2,69,,1,103,8,,110,2,,6,,,&,,0,90,1388,62,0,0,99,8,1,,0,0,7.0,0,,,2,1972-04-12,53
72LA04352,72,2,8184,9,99,099,8006,90,9,,1,10,,1,69,,1,105,5,,144,3,,6,,,,,0,90,1388,62,1,0,99,8,1,,1,1,9.0,0,,,1,1972-04-14,53
