UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,STMD,FONO,FOPU,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT2,CDNO,YR
82LA00001,1982-04-03,3,M2610,94,,00,,00000,00,,1,,,,1,00,3,1,93,5,,0,0,,,00,973493,-,00000,00,0,57,,0,1,,0,0,061,5,,,,82
82LA00002,1982-05-18,3,X8087,79,,00,,00000,00,,1,,,,1,00,3,1,138,5,,0,0,,,00,,&,00000,00,0,53,,0,1,,0,0,113,5,,,,82
82LA00003,1982-04-06,3,X7832,79,,00,,00000,00,,1,,,,5,00,3,1,96,5,,0,4,12,,00,,,00000,00,0,91,,0,1,,0,0,144,10,,,,82
82LA00004,1982-04-13,2,X7891,79,,00,,00000,00,,1,,,,1,00,3,1,103,5,,0,0,,,00,307019,-,00000,00,0,68,,0,1,,0,0,082,5,,,,82
82LA00005,1982-03-30,2,X7634,79,,00,,00000,00,,1,,,,1,00,3,1,89,5,,0,0,,,00,,&,00000,00,0,53,,0,1,,0,0,045,5,16,,,82
82LA00006,1982-03-30,2,X7626,79,,00,,00000,00,,1,,,,1,00,3,2,89,5,,0,0,,,00,899193,-,00000,00,0,80,,0,1,,0,0,092,5,,,,82
82LA00007,1982-04-23,3,X7905,79,,00,,00000,00,,1,,,,1,00,3,1,113,5,,0,0,,,00,074643,-,00000,00,0,66,,0,1,,0,0,078,5,,,,82
82LA00008,1982-06-24,2,X8107,79,,00,,00000,00,,,,,,1,00,3,1,175,5,,175,,,3,00,,,00000,00,0,0,,0,1,93,0,0,065,0,,,,82
82LA00009,1982-05-18,3,X8088,79,,00,,00000,00,,1,,,,1,00,3,1,138,5,,0,0,,,00,,&,00000,00,0,66,,0,1,,0,0,073,5,,,,82
82LA00010,1982-04-09,2,X7874,79,,00,,00000,00,,,,,,1,00,3,1,99,5,,103,0,,6,00,,&,00000,00,0,0,,0,1,01,0,0,115,0,,,,82
82LA06536,1982-03-27,1,M2456,97,1,97,297,U8518,97,,1,,20,,6,97,,1,86,5,,0,3,,,97,,,00020,97,1,111,97,,1,,1,1,115,10,,,1,82
82LA06537,1982-03-14,2,M2430,97,1,97,297,U8562,97,,1,,20,,6,97,,1,73,5,,0,4,,,97,,,00020,97,1,94,97,,1,,1,1,154,10,,,1,82
82LA06538,1982-03-12,1,M2425,97,1,97,297,U8626,97,,1,,20,,6,97,,1,71,5,,0,4,,,97,,,00020,97,1,109,97,,1,,1,1,164,10,,,1,82
82LA06539,1982-03-26,2,M2452,97,1,97,297,U8631,97,,1,,20,,6,97,,1,85,9,,0,4,,,97,,,00020,97,1,74,97,,1,,1,3,114,10,,,1,82
82LA06540,1982-03-26,1,M2453,97,,97,297,U8631,97,,1,,20,,6,97,,1,85,9,,0,4,,,97,,,00020,97,0,89,97,,1,,0,0,125,10,,,2,82
82LA06541,1982-03-26,2,M2454,97,,97,297,U8631,97,,1,,20,,6,97,,1,85,9,,0,4,,,97,,&,00020,97,0,63,97,,1,,0,0,102,5,,,3,82
82LA06542,1982-03-21,2,M2442,97,1,97,297,U8634,97,,1,,20,,6,97,,1,80,5,,0,3,,,97,,,00020,97,1,76,97,,1,,1,1,150,10,,,1,82
82LA06543,1982-03-25,1,M2446,97,1,97,297,U8635,97,,1,,20,,6,97,,1,84,8,,0,3,,,97,,,00020,97,1,92,97,,1,,1,2,110,10,,,1,82
82LA06544,1982-03-25,2,M2447,97,,97,297,U8635,97,,1,,20,,6,97,,1,84,8,,0,3,,,97,,,00020,97,0,84,97,,1,,0,0,114,10,,,2,82
82LA06545,1982-03-25,1,M2449,97,1,97,297,V9922,97,,1,,80,,6,97,,1,84,5,,0,4,,,97,,,00020,97,1,80,97,,1,,1,1,151,10,,,1,82
