UID,YR,SEX,LAMB,LB1,LINE,PEN,DAM,DBRD,DB,INBL,DB1,ADAM,ABEWE,CLR,STM,SPEC,JAW,DAYBN,TB,TRT,DAYDIS,MILK,ABNE,DEAD,INBD,FONO,FOBR,FOPU,X1,DB2,LBRD,SIRE,SB1,SBRD,WNWT,LNDAM,TM,TBRQ,X2,BRWT,ABNL,DISP,X3,ABLMB,CDNO,Y1,Y2,Y3,Y4,Y5,DATEBN
58LA00001,58,1,2142,0,69,469,1644,10,0,,1,7,,1,07,,1,93,5,,0,4,,,,,,,,0,10,1994,2,14,101,68,4,1,,12.0,,,,,1,1,1,1,1,10,1958-04-03
58LA00002,58,1,2169,0,69,468,1647,10,0,,1,7,,1,07,,1,99,8,,0,3,,,,9399,40,-,,0,10,1575,2,14,88,68,4,1,,9.8,,,,,1,1,1,2,1,10,1958-04-09
58LA00003,58,1,2170,0,69,468,1647,10,0,,1,7,,1,07,,8,99,8,,0,3,,,,,,,,0,10,1575,2,14,97,68,4,1,,10.6,,,,,2,1,1,2,1,10,1958-04-09
58LA00004,58,1,2185,0,69,631,1650,10,0,,1,6,,1,07,,1,102,8,,0,3,,,,,,,,0,10,1857,2,14,66,68,5,1,,10.4,6,,,87,1,1,1,2,1,10,1958-04-12
58LA00005,58,2,2186,0,69,631,1650,10,0,,1,6,,1,07,,1,102,8,,0,3,,,,,,,,0,10,1857,2,14,55,68,5,1,,9.8,,,,,2,1,1,2,1,10,1958-04-12
58LA00006,58,,,,69,408,1651,10,0,,1,6,07,,07,1,,143,-,,0,,,,,,,,,0,48,3087,2,14,,68,4,,,0.0,,,,,1,1,0,0,0,0,1958-05-23
58LA00007,58,2,2228,5,00,408,1651,10,0,,1,6,07,1,04,2,3,143,5,,0,4,92,,,,,,,0,48,0000,,61,73,68,0,,,13.8,,,,,1,1,1,1,1,10,1958-05-23
58LA00008,58,2,2210,0,69,651,1653,10,0,,1,6,,1,07,,1,108,5,,0,4,,,,,,,,0,10,3112,2,14,,68,5,2,,11.8,,2,,,1,1,1,1,1,0,1958-04-18
58LA00009,58,1,2178,0,69,328,1655,10,0,,1,6,,1,07,,1,100,8,,0,3,,,,3969,11,-,,0,10,4657,1,11,79,68,4,1,,10.8,,,,,1,1,1,2,1,10,1958-04-10
58LA00010,58,2,2179,0,69,328,1655,10,0,,1,6,,1,07,,1,100,8,,0,3,,,,,,,,0,10,4657,1,11,75,68,4,1,,9.8,,,,,2,1,1,2,1,10,1958-04-10
58LA03990,58,1,2400,4,66,362,8378,40,4,,4,4,,1,02,,1,100,8,,,4,,,,,,,,0,41,9965,4,40,38,65,5,,,11.4,,,,,1,1,1,2,1,10,1958-04-10
58LA03991,58,1,2401,4,66,362,8378,40,4,,4,4,,3,02,,1,100,8,,,4,,,,,,,,0,41,9965,4,40,83,65,5,,,10.6,,,,,2,1,1,2,1,10,1958-04-10
58LA03992,58,1,2788,4,06,062,6233,40,4,23,4,7,,1,02,,2,114,5,,0,2,,,21,,,,,0,41,0039,4,41,69,06,1,,,11.8,,,,,1,1,1,1,1,10,1958-04-24
58LA03993,58,1,2845,4,17,172,0193,41,4,20,4,3,,1,02,,2,115,5,,0,3,,,22,,,,,1,41,8875,4,40,83,17,1,,,9.8,,,,,1,1,1,1,1,10,1958-04-25
58LA03994,58,1,3151,4,10,101,1714,48,5,02,4,8,,1,02,,2,122,5,,0,3,,,00,,,,,8,41,8808,4,40,73,10,1,,,13.4,,,,,1,1,1,1,1,10,1958-05-02
58LA03995,58,1,3184,4,06,062,5952,40,4,22,4,7,,1,02,,6,122,5,,0,2,,,21,,,,,0,41,0039,4,41,82,06,1,,,14.2,,,,,1,1,1,1,1,10,1958-05-02
58LA03996,58,1,3350,4,12,122,9034,40,4,16,4,4,,1,02,,1,129,5,,0,3,,,16,,,,,0,41,0569,4,41,69,12,1,,,10.6,2,,,16,1,1,1,1,1,10,1958-05-09
58LA03997,58,1,3360,4,00,000,6364,40,4,,4,7,,2,00,3,2,130,9,,,2,,,06,,,,,0,41,0000,,00,69,11,0,,,8.0,,,,,2,1,1,3,1,10,1958-05-10
58LA03998,58,2,3359,4,00,000,6364,40,4,,4,7,,1,00,3,1,130,9,,,2,,,06,,,,,0,41,0000,,00,59,11,0,,,8.0,,,,,1,1,1,3,1,10,1958-05-10
58LA03999,58,2,3362,4,00,000,6364,40,4,,4,7,,1,00,3,1,130,9,,130,2,,,06,,,,,0,41,0000,,00,0,11,0,,,7.0,,3,,,3,1,1,3,1,0,1958-05-10
