UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,ADAM,AGE,STMD,BGRP,RGRP,GRP,TRT,DATE,DAYBRN,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,ABEWE,ABLMB,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,DATEBN,INBRL
93LA00001,93,00000,00,00,,00000,00,,0.0,00,,,,?,0506,126,,,,0.0,,,T3943,44,00,02,,0,,,,,T-TAG CRUSHED,,,,,0,3,0,0,0,0,0,0.0,0,,0,0,,1993-05-06,0.0
93LA00002,93,00000,00,00,,00000,00,20,2.0,00,2,2,,?,0423,113,5,2,2,9.5,1,1,S3882,10,00,07,3,113,93,,8,,S3882-MIXUP,,,,W,0,3,1,1,1,1,0,0.0,0,,0,0,,1993-04-23,0.0
93LA00003,93,00000,00,00,,00000,00,30,3.0,00,1,0,,?,0411,101,5,2,2,10.8,5,1,Z2346,81,00,80,,0,,L475003,-,,Z2346-MIXUP,,,,B,0,3,1,1,1,1,1,0.5,94,0,75,182,1,1993-04-11,0.0
93LA00004,93,00000,00,00,,00000,00,,0.0,00,,,,?,0413,103,,,,0.0,,,K6724,63,00,06,,0,,,,,K-TAG MISSING,,,,,0,3,0,0,0,0,0,0.0,0,,0,0,,1993-04-13,0.0
93LA00005,93,00000,00,00,,00000,00,,0.0,00,,,,?,0415,105,,,,0.0,,,L9669,03,00,30,,0,,,,,L-TAG CRUSHED,,,,,0,3,0,0,0,0,0,0.0,0,,0,0,,1993-04-15,0.0
93LA00006,93,00000,00,00,,00000,00,70,7.0,00,1,0,,?,0411,101,5,3,2,11.6,1,1,Z2350,81,00,07,,0,,S785119,-,,Z2350-MIXUP,,,,B,0,3,1,1,1,1,1,0.5,98,0,76,182,1,1993-04-11,0.0
93LA00007,93,00000,00,00,,00000,00,20,2.0,00,2,0,,?,0422,112,8,3,2,9.3,1,1,L9772,03,00,30,,0,,S174710,-,,L9772-MIXUP,,,,H,0,3,1,1,2,1,1,0.5,73,0,52,183,2,1993-04-22,0.0
93LA00008,93,K1830,63,60,601,K5205,63,70,7.0,06,1,0,,M,0419,109,9,2,1,10.0,1,1,K6863,63,60,06,,0,,,,,ENTR,,,,N,1,0,1,1,3,1,1,1.0,92,1,62,183,2,1993-04-19,0.048
93LA00009,93,K1830,63,60,601,K5205,63,70,7.0,06,1,0,,M,0419,109,9,2,1,9.5,1,2,K6864,63,60,06,,0,,,,,,,,,N,2,0,0,0,0,1,1,1.0,97,1,62,183,2,1993-04-19,0.048
93LA00010,93,K1830,63,60,601,K5205,63,70,7.0,06,1,0,,M,0419,109,9,2,2,10.8,1,1,K6865,63,60,06,,0,,S073110,-,,4TEATS,,,,N,3,0,0,0,0,1,1,0.5,68,0,47,182,1,1993-04-19,0.048
93LA04638,93,Z1572,81,97,974,Z0859,81,10,1.0,97,Y,0,,,0514,134,5,3,1,13.4,6,2,Z2757,81,97,97,,0,,,,,,,,,N,1,0,1,1,1,1,1,1.0,100,1,0,0,J,1993-05-14,0.079
93LA04639,93,Z1584,81,97,973,X9670,80,10,1.0,97,Y,0,,,0331,90,0,1,,0.0,,,,,97,97,0,0,,,,,,,,,,1,0,1,1,1,0,0,0.0,0,,0,0,,1993-03-31,0.0
93LA04640,93,Z1593,81,97,974,Z0859,81,10,1.0,97,Y,0,,,0404,94,0,1,,0.0,,,,,97,97,0,0,,,,,,,,,,1,0,1,1,1,0,0,0.0,0,,0,0,,1993-04-04,0.0
93LA04641,93,Z1594,81,97,973,X9670,80,10,1.0,97,Y,0,,,0505,125,5,3,1,11.8,6,1,Z2708,81,97,97,,0,,,,,,,,,B,1,0,1,1,1,1,1,1.0,100,1,0,0,J,1993-05-05,0.106
93LA04642,93,Z1599,81,97,974,Z0859,81,10,1.0,97,Y,0,,,0417,107,5,3,2,12.3,6,1,Z2437,81,97,97,,0,,,,,,,,,Y,1,0,1,1,1,1,1,1.0,96,1,0,0,J,1993-04-17,0.029
93LA04643,93,Z1629,81,97,973,X9670,80,10,1.0,97,Y,0,,,,0,,,,0.0,,,,,97,97,,0,,,,,,,,,,1,0,1,0,0,0,0,0.0,0,,0,0,,,0.0
93LA04644,93,Z1717,81,97,974,Z0859,81,10,1.0,97,Y,0,,,,0,,,,0.0,,,,,97,97,,0,,,,,,,,,,1,0,1,0,0,0,0,0.0,0,,0,0,,,0.0
93LA04645,93,Z1718,81,97,973,X9670,80,10,1.0,97,Y,0,,,,0,,,,0.0,,,,,97,97,,0,,,,,,,,,,1,0,1,0,0,0,0,0.0,0,,0,0,,,0.0
93LA04646,93,Z1862,81,97,974,Z0859,81,10,1.0,97,Y,0,,,,0,,,,0.0,,,,,97,97,,0,,,,,,,,,,1,0,1,0,0,0,0,0.0,0,,0,0,,,0.0
93LA04647,93,Z1865,81,97,973,X9670,80,10,1.0,97,Y,0,,,0325,84,0,1,,0.0,,,,,97,97,0,0,,,,,,,,,,1,0,1,1,1,0,0,0.0,0,,0,0,,1993-03-25,0.0
