UID,DAM,DBRD,LNDAM,BPEN,TRT,SYNC,ADAM,AGE,STMD,BGRP,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,SPEC,VC,ML,DATEBN,YR,INBRL
91LA00001,Z0000,00,00,,,,,0.0,00,,X,0314,5,2,3,10.0,5,1,Z1090,81,,0,,060644,SIDDOWAY,,,0,00000,00,00,00,73,-,0,0,0,0,1,1,5,82,0,77,178,2,3,,0,1991-03-14,91,0.0
91LA00002,Z0000,00,00,,,,,0.0,00,,X,0319,5,2,3,10.0,5,1,Z1091,81,,0,,106903,SIDDOWAY,,,0,00000,00,00,00,78,-,0,0,0,0,1,1,5,94,0,83,178,2,3,,0,1991-03-19,91,0.0
91LA00003,Z0000,00,00,,,,,0.0,00,,X,0406,5,2,2,9.5,1,1,Z0637,81,6,101,23,,MIXUP,,,0,00000,00,00,00,96,&,0,0,0,0,1,0,0,0,0,0,0,,3,,0,1991-04-06,91,0.0
91LA00004,Z0000,00,00,,,,,0.0,00,,X,0307,5,2,3,10.0,1,1,Z1093,81,,0,,977719,SIDDOWAY,,,0,00000,00,00,00,66,-,0,0,0,0,1,1,5,75,0,71,178,2,3,,0,1991-03-07,91,0.0
91LA00005,T0000,00,00,,,,,0.0,00,,X,0407,5,2,2,8.6,1,1,T1979,44,3,128,93,,MIXUP,,,0,00000,00,00,00,97,&,0,0,0,0,1,0,0,0,0,0,0,,3,,0,1991-04-07,91,0.0
91LA00006,Y5888,02,83,331,,,70,7.0,30,2,,,,,,0.0,,,,,,0,,,,,,1,L3943,03,30,83,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA00007,Y6974,02,82,321,,,70,7.0,30,2,,0410,8,3,1,7.9,1,1,L6987,03,,0,,,,,,1,L3531,03,30,82,100,,1,1,1,2,1,1,10,70,1,59,177,1,,,0,1991-04-10,91,0.079
91LA00008,Y6974,02,82,321,,,70,7.0,30,2,,0410,8,3,1,9.7,1,1,L6988,03,6,119,19,,,,,2,L3531,03,30,82,100,,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-10,91,0.079
91LA00009,Y7005,02,82,322,,,70,7.0,30,2,,0412,8,4,1,11.2,1,1,L7180,03,3,119,93,,DEADEWE 4/27,**,,1,L3545,03,30,82,102,&,1,1,1,2,1,0,0,0,0,0,0,,,,0,1991-04-12,91,0.036
91LA00010,Y7005,02,82,322,,,70,7.0,30,2,,0412,8,4,2,9.5,1,1,L7181,03,3,119,93,,,,,2,L3545,03,30,82,102,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-12,91,0.036
91LA05468,M9905,94,47,-0-,,,60,6.0,55,C,3,0527,4,3,2,9.0,5,1,,,1,147,44,,,,,2,00000,97,58,00,147,,0,0,0,0,0,0,0,0,0,0,0,,,,0,1991-05-27,91,0.0
91LA05469,M9941,94,45,-0-,,,60,6.0,55,C,,,,,,0.0,,,,,,0,,,DEAD EWE,,,1,00000,97,58,00,0,,1,0,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA05470,M4537,97,97,297,,,80,8.0,97,N,,,,,,0.0,,,,,,0,,,,,,1,X4224,80,97,97,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.083
91LA05471,M4553,97,97,197,,,80,8.0,97,N,4,0407,8,4,1,11.2,6,1,Z0662,81,,0,,,,,,1,X3988,80,97,97,97,,1,1,1,2,1,1,10,94,0,0,0,,,,0,1991-04-07,91,0.133
91LA05472,M4553,97,97,197,,,80,8.0,97,N,4,0407,8,4,1,13.5,6,1,Z0663,81,,0,,,,,,2,X3988,80,97,97,97,,0,0,0,0,1,1,10,104,0,0,0,,,,0,1991-04-07,91,0.133
91LA05473,M4570,97,97,297,,,80,8.0,97,N,,,,,,0.0,,,,,,0,,,,,,1,X4224,80,97,97,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.094
91LA05474,M6581,97,97,397,,,70,7.0,97,N,4,0403,8,5,1,9.4,6,1,Z0509,81,6,113,66,,"SWBG,MASTITIS",**,,1,X6569,80,97,97,93,,1,1,1,2,1,0,0,0,0,0,0,,,,0,1991-04-03,91,0.087
91LA05475,M6581,97,97,397,,,70,7.0,97,N,4,0403,8,5,1,8.0,6,2,Z0510,81,6,96,80,,WEAKLAMB,,,2,X6569,80,97,97,93,,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-03,91,0.087
91LA05476,M8610,97,97,297,,,60,6.0,97,N,,0409,8,5,2,13.9,6,1,Z0682,81,,0,,,,,,1,X4224,80,97,97,99,,1,1,1,2,1,1,10,103,0,0,0,,,,0,1991-04-09,91,0.056
91LA05477,M8610,97,97,297,,,60,6.0,97,N,,0409,8,5,2,13.6,6,1,Z0683,81,,0,,,ENTR,,21,2,X4224,80,97,97,99,,0,0,0,0,1,1,10,101,0,0,0,,,,0,1991-04-09,91,0.056
