UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MAT,BCS,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
24LA00001,24,Y0386,52,,e4,X0012,84,1.0,,Kt,97,4,,Y,,030724,67,0,N,0.0,0,1,.,.,0.0,.,.,.,,,,0,67,27,,,HD.PULL,.,6,1,..,,J,1,,1,1,1,0,0,0.0,0,2024-03-07,0.0,,,,,
24LA00002,24,A1907,06,,e3,A1624,06,1.0,,30,30,4,,Y,,030824,68,2,N,0.0,0,1,.,.,0.0,.,.,.,,,,0,68,27,,,.,.,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2024-03-08,0.067,,,,,
24LA00003,24,A1907,06,,e3,A1624,06,1.0,,30,30,4,,Y,,030824,68,2,N,0.0,0,2,.,.,0.0,.,.,.,,,,0,68,27,,,.,.,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2024-03-08,0.067,,,,,
24LA00004,24,Z5001,83,A,10,Z9811,83,7.0,,97,97,1,,N,,030824,68,4,N,0.0,0,.,.,.,0.0,.,.,.,,A,,1,68,44,,,.,.,1,1,..,PUR,J,1,,1,1,2,0,0,0.0,0,2024-03-08,0.0,,,,,
24LA00005,24,Z5001,83,A,10,Z9811,83,7.0,,97,97,1,,N,,030824,68,4,N,0.0,0,.,.,.,0.0,.,.,.,,A,,0,68,27,,,.,.,1,1,..,PUR,J,2,,0,0,0,0,0,0.0,0,2024-03-08,0.0,,,,,
24LA00006,24,M0690,51,,36,Z8587,83,2.0,,LP,TC,1,0,Y,,030824,68,5,2,4.0,3,2,0,3,8.7,5,1,X1517,84,,00,,,,,,.,.,1,1,..,,J,1,,1,1,1,1,1,1.0,103,2024-03-08,0.0,59,127,1,,
24LA00007,24,A1144,06,,37,A1164,06,3.0,,30,30,1,,Y,,030924,69,1,N,4.5,2,2,.,.,7.0,1,1,.,,,,1,69,44,,,.,.,1,1,..,,J,1,,1,1,1,0,0,0.0,0,2024-03-09,0.092,,,,,
24LA00008,24,M0676,51,,35,Z7663,83,2.0,,LP,TS,1,0,Y,,031024,70,5,2,3.5,3,2,0,2,8.3,2,2,X1518,84,A,00,,,,,,.,.,1,1,..,,J,1,,1,1,1,1,1,1.0,90,2024-03-10,0.0,44,127,1,,
24LA00009,24,L3868,70,A,e9,X0000,00,1.0,,PC,00,4,,Y,,031124,71,0,N,4.0,1,1,.,.,4.0,5,1,.,,A,00,0,71,27,,,.,.,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2024-03-11,0.0,,,,,
24LA00010,24,X1103,84,,e9,X0000,00,1.0,,00,00,4,,Y,,031124,71,4,N,2.5,2,2,.,.,6.5,5,1,.,,,,1,71,44,,,.,.,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2024-03-11,0.0,,,,,
24LA03036,24,S1095,12,,59,L0000,07,8.0,,07,PC,2,0,Y,,042224,113,9,0,0.0,0,2,0,4,14.3,2,2,X2412,84,,LR,3,113,93,,8,.,.,7,5,..,,J,2,,0,0,0,1,0,0.0,0,2024-04-22,0.015,,,,,
24LA03037,24,S1095,12,,59,L0000,70,8.0,,07,PC,2,0,Y,,042224,113,9,0,0.0,0,1,.,.,7.1,1,1,.,,,,1,113,44,,,.,.,7,5,..,,J,3,,0,0,0,0,0,0.0,0,2024-04-22,0.015,,,,,
24LA03038,24,T8248,45,,e9,X0000,00,1.0,,02,00,4,,Y,,042324,114,5,1,4.0,2,3,0,2,13.5,5,6,X2413,84,,00,,,,,,.,.,6,2,..,RED,J,1,,1,1,1,1,1,1.0,79,2024-04-23,0.0,21,129,1,,
24LA03039,24,X1077,84,A,e9,X0000,00,1.0,,S3,00,4,,Y,,042324,114,5,1,3.5,2,3,0,2,7.7,5,1,X2414,84,A,00,6,121,66,,,.,Scours,1,1,..,OR,J,1,,1,1,1,1,,,,2024-04-23,0.0,,,,,
24LA03040,24,X1302,84,A,e9,X0000,00,1.0,,10,00,4,,Y,T,042324,114,8,1,3.5,3,3,0,2,9.0,6,1,X2415,84,A,00,6,129,01,,,.,LEGS.TUCKED,7,1,..,,J,1,,1,1,2,1,,,,2024-04-23,0.0,11,127,W,,
24LA03041,24,X1302,84,A,e9,X0000,00,1.0,,10,00,4,,Y,T,042324,114,8,1,3.5,3,3,0,2,10.5,6,1,X2416,84,A,00,,,,,,.,LEGS.TUCKED,7,1,..,,J,2,,0,0,0,1,1,1.0,91,2024-04-23,0.0,18,127,H,,
24LA03042,24,S1594,12,,60,S4185,12,6.0,,42,07,2,0,Y,,042424,115,8,1,2.5,2,3,0,2,11.0,1,1,S5668,12,,43,,,,,,.,.,1,1,..,GRN,J,1,,1,1,2,1,1,1.0,69,2024-04-24,0.022,18,129,1,,
24LA03043,24,S1594,12,,60,S4185,12,6.0,,42,07,2,0,Y,,042424,115,8,1,2.5,2,3,0,3,10.2,1,1,S5669,12,,43,6,119,23,,,.,Poss.Starvation,1,1,..,GRN,J,2,,0,0,0,1,,,,2024-04-24,0.022,,,,,
