UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
18LA00001,18,H8768,05,,40,Z0000,83,4.0,4,30,00,1,,N,,011918,19,8,2,3,0,2,15.4,1,1,M0001,51,,00,,,,,,.,NO.PROBIOTIC,1,1,..,TX,J,1,,1,1,2,1,1,1.0,76,2018-01-19,0.0,77,122,1,,
18LA00002,18,H8768,05,,40,Z0000,83,4.0,4,30,00,1,,N,,011918,19,8,2,3,0,2,14.4,1,1,M0002,51,,00,,,,,,.,NO.PROBIOTIC,1,1,..,TX,J,2,,0,0,0,1,1,1.0,76,2018-01-19,0.0,76,122,1,,
18LA00003,18,T5341,45,,54,Z0000,83,4.0,4,02,00,2,0,N,,012218,22,8,2,3,0,2,12.1,1,1,M0003,51,,00,,,,,,.,.,1,1,..,,J,1,,1,1,2,1,1,1.0,70,2018-01-22,0.0,68,122,1,,
18LA00004,18,T5341,45,,54,Z0000,83,4.0,4,02,00,2,0,N,,012218,22,8,2,2,0,2,13.1,1,1,M0004,51,,00,,,,,,.,.,1,1,..,,J,2,,0,0,0,1,1,1.0,72,2018-01-22,0.0,76,122,1,,
18LA00005,18,T5379,45,,10,Z0000,83,4.0,4,02,00,1,,Y,,012318,23,8,2,3,0,3,12.6,1,1,M0005,51,,00,,,,,,.,.,1,1,..,,J,1,,1,1,2,1,1,1.0,76,2018-01-23,0.0,73,122,1,,
18LA00006,18,T5379,45,,10,Z0000,83,4.0,4,02,00,1,,Y,,012318,23,8,2,3,0,3,13.7,1,1,M0006,51,,00,,,,,,.,.,1,1,..,,J,2,,0,0,0,1,1,1.0,72,2018-01-23,0.0,70,122,1,,
18LA00007,18,H8722,05,,33,Z0000,83,4.0,4,30,00,1,7,Y,,012418,24,8,3,3,0,2,15.3,1,1,M0007,51,,00,,,,,,.,.,1,1,..,RED,J,1,,1,1,2,1,1,1.0,77,2018-01-24,0.0,68,122,1,,
18LA00008,18,H8722,05,,33,Z0000,83,4.0,4,30,00,1,7,Y,,012418,24,8,3,3,0,2,12.9,1,1,M0008,51,,00,,,,,,.,.,1,1,..,RED,J,2,,0,0,0,1,1,1.0,74,2018-01-24,0.0,67,122,1,,
18LA00009,18,S0664,,,58,Z0000,83,3.0,3,01,00,2,,N,,012418,24,8,2,3,0,2,8.8,1,1,M0009,51,,00,,,,,,SM.BAG,.,1,1,..,RED,J,1,,1,1,2,1,1,1.0,56,2018-01-24,0.0,59,122,1,,
18LA00010,18,S0664,,,58,Z0000,83,3.0,3,01,00,2,,N,,012418,24,8,2,2,2,2,7.9,1,1,M0010,51,,00,,,,,,.,.,1,1,..,RED,J,2,,0,0,0,1,1,1.0,66,2018-01-24,0.0,63,122,1,,
