UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
79LA00001,,,,01,1,71,711,P0645,01,30,,,,80,0,,30,,,,,,0,,,,,,,,P7229,01,0,0,71,,0,,0,0,,0,,,1,79
79LA00002,1979-04-05,2,P8631,01,1,70,702,P1339,01,30,,1,,70,0,1,30,,1,95,8,,0,3,,,,,,,P5735,01,1,75,70,,1,,1,2,103,10,,,1,79
79LA00003,1979-04-05,2,P8632,01,,70,702,P1339,01,30,,1,,70,0,1,30,,1,95,8,,0,3,,,,,,,P5735,01,0,71,70,,1,,0,0,99,10,,,2,79
79LA00004,1979-04-07,2,P8666,01,1,70,701,P1364,01,30,,1,,70,1,1,30,,1,97,8,,0,3,,,,,,,P5939,01,1,67,70,,1,,1,2,110,10,,,1,79
79LA00005,1979-04-07,2,P8667,01,,70,701,P1364,01,30,,1,,70,1,1,30,,1,97,8,,0,3,,,,,,,P5939,01,0,76,70,,1,,0,0,116,10,,,2,79
79LA00006,1979-04-15,2,P8808,01,1,71,712,P1381,01,30,,1,,70,0,1,30,,1,105,5,,0,3,,,,,,,P7137,01,1,75,71,,1,,1,1,92,10,,,1,79
79LA00007,1979-04-07,1,P8678,01,1,70,703,P1383,01,30,,1,,70,0,1,30,,1,97,8,,0,3,,,,,,,P5565,01,1,72,70,,1,,1,2,101,10,,,1,79
79LA00008,1979-04-07,1,P8679,01,,70,703,P1383,01,30,,1,,70,0,1,30,,1,97,8,,0,3,,,,,,,P5565,01,0,72,70,,1,,0,0,101,10,,,2,79
79LA00009,1979-04-12,2,P8782,01,1,70,702,P1384,01,30,,1,,70,0,1,30,,1,102,8,,0,3,,,,,,,P5735,01,1,65,70,,1,,1,2,113,10,,,1,79
79LA00010,1979-04-12,1,P8783,01,,70,702,P1384,01,30,,1,,70,0,1,30,,1,102,8,,0,3,,,,,,,P5735,01,0,64,70,,1,,0,0,128,10,,,2,79
79LA06287,1979-02-20,2,U6959,97,9,,,V9930,97,97,,,,50,,6,97,,1,51,8,,0,2,07,,,,,,00019,97,1,105,,0,1,,1,2,159,10,,,1,79
79LA06288,1979-02-20,1,U6960,97,9,,,V9930,97,97,,,,50,,6,97,,1,51,8,,0,2,,,,,,,00019,97,0,106,,0,1,,0,0,138,10,,,2,79
79LA06289,1979-03-10,,,97,9,,,V9980,97,97,,,,00,,,97,,,69,9,,0,1,41,0,,,,,00019,97,1,0,,0,0,,1,3,,0,,,1,79
79LA06290,1979-03-10,,,97,9,,,V9980,97,97,,,,00,,,97,,,69,9,,0,1,,0,,,,,00019,97,0,0,,0,0,,0,0,,0,,,2,79
79LA06291,1979-03-10,,,97,9,,,V9980,97,97,,,,00,,,97,,,69,9,,0,1,,0,,,,,00019,97,0,0,,0,0,,0,0,,0,,,3,79
79LA06292,,,,97,,,,V9986,97,97,,,,90,,,97,,,,,,0,,,,,,,,00019,97,0,0,,0,0,,0,0,,0,,,1,79
79LA06293,,,,97,,,,V9988,97,97,,,,-0,,,97,3,,,,,0,,,,,,,,00019,97,1,0,,0,0,,0,0,,0,,,1,79
79LA06294,1979-04-08,,,79,,,,V8748,90,51,,,,60,,,75,,,,,,,4,,,,727993,+,,00000,97,0,0,51,9,0,,0,0,,5,,,2,79
79LA06295,1979-04-08,,,93,,44,003,T0290,43,02,,,,40,,,52,,,,,,,4,,,,733693,+,,U4736,95,0,0,48,8,0,,0,0,,5,,,2,79
79LA06296,1979-04-13,,,62,,61,633,K4550,62,06,,,,60,,,06,,,,,,,3,,,,765893,+,,00020,96,0,0,61,6,0,,0,0,,5,,,2,79
