UID,YR,SEX,LAMB,LB1,DATE,BRWT,SIRE,SB1,DAM,DB1,INBL,TB,ADAM,CLR,MILK,JAW,LINE,PEN,CDNO,DISP,DAYDIS,ABNL,ABNE,FONO,FOBR,FOPU,ABLMB,DBRD,X1,DRY,DEAD,X2,LBRD,ABEWE,LNDAM,TM,INBD,SPEC,WNWT,CODE,X3,DAYBN,SBRD,Y1,Y2,Y3,Y4,Y5,DATEBN,YRDAM,YRSIRE,STM
50LA00001,50,,,,510,0.0,0107,,0867,1,0,,8,,,,32,320,1,,0,,,,,,,11,,-,,,11,,32,1,12,,0,,,130,91,1,0,0,0,0,1950-05-10,42,47,07
50LA00002,50,1,3217,1,419,10.8,2296,1,0868,1,14,8,8,1,4,1,19,190,1,,0,,,,,,,11,,,,,11,,19,1,00,,73,,,109,11,1,1,2,1,10,1950-04-19,42,47,07
50LA00003,50,2,3218,1,419,10.2,2296,1,0868,1,14,8,8,1,4,1,19,190,2,,0,,,,,,,11,,,,,11,,19,1,00,,64,,,109,11,1,1,2,1,10,1950-04-19,42,47,07
50LA00004,50,1,3161,1,415,12.4,0107,,0906,1,0,5,8,1,5,1,32,320,1,,0,,,,,,,11,,,,,11,,32,1,26,,72,,,105,91,1,1,1,1,10,1950-04-15,42,47,07
50LA00005,50,2,3099,1,411,8.8,2296,1,0930,1,13,5,8,1,2,2,19,190,1,,0,,,,,,,11,,,,,11,,19,1,00,,66,,,101,11,1,1,1,1,10,1950-04-11,42,47,07
50LA00006,50,2,3258,1,422,11.2,0110,,0962,1,0,8,8,1,4,2,34,340,1,,0,,,,,,,11,,,,,11,,34,1,25,,71,,,112,91,1,1,2,1,10,1950-04-22,42,48,07
50LA00007,50,1,3259,1,422,11.2,0110,,0962,1,0,8,8,1,4,1,34,340,2,,0,,,,,,,11,,,,,11,,34,1,25,,75,,,112,91,1,1,2,1,10,1950-04-22,42,48,07
50LA00008,50,1,3100,1,411,9.2,2531,1,0974,1,24,5,8,1,3,2,20,200,1,,0,2,,,,,16,11,,,,,11,,20,1,18,,55,,,101,11,1,1,1,1,10,1950-04-11,42,48,07
50LA00009,50,1,3104,1,411,13.4,2296,1,0981,1,22,5,8,1,3,2,19,190,1,,0,,,,,,,11,,,,,11,,19,1,20,,94,,,101,11,1,1,1,1,10,1950-04-11,42,47,07
50LA00010,50,,,,510,0.0,2232,1,0990,1,11,,8,,,,27,270,1,,0,,,,,,,11,,-,,,11,,27,1,07,,0,,,130,11,1,0,0,0,0,1950-05-10,42,47,07
50LA03037,50,1,1696,5,411,12.8,8560,2,4384,9,,5,5,1,5,1,90,555,1,,0,,,,,,,87,,,,,48,,61,8,05,,95,,,101,13,1,1,1,1,10,1950-04-11,45,47,08
50LA03038,50,2,1719,5,428,11.6,4635,4,0084,,6,5,4,1,3,1,15,055,1,,0,,,,,,,92,,,,,48,,15,1,00,,64,,,118,40,1,1,1,1,10,1950-04-28,46,49,01
50LA03039,50,2,1723,5,429,9.0,1118,5,0085,,0,8,4,1,3,1,15,051,1,,0,,,,,,,92,,,,,48,,15,1,00,,70,,,119,48,1,1,2,1,10,1950-04-29,46,47,01
50LA03040,50,1,1724,5,429,10.0,1118,5,0085,,0,8,4,1,3,1,15,051,2,,0,,,,,,,92,,,,,48,,15,1,00,,65,,,119,48,1,1,2,1,10,1950-04-29,46,47,01
50LA03041,50,1,1706,5,423,10.2,1118,5,0083,,0,8,4,1,4,1,15,051,1,,0,,,,,,,92,,,,,48,,15,1,00,,79,,,113,48,1,1,2,1,10,1950-04-23,46,47,01
50LA03042,50,1,1707,5,423,9.6,1118,5,0083,,0,8,4,1,4,1,15,051,2,,0,,,,,,,92,,,,,48,,15,1,00,,68,,,113,48,1,1,2,1,10,1950-04-23,46,47,01
50LA03043,50,1,1712,5,425,9.4,4635,4,0079,,6,5,4,1,4,1,15,055,1,,0,,,,,,,92,,,,,48,,15,1,00,,79,,,115,40,1,1,1,1,10,1950-04-25,46,49,01
50LA03044,50,2,7918,6,501,8.6,6942,6,6877,6,,5,2,1,3,2,10,150,1,,0,,,,,,,60,,,,,60,,10,0,,3,68,,,121,60,1,1,1,1,10,1950-05-01,48,48,06
50LA03045,50,2,7919,6,501,10.8,6925,6,6960,6,,5,2,1,3,1,08,130,1,,0,,,,,,,60,,,,,60,,08,0,,3,72,,,121,60,1,1,1,1,10,1950-05-01,48,48,06
50LA03046,50,2,6495,3,512,11.0,0000,,5301,3,,5,4,1,4,2,00,000,1,,0,,,,,,,17,,,,,17,,61,0,,2,82,07,,132,17,1,1,1,1,10,1950-05-12,46,48,07
