UID,YR,DAM,DBRD,LNDAM,BPEN,SIRE,SBRD,AGE,ADAM,STMD,STMS,BGRP,RGRP,CUT,TRT,BDAY,DAYBRN,TB,MILK,SEX,ENTR,TEAT,BRWT,CLR,JAW,LAMB,LBRD,LINE,STM,DISP,DAYDIS,CAUSE,FONO,FOPU,ERMK,LRMK,DYST,DEPTH,ABN,LOT,SHED,CDNO,SPEC,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,DATEBN,INBRL,APRLWT,ADAY,BAND,JUWT,JDAY
21LA00001,21,S1522,12,,48,S1361,12,3.0,3,43,07,2,,N,,020321,34,0,0,.,.,.,0.0,.,.,.,,,,0,34,27,,,NOLAMBFOUND,.,1,1,..,RED,J,1,,1,1,1,0,0,0.0,0,2021-02-03,,,,,,
21LA00002,21,L2312,70,,7,L2256,70,2.0,2,PC,PC,1,,N,,022621,57,0,0,.,.,.,0.0,.,.,.,,,,0,57,27,,,.,.,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2021-02-26,,,,,,
21LA00003,21,Y0030,00,,Kt1,Y0040,00,3.0,3,Kt,Kt,0,,N,,022621,57,9,4,1,0,4,11.5,2,1,Y0043,52,,Kt,6,98,85,,,.,+LiverDisease,1,1,..,PUR,J,1,,1,1,3,1,0,,,2021-02-26,0.0,,,,,
21LA00004,21,Y0030,00,,Kt1,Y0040,00,3.0,3,Kt,Kt,5,,N,,022621,57,9,4,1,0,4,9.5,8,1,Y0044,52,,Kt,,,,,,.,.,1,1,..,PUR,J,2,,0,0,0,1,1,1.0,77,2021-02-26,0.0,46,124,H,,
21LA00005,21,Y0030,00,,Kt1,Y0040,00,3.0,3,Kt,Kt,5,,N,,022621,57,9,4,2,0,3,10.4,8,1,Y0045,52,,Kt,,,,Z6449,-,.,.,1,1,..,PUR,J,3,,0,0,0,1,1,0.5,78,2021-02-26,0.0,54,124,H,,
21LA00006,21,Z6449,83,,34,Z6473,83,2.0,2,20,97,1,0,Y,,022621,57,0,3,.,.,.,0.0,.,.,.,,,,0,57,27,Y0045,+,.,.,1,1,..,PUR,J,1,,1,1,1,0,0,0.5,,2021-02-26,,,,,,
21LA00007,21,Y0018,00,,Kt1,Y0040,00,3.0,3,Kt,Kt,5,,N,,022821,59,5,4,2,0,2,10.6,8,2,Y0046,52,,Kt,,,,,,.,.,1,1,..,PUR,J,1,,1,1,1,1,1,1.0,72,2021-02-28,0.0,47,124,H,,
21LA00008,21,L2131,70,,11,L2335,70,3.0,3,PC,PC,1,0,N,,022821,59,0,0,.,.,.,0.0,5,1,.,,,,0,59,27,,,.,.,1,1,..,OR,J,1,,1,1,1,0,0,0.0,0,2021-02-28,,,,,,
21LA00009,21,S2706,12,,e1,L0000,70,1.0,1,07,PC,4,0,Y,,022821,59,2,0,.,.,.,0.0,.,.,.,,,,0,59,27,,,.,NASTY,1,1,..,,J,1,,1,1,2,0,0,0.0,0,2021-02-28,,,,,,
21LA00010,21,S2706,12,,e1,L0000,70,1.0,1,07,PC,4,0,Y,,022821,59,2,0,.,.,.,0.0,.,.,.,,,,0,59,27,,,.,NASTY,1,1,..,,J,2,,0,0,0,0,0,0.0,0,2021-02-28,,,,,,
21LA03309,21,Z6029,83,,45,,,,,,,,,,K,,,,,,,,,,,.,,,,,,,Y0080,+,,,,,,,,G,,,,,,0,0.5,,,,,,,,
21LA03310,21,Z7725,83,,e3,,,,,,,,,,K,,,,,,,,,,,.,,,,,,,Y0081,+,,,,,,,,G,,,,,,0,0.5,,,,,,,,
21LA03311,21,M0194,51,,37,,,,,,,,,,K,,,,,,,,,,,.,,,,,,,Y0083,+,,,,,,,,G,,,,,,0,0.5,,,,,,,,
21LA03312,21,Y0012,00,,Kt1,,,,,,,,,,K,,,,,,,,,,,.,,,,,,,Z9398,+,,,,,,,,G,,,,,,0,0.5,,,,,,,,
21LA03313,21,M0159,51,,36,,,,,,,,,,K,,,,,,,,,,,.,,,,,,,Y0091,+,,,,,,,,G,,,,,,0,0.5,,,,,,,,
21LA03314,21,M0159,51,,36,,,,,,,,,,K,,,,,,,,,,,.,,,,,,,Y0092,+,,,,,,,,G,,,,,,0,0.5,,,,,,,,
21LA03315,21,Y0028,00,,Kt2,,,,,,,,,,K,,,,,,,,,,,.,,,,,,,Z9462,+,,,,,,,,G,,,,,,0,0.5,,,,,,,,
21LA03316,21,S0720,12,,51,,,,,,,,,,K,,,,,,,,,,,.,,,,,,,Y0099,+,,,,,,,,G,,,,,,0,0.5,,,,,,,,
21LA03317,21,M0149,51,,37,,,,,,,,,,K,,,,,,,,,,,.,,,,,,,Y0104,+,,,,,,,,G,,,,,,0,,,,,,,,,
21LA03318,21,Y0005,00,,Kt2,,,,,,,,,,K,,,,,,,,,,,.,,,,,,,S3808,+,,,,,,,,G,,,,,,0,0.5,,,,,,,,
