UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,DISP,IDX,BRWT,ABN,CJAW,CADAM,TBRE,CTBR,TRT,BAND
65WN00001,65,1,6156,1,82,205,5814,1,11,,1,3,69,129,1,5,,1,99,14,06,05,07,048,6,3,3,1,,1,11,5969,11,680,68,40,24,7,0,,142,113,,4,3,1,1,,3
65WN00002,65,2,6159,1,82,234,5741,1,11,,1,3,68,128,1,1,,1,96,11,08,09,06,037,23,2,2,1,,1,11,5960,11,655,65,22,32,7,5,,134,122,,4,3,1,1,,3
65WN00003,65,2,6160,1,21,210,5752,1,11,41,1,3,67,127,1,3,,1,86,13,06,06,07,055,3,3,4,2,,1,11,5942,11,580,58,36,21,1,0,,145,123,,4,3,1,1,,3
65WN00004,65,1,6161,1,23,231,5263,1,11,24,5,6,67,127,1,7,,1,75,15,05,10,09,039,6,2,2,1,,1,11,5976,11,506,50,00,23,1,6,,121,108,,4,4,5,2,,3
65WN00005,65,1,6162,1,23,231,5263,1,11,24,5,6,67,127,1,4,,1,67,16,06,12,09,036,2,2,2,1,,1,11,5976,11,436,43,00,23,1,6,,102,116,,4,4,5,2,,3
65WN00006,65,1,6163,1,27,270,5691,1,11,38,1,4,67,127,1,7,,2,94,09,03,09,07,045,14,2,2,1,,1,11,5902,11,643,64,29,27,1,3,,175,123,,5,4,1,1,,3
65WN00007,65,2,6165,1,20,200,5083,1,11,32,3,7,60,120,1,1,,1,51,13,05,12,09,032,26,2,2,1,,1,11,5908,11,380,38,26,20,1,0,3,110,54,,4,5,3,3,,2
65WN00008,65,1,6166,1,82,204,5128,1,11,,1,7,67,127,1,4,,2,75,15,08,11,09,037,21,2,2,1,,1,11,5908,11,526,52,28,24,7,6,,105,82,,5,5,1,1,,3
65WN00009,65,2,6167,1,82,234,5562,1,11,,1,5,66,126,1,1,,2,80,09,03,09,07,044,12,2,2,1,,1,11,5960,11,533,53,29,32,7,3,,156,128,,5,4,1,1,,3
65WN00010,65,1,6168,1,34,340,5499,1,11,46,3,5,66,126,1,7,,2,82,10,04,09,09,040,13,2,2,1,,1,11,5937,11,581,58,40,34,1,1,,164,88,,5,4,3,3,,3
65WN03282,65,3,2099,9,39,150,6799,1,14,,1,2,46,106,1,1,04,1,75,10,04,08,08,040,10,3,4,2,,4,90,5577,61,598,59,,39,9,8,3,,116,,4,2,1,1,,7
65WN03283,65,2,2103,9,00,028,9951,4,40,,3,0,45,105,5,1,,1,74,07,04,08,08,040,3,3,3,1,,0,90,,,608,60,,05,0,8,3,,102,,,5,3,3,,3
65WN03284,65,3,2107,9,00,000,3102,8,81,,1,2,44,104,1,1,,1,76,09,04,08,08,040,5,3,3,1,,0,90,,,619,61,,81,0,9,3,,116,,,2,1,1,,3
65WN03285,65,3,2109,9,00,733,3067,6,61,,1,6,44,104,4,1,,1,98,09,04,06,06,040,6,3,3,1,,1,90,,,825,82,,70,0,5,3,,122,,,4,1,1,,3
65WN03286,65,3,2110,9,00,733,5010,6,61,,1,4,44,104,4,1,,1,86,09,04,07,07,040,7,3,3,1,,1,90,,,717,71,,70,0,7,3,,122,,,4,1,1,,3
65WN03287,65,2,2114,9,00,099,8232,4,41,,1,2,43,103,4,1,,1,68,09,04,09,09,040,8,3,3,1,,1,90,,,553,55,,08,0,3,3,,110,,,2,1,1,,3
65WN03288,65,3,2115,9,00,000,6641,1,14,,2,2,43,103,1,1,,1,91,09,04,06,06,040,9,3,3,1,,4,90,,,769,76,,82,0,9,3,,118,,,2,1,1,,3
65WN03289,65,2,2117,9,00,028,2363,4,48,,5,5,43,103,5,1,,1,64,09,04,10,10,040,10,3,3,1,,8,90,,,540,54,,20,0,0,3,,84,,,4,5,2,,3
65WN03290,65,2,2118,9,00,028,2363,4,48,,5,5,43,103,5,1,,1,59,09,04,10,10,040,11,3,3,1,,8,90,,,495,49,,20,0,5,3,,80,,,4,5,2,,3
65WN03291,65,3,2119,9,00,863,5581,6,61,,1,3,43,103,5,1,,1,89,09,04,07,07,040,12,3,3,1,,1,90,,,728,72,,72,0,8,3,,140,,,1,1,1,,3
