UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
83WN00001, 83025009,83,02,5009,2,70,30,702,2,1,3,2, 50,5,4,1,81,146,14,74,90,566, 5, 3, 9, 6, 52,  0,5,7,1,1,1,159,186,1078,,,  0,,1713,02,7007,01,2,75,527,70,,96,95,
83WN00002, 83025011,83,02,5011,2,71,30,713,2,2,5,5, 20,2,2,1,81,146,26,74,84,525, 4, 3, 8, 6, 51,  0,6,8,1,1,1,160,193,1117,,,  0,,3128,02,1454,02,6,70,514,71,,92,93,
83WN00003, 83025012,83,02,5012,2,71,30,713,2,2,5,5, 20,2,2,1,81,146,27,73,86,539, 5, 3, 8, 6, 56,  0,6,7,2,1,1,160,193,1117,,,  0,,3128,02,1454,02,6,72,529,71,,89,91,
83WN00004, 83025014,83,02,5014,1,70,30,704,2,1,3,2, 40,4,4,1,81,146,7,79,96,603, 5, 3, 8, 7, 50,,4,6,2,1,2,156,182,1114,97,,  0,,1793,02,8748,01,2,80,491,70,7,0,0,
83WN00005, 83025015,83,02,5015,1,71,30,711,3,1,6,2, 40,4,4,9,83,141,30,70,46,277, 5, 3,11,10, 50,164,6,7,1,1,1,0,182,705,97,97,  0,,3076,02,8652,01,6,40,259,71,3,47,0,
83WN00006, 83025017,83,02,5017,1,71,30,712,3,1,6,2, 40,4,4,9,83,141,29,113,102,643, 6, 3, 6, 6, 42,243,5,7,3,1,4,0,220,1324,93,,  0,,3214,02,8662,01,6,88,622,71,3,97,0,
83WN00007, 83025018,83,02,5018,1,71,30,712,3,2,8,7, 40,4,4,1,83,144,5,67,98,634, 6, 3, 9, 7, 42,280,3,5,2,1,5,158,220,1324,93,,  0,,3214,02,8662,01,6,83,570,71,3,102,0,
83WN00008, 83025019,83,02,5019,1,71,30,712,3,2,8,3, 40,4,4,1,83,144,22,95,101,635, 5, 3,10, 6, 51,320,4,6,2,1,1,162,220,1324,,,  0,,3214,02,8662,01,6,86,536,71,1,117,0,
83WN00009, 83025020,83,02,5020,1,71,30,713,2,1,3,2, 20,2,2,1,83,144,1,81,108,694, 6, 3, 7, 7, 54,,6,7,2,1,2,170,210,1060,97,,  0,,3128,02,1578,02,6,91,596,71,7,0,0,
83WN00010, 83025021,83,02,5021,1,71,30,714,2,2,5,5, 30,3,3,1,83,144,1,90,98,618, 5, 3, 8, 6, 48,284,6,7,2,1,2,158,195,1276,,,  0,,3069,02,0444,02,6,83,526,71,,109,0,
83WN04674, 83975120,83,97,5120,1,97,97,197,1,1,1,1, 90,9,5,4,98,126,12,126,65,416, 2, 3,10, 8, 40,234,8,9,2,6,1,0,,,93,,  0,,0019,97,9922,97,,63,,,3,81,0,
83WN04675, 83975304,83,97,5304,1,97,97,397,2,2,5,5, 10,1,1,4,100,124,17,123,51,312, 5, 3, 9, 9, 47,165,7,8,2,6,1,0,,,97,,  0,,2433,97,2512,97,,50,,,3,59,0,
83WN04676, 83975305,83,97,5305,1,97,97,397,2,2,5,5, 10,1,1,4,100,124,19,126,71,471, 5, 3, 9, 8, 51,254,7,8,1,6,1,0,,,97,,  0,,2433,97,2512,97,,69,,,3,83,0,
83WN04677, 83975595,83,97,5595,2,97,97,397,2,1,3,2, 10,1,1,4,103,121,7,82,70,511, 3, 3, 7, 7, 44,  0,7,8,2,6,1,0,,,,,  0,,2433,97,2441,97,,69,,,,83,0,
83WN04678, 83975713,83,97,5713,2,97,97,397,1,1,1,1, 10,1,1,4,105,119,11,114,70,492, 2, 3, 8, 8, 43,  0,8,9,1,6,1,0,,,,,  0,,2433,97,2487,97,,70,,,,82,0,
83WN04679, 83025047,83,02,5047,2,71,30,713,4,2,0,5, 30,3,3,1,86,141,7,81,108,708, 5, 3, 7, 7, 55,,6,7,1,1,1,,237,1254,,,  0,,3128,02,0361,02,6,93,,71,2,99,103,
83WN04680, 83025282,83,02,5282,2,71,30,712,3,2,8,5, 40,4,4,1,94,133,25,86,69,454, 7, 3, 9, 9, 60,  0,6,7,1,1,1,,195,1128,,,  0,,3214,02,8481,01,6,63,,71,2,69,78,
83WN04681, 83435868,83,43,5868,1,42,02,922,2,2,5,5, 20,2,2,2,106,123,2,94,77,547, 9, 3, 8, 7, 51,  0,4,6,1,1,1,,160,967,,,  0,,4433,43,4722,43,3,75,,42,,0,0,
83WN04682, 83194872,83,19,4872,2,13,07,134,2,1,4,2, 20,2,2,F,93,229,1,79,91,363,11, 3, 9, 6, 54,,4,7,1,1,1,0,,,93,,  0,,4146,19,3773,19,6,51,,13,3,106,0,
83WN04683, 83946490,83,94,6490,2,32,32,,1,1,1,1, 10,1,1,F,130,192,1,83,103,493, 6, 3, 8, 6, 72,  0,5,7,1,1,1,0,,,93,,  0,,0000,02,5185,43,4,67,,40,3,122,0,
