UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM,TBRE,CTBR,TRT,MATRIX
68WN00001,68,1,6381,1,32,320,6152,1,11,31,1,4,70,130,1,1,,2,95,09,03,10,07,035,0,2,2,1,,1,11,6231,11,637,63,35,32,1,7,7,99,122,,,4,1,1,,4
68WN00002,68,2,6382,1,32,320,5786,1,11,30,1,6,68,128,1,1,,2,77,13,03,10,08,040,0,2,2,1,,1,11,6231,11,505,50,27,32,1,5,7,73,124,,,4,1,1,,4
68WN00003,68,2,6383,1,32,320,6122,1,11,29,5,4,75,135,1,1,,1,57,10,03,11,12,034,0,2,2,1,,1,11,6231,11,354,36,28,32,1,1,7,92,92,,,4,5,2,,4
68WN00004,68,2,6384,1,32,320,6122,1,11,29,5,4,75,135,1,1,,1,68,11,03,11,06,030,0,2,2,1,,1,11,6231,11,431,43,28,32,1,1,7,79,98,,,4,5,2,,4
68WN00005,68,2,6386,1,32,320,6270,1,11,30,1,2,65,125,1,1,,2,67,10,03,10,06,036,0,2,2,1,,1,11,6231,11,453,45,24,32,1,3,7,81,104,,,2,1,1,,4
68WN00006,68,1,6388,1,24,240,6071,1,11,36,1,4,56,116,1,3,,1,81,14,04,10,09,032,0,2,2,1,,1,11,6262,11,583,58,31,24,1,3,6,80,134,,,4,1,1,,4
68WN00007,68,2,6391,1,32,320,5994,1,11,29,3,4,62,122,1,1,,2,44,10,03,13,11,027,0,1,2,2,,1,11,6231,11,275,27,27,32,1,5,7,77,104,,,4,3,3,,4
68WN00008,68,1,6392,1,32,320,5994,1,11,29,3,4,71,131,1,1,,1,52,12,03,12,09,021,0,2,2,1,,1,11,6231,11,330,32,27,32,1,9,7,55,88,,3,4,3,3,,4
68WN00009,68,2,6395,1,83,500,5923,1,11,,3,5,57,117,1,3,75,2,66,10,03,11,10,033,0,2,2,1,,1,11,6255,11,487,48,,82,7,7,1,93,90,,,4,3,3,,1
68WN00010,68,2,6398,1,83,530,5911,1,11,,1,5,54,114,1,1,76,1,71,13,03,10,08,034,0,2,2,1,,1,11,6228,11,526,52,,82,7,6,1,74,110,,,4,1,1,,1
68WN03437,68,2,9375,6,83,340,8325,6,61,,5,2,77,137,1,1,75,1,94,08,03,06,06,055,0,6,6,1,,1,61,7830,61,606,60,,82,7,6,7,,110,,,2,5,2,,5
68WN03438,68,2,9485,6,82,094,6235,6,61,,1,5,73,133,1,1,,1,95,08,03,07,06,050,0,5,5,1,,1,61,6929,61,623,62,,04,7,3,3,,122,,,4,1,1,,3
68WN03439,68,2,9636,6,82,094,3027,6,61,,3,9,70,130,1,1,,1,80,09,03,08,07,050,0,5,5,1,,1,61,6929,61,534,53,,04,7,4,3,,106,,,5,3,3,,3
68WN03440,68,1,9697,6,83,320,7210,6,61,,1,3,62,122,1,1,,1,85,08,03,06,06,045,0,5,5,1,,1,61,6523,61,597,59,,82,7,7,6,,122,,,3,1,1,,5
68WN03441,68,2,9779,6,82,014,7981,6,61,,3,2,68,128,1,1,,1,80,08,03,08,07,050,0,5,5,1,,1,61,7513,61,563,56,,04,7,3,3,,80,,,2,3,3,,3
68WN03442,68,2,0014,6,72,803,6947,3,61,,3,4,59,119,1,1,,1,90,08,03,08,07,050,0,5,5,1,,1,62,8003,61,674,67,,72,3,4,3,,98,,,4,3,3,,3
68WN03443,68,1,0073,6,70,733,3272,6,61,,5,9,56,116,1,1,,1,70,09,03,09,09,040,0,4,5,2,,1,62,7506,61,536,53,,70,2,6,2,,78,,,5,5,2,,3
68WN03444,68,3,5951,9,,040,8866,4,41,,5,4,79,139,1,1,02,1,85,06,03,09,07,037,0,4,4,1,,1,90,0021,42,547,54,,82,9,7,2,,90,,3,4,5,2,,7
68WN03445,68,2,6141,9,,040,0480,8,84,,5,4,76,136,1,1,43,1,85,06,03,07,06,050,0,5,6,2,,4,90,0021,42,563,56,,81,9,3,2,,84,,2,4,5,2,,7
68WN03446,68,2,6746,9,,100,6664,6,61,,5,4,69,129,1,1,09,1,80,08,03,07,06,047,0,4,4,1,,1,90,2286,18,540,54,,82,9,0,2,,104,,3,4,5,2,,8
