UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN
77WN00001,77190581,77,2,0581,19,1,13,133,7847,,7,4,72,132,1,1,,2,84,05,03,09,08,030,8,2,3,153,9,18,9685,18,552,787,6,1,152,112,,4,3,
77WN00002,77190582,77,2,0582,19,1,13,133,7847,,7,4,69,129,1,1,,1,46,07,03,12,11,038,2,4,5,153,9,18,9685,18,309,787,6,4,130,62,92,4,3,
77WN00003,77190583,77,2,0583,19,1,11,111,8415,,1,3,72,132,1,1,,3,81,09,03,09,07,045,31,2,3,144,9,18,9990,18,533,969,6,1,138,106,,3,1,
77WN00004,77190584,77,1,0584,19,1,10,102,8555,176,1,3,72,132,1,4,,1,82,06,03,10,08,041,32,3,5,127,9,18,9274,18,546,697,2,1,152,99,93,3,1,
77WN00005,77190585,77,1,0585,19,1,11,111,7449,70,5,4,72,132,1,2,,1,50,07,03,10,09,033,8,2,3,153,9,18,9990,18,311,861,6,1,119,90,93,4,2,
77WN00006,77190586,77,2,0586,19,1,11,111,7449,,5,4,72,132,1,1,,2,80,10,03,10,08,042,29,2,3,153,9,18,9990,18,537,861,6,1,140,91,,4,2,
77WN00007,77190587,77,1,0587,19,1,11,112,9487,233,1,2,72,132,1,2,,2,91,12,03,10,09,032,2,2,4,136,9,18,9894,18,605,797,6,1,129,112,93,2,1,
77WN00008,77190588,77,1,0588,19,1,11,114,7450,185,5,4,72,132,1,4,,2,77,08,03,09,09,034,14,2,4,138,9,18,9874,18,491,774,6,1,141,122,93,4,2,
77WN00009,77190589,77,1,0589,19,1,11,114,7450,208,5,4,72,132,1,2,,2,77,10,03,11,08,043,29,5,6,138,9,18,9874,18,505,774,6,1,136,103,93,4,2,
77WN00010,77190590,77,2,0590,19,1,11,111,6013,,5,6,72,132,3,1,,1,73,10,03,09,08,047,14,4,5,159,9,18,9990,18,478,843,6,1,136,99,,4,2,
77WN03955,77791417,77,3,1417,79,8,78,,0657,,6,3,61,121,5,,78,1,40,,,,,,,,,,0,93,0000,97,276,,9,9,,66,93,3,3,
77WN03956,77791655,77,3,1655,79,8,57,,3349,,4,1,43,103,5,,57,1,40,,,,,,,,,,0,93,0000,97,266,,9,9,,126,93,1,3,
77WN03957,77791683,77,2,1683,79,8,00,612,4562,,4,4,39,99,5,,30,1,40,,,,,,,,,,0,62,0000,97,296,,0,9,,107,93,4,3,
77WN03958,77791692,77,2,1692,79,8,10,,0116,,4,1,39,99,5,,10,1,40,,,,,,,,,,0,19,0000,97,354,,9,9,,50,93,1,3,
77WN03959,77791719,77,2,1719,79,8,00,457,6324,,2,6,35,95,5,,20,1,40,,,,,,,,,,0,42,0000,97,306,,0,9,,109,93,4,1,
77WN03960,77791782,77,2,1782,79,8,59,,8530,,2,4,29,89,5,,59,1,40,,,,,,,,,,0,90,0000,97,340,,9,9,,97,93,4,1,
77WN03961,77791881,77,3,1881,79,8,00,000,0000,,2,4,18,78,5,,00,1,40,,,,,,,,,,0,00,0000,00,397,,0,9,,90,97,4,1,
77WN03962,77934947,77,1,4947,93,9,44,441,9404,,4,3,62,122,1,,52,1,68,,,,,,,,,,3,42,4730,95,478,,8,9,,97,93,3,3,
77WN03963,77935044,77,3,5044,93,9,18,162,6727,,4,5,59,119,1,,54,1,40,,,,,,,,,,3,18,3411,93,239,,8,9,,116,93,4,3,
77WN03964,77935426,77,3,5426,93,9,00,000,0000,,2,4,51,111,1,,00,1,40,,,,,,,,,,3,00,0000,00,261,,0,9,,110,93,4,1,
