UID,IDLAMB,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,CAUSE,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,C75,DISP,CADAM,CTBR,ABN
72WN00001,72116545,72,2,6545,1,32,320,6480,11,1,38,1,2,76,136,3,1,,1,53,11,03,12,11,027,25,2,2,1,,1,11,6472,11,324,32,33,32,1,4,7,114,90,,,2,1,
72WN00002,72116546,72,2,6546,1,32,320,5970,11,1,35,1,9,78,138,1,1,,1,60,11,03,10,11,038,5,2,2,1,,1,11,6472,11,354,35,35,32,1,4,6,108,112,,,5,1,
72WN00003,72116547,72,2,6547,1,32,320,5741,11,1,29,3,0,77,137,1,1,,1,78,13,03,12,07,035,7,2,2,1,,1,11,6472,11,505,50,22,32,1,5,6,113,88,,,5,3,
72WN00004,72116548,72,2,6548,1,32,320,5741,11,1,29,4,0,76,136,1,,,,55,,,,,,,,,,,1,11,6472,11,353,35,,32,1,3,9,,70,,2,5,3,
72WN00005,72116549,72,1,6549,1,32,320,6401,11,1,34,1,4,77,137,1,1,,2,75,11,03,11,10,036,7,2,2,1,,1,11,6472,11,460,46,28,32,1,0,6,121,120,,,4,1,
72WN00006,72116550,72,1,6550,1,32,320,6247,11,1,30,1,6,77,137,3,2,,1,78,12,03,10,08,036,6,2,2,1,,1,11,6472,11,474,47,26,32,1,4,6,114,130,,3,4,1,
72WN00007,72116551,72,1,6551,1,24,240,6484,11,1,48,1,2,73,133,1,1,,1,97,11,03,06,07,040,19,2,2,1,,1,11,6457,11,638,63,42,24,1,8,7,142,122,,,2,1,
72WN00008,72116552,72,1,6552,1,32,320,6110,11,1,33,2,8,73,133,1,,,,68,,,,,,,,,,,1,11,6472,11,429,42,,32,1,9,9,,110,,3,5,1,
72WN00009,72116553,72,1,6553,1,32,320,6391,11,1,34,1,4,71,131,1,4,,1,86,09,03,07,08,036,1,2,2,1,,1,11,6472,11,568,56,29,32,1,8,7,137,116,,3,4,1,
72WN00010,72116554,72,2,6554,1,24,240,6461,11,1,47,1,2,71,131,3,1,,2,60,14,03,10,09,034,22,2,2,1,,1,11,6457,11,391,39,39,24,1,1,7,98,88,,2,2,1,
72WN03088,72908439,72,3,8439,9,00,750,4704,42,4,,1,2,21,81,4,1,,1,66,10,03,08,08,039,13,2,2,1,,2,90,0000,98,662,66,,75,0,2,3,154,124,,3,2,1,
72WN03089,72908441,72,2,8441,9,00,702,8691,61,6,,3,5,22,82,4,1,,1,70,13,03,06,04,038,1,3,4,2,,1,90,0000,98,722,72,,70,0,2,3,129,108,,3,4,3,
72WN03090,72908443,72,2,8443,9,00,751,1322,42,4,,1,6,20,80,4,1,,1,65,13,03,07,07,045,7,4,4,1,,2,90,0000,98,695,69,,75,0,5,3,133,94,,3,4,1,
72WN03091,72908444,72,3,8444,9,00,762,6363,11,1,,1,5,20,80,5,1,,1,77,10,04,07,06,031,5,2,2,1,,1,90,0000,98,763,76,,76,0,3,3,150,160,,3,4,1,
72WN03092,72908445,72,2,8445,9,00,730,3871,18,1,,1,3,19,79,5,1,,1,67,11,03,06,06,037,10,2,3,2,,8,90,0000,98,689,68,,73,0,9,3,135,126,,3,3,1,
72WN03093,72908446,72,3,8446,9,00,082,3056,42,4,,1,4,16,76,5,1,,1,35,13,03,10,10,027,19,2,2,1,,2,90,0000,98,300,30,36,08,0,0,7,116,122,,3,4,1,
72WN03094,72908447,72,2,8447,9,00,730,8363,14,1,,1,6,19,79,5,1,,2,78,12,03,07,06,038,20,2,3,2,,4,90,0000,98,785,78,,73,0,5,3,148,160,,3,4,1,
72WN03095,72908448,72,2,8448,9,00,750,2131,42,4,,1,5,19,79,4,1,,1,63,10,03,06,05,034,22,3,3,1,,2,90,0000,98,633,63,,75,0,3,3,138,130,,3,4,1,
72WN03096,72908450,72,2,8450,9,00,000,6495,42,4,,1,1,17,77,1,1,,3,34,10,03,13,13,028,7,4,4,1,,0,90,0000,00,358,35,,75,0,8,3,124,64,,2,1,1,
72WN03097,72011867,72,3,1867,0,00,000,6393,42,4,,1,1,13,73,1,1,00,1,47,09,03,12,13,021,16,3,4,2,,2,01,0000,00,493,49,,70,0,3,3,,110,,3,1,1,
