UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
53WN00001,53,1,3789,1,27,270,3079,1,11,34,3,3,78,138,1,7,06,1,72,13,03,06,09,033,12,2,2,1,29,1,2,,457,04,25,11,3,3,,1,5,1,123,90,,1,,0,3
53WN00002,53,2,3791,1,19,190,3317,1,11,30,2,2,77,137,1,4,05,2,70,14,03,06,08,041,12,1,2,2,24,2,2,2,451,05,15,11,1,1,,1,,1,123,82,,1,,0,2
53WN00003,53,1,3792,1,32,320,3499,1,11,23,1,2,77,137,1,4,07,1,60,15,03,11,11,029,13,2,2,1,31,2,2,,365,05,10,11,1,1,,1,1,1,103,100,,3,10,0,2
53WN00004,53,1,3793,1,21,210,2962,1,11,25,3,4,76,136,1,7,09,1,66,15,03,09,10,028,10,2,2,1,20,2,2,,431,06,21,11,3,3,,1,1,1,106,74,,3,10,0,4
53WN00005,53,2,3794,1,27,270,3413,1,11,32,2,2,76,136,1,3,05,1,80,09,03,06,09,041,7,2,2,1,27,2,2,1,525,06,28,11,1,1,,1,,1,161,86,,1,,0,2
53WN00006,53,1,3795,1,20,200,2728,1,11,27,1,5,76,136,1,7,05,1,77,13,03,06,08,033,12,2,2,1,28,3,3,,500,06,23,11,1,1,,1,5,1,120,90,,1,,0,4
53WN00007,53,2,3796,1,34,340,3500,1,11,44,1,2,76,136,4,3,06,1,69,10,03,09,11,035,10,2,3,2,39,5,2,,444,06,35,11,1,1,,1,,1,149,86,,2,40,0,2
53WN00008,53,1,3797,1,32,320,3481,1,11,25,1,2,75,135,1,5,06,1,78,13,03,07,09,035,11,2,2,1,20,2,2,,496,07,13,11,1,1,,1,1,1,131,110,,1,,0,2
53WN00009,53,1,3800,1,27,270,2625,1,11,19,5,5,75,135,1,7,07,1,66,10,03,08,10,031,10,2,2,1,26,3,3,,410,07,20,11,5,2,,1,2,1,136,106,,1,,0,4
53WN00010,53,2,3801,1,27,270,2625,1,11,19,5,5,75,135,1,3,05,1,61,11,04,08,10,031,13,2,2,1,29,3,3,1,375,07,20,11,5,2,,1,,1,126,104,,1,,0,4
53WN02513,53,1,1734,7,73,016,0983,8,68,,1,5,59,119,1,1,07,1,95,06,03,05,04,041,8,4,4,1,24,2,3,,708,23,,67,1,1,,9,5,5,126,108,,2,10,0,4
53WN02514,53,1,1736,7,73,126,0912,8,68,,1,5,58,118,1,2,07,1,92,09,03,04,05,052,10,6,7,2,14,2,2,,697,24,,67,1,1,,9,5,5,124,98,,2,10,0,4
53WN02515,53,2,1738,7,73,036,0913,8,68,,1,5,55,115,1,1,05,1,75,08,03,06,06,045,9,4,5,2,23,2,2,,543,27,,67,1,1,,9,,5,121,126,,2,30,0,4
53WN02516,53,2,1739,7,73,046,0937,8,68,,5,5,55,115,1,1,05,1,59,07,03,07,10,049,10,5,6,2,22,2,4,1,419,27,,67,5,2,,9,,5,123,108,,1,,0,4
53WN02517,53,2,1740,7,73,046,0937,8,68,,5,5,55,115,1,1,06,1,60,09,03,07,12,045,7,5,6,2,15,2,4,2,414,27,,67,5,2,,9,,5,122,124,,1,,0,4
53WN02518,53,1,1741,7,73,116,1020,8,68,,5,5,48,108,1,1,06,1,75,07,03,06,07,038,7,4,5,2,24,2,2,,598,34,,67,5,2,,9,1,5,128,104,,3,50,0,4
53WN02519,53,1,1742,7,73,116,1020,8,68,,5,5,48,108,4,1,06,1,72,14,03,08,09,045,8,4,4,1,24,2,3,,550,34,,67,5,2,,9,1,5,138,126,,3,12,0,4
53WN02520,53,2,0418,9,73,176,1333,9,66,,5,6,67,127,1,4,04,1,78,11,03,05,06,052,7,5,6,2,20,2,4,,510,15,,69,5,2,,9,,5,131,132,,2,12,0,4
53WN02521,53,2,0419,9,73,176,1333,9,66,,5,6,67,127,1,1,05,1,80,09,03,06,06,042,6,5,7,3,19,2,4,1,539,15,,69,5,2,,9,,5,125,116,,1,,0,4
53WN02522,53,2,1859,5,00,000,6433,4,40,,1,2,73,133,1,1,05,1,75,09,03,06,08,040,0,4,4,1,,,,,480,,,48,1,1,,0,,,141,112,,1,,0,2
