UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,C4445,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
51WN00001,51,1,1536,0,82,000,8765,2,13,,3,4,72,132,1,7,06,1,80,15,03,06,09,035,22,2,3,2,45,1,2,,555,,,10,3,3,,7,2,1,,68,,3,10,0,4
51WN00002,51,1,1537,0,00,660,1464,0,10,,1,2,72,132,1,4,04,1,88,09,04,05,08,042,22,2,3,2,40,1,2,,571,,,10,1,1,,0,5,1,,126,,3,10,0,2
51WN00003,51,2,1539,0,00,451,1461,0,10,,1,2,70,130,9,3,06,1,78,09,03,06,07,049,22,3,4,2,43,3,4,,511,,,10,1,1,,0,,1,,116,,1,,0,2
51WN00004,51,1,1540,0,00,221,1501,0,10,,1,2,70,130,1,1,07,1,86,09,03,05,05,034,11,2,2,1,41,1,2,,577,,,10,1,1,,0,3,1,,110,,3,18,0,2
51WN00005,51,1,1541,0,00,640,1379,0,10,,3,5,69,129,9,4,07,1,107,08,03,05,06,031,11,2,2,1,48,2,3,,753,,,10,3,3,,0,3,1,,98,,3,17,0,4
51WN00006,51,2,1543,0,00,650,1473,0,10,,1,2,69,129,9,1,06,1,75,09,03,05,06,043,11,3,3,1,43,1,3,,488,,,10,1,1,,0,,1,,120,,1,,0,2
51WN00007,51,2,1544,0,00,221,1375,0,10,,1,5,68,128,9,1,06,1,96,10,03,04,06,037,11,2,2,1,28,2,2,,638,,,10,1,1,,0,,1,,144,,1,,0,4
51WN00008,51,3,1545,0,00,221,1478,0,10,,1,2,64,124,1,4,06,1,85,10,03,06,10,037,22,2,3,2,47,2,2,,598,,,10,1,1,,0,,1,,108,,3,18,0,2
51WN00009,51,2,1547,0,00,700,1467,0,10,,3,2,61,121,1,1,07,1,52,11,05,08,08,029,22,3,4,2,33,2,2,,383,,,10,3,3,,0,,3,,56,,3,40,0,2
51WN00010,51,2,1549,0,82,000,9624,2,13,,1,3,66,126,1,3,05,1,67,15,03,07,09,033,22,3,4,3,42,2,2,,459,,,10,1,1,,7,,5,,92,,2,10,0,3
51WN02613,51,2,1681,7,61,160,1006,8,68,,5,3,38,98,1,1,06,1,59,09,03,07,11,037,44,2,5,4,37,,,,520,,,67,5,2,,4,,5,130,80,,1,,0,3
51WN02614,51,2,1682,7,61,160,1006,8,68,,5,3,38,98,1,1,05,1,53,08,03,08,11,040,22,4,5,3,44,,,,461,,,67,5,2,,4,,5,124,78,,2,10,0,3
51WN02615,51,1,0414,9,61,170,1336,9,66,,5,4,55,115,1,1,07,1,74,08,03,08,10,035,33,3,5,3,42,2,3,,553,27,,69,5,2,,4,3,5,135,104,,3,17,0,4
51WN02616,51,2,0415,9,61,170,1336,9,66,,5,4,55,115,1,1,06,1,92,07,03,06,06,043,33,5,7,3,42,2,3,,701,27,,69,5,2,,4,,5,144,114,,1,,0,4
51WN02617,51,1,0156,2,28,280,8246,2,13,16,5,5,61,121,1,3,05,1,67,13,03,07,08,034,11,2,2,1,42,2,2,,476,,,14,5,2,,1,,3,,94,,,,0,4
51WN02618,51,2,0157,2,82,434,9198,2,13,,5,3,59,119,1,1,05,1,65,12,03,07,08,034,,2,2,1,,2,2,,476,,,14,5,2,,7,,1,,84,,,,0,3
51WN02619,51,2,0158,2,82,434,9198,2,13,,5,3,59,119,1,1,05,1,61,12,03,07,08,034,,2,2,1,,2,2,,437,,,14,5,2,,7,,1,,90,,,,0,3
51WN02620,51,1,0160,2,39,390,8106,2,13,,3,5,59,119,2,3,05,1,90,12,03,07,08,034,,2,2,1,,2,2,,668,,,14,3,3,,1,,1,,105,,,,0,4
51WN02621,51,2,1648,7,61,170,0947,8,68,,1,3,60,120,1,1,06,1,83,09,03,05,08,040,33,4,5,2,,,,,600,,,67,1,1,,4,,1,,110,,,,0,3
51WN02622,51,1,1651,7,61,170,0393,8,69,,5,8,59,119,1,1,06,1,96,08,03,05,07,040,22,5,6,2,,,,,709,,,67,5,2,,4,,3,,116,,,,0,5
