UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW
95WN00001, 95041762,95,A1762,04,2,88,30,e.8,5,1,1,1.0,1,1,1,87,219,132,13,9.5,84,108,0.746,99,1,1,,,0,M, 12,,L9716,03,A0858,04,81,2,92,264,1,1,110,2.05,119.5,2,119,,18.348
95WN00002, 95041764,95,A1764,04,3,88,30,e.8,8,2,1,1.0,1,1,1,90,219,129,2,9.0,72,82,0.566,77,1,2,,,0,C,,,L9716,03,A1085,04,82,3,93,268,3,2,101,2.15,124.9,3,94,,18.494
95WN00003, 95041766,95,A1766,04,3,88,30,e.8,5,1,1,1.0,1,1,1,90,219,129,5,8.0,59,90,0.636,84,1,1,,,0,C,,,L9716,03,A0774,04,82,3,93,268,1,1,106,2.05,126.3,3,101,,23.193
95WN00004, 95041769,95,A1769,04,2,00,33, 17,6,2,1,2.0,2,2,1,91,219,128,11,7.8,65,85,0.603,80,1,2,,,2,H,,WEAK,K7245,63,L9807,03,TT,3,93,248,3,2,0,2.34,113.8,3,,,0.0
95WN00005, 95041770,95,A1770,04,2,73,30,742,5,1,1,1.5,1,1,1,91,219,128,1,9.2,66,84,0.584,79,1,1,,,6,,-fl,,A0560,04,A0445,04,73,1,,0,1,1,102,2.05,125.3,1,98,,0.0
95WN00006, 95041771,95,A1771,04,2,00,80,971,8,2,2,7.5,7,5,2,93,221,128,7,12.2,75,97,0.663,92,5,1,,,1,,BLK,,09217,00,L1622,03,00,3,93,268,5,5,0,1.6,94.3,3,109,,0.0
95WN00007, 95041772,95,A1772,04,2,00,80,971,8,2,2,7.5,7,5,2,93,221,128,16,11.0,69,87,0.594,82,5,1,,,1,,BLK,,09217,00,L1622,03,00,3,93,268,5,5,0,1.6,94.3,3,99,,0.0
95WN00008, 95041777,95,A1777,04,2,73,30,741,8,2,1,1.5,1,1,1,93,219,126,11,6.4,51,74,0.537,71,1,1,,,6,,-fl,4TEATS,A0485,04,A0252,04,73,1,,0,3,2,97,2.15,123.7,1,88,,0.0
95WN00009, 95041778,95,A1778,04,2,82,30, 31,9,3,2,5.0,5,4,2,93,221,128,18,7.8,61,78,0.548,74,1,1,,,0,C,  5,,L9883,03,L4699,03,82,2,92,264,8,6,101,2.12,128.3,2,92,,17.993
95WN00010, 95041779,95,A1779,04,2,82,30, 31,9,3,2,5.0,5,4,2,93,221,128,9,9.3,70,95,0.67,90,1,1,,,0,C,e.7,,L9883,03,L4699,03,82,1,,0,8,4,109,2.12,128.3,1,105,,17.993
95WN02767, 95813508,95,Z3508,81,3,00,20,  0,9,3,2,8.0,8,5,2,133,221,88,1,14.6,40,65,0.573,83,5,1,,,2,X,JIM,"DEAD,PILEUP",00000,97,T9308,43,48,6,46,212,8,5,0,1.25,102.5,6,,,0.0
95WN02768, 95813509,95,Z3509,81,2,00,20,  0,9,3,2,8.0,8,5,2,133,221,88,5,13.8,35,75,0.695,97,5,1,,,2,X,JIM,,00000,97,T9308,43,48,Z,93,258,8,5,0,1.25,102.5,Z,89,,0.0
95WN02769, 95813512,95,Z3512,81,2,00,10, 31,5,1,1,4.0,4,4,2,133,221,88,2,14.5,49,77,0.71,100,5,1,,,0,X,,,00000,97,S1611,10,11,Z,93,258,1,1,0,1.52,111.3,Z,90,,0.0
95WN02770, 95813513,95,Z3513,81,2,00,10, 54,5,1,1,2.0,2,2,2,133,221,88,2,16.2,53,82,0.748,106,5,1,,,0,X,,,00000,97,S3757,10,00,Z,93,258,1,1,0,1.59,112.0,Z,97,,0.0
95WN02771, 95813514,95,Z3514,81,2,00,00,-FL,8,2,2,2.5,2,2,H,133,226,93,8,11.2,0,67,0.6,83,5,1,,,6,X,CLO,SPEC3,00000,00,L9569,03,73,3,93,268,5,5,0,2.17,148.4,3,74,,0.0
95WN02772, 95813515,95,Z3515,81,3,00,00,-FL,8,2,2,2.5,2,2,H,133,226,93,8,11.0,0,72,0.656,90,5,1,,,6,X,CLO,SPEC3,00000,00,L9569,03,73,3,93,268,5,5,0,2.17,148.4,3,72,,0.0
95WN02773, 95813516,95,Z3516,81,2,00,20,  2,8,2,1,8.0,8,5,2,133,221,88,8,8.4,14,36,0.314,46,5,1,,,2,X,JIM,,00000,97,T9053,43,41,3,93,268,3,2,0,2.5,82.4,3,46,,0.0
95WN02774, 95813518,95,Z3518,81,3,00,10, 32,8,2,2,6.0,6,4,2,134,221,87,15,10.7,24,51,0.463,66,5,2,,,0,X,,,00000,97,S9752,19,11,3,93,268,5,5,0,1.4,61.1,3,64,,0.0
95WN02775, 95813519,95,Z3519,81,2,00,10, 32,8,2,2,6.0,6,4,2,134,221,87,6,11.4,34,57,0.524,74,5,1,,,0,X,,,00000,97,S9752,19,11,3,93,268,5,5,0,1.4,61.1,3,73,,0.0
95WN02776, 95813520,95,Z3520,81,3,00,20,  2,5,1,1,7.0,7,5,2,138,221,83,18,15.6,45,76,0.728,103,5,1,,,2,X,JIM,CR.FR.TENDONS,00000,97,T9480,43,48,Z,93,258,1,1,0,1.23,95.1,Z,94,,0.0
