UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
09WN00001,2009827197,09,X7197,82,2,,00,br1,5,1,1,6.0,6,4,1,18,222,204,,16.0,108,129,0.554,82,2,1,,,0,X,BR1,,HAIRY,X0000,82,Z9747,81,00,3,93,272,1,1,,,,,134,,,0.0,,,
09WN00002,2009827202,09,X7202,82,3,,00,AI,5,1,1,2.0,2,2,1,73,222,149,,13.2,60,83,0.468,69,2,2,,,0,X,AI,,.,X0000,82,T1604,45,48,3,93,272,1,1,,,,,93,,,0.0,,,
09WN00003,2009700001,09,L0001,70,2,,PC,e1,7,2,1,2.0,2,2,1,73,222,149,,7.5,73,98,0.607,80,5,1,,,0,.,CTS,e6,WEAK. WAS X72,X5137,82,X5446,82,00,1,,,3,2,,,,,106,,,0.0,,,
09WN00004,2009827204,09,X7204,82,1,,BL,20,8,2,1,7.0,7,5,H,73,216,143,,10.5,0,103,0.647,88,9,1,,,0,.,.,,NICE LAMB,08110,00,Z7959,81,97,3,93,230,3,2,,,,,110,,,0.0,,,
09WN00005,2009827206,09,X7206,82,2,,00,AI,5,1,1,2.0,2,2,1,74,222,148,,12.5,74,97,0.571,81,1,1,,,0,X,AI,,NICE LAMB,X0000,82,T1391,45,48,3,93,272,1,1,,,,,105,,,0.0,,,
09WN00006,2009827207,09,X7207,82,2,,S3,20,8,2,1,3.0,3,3,1,74,222,148,,10.5,75,98,0.591,81,3,2,,,0,.,TxC,e12,NICE LAMB,08110,00,X3090,82,00,1,,,3,2,,,,,108,,,0.0,,,
09WN00007,2009827214,09,X7214,82,3,,00,AI,9,3,2,3.0,3,3,1,74,222,148,,11.8,54,76,0.434,64,1,1,,,0,X,AI,,.,X0000,82,T1158,45,48,3,93,272,8,4,,,,,82,,,0.0,,,
09WN00008,2009827215,09,X7215,82,3,,00,AI,9,3,2,3.0,3,3,1,74,222,148,,9.5,57,77,0.456,64,1,1,,,0,X,AI,,.,X0000,82,T1158,45,48,3,93,272,8,6,,,,,84,,,0.0,,,
09WN00009,2009644417,09,K4417,64,3,,06,8,9,3,1,6.0,6,4,1,75,222,147,,6.1,62,85,0.537,71,1,1,,,0,M,Mat,,4T LAME LR,K4046,64,K2837,64,6M,3,93,272,7,2,,,,,87,,,0.038,,,
09WN00010,2009827217,09,X7217,82,2,,00,AI,8,2,1,2.0,2,2,H,75,216,141,,11.6,75,103,0.648,89,1,1,,,0,X,AI,,4TEATS,X0000,82,H3071,05,00,3,93,272,3,2,,,,,113,,,0.0,,,
09WN02607,2009644534,09,K4534,64,2,,06,4,8,2,2,5.0,5,4,2,89,224,135,,12.0,48,72,0.444,65,1,1,,,0,T,Ter,,Lazarus0401Mk,K3673,64,K3075,64,6T,3,93,272,5,5,,,,,79,,,0.01,,,
09WN02608,2009055490,09,H5490,05,2,,30,34,9,3,2,2.0,2,2,2,107,224,117,,5.5,34,57,0.44,58,1,1,,,0,L,.,,3RD.  WAS X81,00740,00,H3454,05,88,3,93,272,8,6,,,,,67,,,0.0,,,
09WN02609,2009827858,09,X7858,82,2,,SC,16,5,1,1,2.0,2,2,2,96,224,128,,13.0,80,97,0.656,92,5,1,,,0,T,Ter,,Laz.419.Starv,X4987,82,K3914,64,6T,3,93,272,1,1,,,,,111,,,0.0,,,
09WN02610,2009828263,09,X8263,82,2,,MY,e20,5,1,1,2.0,2,2,2,110,224,114,,12.3,60,81,0.603,85,2,1,,,0,.,MYO,,LazarusGOK,00027,00,X5111,82,00,1,97,343,1,1,,,,7,90,,,0.0,,,
09WN02611,2009828275,09,X8275,82,3,,R3,47,8,2,2,4.0,4,4,2,111,224,113,,10.4,41,44,0.297,46,1,1,,,0,.,.,,HAIRY LazGOK,20676,00,R5590,11,18,3,93,272,5,5,,,,,62,,,0.0,,,
09WN02612,2009054922,09,H4922,05,1,,30,28,8,2,2,2.0,2,2,1,95,222,127,,9.8,55,76,0.521,72,1,1,,,0,L,.,,LazMkt0407,00632,00,H3483,05,88,3,93,230,5,5,,,,,81,,,0.0,,,
09WN02613,2009827686,09,X7686,82,3,,R3,47,8,2,2,3.0,3,3,2,91,224,133,,10.6,72,98,0.657,89,1,1,,,0,.,.,,BRKRIBSLaz411,20676,00,R6482,11,18,3,93,272,5,5,,,,,105,,,0.0,,,
09WN02614,2009827521,09,X7521,82,3,,TC,13,9,3,3,4.0,4,4,2,87,224,137,,10.0,70,98,0.642,87,1,1,,,0,T,Ter,,LazOrph328,00001,00,K3325,64,6T,3,93,272,9,8,,,,,108,,,0.0,,,
09WN02615,2009452417,09,T2417,45,1,,02,STA,8,2,2,3.0,3,3,1,81,222,141,,11.8,58,79,0.477,69,1,2,,,0,.,.,,LazStarve414,T0000,45,T0803,45,48,3,93,230,5,4,,,,,84,,,0.0,,,
09WN02616,2009827732,09,X7732,82,1,,S3,17,5,1,1,2.0,2,2,1,93,222,129,,13.8,78,89,0.584,84,5,1,,,0,.,TxC,,WnwtMissed,00625,00,X4980,82,00,3,93,230,1,1,,,,,102,,,0.0,,,
