UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,C4950,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,DISP,CADAM,TBRE,CTBR,TRT,MATRIX
67WN00001,67,3,2638,0,00,000,4901,1,14,,1,8,129,189,1,3,,2,102,07,03,06,05,060,0,2,2,1,,4,10,,,479,57,,26,0,0,1,,114,,3,5,1,1,,
67WN00002,67,1,6304,1,32,320,6152,1,11,29,3,3,63,123,1,5,,1,70,07,04,12,10,032,0,2,2,1,,1,11,6208,11,491,49,35,32,1,1,1,152,96,,,3,3,3,,
67WN00003,67,2,6305,1,32,321,5497,1,11,29,3,7,62,122,3,1,,2,42,09,03,12,12,033,0,2,2,1,,1,11,6231,11,274,27,22,32,1,4,1,122,86,,,5,3,3,,
67WN00004,67,1,6307,1,23,230,5263,1,11,37,5,8,61,121,1,5,,3,72,15,04,10,09,034,0,2,2,1,,1,11,6161,11,501,50,00,23,1,1,1,104,114,,3,5,5,2,,
67WN00005,67,1,6308,1,23,230,5263,1,11,37,5,8,61,121,1,4,,1,58,15,04,11,11,029,0,2,2,1,,1,11,6161,11,393,39,00,23,1,3,1,90,104,,3,5,5,2,,
67WN00006,67,2,6309,1,23,230,6132,1,11,16,3,3,61,121,1,3,,1,53,13,04,11,09,038,0,2,3,2,,1,11,6161,11,354,35,29,23,1,4,1,102,102,,3,3,3,3,,
67WN00007,67,2,6314,1,24,240,5814,1,11,41,1,5,59,119,1,1,,1,78,14,10,09,07,033,0,2,2,1,,1,11,6212,11,566,56,40,24,1,6,1,86,106,,,4,1,1,,
67WN00008,67,2,6316,1,82,205,5348,1,11,,4,8,61,121,1,1,07,1,82,08,03,10,07,039,0,2,3,2,,1,11,6176,11,582,58,25,32,7,2,2,163,116,,,5,3,3,,
67WN00009,67,1,6317,1,82,244,6044,1,11,,1,3,59,119,1,4,07,1,82,09,12,09,09,036,0,2,2,1,,1,11,6212,11,556,55,45,19,7,6,1,117,158,,3,3,1,1,,
67WN00010,67,1,6318,1,82,325,5709,1,11,,5,6,58,118,1,4,07,1,58,09,03,10,08,034,0,2,3,2,,1,11,6231,11,397,39,32,20,7,7,1,127,112,,3,4,5,2,,
67WN03716,67,2,5417,9,00,000,7175,1,14,,1,3,18,78,5,1,,2,62,13,03,06,06,038,0,,,,,4,90,,,662,66,,00,0,2,3,,104,,3,0,1,1,,
67WN03717,67,2,5418,9,46,02,3547,8,81,,5,4,56,116,1,1,17,1,60,12,03,10,09,035,0,2,2,1,,1,90,1777,18,422,42,,81,9,2,3,123,110,,2,4,5,2,,4
67WN03718,67,3,5419,9,00,000,0000,,,,2,4,0,60,5,1,,1,45,11,03,10,11,029,0,,,,,,90,,,583,58,,00,0,3,9,,100,,3,0,2,1,,
67WN03719,67,2,2991,3,72,910,2278,1,18,,1,2,35,95,1,1,,1,52,09,03,10,10,030,0,2,2,1,,8,18,2026,18,438,43,,72,3,8,3,,104,,,2,1,1,,
67WN03720,67,3,2636,0,00,000,2328,8,86,,1,3,126,186,1,1,,1,124,09,03,06,05,045,0,2,2,1,,6,10,,,608,60,,81,0,8,1,,110,,,3,1,1,,
67WN03721,67,2,2637,0,00,000,0708,8,84,,1,3,127,187,1,1,,1,78,09,03,08,07,045,0,2,2,1,,4,10,,,364,36,,81,0,4,1,,100,,,3,1,1,,
67WN03722,67,2,3879,9,00,000,7889,1,14,,1,2,74,134,1,1,,1,78,09,03,08,07,040,0,3,4,2,,4,90,,,496,49,,82,0,6,6,,116,,3,2,1,1,,
67WN03723,67,3,4492,9,00,000,4291,8,81,,5,2,60,120,1,1,,1,65,09,03,10,08,040,0,3,4,2,,1,90,,,458,45,,81,0,8,3,,100,,3,2,5,2,,
67WN03724,67,3,4493,9,00,000,4291,8,81,,5,2,60,120,1,1,,1,64,09,03,10,08,040,0,3,4,2,,1,90,,,465,46,,81,0,5,3,,82,,3,2,5,2,,
67WN03725,67,2,4643,9,00,000,0488,8,84,,1,3,59,119,1,1,,1,64,09,03,10,09,040,0,3,4,2,,4,90,,,434,43,,81,0,4,1,,124,,,3,1,1,,
