UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
13WN00001,2013057941,13,H7941,05,2,,30,57,5,1,1,5.0,5,4,1,77,196,119,,10.5,  0,90,0.668,91,1,1,,,,,,,"Moscow, ID",H6969,05,H4451,05,88,2,92,268,1,1,,,,,100,246,,,0.037,,,11849
13WN00002,2013057942,13,H7942,05,2,,30,54,8,2,1,2.0,2,2,1,77,196,119,,8.1,  0,59,0.428,59,1,1,,,0,,,,.,H5934,05,H6539,05,,3,93,261,3,2,,,,,82,247,,,0.028,,,
13WN00003,2013057944,13,H7944,05,2,,30,59,5,1,1,3.0,3,3,1,78,196,118,,9.0,  0,75,0.559,76,1,1,,,0,,,,SCOURS,H7410,00,H5682,05,,3,93,261,1,1,,,,,89,247,,,0.0,,,
13WN00004,2013057946,13,H7946,05,2,,30,54,8,2,1,5.0,5,4,1,79,196,117,,11.9,  0,96,0.719,98,1,1,,,,,,e9,.,H5934,05,H3898,05,82,1,,,3,2,,,,,113,247,,,0.027,,,
13WN00005,2013057947,13,H7947,05,2,,30,56,8,2,2,2.0,2,2,1,79,196,117,,9.4,  0,63,0.458,64,1,1,,,0,,,e9,.,H6952,05,H6955,05,,1,,,5,5,,,,,82,247,,,0.034,,,
13WN00006,2013057948,13,H7948,05,1,,30,56,8,2,2,2.0,2,2,1,79,196,117,,10.6,  0,63,0.448,64,1,1,,,0,,,,.,H6952,05,H6955,05,,3,93,231,5,4,,,,,76,218,,,0.034,,,
13WN00007,2013057949,13,H7949,05,1,,30,55,8,2,2,5.0,5,4,1,80,196,116,,8.2,  0,64,0.481,66,1,1,,,,,,,.,H6777,05,H3905,05,88,3,93,231,5,5,,,,,71,218,,,0.028,,,
13WN00008,2013057950,13,H7950,05,1,,30,55,8,2,2,5.0,5,4,1,80,196,116,,9.0,  0,59,0.431,61,1,1,,,,,,,.,H6777,05,H3905,05,88,3,93,231,5,5,,,,,74,218,,,0.028,,,
13WN00009,2013057951,13,H7951,05,2,,30,54,8,2,2,4.0,4,4,1,80,196,116,,9.8,  0,79,0.597,81,1,1,,,,,,,"Moscow, ID",H5934,05,H5520,05,,2,92,268,5,5,,,,,94,246,,,0.027,,,11854
13WN00010,2013057952,13,H7952,05,3,,30,54,8,2,2,4.0,4,4,1,80,196,116,,10.4,  0,78,0.583,80,1,1,,,,,,,.,H5934,05,H5520,05,,3,93,261,5,5,,,,,95,247,,,0.027,,,
13WN02926,2013832240,13,Z2240,83,2,,33,BRT,3,4,2,6.0,6,4,H,136,198,62,,9.9,  0,55,0.727,97,1,1,,,7,,BTG,BRT,.,K0000,64,H3146,05,88,1,,,8,7,,,,,78,246,,,0.0,,,
13WN02927,2013832241,13,Z2241,83,3,,33,BRT,3,4,3,6.0,6,4,H,136,198,62,,8.0,  0,43,0.565,76,1,1,,,7,,BTG,,P.,K0000,64,H3146,05,88,3,93,261,9,8,,,,,61,246,,,0.0,,,
13WN02928,2013832242,13,Z2242,83,3,,33,BRT,8,2,2,8.0,8,5,H,136,198,62,,13.0,  0,58,0.726,100,1,1,,,0,,BTG,,.,K0000,64,H2097,05,82,3,93,261,5,4,,,,,76,246,,,0.0,,,
13WN02929,2013832243,13,Z2243,83,3,,33,BRT,8,2,2,8.0,8,5,H,136,198,62,,11.1,  0,49,0.611,84,1,1,,,0,,BTG,,.,K0000,64,H2097,05,82,3,93,261,5,5,,,,,67,246,,,0.0,,,
13WN02930,2013832244,13,Z2244,83,3,,00,BRT,5,1,1,2.0,2,2,H,136,198,62,,17.0,  0,82,1.048,143,5,1,,,7,,BRT,,80BLK,X0000,82,Z0669,83,,3,93,261,1,1,,,,,107,246,,,0.0,,,
13WN02931,2013832245,13,Z2245,83,3,,00,BRT,5,1,2,7.0,7,5,H,136,198,62,,16.9,  0,69,0.84,118,5,1,,,7,,BRT,,90BRN,X0000,82,H2810,05,00,3,93,261,3,3,,,,,92,246,,,0.0,,,
13WN02932,2013832246,13,Z2246,83,2,,00,BRT,5,1,1,2.0,2,2,H,136,198,62,,18.0,  0,82,1.032,142,5,1,,,7,,BRT,,20BLK,X0000,82,T4030,45,,3,93,261,1,1,,,,,110,246,,,0.0,,,
13WN02933,2013832248,13,Z2248,83,3,,00,BRT,8,2,1,2.0,2,2,H,136,198,62,,10.4,  0,48,0.606,83,5,1,,,7,,BRT,,60BLK,X0000,82,T3815,45,,3,93,261,3,2,,,,,73,246,,,0.0,,,
13WN02934,2013832249,13,Z2249,83,2,,33,BRT,5,1,1,8.0,8,5,H,136,198,62,,15.6,  0,68,0.845,117,1,1,,,7,,BTG,BRT,HAIRY,K0000,64,H1610,05,83,1,,,1,1,,,,,84,246,,,0.0,,,
13WN02935,2013832250,13,Z2250,83,2,,33,BRT,8,2,1,6.0,6,4,H,140,198,58,,12.2,  0,51,0.669,92,1,1,,,7,,BTG,,POS,K0000,64,H3649,05,88,1,93,261,3,2,,,,3,68,246,,,0.0,,,
