UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,SEQ,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT,SAWT,LOT
80WN00001, 80020025,80,02,0025,2,71,30,711,1,1,1,1, 2,2,2,1,82,142,3,94,83,518, 4, 3, 8, 6, 47,,5,7,1,1,1,165,197,1166,,,2,8776,01,7252,01,6,,,71,1,90,0,
80WN00002, 80020031,80,02,0031,1,71,30,712,2,1,4,2, 8,8,5,9,83,138,2,66,76,503, 5, 3, 9, 7, 35,,2,4,1,1,1,,,,93,,4,8685,01,1459,01,6,,,71,,0,0,
80WN00003, 80020032,80,02,0032,1,71,30,712,2,1,4,2, 8,8,5,9,83,138,2,72,91,607, 7, 3,10, 8, 35,,5,6,1,1,7,,,,93,,5,8685,01,1459,01,6,,,71,,0,0,
80WN00004, 80020037,80,02,0037,1,70,30,702,1,1,1,1, 2,2,2,1,84,140,1,105,76,468,11, 3, 9, 8, 42,205,6,8,1,1,1,122,180,1049,93,90,6,7018,01,7007,01,6,,,70,3,0,0,
80WN00005, 80020038,80,02,0038,2,70,30,702,1,1,1,1, 2,2,2,1,84,140,4,93,88,562, 9, 3, 8, 6, 55,,6,8,2,1,1,152,197,1166,,,7,7018,01,7269,01,6,,,70,1,98,0,
80WN00006, 80020039,80,02,0039,2,70,30,701,1,2,3,3, 3,3,3,1,84,140,10,78,72,459, 4, 3, 9, 9, 58,,9,9,1,1,1,166,185,1032,,,8,7323,01,5943,01,6,,,70,1,76,0,
80WN00007, 80020042,80,02,0042,2,71,30,713,2,2,5,5, 2,2,2,1,85,139,16,102,78,488, 7, 3, 9, 8, 44,,5,6,1,1,1,162,231,1282,,,10,8675,01,7131,01,6,,,71,1,84,0,
80WN00008, 80020043,80,02,0043,1,71,30,713,2,2,5,5, 2,2,2,1,85,139,17,115,84,522, 6, 3,10, 8, 43,288,4,6,1,1,7,169,231,1282,93,,11,8675,01,7131,01,6,,,71,3,0,0,
80WN00009, 80020044,80,02,0044,1,71,30,713,2,2,5,4, 3,3,3,1,85,139,3,96,76,478, 9, 3, 9, 7, 35,222,6,8,2,1,2,130,200,1015,93,,12,8675,01,5570,01,6,,,71,3,0,0,
80WN00010, 80020045,80,02,0045,1,71,30,713,2,2,5,6, 3,3,3,1,85,139,15,75,63,399, 7, 3,10, 9, 47,232,6,8,1,1,2,150,200,1015,93,,13,8675,01,5570,01,6,,,71,3,0,0,
80WN04565, 80978635,80,97,8635,2,97,97,,1,1,1,1, 1,1,1,9,64,157,1,106,102,582, 2, 3, 9, 8, 47,,6,8,1,6,1,,,,,,3440,2761,97,6967,97,,,,97,,0,0,
80WN04566, 80978636,80,97,8636,2,97,97,,1,1,1,1, 1,1,1,9,68,153,1,100,86,497, 2, 3,10, 9, 46,,4,7,1,6,1,,,,92,,3441,2761,97,6973,97,,,,97,,0,106,091
80WN04567, 80978639,80,97,8639,2,97,97,,1,1,1,1, 4,4,4,9,79,142,1,145,107,651, 3, 3, 7, 7, 45,,6,7,2,6,1,,,,,,3442,0019,97,2742,97,,,,97,,0,0,
80WN04568, 80020051,80,02,0051,2,71,30,713,2,1,2,2, 4,4,4,6,85,136,1,74,40,453, 8, 3,10,10, 39,,5,6,3,1,1,,,,92,,,8675,01,4605,01,6,0,,71,2,0,74,015
80WN04569, 80795050,80,79,5050,3,,75,,3,1,7,2, 7,7,5,6,81,143,1,86,50,545,,,,,,,,,,5,,,,,93,,,0000,97,9119,90,9,0,,51,,0,0,
80WN04570, 80795317,80,79,5317,3,,75,,3,1,7,5, 5,5,4,6,86,138,1,80,51,606,,,,,,,,,,5,,,,,93,,,0000,97,1779,93,9,0,,51,,0,0,
80WN04571, 80795633,80,79,5633,3,,75,,3,1,7,5, 4,4,4,6,90,134,1,70,48,612,,,,,,,,,,5,,,,,93,,,0000,97,3156,93,9,0,,51,,0,0,
80WN04572, 80938601,80,93,8601,2,00,00,,3,1,7,2, 4,4,4,6,53,171,1,53,45,382,12,03,11,10,031,,6,8,1,1,1,,,,92,,,0000,,7294,62,0,0,,60,2,0,73,088
80WN04573, 80939251,80,93,9251,1,35,35,701,3,1,7,2, 2,2,2,6,100,126,1,90,31,386,06,03,11,10,028,,4,5,3,1,1,,,,93,,,7323,01,5814,93,4,0,,32,,0,104,
80WN04574, 80939746,80,93,9746,1,47,55,451,2,1,3,2, 2,2,2,6,105,116,7,94,38,550, 7, 3,11, 9, 25,,4,6,1,1,1,,,,93,,0,8318,93,6073,93,8,0,,45,,0,110,
