UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDAR
21WN00001,2021061054,21,A1054,06,2,,30,24,9,3,1,2.0,2,2,1,65,193,128,,7.3,  0,85,0.607,80,1,2,,,0,,,e1,.,A0013,06,A0432,06,,1,,,7,2,,,,,101,242,,,0.045,,,
21WN00002,2021061056,21,A1056,06,2,,30,26,8,2,1,2.0,2,2,1,66,193,127,,9.3,  0,72,0.494,69,1,2,,,0,,,,.,A0397,06,A0512,06,,3,93,258,3,2,,,,,81,242,,,0.044,,,
21WN00003,2021061057,21,A1057,06,2,,30,24,8,2,2,4.0,4,4,1,67,193,126,,12.4,  0,80,0.537,77,1,1,,,0,,,e2,HAIRY,A0013,06,H9692,05,,1,,,5,5,,,,,99,242,,,0.035,,,
21WN00004,2021061058,21,A1058,06,2,,30,24,8,2,2,4.0,4,4,1,67,193,126,,12.3,  0,94,0.648,90,1,3,,,0,,,e3,.,A0013,06,H9692,05,,1,,,5,5,,,,,108,242,,,0.035,,,
21WN00005,2021061062,21,A1062,06,2,,30,24,5,1,1,2.0,2,2,1,67,193,126,,13.8,  0,94,0.637,90,1,1,,,0,,,,.,A0013,06,A0354,06,,2,92,259,1,1,,,,,110,242,,,0.038,,6,3196
21WN00006,2021061064,21,A1064,06,2,,30,29,9,3,1,2.0,2,2,1,67,193,126,,8.8,  0,84,0.597,80,1,1,,,0,,,e4,HAIRY,A0678,06,A0435,06,,1,,,7,2,,,,,100,242,,,0.044,,,
21WN00007,2021061065,21,A1065,06,1,,30,28,9,3,3,2.0,2,2,W,68,194,126,,9.0,  0,75,0.524,72,1,1,1,2,0,,,,.,A0645,06,A0433,06,,3,93,230,9,8,,,,,75,214,,,0.043,Trip,,
21WN00008,2021061066,21,A1066,06,2,,30,28,9,3,3,2.0,2,2,1,68,193,125,,8.5,  0,56,0.38,54,1,1,,,0,,,,.,A0645,06,A0433,06,,3,93,258,9,8,,,,,72,242,,,0.043,Trip,,
21WN00009,2021061067,21,A1067,06,2,,30,28,9,3,3,2.0,2,2,1,68,193,125,,10.3,  0,69,0.47,67,1,1,,,0,,,e5,.,A0645,06,A0433,06,,1,,,9,8,,,,,85,242,,,0.043,Trip,,
21WN00010,2021061068,21,A1068,06,3,,30,30,5,1,1,2.0,2,2,1,69,193,124,,9.9,  0,83,0.59,81,1,1,,,0,,,,.,A0699,06,A0499,06,,3,93,258,1,1,,,,,98,242,,,0.048,,,
21WN02434,2021839736,21,Z9736,83,2,,LR,e1,5,1,1,1.0,1,1,2,107,193,86,,13.8,  0,54,0.467,70,5,1,,,0,,,,.,L0000,70,S2660,12,,3,93,258,1,1,,,,,77,242,,,0.0,,,
21WN02435,2021839737,21,Z9737,83,2,,00,33,9,3,2,2.0,2,2,H,108,194,86,,13.8,  0,58,0.514,75,6,1,,,,,PUR,,.,L0000,70,Z6400,83,,3,93,258,8,3,,,,,81,243,,,0.0,Trip,,
21WN02436,2021839738,21,Z9738,83,3,,00,33,9,3,2,2.0,2,2,H,108,194,86,,10.4,  0,40,0.344,52,5,1,,,,,PUR,,.,L0000,70,Z6400,83,,3,93,258,8,6,,,,,55,243,,,0.0,Trip,,
21WN02437,2021839740,21,Z9740,83,3,,00,e2,5,1,1,1.0,1,1,2,108,193,85,,11.8,  0,74,0.732,100,5,1,,,,,,,HAIRY,L0000,70,M0452,51,,3,93,258,1,1,,,,,98,242,,,0.0,,,
21WN02438,2021839741,21,Z9741,83,2,,10,e6,5,1,1,1.0,1,1,2,109,193,84,,13.5,  0,77,0.756,104,5,2,,,0,,,,HAIRY,Z0000,83,S2982,12,,2,92,259,1,1,,,,,95,242,,,0.0,,2,15042
21WN02439,2021839742,21,Z9742,83,2,,LR,63,5,1,1,2.0,2,2,2,109,193,84,,18.3,  0,83,0.77,111,5,1,,,,,,e2,HAIRY,L0000,70,S2075,12,,1,,,1,1,,,,,101,242,,,0.0,,,
21WN02440,2021839743,21,Z9743,83,2,,LR,62,8,2,2,3.0,3,3,2,109,193,84,,15.0,  0,64,0.583,85,5,1,,,,,RED,,.,L0000,70,S1844,12,,2,92,259,5,5,,,,,87,242,,,0.0,,3,15067
21WN02441,2021839744,21,Z9744,83,3,,LR,62,8,2,2,3.0,3,3,2,109,193,84,,14.4,  0,57,0.507,75,5,2,,,,,RED,,.,L0000,70,S1844,12,,3,93,258,5,5,,,,,76,242,,,0.0,,,
21WN02442,2021839745,21,Z9745,83,3,,LR,60,8,2,2,5.0,5,4,2,109,193,84,,17.4,  0,72,0.65,95,5,2,,,,,GRN,,.,L0000,70,S0926,12,,3,93,258,5,5,,,,,94,242,,,0.0,,,
21WN02443,2021839746,21,Z9746,83,3,,LR,60,8,2,2,5.0,5,4,2,109,193,84,,15.6,  0,58,0.505,76,5,1,,,,,GRN,,.,L0000,70,S0926,12,,3,93,258,5,5,,,,,73,242,,,0.0,,,
