UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
18WN00001,2018060002,18,A0002,06,2,,30,40,9,3,2,4.0,4,4,1,71,197,126,,10.4,,68,0.457,65,1,1,,,0,,,e1,.,H9420,05,H8697,05,,1,,,8,5,,,,,90,247,,,0.036,,,
18WN00002,2018060003,18,A0003,06,2,,30,40,9,3,2,4.0,4,4,1,71,198,127,,9.6,,85,0.594,81,1,1,,,0,,,e2,.,H9420,05,H8697,05,,1,,,8,5,,,,,105,247,,,0.036,,,
18WN00003,2018060004,18,A0004,06,2,,30,37,8,2,2,4.0,4,4,1,71,197,126,,11.5,,46,0.274,44,1,1,,,0,,RED,,.,H8837,05,H8785,05,,3,93,262,5,5,,,,,65,253,,,0.035,,,
18WN00004,2018060005,18,A0005,06,2,,30,37,8,2,2,4.0,4,4,1,71,198,127,,10.3,,72,0.486,69,1,1,,,0,,RED,e3,.,H8837,05,H8785,05,,1,,,5,5,,,,,91,247,,,0.035,Term,,
18WN00005,2018060006,18,A0006,06,2,,30,37,8,2,2,2.0,2,2,1,71,197,126,,13.2,,77,0.506,74,1,1,,,0,,RED,e4,.,H8837,05,H9299,05,,1,,,5,5,,,,,88,247,,,0.04,Term,,
18WN00006,2018060007,18,A0007,06,2,,30,37,8,2,2,2.0,2,2,1,71,197,126,,14.8,,81,0.525,78,1,1,,,0,,RED,e5,.,H8837,05,H9299,05,,1,,,5,5,,,,,101,248,,,0.04,Term,,
18WN00007,2018060009,18,A0009,06,2,,30,41,7,2,1,2.0,2,2,1,72,197,125,,10.3,,81,0.566,78,1,1,,,0,,RED,e1,.,H9486,05,H9504,05,,1,,,3,2,,,,,103,247,,,0.034,,,
18WN00008,2018060011,18,A0011,06,2,,30,e12,8,2,1,1.0,1,1,1,72,198,126,,7.4,,53,0.362,51,1,1,,,7,,,,.,H9130,05,H9883,05,,3,93,262,3,2,,,,,73,247,,,0.037,,,
18WN00009,2018060012,18,A0012,06,1,,30,38,8,2,2,4.0,4,4,1,72,197,125,,12.7,,98,0.682,95,1,1,2,2,0,,RED,,Scurs,H9294,05,H8620,05,,1,,,5,5,,,,,100,220,,,0.023,Sale,,
18WN00010,2018060013,18,A0013,06,1,,30,38,8,2,2,4.0,4,4,1,72,198,126,,13.1,,103,0.713,99,1,1,1,2-,0,,RED,,Nice!,H9294,05,H8620,05,,1,,,5,5,,,,,109,220,,,0.023,,,
18WN02037,2018836349,18,Z6349,83,3,,80,29,8,2,2,3.0,3,3,2,108,197,89,,11.4,,65,0.602,84,5,1,,,0,,RED,,.,Z0000,83,H9002,05,,3,93,262,5,5,,,,,98,247,,,0.0,,,
18WN02038,2018836350,18,Z6350,83,3,,80,29,8,2,2,3.0,3,3,2,108,197,89,,9.6,,61,0.578,79,5,1,,,0,,RED,,.,Z0000,83,H9002,05,,3,93,262,5,5,,,,,84,248,,,0.0,,,
18WN02039,2018836351,18,Z6351,83,2,,10,29,8,2,2,7.0,7,5,2,108,197,89,,13.8,,62,0.542,79,5,1,,,0,,,e5,.,Z0000,83,R8814,11,,1,,,5,5,,,,,89,247,,,0.0,Term,,
18WN02040,2018836352,18,Z6352,83,3,,10,29,8,2,2,7.0,7,5,2,108,197,89,,14.5,,70,0.624,89,5,1,,,0,,,,.,Z0000,83,R8814,11,,3,93,262,5,5,,,,,86,247,,,0.0,,,
18WN02041,2018836354,18,Z6354,83,2,,00,e9,8,2,1,1.0,1,1,2,109,198,89,,9.1,,53,0.493,68,1,3,,,0,,GRN,,2NDContrCarpi,Z0000,00,Z4749,83,,3,93,262,3,2,,,,,73,247,,,0.0,,,
18WN02042,2018836355,18,Z6355,83,2,,20,60,8,2,2,2.0,2,2,2,110,198,88,,14.7,,61,0.526,78,5,1,,,0,,GRN,,1ST,Z0000,83,T6524,45,,3,93,262,5,5,,,,,76,247,,,0.0,,,
18WN02043,2018836356,18,Z6356,83,2,,20,60,8,2,2,2.0,2,2,2,110,198,88,,12.9,,61,0.547,79,5,1,,,0,,GRN,,2ND,Z0000,83,T6524,45,,3,93,262,5,5,,,,,75,247,,,0.0,,,
18WN02044,2018060288,18,A0288,06,1,,30,37,8,2,2,2.0,2,2,2,86,197,111,,11.2,,52,0.368,55,1,1,1,2,0,,RTX,,.,H8837,05,H9544,05,,3,93,242,5,5,,,,,56,220,,,0.042,,,
18WN02045,2018835312,18,Z5312,83,1,,97,16,8,2,1,5.0,5,4,H,75,198,123,,10.8,,96,0.691,94,6,4,2,1,0,,,,WnwtMissed,Z2949,83,Z1549,83,,3,93,242,,,,,,,111,220,,,0.018,,,
18WN02046,2018835257,18,Z5257,83,3,,XT,e9,8,2,1,1.0,1,1,1,73,198,125,,11.8,,83,0.573,81,1,1,,,0,,GRN,,WnwtMissed,Z0000,00,Z4874,83,,3,93,262,3,2,,,,,112,248,,,0.0,,,
