UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,LOT,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
90WN00001, 90634415,90,63,K4415,2,6x,06,606,2,2,5,5,4.0,4,4,2,95,126,13,133,98,672, 6,4,, 0,  0,,,,2,1,1,0,162,1232,97,,249,,3210,63,2103,63,,94,689,63,7,0
90WN00002, 90634416,90,63,K4416,1,6x,06,606,2,2,5,5,4.0,4,4,2,95,126,15,129,97,667, 8, 0,, 0,  0,  0,,,1,1,1,0,162,1232,,,,,3210,63,2103,63,,93,650,63,1,105
90WN00003, 90634417,90,63,K4417,1,6x,06,633,3,1,7,2,4.0,4,4,2,97,124,26,92,109,805, 4, 0,, 0,  0,  0,,,1,1,1,0,162,1041,93,32,,,3409,63,2379,63,,106,697,68,3,120
90WN00004, 90634419,90,63,K4419,2,6x,06,614,1,1,1,1,3.0,3,3,2,98,123,28,103,70,485,12, 0,, 0,  0,35,,,1,1,1,0,132,896,92,95,263,7,3472,63,2440,63,,69,411,68,2,82
90WN00005, 90634421,90,63,K4421,2,6x,06,613,2,1,3,2,4.0,4,4,2,99,122,4,101,93,680, 9,2,3, 0,  0,XC.,,,2,1,1,0,150,937,,95,,,3428,63,2224,63,,92,627,63,1,101
90WN00006, 90634422,90,63,K4422,1,6x,06,614,2,1,3,2,3.0,3,3,2,99,122,21,97,108,806, 8, 0,, 0,  0,  0,,,2,1,2,0,146,969,,,,,3472,63,2714,63,,106,699,60,1,116
90WN00007, 90634423,90,63,K4423,2,6x,06,633,2,1,3,2,6.0,6,4,2,99,122,6,58,77,584, 8,1,, 0,  0,XC.,,,2,1,1,0,166,978,,,,,3409,63,0963,63,,76,533,63,1,86
90WN00008, 90634425,90,63,K4425,2,6x,06,635,2,2,5,5,6.0,6,4,2,100,121,1,84,82,608, 8,3,, 0,  0,XC.,,,2,1,1,0,146,1037,,,,,3640,63,1073,63,,81,614,60,1,91
90WN00009, 90634426,90,63,K4426,1,6x,06,635,2,2,5,5,6.0,6,4,2,100,121,10,81,79,586, 8, 0,, 0,  0,  0,,,1,1,2,0,146,1037,93,,279,,3640,63,1073,63,,78,563,60,G,0
90WN00010, 90634427,90,63,K4427,2,6x,06,635,2,1,3,2,6.0,6,4,2,100,121,25,82,68,494, 9, 0,, 0,  0,34,,,2,1,1,0,166,1199,92,,263,,3640,63,1033,63,,68,455,61,2,84
90WN03594, 90810436,90,81,Z0436,3,00,20,T-1,2,1,3,2,6.0,6,4,2,133,88,17,141,69,624, 0, 0,, 0,  0,  0,,,,5,,0,168,1182,93,,,,0000,97,6879,43,,89,620,40,3,73
90WN03595, 90810437,90,81,Z0437,2,00,20,T-1,1,1,1,1,3.0,3,3,1,133,86,29,162,87,823, 0, 0,, 0,  0,,,,,5,,0,154,1117,93,,257,4,0000,97,9149,43,,115,805,40,5,107
90WN03596, 90810438,90,81,Z0438,3,00,,MIX,2,1,3,2,3.0,3,3,2,136,85,27,89,53,519, 7, 0,, 0,  0,  0,,,2,1,1,,140,596,93,,,,2162,80,8996,43,,71,,43,3,71
90WN03597, 90810440,90,81,Z0440,3,00,,MIX,2,2,5,5,3.0,3,3,2,136,85,2,89,56,554,10, 0,, 0,  0,  0,,,1,2,1,,140,827,93,,,,2162,80,9289,43,,75,,40,3,73
90WN03598, 90810441,90,81,Z0441,2,00,,MIX,2,2,5,5,3.0,3,3,2,136,85,21,101,62,611, 7, 0,, 0,  0,45,,,1,1,1,,140,827,92,,263,,2162,80,9289,43,,83,,40,2,76
90WN03599, 90810442,90,81,Z0442,2,00,10,S1,1,1,1,1,3.0,3,3,2,133,88,21,130,82,784, 0, 0,, 0,  0,,,,,5,,0,148,999,93,,257,,0000,97,7969,19,,107,760,11,5,96
90WN03600, 90810443,90,81,Z0443,3,00,,MIX,1,1,1,1,5.0,5,4,2,147,74,28,145,59,601, 7, 0,, 0,  0,  0,,,1,1,1,,148,577,93,,,,2162,80,7045,43,,87,,42,3,76
90WN03601, 90810444,90,81,Z0444,3,00,,MIX,2,2,5,5,3.0,3,3,2,147,74,16,88,52,584, 7, 0,, 0,  0,  0,,,1,1,1,,140,886,93,,,,2162,80,9332,43,,79,,41,3,64
90WN03602, 90810445,90,81,Z0445,3,00,,MIX,2,2,5,5,3.0,3,3,2,147,74,17,101,45,472,10, 0,, 0,  0,  0,,,3,2,1,,140,886,93,06,,,2162,80,9332,43,,67,,41,3,54
90WN03603, 90810446,90,81,Z0446,2,97,97,297,1,1,1,1,2.0,2,2,H,98,117,1,140,90,650, 3, 0,, 0,  0,497,,,1,6,1,0,100,935,,,,,4224,80,5612,80,,92,,97,1,101
