UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,ADAM2,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN,TB,TR
79WN00001,79192115,79,2,2115,19,1,13,134,7665,,5,6,6,72,132,1,1,,1,51,08,03,11,10,032,18,1,3,177,9,18,1188,19,314,937,6,1,124,96,92,4,5,,2,2
79WN00002,79192116,79,1,2116,19,1,13,134,7665,244,5,6,6,72,132,1,2,,1,85,11,03,09,07,040,7,2,4,177,9,18,1188,19,564,937,6,1,142,105,93,4,5,02,2,2
79WN00003,79192117,79,2,2117,19,1,13,132,7847,,5,6,6,72,132,1,1,,1,66,08,03,10,09,041,8,2,4,177,9,18,1178,19,420,850,6,1,145,105,,4,6,,2,2
79WN00004,79192118,79,1,2118,19,1,13,132,7847,188,5,6,6,72,132,1,1,,4,80,07,03,10,09,027,17,2,3,177,9,18,1178,19,510,850,6,1,145,127,,4,4,,2,2
79WN00005,79192119,79,1,2119,19,1,11,113,9487,266,3,4,4,72,132,1,2,,2,98,08,03,09,07,037,2,2,4,148,9,18,0567,19,650,803,6,1,156,122,,4,2,,2,1
79WN00006,79192121,79,1,2121,19,1,12,890,0028,217,1,3,3,72,132,1,4,,1,88,11,08,09,06,040,19,2,3,144,9,19,0573,19,573,792,3,1,112,124,,3,1,,1,1
79WN00007,79192122,79,2,2122,19,1,11,112,5272,,1,8,8,72,132,1,1,,4,84,07,03,10,06,041,19,2,4,143,9,18,1172,19,545,764,6,1,148,120,,5,1,,1,1
79WN00008,79192123,79,2,2123,19,1,12,910,0563,,1,2,2,72,132,1,1,,1,76,10,03,09,07,036,4,2,5,154,9,19,0633,19,480,810,3,1,125,126,,2,1,,1,1
79WN00009,79192124,79,1,2124,19,1,12,810,8203,202,5,5,5,72,132,1,1,,2,95,10,09,10,07,028,4,1,3,144,9,18,0721,19,627,870,3,1,126,122,,4,5,,2,2
79WN00010,79192125,79,1,2125,19,1,12,810,8203,202,5,5,5,72,132,1,1,,1,99,10,08,09,07,032,5,2,4,144,9,18,0721,19,648,870,3,1,137,134,,4,5,,2,2
79WN04312,79018799,79,1,8799,01,0,71,713,5570,198,5,2,20,65,125,1,2,30,1,70,06,03,10,09,036,4,4,5,200,1,01,7068,07,487,1005,,2,149,91,,2,5,,2,2
79WN04313,79018800,79,1,8800,01,0,71,713,5570,208,5,2,20,65,125,1,2,30,1,59,06,03,10,09,036,9,5,6,200,1,01,7068,07,396,1005,,2,139,95,,2,5,,2,2
79WN04314,79018801,79,1,8801,01,0,70,704,0758,121,5,8,80,64,124,1,1,30,2,59,09,03,11,11,031,8,3,5,217,1,01,4274,08,395,1177,,2,126,100,,5,5,,2,2
79WN04315,79018802,79,1,8802,01,0,70,704,0758,235,5,8,80,64,124,1,1,30,2,78,06,03,09,09,030,4,6,8,217,1,01,4274,08,549,1177,,2,153,99,,5,5,,2,2
79WN04316,79018803,79,2,8803,01,0,70,702,3508,,5,4,45,64,124,1,1,30,2,76,04,03,09,08,042,8,6,8,170,1,01,5735,07,527,941,,2,168,107,,4,5,,2,2
79WN04317,79018804,79,1,8804,01,0,70,702,3508,220,5,4,45,64,124,1,2,30,2,71,06,03,09,09,039,8,6,8,170,1,01,5735,07,479,941,,2,150,116,93,4,5,,2,2
79WN04318,79018805,79,2,8805,01,0,70,702,5760,,5,2,20,64,124,1,1,30,1,69,03,03,09,08,050,5,6,8,200,1,01,5735,07,492,1206,,2,175,80,92,2,5,,2,2
79WN04319,79018806,79,1,8806,01,0,70,702,5760,190,5,2,20,64,124,1,3,30,1,72,07,03,09,10,034,7,5,8,200,1,01,5735,07,519,1206,,2,149,77,,2,5,,2,2
79WN04320,79018807,79,1,8807,01,0,71,711,2415,205,3,6,60,57,117,1,1,30,2,68,08,03,10,08,044,6,5,6,185,1,01,7229,07,451,1136,,4,137,152,93,4,3,,1,2
79WN04321,79018808,79,2,8808,01,0,71,712,1381,,1,7,70,63,123,1,1,30,1,75,07,03,08,06,043,11,4,5,197,1,01,7137,07,535,1271,,2,142,92,,5,1,,1,1
