UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM
98WN00001, 98044987,98,A4987,04,3,00,33,e.-,8,2,1,1.0,1,1,1,88,215,127,4,5.5,62,75,0.547,71,1,1,,,0,C,HQ+,,,00000,63,A4078,04,82,T,93,341,3,2,0,2.19,128.1,T,0,,,0,0,,,,
98WN00002, 98044989,98,A4989,04,3,00,33,e.-,5,1,1,1.0,1,1,1,90,215,125,1,9.2,65,84,0.598,81,1,1,,,0,C,HQ+,,,00000,63,A4391,04,82,T,19,277,1,1,0,2.09,130.1,T,0,,,0,0,,,,
98WN00003, 98044990,98,A4990,04,3,00,76,e.-,8,2,1,1.0,1,1,1,90,215,125,2,7.2,73,96,0.71,92,1,1,,,0,F,HQ+,,,00000,63,A4258,04,00,T,93,341,3,2,0,2.19,138.7,T,0,,,0,0,,,,
98WN00004, 98044991,98,A4991,04,3,00,76,e.-,8,2,1,1.0,1,1,B,90,219,129,6,5.1,0,68,0.488,64,1,1,,,0,F,HQ+,,WEAK,00000,63,A4258,04,00,T,93,281,3,2,0,2.19,138.7,3,80,,,0,0,,,,
98WN00005, 98044992,98,A4992,04,2,00,76,e.-,5,1,1,1.0,1,1,H,91,219,128,4,8.9,0,105,0.751,99,1,1,,,0,F,HQ+,,,00000,63,A4211,04,00,T,93,341,1,1,0,2.09,133.7,T,0,,,0,0,,,,
98WN00006, 98044993,98,A4993,04,3,88,30,e.9,5,1,1,1.0,1,1,1,91,215,124,10,11.3,80,98,0.699,95,1,1,,,0,C,,,,A3205,04,A4079,04,82,3,93,281,1,1,106,2.09,132.9,3,116,,,0,0,,,,
98WN00007, 98044994,98,A4994,04,2,88,30,e.9,8,2,2,1.0,1,1,1,92,215,123,10,7.6,53,69,0.499,68,1,1,,,0,M,  8,,4TEATS,A3205,04,A4523,04,81,2,92,267,5,5,98,2.19,142.1,2,88,88,,0,0,,,,
98WN00008, 98044995,98,A4995,04,2,88,30,e.9,8,2,2,1.0,1,1,1,92,215,123,5,7.7,57,75,0.547,73,1,1,,,0,M,  5,,,A3205,04,A4523,04,81,2,92,267,5,5,100,2.19,142.1,2,95,92,,0,0,,,,
98WN00009, 98044996,98,A4996,04,3,88,30,e.9,5,1,1,1.0,1,1,1,92,215,123,1,7.6,70,84,0.621,82,1,1,,,0,M,,,,A3205,04,A4128,04,81,3,93,281,1,1,98,2.09,130.3,3,103,,,0,0,,,,
98WN00010, 98044997,98,A4997,04,3,00,33,e.-,5,1,1,1.0,1,1,1,92,215,123,10,12.5,76,95,0.671,93,1,1,,,0,C,HQ+,,Reject Blue *,00000,63,A4298,04,82,3,93,281,1,1,0,2.09,132.5,3,101,,,0,0,,,,
98WN03033, 98815303,98,Z5303,81,2,00,81,AI,8,2,2,4.0,4,4,4,131,219,88,2,12.9,0,74,0.694,96,5,1,,,2,h,,,,00000,97,A1347,04,ch,Z,93,261,5,5,0,1.75,129.8,Z,92,,,0,0,,,,
98WN03034, 98815304,98,Z5304,81,3,00,20,414,5,1,1,4.0,4,4,2,131,217,86,14,16.5,67,97,0.936,129,5,1,,,2,.,,,,00000,97,T4471,44,41,3,93,281,1,1,0,1.38,105.2,3,117,,,0,0,,,,
98WN03035, 98815305,98,Z5305,81,3,00,20,413,5,1,1,5.0,5,4,2,131,217,86,10,18.2,64,89,0.823,117,5,1,,,2,.,,,,00000,97,T3825,44,41,3,93,281,1,1,0,1.67,103.7,3,109,,,0,0,,,,
98WN03036, 98815306,98,Z5306,81,2,00,20,902,8,2,1,2.0,2,2,2,131,217,86,2,10.6,49,66,0.644,88,5,1,,,2,.,,,,00000,97,T5271,44,42,Z,93,261,3,2,0,1.61,105.7,Z,79,,,0,0,,,,
98WN03037, 98815307,98,Z5307,81,3,00,20,902,8,2,1,2.0,2,2,2,131,217,86,1,9.9,57,73,0.734,98,5,1,,,2,.,,,GRAFT>LIMS,00000,97,T5271,44,42,3,93,281,3,2,0,1.61,105.7,3,94,,,0,0,,,,
98WN03038, 98815308,98,Z5308,81,2,00,20,411,5,1,1,2.0,2,2,2,131,217,86,3,13.7,52,70,0.655,92,5,1,,,2,.,,,,00000,97,T5215,44,41,Z,93,261,1,1,0,1.61,107.3,Z,89,,,0,0,,,,
98WN03039, 98815312,98,Z5312,81,3,00,20,902,8,2,2,4.0,4,4,2,132,217,85,3,12.0,42,66,0.635,88,5,1,,,2,.,,,,00000,97,T4173,44,42,3,93,281,5,5,0,1.51,100.3,3,83,,,0,0,,,,
98WN03040, 98815313,98,Z5313,81,2,00,20,902,8,2,2,4.0,4,4,2,132,217,85,8,11.1,38,57,0.54,76,5,1,,,2,.,,,,00000,97,T4173,44,42,3,93,281,5,5,0,1.51,100.3,3,79,,,0,0,,,,
98WN03041, 98815316,98,Z5316,81,3,00,20,413,8,2,2,3.0,3,3,2,134,217,83,6,13.1,42,61,0.577,82,5,1,,,2,.,,,,00000,97,T4938,44,41,3,93,281,5,5,0,1.65,102.3,3,83,,,0,0,,,,
98WN03042, 98815317,98,Z5317,81,2,00,20,413,8,2,2,3.0,3,3,2,134,217,83,12,12.0,34,50,0.458,67,5,1,,,2,.,,,,00000,97,T4938,44,41,3,93,281,5,5,0,1.65,102.3,3,68,,,0,0,,,,
