UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,CUDAY,SAWT,DNA,INBRL,STUDY,TRTPEN,IDZ65
23WN00001,2023061768,23,A1768,06,2,,30,19,8,2,2,2.0,2,,H,75,192,117,,8.4,,57,0.415,58,1,3,,,,,,,.,A1026,06,A1169,06,,3,93,275,5,7,,,,,76,249,,,0.043,Kat,,
23WN00002,2023061769,23,A1769,06,1,,30,19,8,2,2,2.0,2,,H,75,192,117,,10.1,,56,0.392,57,1,3,1,3+,,,,,.,A1026,06,A1169,06,,3,01,225,5,5,,,,6,64,214,,,0.043,Kat,,
23WN00003,2023061770,23,A1770,06,2,,30,23,8,2,2,3.0,3,,1,75,191,116,,10.9,,83,0.622,85,1,1,,,,,,e1,1ST,A1235,06,A0970,06,,1,,,5,3,,,,,89,248,,,0.055,,,
23WN00004,2023061771,23,A1771,06,2,,30,23,8,2,2,3.0,3,,1,75,191,116,,12.6,,75,0.538,77,1,3,,,,,,e1,2ND,A1235,06,A0970,06,,1,,,5,5,,,,,103,248,,,0.055,,,
23WN00005,2023061774,23,A1774,06,2,,30,20,8,2,2,2.0,2,,1,76,191,115,,9.2,,75,0.572,78,1,1,,,,,,e2,.,A1126,06,A1057,06,,1,,,5,5,,,,,98,248,,,0.056,,,
23WN00006,2023061775,23,A1775,06,2,,30,20,8,2,2,2.0,2,,1,76,191,115,,9.4,,80,0.614,83,1,1,,,,,,e2,.,A1126,06,A1057,06,,1,,,5,5,,,,,98,248,,,0.056,,,
23WN00007,2023061776,23,A1776,06,1,,30,22,8,2,2,2.0,2,,1,76,191,115,,10.8,,79,0.593,82,1,1,2,2-,,,,,Scurs,A1209,06,A1306,06,,3,93,272,5,5,,,,,87,214,,,0.045,,,
23WN00008,2023061777,23,A1777,06,2,,30,22,8,2,2,2.0,2,,1,76,191,115,,11.0,,81,0.609,84,1,1,,,,,,e2,.,A1209,06,A1306,06,,1,,,5,5,,,,,108,248,,,0.045,,,
23WN00009,2023061778,23,A1778,06,3,,30,24,9,3,1,4.0,4,,W,76,192,116,,12.1,,70,0.499,72,1,1,,,,,,,.,A1291,06,A0389,06,,3,93,275,9,8,,,,,81,249,,,0.045,Trip,,
23WN00010,2023061779,23,A1779,06,2,,30,24,9,3,2,4.0,4,,1,76,191,115,,11.0,,68,0.496,70,1,1,,,,,,e2,.,A1291,06,A0389,06,,1,,,9,8,,,,,91,248,,,0.045,Trip,,
23WN02077,2023520517,23,Y0517,52,3,,Kt,1,5,1,1,2.0,2,,H,110,192,82,,13.2,,59,0.559,80,1,1,,,,,,,.,Y0304,00,Y0333,00,,3,93,275,1,1,,,,,83,249,,,0.0,,,
23WN02078,2023520518,23,Y0518,52,3,,Kt,2,5,1,1,4.0,4,,H,114,192,78,,12.4,,63,0.649,90,1,1,,,,,,,.,Y0305,00,Y0334,00,,3,93,275,1,1,,,,,79,249,,,0.0,,,
23WN02079,2023840652,23,X0652,84,1,A,97,15,8,2,2,4.0,4,,H,77,192,115,,14.9,,87,0.628,90,6,1,2,1-,,,,,WnwtMissed,Z8758,83,Z6747,83,A,3,93,272,5,5,,,,,101,214,,,0.011,,,
23WN02080,2023703774,23,L3774,70,3,A,PC,e1,8,2,1,1.0,,,H,79,192,113,,12.8,,82,0.612,86,5,1,,,,,,,WnwtMissed,L0000,70,L3499,70,A,3,93,275,3,2,,,,,117,249,,,0.0,,,
23WN02081,2023703888,23,L3888,70,3,,PC,17,5,1,1,2.0,,,H,82,192,110,,19.4,,101,0.74,108,5,2,,,,,,,WnwtMissed,Z8655,83,Z8955,83,,3,93,275,1,1,,,,,143,249,,,0.016,,,
23WN02082,2023704037,23,L4037,70,2,,PC,e1,8,2,2,1.0,,,H,87,192,105,,11.3,,68,0.541,76,5,2,,,,,,e9,WnwtMissed,L0000,70,L3371,70,,1,,,5,6,,,,,99,249,,,0.0,,,
23WN02083,2023704137,23,L4137,70,2,,PC,37,8,2,2,2.0,,,H,90,192,102,,12.7,,65,0.514,74,2,1,,,,,,e9,WnwtMissed,L3011,70,L3079,70,,1,,,5,5,,,,,94,248,,,0.008,,,
23WN02084,2023704237,23,L4237,70,2,,PC,e3,5,1,1,1.0,,,H,95,192,97,,9.1,,57,0.489,68,5,1,,,,,,e9,WnwtMissed,L0000,70,L3450,70,,1,,,1,1,,,,,84,248,,,0.0,,,
23WN02085,2023840722,23,X0722,84,3,A,00,e6,5,1,1,1.0,,,H,78,192,114,,16.3,,81,0.565,84,5,1,,,,,,,WnwtMissed,Z0000,83,L3416,70,,3,93,275,1,1,,,,,113,249,,,0.0,,,
23WN02086,2023841218,23,X1218,84,3,A,00,e5,5,1,1,1.0,,,H,90,192,102,,12.9,,75,0.604,85,5,1,,,,,,,WnwtMissed,Z0000,83,X0146,84,A,3,93,275,1,1,,,,,109,249,,,0.0,,,
