UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM
97WN00001, 97043981,97,A3981,04,2,88,30,e.8,8,2,2,1.0,1,1,1,90,218,128,22,7.6,55,73,0.511,69,1,1,,,0,C, 17,BRITCHY,A2059,04,A3546,04,82,2,92,261,5,5,100,2.07,128.5,2,82,,5.46,0,0,,,4.89,6.02
97WN00002, 97043980,97,A3980,04,3,88,30,e.9,8,2,1,1.0,1,1,1,89,218,129,22,8.5,71,86,0.601,81,1,1,,,0,C,,,A1985,04,A2884,04,82,3,93,273,3,2,108,2.07,126.9,3,98,,5.5,0,0,,,5.93,5.07
97WN00003, 97043983,97,A3983,04,2,88,30,e.9,8,2,2,1.0,1,1,1,90,218,128,12,6.3,54,77,0.552,73,1,1,,,0,C, 11,,A1985,04,A3547,04,82,2,92,261,5,5,101,2.07,126.5,2,84,,5.98,0,0,,,5.93,6.02
97WN00004, 97043984,97,A3984,04,3,88,30,e.9,8,2,2,1.0,1,1,1,90,218,128,3,6.5,50,57,0.395,54,1,1,,,0,C,,,A1985,04,A3547,04,82,3,93,273,5,5,93,2.07,126.5,3,73,,5.98,0,0,,,5.93,6.02
97WN00005, 97043985,97,A3985,04,2,88,30,e.9,5,1,1,1.0,1,1,1,90,218,128,22,11.8,77,99,0.681,94,1,1,,,0,M, 16,,A1985,04,A3198,04,81,2,92,261,1,1,109,1.97,119.9,2,110,,5.46,0,0,,,5.93,4.99
97WN00006, 97043986,97,A3986,04,3,88,30,e.8,8,2,2,1.0,1,1,1,90,218,128,7,5.8,58,80,0.58,75,1,1,,,0,M,PIN,,A2059,04,A3318,04,81,P,93,666,5,3,104,2.07,126.5,P,91,,4.85,0,0,,,4.89,4.81
97WN00007, 97043982,97,A3982,04,3,88,30,e.8,8,2,2,1.0,1,1,1,90,218,128,14,7.4,54,72,0.505,68,1,1,,,0,C,,,A2059,04,A3546,04,82,3,93,273,5,5,101,2.07,128.5,3,86,,5.46,0,0,,,4.89,6.02
97WN00008, 97043988,97,A3988,04,3,88,30,e.8,5,1,1,1.0,1,1,1,91,218,127,15,10.3,76,95,0.667,90,1,1,,,0,C,PIN,,A2059,04,A2919,04,82,P,93,666,1,1,108,1.97,119.1,P,102,,5.68,0,0,,,4.89,6.46
97WN00009, 97043989,97,A3989,04,2,88,30,e.9,8,2,1,1.0,1,1,1,91,218,127,10,9.6,74,98,0.696,93,1,1,,,0,M,  9,,A1985,04,A2912,04,81,2,92,261,3,2,112,2.07,126.6,2,107,,6.21,0,0,,,5.93,6.48
97WN00010, 97043987,97,A3987,04,2,88,30,e.8,8,2,2,1.0,1,1,1,90,218,128,14,3.6,42,55,0.402,52,1,1,,,0,M, 15,,A2059,04,A3318,04,81,2,92,261,5,7,89,2.07,126.5,2,69,,4.85,0,0,,,4.89,4.81
97WN03495, 97814273,97,Z4273,81,1,ch,00,ai2,5,1,1,2.0,2,2,4,112,223,111,6,13.1,60,89,0.684,95,1,1,,,2,c,-CH,,S1878,10,A2395,04,ch,1,,0,1,1,102,1.5,88.0,1,89,,1.95,0,0,,,0.0,3.89
97WN03496, 97814274,97,Z4274,81,1,ch,07,ai2,5,1,1,2.0,2,2,4,112,223,111,2,13.3,67,94,0.727,101,1,1,,,2,c,-CH,,S1497,10,T5036,44,ch,1,,0,1,1,87,0.5,50.5,1,91,,5.62,0,0,,,7.79,3.45
97WN03497, 97814275,97,Z4275,81,1,ch,31,j.2,8,2,2,1.0,1,1,4,112,223,111,5,8.2,46,67,0.53,72,1,1,,,2,c,-CH,,A1126,04,A3516,04,ch,1,,0,5,4,108,2.0,129.0,1,68,,0.0,0,0,,,0.0,0.0
97WN03498, 97814276,97,Z4276,81,2,ch,31,j.2,8,2,2,1.0,1,1,4,112,223,111,9,6.7,32,53,0.417,57,1,1,,,2,c,-CH,PINK,A1126,04,A3516,04,ch,7,97,223,5,6,104,2.0,129.0,7,,,0.0,0,0,,,0.0,0.0
97WN03499, 97814272,97,Z4272,81,1,ch,00,ai2,8,2,2,2.0,2,2,4,112,223,111,6,1.1,51,71,0.63,77,1,1,,,2,c,-CH,,S1878,10,T4950,44,ch,1,,0,5,7,110,1.5,126.5,1,70,,3.16,0,0,,,0.0,6.32
97WN03500, 97814278,97,Z4278,81,1,ch,01,j.9,8,2,2,1.0,1,1,4,113,223,110,2,9.8,30,46,0.329,49,1,2,,,2,c,-CH,,T4353,44,T5281,44,ch,3,93,248,5,5,83,2.0,107.0,3,48,,2.89,0,0,,,0.0,5.78
97WN03501, 97814279,97,Z4279,81,2,ch,01,j.9,8,2,2,1.0,1,1,4,113,223,110,2,9.1,38,54,0.408,58,1,1,,,2,c,-CH,,T4353,44,T5281,44,ch,3,93,273,5,5,93,2.0,107.0,3,69,,2.89,0,0,,,0.0,5.78
97WN03502, 97814277,97,Z4277,81,1,97,97,974,5,1,1,1.0,1,1,B,112,223,111,8,11.7,0,84,0.651,90,6,1,,,0,,,,Z3228,81,Z3619,81,97,3,93,248,1,1,92,1.66,129.2,3,85,,0.0,0,0,,,0.0,0.0
97WN03503, 97814000,97,Z4000,81,1,97,97,971,8,2,2,3.0,3,3,B,102,223,121,8,15.0,0,124,0.901,123,6,1,,,0,,,,Z2345,81,Z2912,81,97,1,,0,5,4,119,1.82,146.0,1,120,,0.0,0,0,,,0.0,0.0
97WN03504, 97000001,97,00001,00,3,00,00,OVX,,1,1,4.0,4,4,H,80,223,143,1,11.0,0,111,0.699,88,1,1,,,I,,,OVX.DAM'4504',00000,00, 4504,00,00,3,93,273,1,1,0,0.0,0.0,3,121,,0.0,0,0,,,0.0,0.0
