UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,INBRL,ADGBV,ADGACC,MADGBV,MADGACC,FLBVB,FLBVR,SAGE,STUDY
01WN00001,101048157,01,A8157,04,2,00,72,e.6,7,2,1,1.0,1,1,1,84,218,134,7,11.4,77,96,0.631,87,1,1,,,7,.,.,e62,NICE,A4142,04,00063,00,88,1,,0,3,2,0,2.12,121.0,1,106,0,,0,0,,,0.028,0.0,,,,,,0.0,1/4F
01WN00002,101048158,01,A8158,04,3,00,80,e.8,8,2,1,1.0,1,1,1,84,218,134,18,10.1,80,101,0.678,92,6,1,,,0,.,.,,,Z4799,81,A7296,04,88,3,93,262,3,2,0,2.12,132.0,3,113,0,,0,0,,,0.024,0.0,,,,,,0.0,
01WN00003,101048159,01,A8159,04,3,00,80,e.8,8,2,1,1.0,1,1,1,84,218,134,3,10.3,83,110,0.744,100,1,1,,,0,.,.,,,Z4799,81,A7296,04,88,3,93,262,3,2,0,2.12,132.0,3,115,0,,0,0,,,0.024,0.0,,,,,,0.0,
01WN00004,101048161,01,A8161,04,2,00,72,e.6,8,2,1,1.0,1,1,1,86,218,132,1,8.9,73,91,0.622,84,1,1,,,7,.,.,e63,,A4142,04,A7171,04,88,1,,0,3,2,0,2.12,120.4,1,106,0,,0,0,,,0.018,0.0,,,,,,0.0,1/4F
01WN00005,101048162,01,A8162,04,3,00,80,e.8,5,1,1,1.0,1,1,1,87,218,131,6,12.7,88,108,0.727,100,2,1,,,0,.,.,,,Z4799,81,A7455,04,82,3,93,262,1,1,0,2.02,123.6,3,116,0,,0,0,,,0.022,0.0,,,,,,0.0,
01WN00006,101048163,01,A8163,04,2,00,80,e.8,8,2,1,1.0,1,1,8,87,,,0,6.3,0,0,,0,1,1,,,0,.,.,e64,"1/4S,BUM,SAVE",Z4799,81,A7512,04,81,1,,0,4,2,0,2.12,121.0,1,76,0,,0,0,,,0.023,0.0,,,,,,0.0,1/4S
01WN00007,101048164,01,A8164,04,2,00,80,e.8,8,2,1,1.0,1,1,1,87,218,131,11,8.7,78,94,0.651,87,1,1,,,0,.,.,e65,,Z4799,81,A7512,04,81,1,,0,3,2,0,2.12,121.0,1,107,0,,0,0,,,0.023,0.0,,,,,,0.0,1/4S
01WN00008,101048166,01,A8166,04,3,00,72,e.7,8,2,1,1.0,1,1,1,89,218,129,7,9.0,74,98,0.69,92,1,1,,,0,.,.,,,A4203,04,A7177,04,82,3,93,262,3,2,0,2.12,122.0,3,104,0,,0,0,,,0.042,0.0,,,,,,0.0,
01WN00009,101048167,01,A8167,04,2,00,72,e.7,8,2,1,1.0,1,1,8,89,,,0,7.0,0,0,,0,1,1,,,0,.,.,e66,"1/4F,BUM,SAVE",A4203,04,A7177,04,82,1,,0,4,2,0,2.12,122.0,1,68,0,,0,0,,,0.042,0.0,,,,,,0.0,1/4F
01WN00010,101048168,01,A8168,04,3,00,72,e.7,5,1,1,1.0,1,1,1,89,218,129,15,11.3,79,95,0.649,89,1,1,,,0,.,.,,,A4203,04,A7114,04,81,3,93,262,1,1,0,2.02,121.4,3,110,0,,0,0,,,0.047,0.0,,,,,,0.0,
01WN02701,101817781,01,Z7781,81,2,00,10,m.4,5,1,1,1.0,1,1,3,140,222,82,1,12.0,0,53,0.5,72,5,1,,,0,3,.,,RANGE LAMB,00000,97,R1698,11,10,3,93,262,1,1,0,1.78,118.8,3,59,0,,0,0,,,0.0,0.0,,,,,,0.0,
01WN02702,101817782,01,Z7782,81,2,00,10,m.2,8,2,1,1.0,1,1,3,141,222,81,1,11.6,0,67,0.684,94,5,1,,,0,2,.,,,00000,97,R1727,11,13,3,93,262,3,2,0,1.88,120.5,3,81,0,,0,0,,,0.0,0.0,,,,,,0.0,
01WN02703,101817784,01,Z7784,81,2,00,10,m.3,5,1,1,1.0,1,1,3,141,222,81,1,12.1,0,44,0.394,59,5,1,,,0,1,.,,,00000,97,R1804,11,10,3,93,262,1,1,0,1.78,113.5,3,52,0,,0,0,,,0.0,0.0,,,,,,0.0,
01WN02704,101817786,01,Z7786,81,2,00,81,BF,8,2,2,6.0,6,4,3,143,222,79,1,12.7,0,70,0.725,100,5,1,,,2,h,.,,,00000,97,A2370,04,ch,3,93,262,5,5,0,1.5,134.8,3,77,0,,0,0,,,0.0,0.0,,,,,,0.0,
01WN02705,101817787,01,Z7787,81,3,00,81,BF,8,2,2,6.0,6,4,3,143,222,79,2,14.5,0,71,0.715,100,5,1,,,2,h,.,,ENTR,00000,97,A2370,04,ch,3,93,262,5,5,0,1.5,134.8,3,83,0,,0,0,,,0.0,0.0,,,,,,0.0,
01WN02706,101817788,01,Z7788,81,3,00,82,BF,5,1,1,2.0,2,2,3,145,222,77,2,17.4,0,71,0.696,101,5,1,,,2,h,.,,OMEGA Y2001,00000,97,Z5484,81,ch,3,93,262,1,1,0,1.5,50.5,3,88,0,,0,0,,,0.0,0.0,,,,,,0.0,
01WN02707,101048651,01,A8651,04,3,82,30,30,8,2,1,5.0,5,4,8,108,,,0,8.4,0,0,,0,1,1,,,0,C,.,,,A6994,04,A3116,04,82,3,93,262,4,2,0,2.03,78.5,3,45,0,,0,0,,,0.07,0.0,,,,,,0.0,
01WN02708,101817207,01,Z7207,81,2,97,97,972,9,3,1,4.0,4,4,8,100,,,0,9.2,0,0,,0,6,2,,,0,.,.,,GAUNT,Z3677,81,Z3886,81,97,3,93,262,6,2,0,1.66,56.4,3,46,0,,0,0,,,0.11,0.0,,,,,,0.0,
