UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM,MASTITRT
00WN04655,100047071,00,A7071,04,3,88,30,e.9,5,1,1,1.0,1,1,H,95,224,129,1,13.3,0,82,0.533,77,1,1,,,0,.,.,,,A5129,04,A6432,04,81,3,93,266,1,1,101,2.1,130.5,3,100,0,,0,0,0,,,,
00WN04656,100047804,00,A7804,04,1,82,30,20,3,4,2,6.0,6,4,H,112,224,112,1,7.5,0,70,0.558,74,1,1,,,0,C,.,,,A5454,04,A1331,04,82,3,93,249,8,5,105,3.33,159.7,3,78,0,,0,0,0,,,,
00WN04657,100641059,00,K1059,64,1,00,05,52,5,1,1,3.0,3,3,H,89,224,135,1,12.7,0,85,0.536,77,1,1,,,0,H,CN,,ATAXIA ok ?,K9738,63,K9964,63,00,3,93,249,1,1,0,1.59,105.8,3,97,0,,0,0,0,C?,,,
00WN04658,100644250,00,K1250,64,3,68,06,01-,3,4,2,5.0,5,4,H,97,224,127,1,9.0,0,70,0.48,67,1,1,,,7,.,GXE,,ENTR,J0093,00,K7832,63,60,3,93,266,5,5,92,2.09,155.0,3,86,0,,0,0,0,,,,
00WN04659,100641251,00,K1251,64,2,68,06,01-,3,4,2,5.0,5,4,H,97,224,127,1,8.6,0,70,0.483,67,1,1,,,7,., 25,,,J0093,00,K7832,63,60,2,92,265,5,5,100,2.09,155.0,2,82,82,,0,0,0,,,,
00WN04660,100111450,00,R1450,11,1,13,43,32,8,2,2,4.0,4,4,H,95,224,129,1,13.0,0,75,0.481,71,1,1,,,0,F,.,,,S9049,10,S6670,10,13,3,93,249,5,4,92,1.95,114.4,3,81,0,,0,0,0,,,,
00WN04661,100111451,00,R1451,11,2,13,43,32,8,2,2,4.0,4,4,H,95,224,129,1,9.9,0,70,0.466,66,1,1,,,0,F,.,m.2,,S9049,10,S6670,10,13,1,,0,5,6,93,1.95,114.4,1,82,82,,0,0,0,,,,1
00WN04662,100816676,00,Z6676,81,3,00,81,tai,8,2,2,3.0,3,3,H,110,224,114,1,12.3,0,70,0.506,73,5,1,,,2,.,TAI,,,00000,97,Z4127,81,ch,3,93,266,5,5,0,1.0,77.7,3,87,0,,0,0,0,,,,
00WN04663,100816677,00,Z6677,81,2,00,81,tai,8,2,2,3.0,3,3,H,110,224,114,1,11.5,0,70,0.513,73,5,1,,,2,.,TAI,,,00000,97,Z4127,81,ch,3,93,266,5,5,0,1.0,77.7,3,86,0,,0,0,0,,,,
00WN04664,100001072,00,01072,00,3,00,07,L11,5,1,1,5.0,5,4,3,145,228,83,1,0.0,55,71,0.735,98,1,,,,7,B,LIM,,FOUND 9/29/00,S9264,10,50612,05,00,3,93,286,1,1,0,1.4,85.2,3,96,0,,0,0,0,,,,
