UID,IDLAMB,YR,LBRD,ETAG,SEX,LINE,STM,PEN,TB,TR,TBRE,TBR17,AGE,ADAM,CADAM,BAND,DAYBN,WNAGE,TIM,BRWT,WNWT,ADG,F,N,T,C,L,TST,SIGR,THGR,JAW,CLR,H,IDX,MENB,MELW,CAUSE,ABN,DAYDIS,TRT,SIRE,SBRD,DAM,DBRD,TM,WT120,AADG,LNDAM,PD,CUWT
88WN00001, 88031868,88,03,L1868,2,71,30,711,1,1,1,1,2.0,2,2,1,84,137,24,76,85,565, 6, 3, 8, 6, 42,,6,7,2,1,1,150,175,988,,,,,1012,03,9343,02,,75,510,71,1,92
88WN00002, 88031869,88,03,L1869,1,70,30,704,2,2,5,6,4.0,4,4,1,85,136,14,72,80,535, 6, 3, 8, 7, 45,255,5,6,2,1,2,161,210,1082,93,,,,9508,02,7174,02,,71,550,70,3,88
88WN00003, 88031870,88,03,L1870,1,70,30,704,2,2,5,4,4.0,4,4,1,85,136,17,93,84,549, 7, 3, 8, 7, 62,268,6,7,1,1,3,164,210,1082,93,,,,9508,02,7174,02,,75,528,70,3,99
88WN00004, 88031871,88,03,L1871,1,70,30,703,1,1,1,1,2.0,2,2,1,86,135,28,103,101,672, 8, 3, 9, 7, 47,260,3,5,2,1,2,152,192,1127,,84,,,9492,02,9320,02,,91,525,70,1,106
88WN00005, 88031874,88,03,L1874,2,71,30,712,2,2,5,5,4.0,4,4,1,86,135,19,107,92,602, 3, 3, 9, 7, 50,,5,6,2,1,1,187,210,1305,,,,,0769,03,7151,02,,83,617,71,1,106
88WN00006, 88031875,88,03,L1875,2,71,30,712,2,2,5,5,4.0,4,4,1,86,135,8,97,73,469, 7, 3,10, 7, 43,,6,7,1,1,1,141,210,1305,,,,,0769,03,7151,02,,66,470,71,1,79
88WN00007, 88031876,88,03,L1876,2,70,30,703,3,2,8,5,2.0,2,2,8,87,130,6,76,85,595,,,,,,,,,,1,,0,209,1330,,,,7,9492,02,9625,02,,79,581,70,1,90
88WN00008, 88031877,88,03,L1877,2,70,30,703,3,2,8,5,2.0,2,2,8,87,130,8,79,89,624,,,,,,,,,,1,,0,209,1330,,,,7,9492,02,9625,02,,83,620,70,1,96
88WN00009, 88031878,88,03,L1878,3,70,30,703,3,1,7,2,2.0,2,2,1,87,134,4,106,98,652, 7, 3, 7, 6, 44,,4,5,2,1,1,162,209,1330,93,,,7,9492,02,9625,02,,89,566,70,3,113
88WN00010, 88031879,88,03,L1879,2,71,30,711,2,2,5,5,2.0,2,2,1,87,134,33,77,73,487, 8, 3, 8, 7, 42,,5,6,1,1,1,142,209,1148,92,,267,,1012,03,9476,02,,66,530,71,K,80
88WN04627, 88808090,88,80,X8090,2,00,10,005,2,2,5,4,4.0,4,4,3,141,83,20,131,32,228,,,,,,,,,,5,,0,181,1058,93,,,,0000,97,5642,19,,40,308,10,3,41
88WN04628, 88808091,88,80,X8091,3,00,30,005,2,2,5,5,3.0,3,3,3,142,82,17,128,47,417,,,,,,,,,,5,,0,167,1096,93,,,,0000,97,1704,63,,63,413,61,3,53
88WN04629, 88808092,88,80,X8092,2,00,30,005,2,2,5,5,3.0,3,3,3,142,82,5,112,61,607,,,,,,,,,,5,,0,167,1096,93,,259,,0000,97,1704,63,,84,626,61,8,75
88WN04630, 88808093,88,80,X8093,2,00,10,941,1,1,1,1,2.0,2,2,3,142,82,19,118,50,466,,,,,,,,,,5,,0,154,712,93,,,7,0000,97,7453,19,,68,353,12,3,65
88WN04631, 88808095,88,80,X8095,2,00,20,005,1,1,1,1,8.0,8,5,3,144,80,18,160,69,663,,,,,,,,,,5,,0,126,908,93,,259,,0000,97,3444,43,,96,562,42,8,85
88WN04632, 88808096,88,80,X8096,2,00,20,403,1,1,1,1,7.0,7,5,3,146,78,21,115,57,583,,,,,,,,,,5,,0,158,1051,93,,259,,0000,97,4492,43,,82,484,40,8,72
88WN04633, 88032494,88,03,L2494,2,70,30,302,2,2,5,6,1.0,1,1,3,104,120,10,61,74,566,,,,,,,,,1,1,1,,,,93,,0,7,9647,02,0876,03,,74,,70,3,
88WN04634, 88032495,88,03,L2495,3,70,30,302,2,2,5,4,1.0,1,1,3,104,120,10,72,74,557,,,,,,,,,1,1,1,,,,93,,0,7,9647,02,0876,03,,74,,70,3,
88WN04635, 88805614,88,80,X5614,3,67,56,674,4,1,0,2,4.0,4,4,1,85,136,23,73,74,490, 6, 3,10, 8, 30,,5,6,1,1,1,,234,1180,93,,,,3780,80,7268,94,,66,478,65,3,82
88WN04636, 88807819,88,80,X7819,3,47,55,472,3,1,7,2,8.0,8,5,2,119,110,5,83,74,597, 7, 3, 9, 8, 25,,4,6,1,1,1,,227,1099,,,,,4284,80,9012,93,,80,,47,3,79
