UID,IDLAMB,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DBRD,DB1,LINBR,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,THSCO,CAUSE,DB2,LBRD,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,C75,DISP,CADAM,CTBR,ABN
73WN00001,73116601,73,2,6601,1,24,240,6204,11,1,33,3,8,80,140,1,1,,1,70,09,04,10,07,037,4,2,2,1,,1,11,6524,11,440,44,27,24,1,0,6,129,84,,,5,3,
73WN00002,73116603,73,2,6603,1,24,240,6440,11,1,48,5,4,79,139,1,1,,1,77,09,03,07,07,051,5,3,3,1,,1,11,6524,11,473,47,37,24,1,3,6,137,112,,,4,2,
73WN00003,73116604,73,2,6604,1,24,240,6440,11,1,48,5,4,79,139,1,1,,1,85,08,03,07,07,055,3,3,3,1,,1,11,6524,11,521,52,37,24,1,1,6,153,126,,,4,2,
73WN00004,73116605,73,2,6605,1,35,350,9914,14,1,49,1,2,74,134,1,4,,1,78,09,03,08,08,043,3,2,3,2,,4,11,9877,14,509,50,42,35,1,9,7,137,98,,,2,1,
73WN00005,73116606,73,1,6606,1,35,350,7393,14,1,54,1,9,77,137,1,6,,2,76,09,04,11,10,043,4,2,2,1,,4,11,9877,14,450,45,33,35,1,0,6,132,144,,,5,1,
73WN00006,73116607,73,2,6607,1,35,350,9925,14,1,50,1,2,73,133,1,1,,2,63,09,03,10,09,036,13,2,2,1,,4,11,9877,14,409,40,48,35,1,9,7,120,86,,2,2,1,
73WN00007,73116608,73,2,6608,1,35,350,9350,14,1,45,1,5,72,132,1,1,,1,85,07,04,07,07,049,12,3,3,1,,4,11,9877,14,541,54,42,35,1,1,7,148,136,,,4,1,
73WN00008,73116609,73,2,6609,1,24,240,6460,11,1,42,1,3,76,136,1,1,,2,75,09,03,07,08,051,2,2,3,2,,1,11,6524,11,475,47,41,24,1,5,6,134,104,,,3,1,
73WN00009,73116610,73,1,6610,1,24,240,6474,11,1,42,1,3,74,134,1,2,,2,76,09,03,07,09,043,3,3,4,2,,1,11,6524,11,475,47,41,24,1,5,7,128,124,,3,3,1,
73WN00010,73116611,73,1,6611,1,24,240,6486,11,1,39,1,3,71,131,1,2,,1,93,09,03,08,09,042,13,2,3,2,,1,11,6524,11,631,63,33,24,1,1,7,147,104,,3,3,1,
73WN02971,73909431,73,3,9431,9,00,772,8913,61,6,,1,6,17,77,5,1,,1,55,09,04,07,07,037,8,3,4,2,,1,90,0000,98,539,53,,77,0,9,3,131,135,,3,4,1,
73WN02972,73909432,73,2,9432,9,00,06,9693,61,6,,5,5,17,77,4,1,,1,48,11,03,10,10,029,9,2,3,2,,1,90,0000,98,475,47,,74,0,5,3,137,114,,3,4,2,
73WN02973,73909433,73,2,9433,9,00,06,9693,61,6,,5,5,17,77,4,1,,1,45,14,03,09,09,041,14,3,3,1,,1,90,0000,98,442,44,,74,0,2,3,124,110,,3,4,2,
73WN02974,73909434,73,3,9434,9,00,782,9216,61,6,,3,6,14,74,5,1,,1,64,09,03,07,07,036,18,3,3,1,,1,90,0000,98,708,70,,78,0,8,3,149,116,,0,4,3,
73WN02975,73909435,73,2,9435,9,00,782,9216,61,6,,3,6,14,74,5,1,,2,63,13,03,08,07,043,2,3,3,1,,1,90,0000,98,708,70,,78,0,8,3,137,106,,0,4,3,
73WN02976,73909436,73,3,9436,9,00,752,2991,62,6,,1,2,14,74,5,1,,1,51,08,03,08,07,031,18,2,2,1,,2,90,0000,98,576,57,,75,0,6,3,143,84,,0,2,1,
73WN02977,73909437,73,2,9437,9,00,761,6027,42,4,,1,2,14,74,5,1,,2,57,10,03,07,07,032,19,3,3,1,,2,90,0000,98,573,57,,76,0,3,3,140,146,,0,2,1,
73WN02978,73909440,73,1,9440,9,98,02,0705,42,4,,1,7,64,124,1,1,52,1,104,05,03,05,07,042,12,3,4,2,,2,90,0009,95,739,73,,77,8,9,1,180,124,,2,5,1,
73WN02979,73909441,73,1,9441,9,98,20,6336,42,4,,3,2,61,121,1,4,55,1,86,08,04,08,07,042,22,4,5,2,,2,90,0063,95,640,64,,78,8,0,1,147,86,,3,2,3,
73WN02980,73909442,73,1,9442,9,99,24,2909,62,6,,1,2,52,112,1,4,56,1,84,07,03,08,09,039,20,3,4,2,,2,90,0080,95,648,64,,73,8,8,3,169,114,,3,2,1,
