UID,IDLAMB,YR,ETAG,LBRD,SEX,LINE,STM,PEN,TYB,TB,TR,AGE,ADAM,CADAM,BAND,DAYBN,DAYWN,WNAGE,TIM,BRWT,JUWT,WNWT,ADG,WT120,CLR,JAW,HORN,FACE,RGRP,TRT,LOT,BPEN,RMK,SIRE,SBRD,DAM,DBRD,LNDAM,PD,CAUSE,DAYDIS,TBRE,TBR17,IDX,MENB,MELW,PD2,CUWT,SAWT,EBVLWW,CLPG1,CLPG2,CLPG3,DNA,EBVSIRE,EBVDAM
99WN00001, 99090055,99,90055,09,3,00,00,L-7,5,1,1,1.0,1,1,1,121,221,100,21,12.3,55,84,0.717,98,1,1,,,7,.,LIM,,,A3234,04, 8062,00,00,3,93,270,1,1,0,1.0,98.0,3,101,0,,0,0,0,,,
99WN00002, 99090056,99,90056,09,2,00,00,L-7,8,2,1,1.0,1,1,1,121,221,100,3,8.4,44,65,0.566,76,9,1,,,1,.,BLK,e.7,BLACK ewe,A3234,04, 8142,00,00,1,,0,3,2,0,2.0,119.0,1,77,0,,0,0,0,,,
99WN00003, 99090057,99,90057,09,2,00,00,L-7,8,2,1,1.0,1,1,2,121,223,102,1,10.0,42,75,0.637,86,9,1,,,1,.,BLK,e.9,BLACK ewe,A3234,04, 8142,00,00,1,,0,5,6,0,2.0,119.0,1,86,0,,0,0,0,,,
99WN00004, 99090108,99,90108,09,3,00,91,L04,9,3,1,5.0,5,4,2,123,223,100,3,9.7,58,94,0.843,111,1,1,,,7,D,LIM,,, 0641,00,K7129,63,62,3,93,270,7,2,0,1.66,106.9,3,109,0,,0,0,0,,,
99WN00005, 99090114,99,90114,09,2,00,91,L01,9,3,1,7.0,7,5,2,124,223,99,3,7.4,45,75,0.683,89,1,1,,,7,D,LIM,L-0,SAVE DxC, 0619,00,K5891,63,60,1,,0,7,2,0,1.63,108.2,1,83,0,,0,0,0,,,
99WN00006, 99090291,99,90291,09,3,00,07,L14,5,1,1,5.0,5,4,H,128,229,101,1,16.2,75,98,0.81,113,1,1,,,7,T,LIM,,WAS BLIND,S0000,10,   84,00,00,3,93,270,1,1,108,1.2,71.6,3,105,0,,0,0,0,,,
99WN00007, 99090346,99,90346,09,3,00,07,L16,8,2,1,3.0,3,3,H,131,229,98,1,10.7,35,46,0.36,54,1,1,,,7,T,XXX,,"RUNT, BAND H",S0000,10, 6072,00,00,X,93,277,3,2,60,1.0,49.0,X,52,0,,0,0,0,,,
99WN00008, 99090399,99,90399,09,2,00,00,L-8,5,1,1,1.0,1,1,2,135,223,88,20,12.2,40,71,0.668,92,1,1,,,7,.,LIM,,,A3760,04, 8028,00,00,3,93,270,1,1,0,1.0,92.0,3,82,0,,0,0,0,,,
99WN00009, 99091108,99,91108,09,2,88,30,L42,8,2,1,5.0,5,4,H,145,229,84,1,0.0,54,72,0.857,103,1,,,,7,.,LIM,L-5,FIX BIG TAG,A4528,04,A1206,04,73,1,,0,3,2,101,1.97,102.4,1,80,0,,0,0,0,,,
99WN00010, 99046002,99,A6002,04,3,88,30,e.8,8,2,2,1.0,1,1,1,86,221,135,14,9.4,59,77,0.501,69,1,1,,,0,M,,,,A4328,04,A5354,04,81,3,93,270,5,4,102,2.22,142.7,3,96,0,,0,0,0,,,
99WN04399, 99816009,99,Z6009,81,3,00,20,e.P,5,1,1,1.0,1,1,3,126,243,117,15,11.4,47,76,0.552,78,5,1,,,2,P,PUB,,,Z0000,81,T6576,44,42,3,93,281,1,,,1.0,78.0,3,88,0,,,,,,,
99WN04400, 99816014,99,Z6014,81,2,00,20,e.P,5,1,1,1.0,1,1,3,126,243,117,2,12.6,68,96,0.713,98,5,1,,,2,P,PUB,L-0,,Z0000,81,T6686,44,41,1,,0,1,,,1.0,98.0,1,101,0,,,,,,,
99WN04401, 99816024,99,Z6024,81,3,00,20,e.P,5,1,1,1.0,1,1,3,128,243,115,1,12.5,40,64,0.448,66,5,1,,,2,P,PUB,,,Z0000,81,T6813,44,42,6,10,207,1,,,1.0,66.0,6,0,0,,,,,,,
99WN04402, 99816025,99,Z6025,81,2,00,20,e.P,5,1,1,1.0,1,1,3,128,243,115,9,12.3,57,78,0.571,81,5,1,,,2,P,PUB,L-0,,Z0000,81,T6801,44,41,1,,0,1,,,1.0,81.0,1,85,0,,,,,,,
99WN04403, 99816026,99,Z6026,81,2,00,20,e.P,5,1,1,1.0,1,1,3,128,243,115,9,11.3,47,69,0.502,72,5,1,,,2,P,PUB,L-0,4TEATS,Z0000,81,T6680,44,42,1,,0,1,,,1.0,72.0,1,71,0,,,,,,,
99WN04404, 99816040,99,Z6040,81,2,00,20,e.P,8,2,2,1.0,1,1,3,130,243,113,3,8.7,29,50,0.365,53,5,1,,,2,P,PUB,,,Z0000,81,T6544,44,41,3,93,281,5,,,2.0,118.0,3,54,0,,,,,,,
99WN04405, 99816041,99,Z6041,81,3,00,20,e.P,8,2,2,1.0,1,1,3,130,243,113,1,9.8,38,62,0.462,65,5,1,,,2,P,PUB,,,Z0000,81,T6544,44,41,7,97,243,5,,,2.0,118.0,7,,0,,,,,,,
99WN04406, 99816049,99,Z6049,81,3,00,20,e.P,5,1,1,1.0,1,1,3,131,243,112,7,11.3,61,85,0.658,90,5,1,,,2,P,PUB,,,Z0000,81,T6838,44,41,3,93,281,1,,,1.0,90.0,3,95,0,,,,,,,
99WN04407, 99816050,99,Z6050,81,2,00,20,e.P,5,1,1,1.0,1,1,3,132,243,111,9,14.1,66,91,0.693,97,5,1,,,2,P,PUB,L-0,,Z0000,81,T6937,44,41,1,,0,1,,,1.0,97.0,1,99,0,,,,,,,
99WN04408, 99091492,99,91492,09,2,00,80,L43,8,2,2,4.5,4,4,3,160,243,83,5,0.0,41,66,0.675,91,5,,,,7,L,LIM,,FOUND 7/20/99,Z0000,81,A1704,04,73,3,93,281,5,,,1.75,139.3,3,78,0,,,,,,,
