UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,LBRD,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,TIME,DB2,C52,CADAM_25,SIRE,SBRD,ADG,ADG6061,DINBR,LNDAM,TM,ADG67,BAND,IDX,BRWT,ABN,C76,CADAM_12,TBRE,CTBR,TM2,DISP
60WN00001,60,2,2347,0,69,288,1972,1,10,,1,4,85,145,1,3,10,1,81,11,03,09,07,044,12,2,2,1,14,0,,4,2775,14,483,48,,69,4,3,1,138,110,,,1,1,1,4,2
60WN00002,60,1,2349,0,69,398,2145,1,10,,1,2,84,144,2,7,10,2,98,10,04,08,09,043,14,2,2,1,18,0,,2,1714,14,606,60,,69,4,6,1,163,108,,,2,1,1,4,3
60WN00003,60,2,2350,0,69,448,1821,1,10,,5,5,80,140,2,1,10,2,80,08,03,08,09,045,16,2,2,1,12,0,,4,3220,14,507,18,,69,4,3,7,,90,,,1,5,2,4,2
60WN00004,60,2,2351,0,69,448,1821,1,10,,3,5,84,144,1,1,10,1,67,10,03,10,08,043,16,2,2,1,06,0,,4,3220,14,397,39,,69,4,7,1,136,98,,,1,3,3,4,2
60WN00005,60,2,2352,0,69,550,2001,1,10,,5,3,83,143,2,3,10,2,73,12,03,08,08,039,14,2,2,1,07,0,,3,4899,11,462,46,,69,5,2,1,135,70,,,1,5,2,5,2
60WN00006,60,2,2353,0,69,550,2001,1,10,,5,3,83,143,2,4,10,1,59,09,03,08,10,044,10,2,2,1,05,0,,3,4899,11,372,37,,69,5,2,1,144,58,,,1,5,2,5,2
60WN00007,60,2,2354,0,69,498,1869,1,10,,1,5,83,143,1,3,10,1,69,11,03,09,08,041,16,1,2,2,17,0,,4,4188,14,424,42,,69,4,4,1,128,84,,,1,1,1,4,2
60WN00008,60,1,2355,0,00,000,1816,1,10,,1,5,82,142,2,7,10,2,90,11,07,08,08,040,16,2,2,1,30,0,,4,,,539,53,,69,0,9,1,132,134,,,1,1,1,0,3
60WN00009,60,1,2356,0,69,298,1691,1,10,,1,8,82,142,2,7,10,2,104,11,04,07,07,040,16,2,2,1,23,0,,5,4218,14,648,64,,68,4,8,1,154,120,,,1,1,1,4,3
60WN00010,60,2,2357,0,69,398,1915,1,10,,1,4,82,142,2,3,10,2,91,09,03,07,07,048,16,2,2,1,33,0,,4,1714,14,552,55,,69,4,2,1,163,126,,,1,1,1,4,
60WN02971,60,2,0144,9,00,062,3110,4,41,,1,2,23,83,5,1,90,1,82,13,04,05,07,037,16,6,7,2,27,1,,2,,,819,81,34,06,0,9,7,161,140,,,2,1,1,0,3
60WN02972,60,2,0145,9,00,162,1938,4,41,,1,3,23,83,5,1,90,2,79,09,04,06,07,034,12,4,5,2,28,1,,3,,,778,77,19,16,0,8,7,170,144,,,1,1,1,0,3
60WN02973,60,2,5290,2,22,220,3903,1,14,30,1,3,78,138,1,1,14,1,61,10,03,08,08,040,14,2,2,1,20,4,,3,4239,14,362,36,,22,1,2,1,,110,,,1,1,1,1,
60WN02974,60,1,0353,3,72,840,8727,1,17,,5,4,72,132,2,1,18,1,75,11,03,09,09,035,14,2,2,1,25,7,,4,9264,17,500,50,,72,3,0,1,,90,,,1,5,2,3,
60WN02975,60,1,0374,3,72,990,8297,1,17,,5,5,72,132,1,7,18,1,75,12,04,08,08,043,14,2,2,1,13,7,,4,9449,17,488,48,,72,3,8,1,,106,,,1,5,2,3,
60WN02976,60,2,0583,3,66,660,8006,1,17,,1,5,63,123,1,1,18,1,78,09,03,09,09,040,14,2,2,1,10,7,,4,4174,14,538,53,,65,5,8,3,,118,,,1,1,1,5,
60WN02977,60,2,5127,4,17,172,8672,4,40,32,5,6,67,127,1,1,41,1,75,08,03,09,09,042,10,4,4,1,28,0,,4,1777,41,518,51,19,17,1,8,3,,92,,,1,5,2,1,
60WN02978,60,1,5397,4,17,172,0402,4,41,11,1,4,62,122,1,1,41,1,62,09,03,09,09,040,13,3,4,2,10,1,,4,1777,41,400,40,,17,1,0,3,,132,,,1,1,1,1,
60WN02979,60,2,3586,6,05,053,2619,6,61,23,1,2,71,131,1,1,61,1,77,09,03,08,09,050,10,4,5,2,10,1,,2,1999,61,508,50,,05,1,8,2,,104,,,2,1,1,1,
60WN02980,60,1,3738,6,70,723,1028,6,61,,5,4,66,126,1,1,61,2,90,09,03,07,09,055,10,4,5,2,10,1,,4,2336,61,637,63,,75,2,7,2,,98,,,1,5,2,2,
