UID,YR,SEX,ETAG,LB1,LINE,BPEN,DAM,DB1,DBRD,LINBR,TBR50,ADAM,WNAGE_60,WNAGE,CLR,HORN,BELLY,JAW,WNWT,F,N,T,C,L,CRIMP,SIDE,THIGH,THSCO,DENSITY,HAIR,WOOL,C53,ADG,C5758,C5960,LBRD,TBRE,CTBR,LNDAM,TM,PENIS,BAND,IDX,BRWT,ABN,DISP,CULLFOR,C79,CADAM_25
52WN00001,52,1,3613,1,00,320,3098,1,11,,1,2,76,136,1,4,07,1,71,10,04,09,09,026,12,2,2,1,,1,2,,447,06,00,11,1,1,,0,3,1,125,102,,3,50,0,2
52WN00002,52,2,3615,1,63,600,2987,1,11,,1,3,75,135,1,3,06,1,63,13,03,09,09,030,13,2,3,2,,4,2,1,410,07,20,11,1,1,,6,,1,106,76,,1,,0,3
52WN00003,52,1,3616,1,34,340,2571,1,11,38,5,4,75,135,3,7,05,1,78,12,03,08,08,037,10,2,4,3,,4,3,,519,07,20,11,5,2,,1,3,1,144,80,,3,40,0,4
52WN00004,52,1,3617,1,34,340,2571,1,11,38,5,4,75,135,1,7,06,1,52,15,03,10,12,034,12,2,2,1,,4,2,,329,07,20,11,5,2,,1,1,1,112,76,,3,12,0,4
52WN00005,52,1,3619,1,34,340,2760,1,11,38,3,3,75,135,1,7,07,1,71,11,03,09,09,029,14,2,2,1,,3,3,,458,07,20,11,3,3,,1,1,1,134,92,,1,,0,3
52WN00006,52,1,3621,1,00,320,3215,1,11,,1,2,74,134,1,5,05,1,99,11,04,10,07,031,14,2,3,2,,1,2,,658,08,00,11,1,1,,0,5,1,148,108,,1,,0,2
52WN00007,52,2,3622,1,24,240,2878,1,11,20,1,3,74,134,1,3,07,1,73,13,03,06,06,031,8,2,3,2,,1,3,1,472,08,00,11,1,1,,1,,1,112,98,,1,,0,3
52WN00008,52,2,3623,1,63,600,2523,1,11,,1,4,74,134,1,3,06,1,66,09,04,06,07,030,9,2,2,1,,3,3,2,427,08,22,11,1,1,,6,,1,120,88,,1,,0,4
52WN00009,52,2,3624,1,21,211,2555,1,11,32,3,4,74,134,1,3,07,1,49,14,03,12,11,027,11,2,2,1,,2,2,,310,08,18,11,3,3,,1,,1,102,74,,3,50,0,4
52WN00010,52,1,3627,1,34,340,2230,1,11,39,4,5,73,133,1,7,06,1,71,14,04,08,09,030,11,2,3,2,,3,3,,463,09,30,11,3,3,,1,1,1,117,94,,3,12,0,4
52WN01439,52,2,1695,7,70,166,0932,8,68,,1,4,58,118,1,1,04,1,82,09,03,06,07,046,7,5,6,2,53,2,2,1,622,24, 6,67,1,1,,9,,5,123,86,,1,,0,4
52WN01440,52,1,1697,7,70,106,0993,8,68,,1,4,55,115,1,4,07,1,80,13,03,06,06,040,8,2,3,2,51,2,2,,621,27, 6,67,1,1,,9,5,5,122,86,,3,12,0,4
52WN01441,52,1,1698,7,70,156,0967,8,68,,1,4,55,115,1,2,05,1,92,12,03,06,06,047,7,4,5,2,54,2,2,,701,27, 7,67,1,1,,9,5,5,131,114,,1,,0,4
52WN01442,52,2,1699,7,70,116,0924,8,68,,1,4,55,115,1,1,05,1,89,09,03,06,06,050,9,5,6,2,50,3,4,1,668,27, 6,67,1,1,,9,,5,135,122,,1,,0,4
52WN01443,52,1,1702,7,70,056,0960,8,68,,1,4,48,108,1,1,06,1,82,08,04,07,05,037,8,4,5,2,52,2,2,,670,34, 6,67,1,1,,9,3,5,116,96,,1,,0,4
52WN01444,52,1,1703,7,70,136,0821,8,68,,1,4,39,99,1,1,08,1,86,12,04,07,06,035,8,3,4,2,52,,,,762,, 7,67,1,1,,9,5,5,129,106,,1,,0,4
52WN01445,52,1,1704,7,70,016,1011,8,68,,1,4,39,99,1,1,07,1,99,07,03,06,06,038,10,3,4,2,51,,,,879,, 8,67,1,1,,9,1,5,143,120,,1,,0,4
52WN01446,52,2,0416,9,70,156,1333,9,66,,3,5,61,121,1,1,05,1,86,07,03,05,06,046,8,5,7,3,53,,,1,635,, 6,69,3,3,,9,,5,128,92,,1,,0,4
52WN01447,52,1,0417,9,70,156,1333,9,66,,4,5,61,121,1,1,07,1,96,08,03,07,08,039,11,3,4,2,52,,,,704,, 7,69,3,3,,9,5,5,139,108,,1,,0,4
52WN01448,52,2,7042,3,00,000,0000,3,17,,1,4,64,124,1,4,05,1,71,13,03,06,08,034,12,2,3,2,,2,2,,508,18,,17,1,1,,0,,1,124,80,,1,,0,4
