UID,IDLAMB,YR,SEX,ETAG,LBRD,LB1,LINE,BPEN,DAM,TESTE,TBRE,ADAM,WNAGE_60,WNAGE,CLR,HORN,STM,JAW,WNWT,F,N,T,C,L,TIME,SIDE,THIGH,MENB,LB2,DBRD,SIRE,SBRD,ADG,MELW,TM,BAND,IDX,BRWT,CAUSE,CADAM,CTBR,ABN
76WN00001,76190235,76,1,0235,19,1,75,750,8221,121,5,2,72,132,1,4,,2,56,08,09,13,11,032,6,2,3,,9,18,9202,18,354,,6,3,116,93,,2,2,
76WN00002,76190236,76,1,0236,19,1,75,750,8221,203,5,2,72,132,1,4,,2,83,08,04,10,07,039,11,4,5,,9,18,9202,18,552,,6,3,156,101,,2,2,
76WN00003,76190237,76,1,0237,19,1,75,750,5083,157,5,6,72,132,1,4,,1,69,11,03,11,09,031,3,2,4,137,9,18,9202,18,445,789,6,3,125,103,93,4,2,
76WN00004,76190238,76,1,0238,19,1,75,750,5083,157,5,6,72,132,1,7,,1,65,09,03,12,11,031,8,2,4,137,9,18,9202,18,409,789,6,3,137,110,93,4,2,
76WN00005,76190239,76,2,0239,19,1,74,740,8114,,1,2,72,132,1,3,,2,70,10,03,10,09,037,9,2,4,,9,18,9257,18,442,,6,3,130,116,,2,1,
76WN00006,76190240,76,2,0240,19,1,75,751,8105,,5,2,71,131,1,1,,1,57,07,03,11,11,039,21,2,4,,9,18,9362,18,357,,6,2,150,102,,2,2,
76WN00007,76190241,76,1,0241,19,1,75,751,8105,238,5,2,72,132,1,6,,1,77,09,03,09,08,044,15,4,5,,9,18,9362,18,517,,6,3,155,87,,2,2,
76WN00008,76190242,76,2,0242,19,1,74,740,4584,,1,6,72,132,1,1,,1,76,11,03,09,08,038,5,2,4,162,9,18,9257,18,502,832,6,3,124,98,,4,1,
76WN00009,76190244,76,2,0244,19,1,73,731,7528,,3,3,72,132,1,1,,2,65,10,03,10,08,038,12,3,5,139,9,18,8959,18,427,810,6,3,128,86,,3,3,
76WN00010,76190245,76,2,0245,19,1,70,701,4732,,1,6,71,131,1,1,,2,85,09,03,06,06,047,3,4,5,149,9,18,8084,18,553,1031,2,2,140,126,,4,1,
76WN03547,76933927,76,3,3927,93,9,,,8821,,6,3,71,131,5,,79,1,57,,,,,,,,,,3,90,0000,97,359,,9,9,,100,95,3,3,
76WN03548,76933934,76,3,3934,93,9,,,1656,,4,1,71,131,5,,78,1,57,,,,,,,,,,3,93,0000,97,381,,9,9,,71,95,1,3,
76WN03549,76933981,76,3,3981,93,9,,,0146,,4,2,71,131,5,,79,1,57,,,,,,,,,,3,93,0000,97,379,,9,9,,74,95,2,3,
76WN03550,76934018,76,3,4018,93,9,,,9011,,6,3,70,130,5,,75,1,57,,,,,,,,,,3,90,0000,97,378,,9,9,,78,95,3,3,
76WN03551,76934083,76,3,4083,93,9,98,07,6584,,4,5,70,130,1,,55,1,57,,,,,,,,,,3,42,1622,93,343,,8,9,,124,95,4,3,
76WN03552,76934092,76,3,4092,93,9,,,0081,,6,2,70,130,5,,75,1,57,,,,,,,,,,3,93,0000,97,379,,9,9,,77,95,2,3,
76WN03553,76934130,76,2,4130,93,9,,,8473,,4,3,69,129,5,,20,1,57,,,,,,,,,,3,42,0000,97,357,,9,9,,110,97,3,3,
76WN03554,76934172,76,3,4172,93,9,,,0511,,4,2,69,129,5,,78,1,57,,,,,,,,,,3,93,0000,97,376,,9,9,,85,95,2,3,
76WN03555,76934255,76,3,4255,93,9,,,0670,,4,2,67,127,5,,78,1,57,,,,,,,,,,3,93,0000,97,366,,9,9,,105,95,2,3,
76WN03556,76934339,76,3,4339,93,9,,,1618,,4,1,65,125,4,,78,1,57,,,,,,,,,,3,93,0000,97,396,,9,9,,75,95,1,3,
