UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VI93,GRP,DISP,DAYDIS,TRT,BPEN,COND,BGRP,AGE,RMK,YRREC
94IN00001,         0,01574,,92,1,TX,1,07,,,,0,,,1,CTL,M,198,212,0,,,,,,,,,2.0,TEXAS RAM,1994
94IN00002,         0,01957,,92,1,TX,1,07,,,,0,,,1,FW,M,172,201,0,,,,,,,,,2.0,TEXAS RAM,1994
94IN00003,         0,01958,,92,1,TX,1,07,,,,0,,,1,FW,M,192,214,0,,,,,,,,,2.0,TEXAS RAM,1994
94IN00004,1993003001, 3001,00,93,E,00,1,00,-Z-,000010,000000,7,,,7,29A,*,0,0,0,,,97,0412,,LIS,,L,0.9,AT HQ OCT.5,1994
94IN00005,1993003004, 3004,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,30A,3,96,137,0,,,,,,LIS,,L,0.9,,1994
94IN00006,1993003012, 3012,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31B,3,77,111,0,,,,,,LIS,,L,0.9,,1994
94IN00007,1993003013, 3013,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,99,110,0,,,,,,LIS,,L,0.9,,1994
94IN00008,1993003018, 3018,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29A,3,105,129,0,,,,,,LIS,,L,0.9,,1994
94IN00009,1993003020, 3020,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,30A,3,125,132,0,,,,,,LIS,,L,0.9,,1994
94IN00010,1993003021, 3021,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31D,3,86,126,0,,,,,,LIS,,L,0.9,,1994
94IN00011,1993003024, 3024,00,93,E,00,1,00,-Z-,000010,000000,7,,,,,*,0,0,0,,,97,0310,,LIS,,L,0.9,,1994
94IN00012,1993003025, 3025,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32A,3,72,109,0,,,,,,LIS,,L,0.9,,1994
94IN00013,1993003029, 3029,00,93,E,00,1,00,-Z-,000010,000000,7,,,,,*,0,0,0,,,97,0310,,LIS,,L,0.9,,1994
94IN00014,1993003031, 3031,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,30A,3,87,127,0,,,,,,LIS,,L,0.9,,1994
94IN00015,1993003038, 3038,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,81,124,0,,,,,,LIS,,L,0.9,,1994
94IN00016,1993003039, 3039,00,93,E,00,1,00,-Z-,000010,000000,7,,,7,31B,3,77,0,0,,,97,0610,,LIS,,L,0.9,,1994
94IN00017,1993003048, 3048,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,66,100,0,,,,,,LIS,,L,0.9,,1994
94IN00018,1993003059, 3059,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32A,3,86,129,0,,,,,,LIS,,L,0.9,,1994
94IN00019,1993003062, 3062,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29A,3,75,118,0,,,,,,LIS,,L,0.9,,1994
94IN00020,1993003064, 3064,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29A,3,100,146,0,,,,,,LIS,,L,0.9,,1994
94IN00021,1993003068, 3068,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,30A,3,99,145,0,,,,,,LIS,,L,0.9,,1994
94IN00022,1993003075, 3075,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,89,125,0,,,,,,LIS,,L,0.9,,1994
94IN00023,1993003078, 3078,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29C,3,85,118,0,,,,,,LIS,,L,0.9,,1994
94IN00024,1993003081, 3081,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,88,124,0,,,,,,LIS,,L,0.9,,1994
94IN00025,1993003091, 3091,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29A,3,100,102,0,,,,,,LIS,,L,0.9,?PUKER,1994
94IN00026,1993003095, 3095,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31A,3,96,141,0,,,,,,LIS,,L,0.9,LOST TAG#502,1994
94IN00027,1993003103, 3103,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,92,119,0,,,,,,LIS,,L,0.9,,1994
94IN00028,1993003104, 3104,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,98,137,0,,,,,,LIS,,L,0.9,,1994
94IN00029,1993003110, 3110,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35C,3,85,121,0,,,,,,LIS,,L,0.9,,1994
94IN00030,1993003113, 3113,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31B,3,115,135,0,,,,,,LIS,,L,0.9,,1994
94IN00031,1993003114, 3114,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,30A,3,89,124,0,,,,,,LIS,,L,0.9,,1994
94IN00032,1993003118, 3118,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34A,3,87,128,0,,,,,,LIS,,L,0.9,,1994
94IN00033,1993003119, 3119,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32C,3,92,142,0,,,,,,LIS,,L,0.9,,1994
94IN00034,1993003125, 3125,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32A,3,93,126,0,,,,,,LIS,,L,0.9,,1994
94IN00035,1993003138, 3138,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31A,3,78,108,0,,,,,,LIS,,L,0.9,,1994
94IN00036,1993003139, 3139,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31D,3,81,128,0,,,,,,LIS,,L,0.9,,1994
94IN00037,1993003142, 3142,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31B,3,75,111,0,,,,,,LIS,,L,0.9,,1994
94IN00038,1993003143, 3143,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31D,3,85,118,0,,,,,,LIS,,L,0.9,,1994
94IN00039,1993003160, 3160,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32A,3,108,135,0,,,,,,LIS,,L,0.9,,1994
94IN00040,1993003170, 3170,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,106,125,0,,,,,,LIS,,L,0.9,,1994
94IN00041,1993003179, 3179,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32A,3,88,124,0,,,,,,LIS,,L,0.9,,1994
94IN00042,1993003183, 3183,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,134,147,0,,,,,,LIS,,L,0.9,,1994
94IN00043,1993003185, 3185,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32C,3,82,118,0,,,,,,LIS,,L,0.9,,1994
94IN00044,1993003186, 3186,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35C,3,127,149,0,,,,,,LIS,,L,0.9,,1994
94IN00045,1993003191, 3191,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31D,3,114,123,0,,,,,,LIS,,L,0.9,,1994
94IN00046,1993003193, 3193,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31B,3,117,149,0,,,,,,LIS,,L,0.9,,1994
94IN00047,1993003198, 3198,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34A,3,80,121,0,,,,,,LIS,,L,0.9,,1994
94IN00048,1993003199, 3199,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31A,3,136,162,0,,,,,,LIS,,L,0.9,,1994
94IN00049,1993003201, 3201,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,79,127,0,,,,,,LIS,,L,0.9,,1994
94IN00050,1993003205, 3205,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31B,3,85,121,0,,,,,,LIS,,L,0.9,,1994
94IN00051,1993003211, 3211,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,88,120,0,,,,,,LIS,,L,0.9,,1994
94IN00052,1993003213, 3213,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31A,3,90,127,0,,,,,,LIS,,L,0.9,,1994
94IN00053,1993003216, 3216,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31D,3,102,149,0,,,,,,LIS,,L,0.9,,1994
94IN00054,1993003225, 3225,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32A,3,104,139,0,,,,,,LIS,,L,0.9,,1994
94IN00055,1993003231, 3231,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32C,3,107,147,0,,,,,,LIS,,L,0.9,,1994
94IN00056,1993003232, 3232,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,119,138,0,,,,,,LIS,,L,0.9,,1994
94IN00057,1993003237, 3237,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,106,130,0,,,,,,LIS,,L,0.9,RF HOOF ILL,1994
94IN00058,1993003244, 3244,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35C,3,103,131,0,,,,,,LIS,,L,0.9,,1994
94IN00059,1993003249, 3249,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,30A,3,95,128,0,,,,,,LIS,,L,0.9,,1994
94IN00060,1993003252, 3252,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29C,3,88,137,0,,,,,,LIS,,L,0.9,,1994
94IN00061,1993003255, 3255,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29A,3,114,139,0,,,,,,LIS,,L,0.9,,1994
94IN00062,1993003257, 3257,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29A,3,77,113,0,,,,,,LIS,,L,0.9,,1994
94IN00063,1993003260, 3260,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29A,3,77,118,0,,,,,,LIS,,L,0.9,AT HQ OCT.5,1994
94IN00064,1993003261, 3261,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35C,3,77,116,0,,,,,,LIS,,L,0.9,,1994
94IN00065,1993003262, 3262,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,90,115,0,,,,,,LIS,,L,0.9,,1994
94IN00066,1993003269, 3269,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,134,153,0,,,,,,LIS,,L,0.9,,1994
94IN00067,1993003270, 3270,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,30A,3,89,114,0,,,,,,LIS,,L,0.9,LEG IN PRATT.,1994
94IN00068,1993003272, 3272,00,93,E,00,1,00,-Z-,000010,000000,7,,,7,29A,*,0,0,0,,,97,0412,,LIS,,L,0.9,,1994
94IN00069,1993003274, 3274,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34A,3,113,120,0,,,,,,LIS,,L,0.9,,1994
94IN00070,1993003281, 3281,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31A,3,81,128,0,,,,,,LIS,,L,0.9,,1994
94IN00071,1993003282, 3282,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31B,3,80,109,0,,,,,,LIS,,L,0.9,,1994
94IN00072,1993003283, 3283,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,30A,3,97,137,0,,,,,,LIS,,L,0.9,,1994
94IN00073,1993003288, 3288,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31A,3,71,112,0,,,,,,LIS,,L,0.9,,1994
94IN00074,1993003291, 3291,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32A,3,95,128,0,,,,,,LIS,,L,0.9,,1994
94IN00075,1993003295, 3295,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,99,136,0,,,,,,LIS,,L,0.9,,1994
94IN00076,1993003298, 3298,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,124,137,0,,,,,,LIS,,L,0.9,,1994
94IN00077,1993003299, 3299,00,93,E,00,1,00,-Z-,000010,000000,7,,,6,31B,3,67,0,0,,,54,0525,,LIS,,L,0.9,CHASE & KILL,1994
94IN00078,1993003307, 3307,00,93,E,00,1,00,-Z-,000010,000000,7,,,,,*,0,0,0,,,97,0310,,LIS,,L,0.9,,1994
94IN00079,1993003310, 3310,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29A,3,126,142,0,,,,,,LIS,,L,0.9,,1994
