UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VI93,GRP,DISP,DAYDIS,TRT,BPEN,COND,BGRP,AGE,RMK,YRREC
94IN00080,1993003319, 3319,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31D,3,90,136,0,,,,,,LIS,,L,0.9,,1994
94IN00081,1993003330, 3330,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,101,126,0,,,,,,LIS,,L,0.9,,1994
94IN00082,1993003340, 3340,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35C,3,89,126,0,,,,,,LIS,,L,0.9,,1994
94IN00083,1993003343, 3343,00,93,E,00,1,00,-Z-,000010,000000,7,,,6,31B,3,113,0,0,,,01,0525,,LIS,,L,0.9,DECOMPOSED,1994
94IN00084,1993003344, 3344,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,29A,3,84,108,0,,,,,,LIS,,L,0.9,LOST TAG#9050,1994
94IN00085,1993003347, 3347,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32A,3,80,105,0,,,,,,LIS,,L,0.9,,1994
94IN00086,1993003352, 3352,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31D,3,98,128,0,,,,,,LIS,,L,0.9,,1994
94IN00087,1993003360, 3360,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32A,3,83,124,0,,,,,,LIS,,L,0.9,,1994
94IN00088,1993003367, 3367,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,77,112,0,,,,,,LIS,,L,0.9,,1994
94IN00089,1993003379, 3379,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32A,3,134,153,0,,,,,,LIS,,L,0.9,,1994
94IN00090,1993003386, 3386,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,32C,3,89,134,0,,,,,,LIS,,L,0.9,,1994
94IN00091,1993003389, 3389,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,30A,3,116,135,0,,,,,,LIS,,L,0.9,,1994
94IN00092,1993003405, 3405,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,82,112,0,,,,,,LIS,,L,0.9,,1994
94IN00093,1993003413, 3413,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,79,114,0,,,,,,LIS,,L,0.9,,1994
94IN00094,1993003415, 3415,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35C,3,84,118,0,,,,,,LIS,,L,0.9,,1994
94IN00095,1993003416, 3416,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,92,113,0,,,,,,LIS,,L,0.9,,1994
94IN00096,1993003418, 3418,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,34D,3,89,119,0,,,,,,LIS,,L,0.9,,1994
94IN00097,1993003423, 3423,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,100,132,0,,,,,,LIS,,L,0.9,,1994
94IN00098,1993003426, 3426,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,31B,3,77,116,0,,,,,,LIS,,L,0.9,,1994
94IN00099,1993003434, 3434,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,110,120,0,,,,,,LIS,,L,0.9,,1994
94IN00100,1993003437, 3437,00,93,E,00,1,00,-Z-,000010,000000,7,,,1,35A,3,76,116,0,,,,,,LIS,,L,0.9,,1994
94IN00101,         0,06139,,91,1,TX,1,07,,,,0,,,1,CTL,M,221,247,0,,,,,,,,,3.0,TEXAS RAM,1994
94IN00102,         0,09217,,92,1,97,1,97,,,,0,,,1,BF,M,247,271,0,,,,,,,,,2.0,Syringa,1994
94IN00103,1993040004,A0004,04,93,2,00,1,30,p.2,751903,865403,1,,,1,BLK,B,161,174,1,,,,,M,971,,1,1.0,BLACK,1994
94IN00104,1993040005,A0005,04,93,1,80,1,30,P02,760003,665503,0,,,6,M,Y,157,175,0,,,04,0803,M,,,,1.0,,1994
94IN00105,1993040006,A0006,04,93,2,81,1,30,P02,760003,665503,0,,,2,56,5,157,157,1,,,92,0922,M,---,,,1.0,NR BRITCHY,1994
94IN00106,1993040012,A0012,04,93,1,82,1,30,68,780303,495403,2,,,3,LIB,Y,141,168,0,,L,,,C,,,,1.0,,1994
94IN00107,1993040013,A0013,04,93,2,82,1,30,68,780303,495403,0,,,1,,1,125,125,2,,,,,C, 20,,2,1.0,,1994
94IN00108,1993040015,A0015,04,93,1,80,1,30,P04,684903,659803,0,,,6,M,Y,160,189,0,,,04,0803,M,,,,1.0,,1994
94IN00109,1993040019,A0019,04,93,1,82,1,30,60,723903,051703,0,,,1,CTL,Y,142,163,0,,,,,C,,,,1.0,,1994
94IN00110,1993040021,A0021,04,93,2,81,1,30,P02,760003,339503,0,,,7,,2,127,0,0,,,97,0913,M,---,,,1.0,,1994
94IN00111,1993040023,A0023,04,93,1,80,1,30,P04,684903,530103,0,,,2,085,Y,153,176,0,,,92,0922,M,,,,1.0,,1994
94IN00112,1993040029,A0029,04,93,1,80,1,30,P03,678403,397703,2,,,3,LIB,Y,150,177,0,,L,74,1130,M,,,,1.0,,1994
94IN00113,1993040036,A0036,04,93,2,82,1,30,60,723903,385203,0,,,3,,2,130,126,12,,,93,1010,C,---,,,1.0,,1994
94IN00114,1993040037,A0037,04,93,2,82,1,30,60,723903,385203,0,,,1,,2,118,113,2,,,,,C, 21,,2,1.0,KEEP,1994
94IN00115,1993040038,A0038,04,93,1,80,1,30,P04,684903,507703,0,,,1,M,Y,128,156,0,,,,,M,,,,1.0,,1994
94IN00116,1993040039,A0039,04,93,2,81,1,30,P04,684903,507703,0,,,1,,2,131,132,1,,,,,M, 01,,2,1.0,,1994
94IN00117,1993040041,A0041,04,93,2,82,1,30,61,673403,389103,0,,,2,54,5,111,134,1,,,92,0922,C,---,,,1.0,,1994
94IN00118,1993040043,A0043,04,93,1,82,1,30,65,687203,725403,0,,,1,CTL,Y,128,152,0,,,,,C,,,,1.0,,1994
94IN00119,1993040050,A0050,04,93,2,82,1,30,71,770403,470203,0,,,1,,1,130,119,2,,,,,C, 22,,2,1.0,,1994
94IN00120,1993040051,A0051,04,93,2,82,1,30,71,770403,470203,0,,,1,,1,129,123,2,,,,,C, 23,,2,1.0,,1994
94IN00121,1993040054,A0054,04,93,1,82,1,30,67,704203,728803,0,,,1,CTL,Y,118,146,0,,,,,C,,,,1.0,,1994
94IN00122,1993040057,A0057,04,93,1,82,1,30,67,704203,776903,0,,,1,CTL,Y,127,151,0,,,,,C,,,,1.0,,1994
94IN00123,1993040058,A0058,04,93,2,82,1,30,67,704203,776903,0,,,1,,2,122,129,2,,,,,C, 24,,2,1.0,,1994
94IN00124,1993040067,A0067,04,93,2,82,1,30,67,704203,087703,0,,,2,51,5,113,147,1,,,92,0922,C,---,,,1.0,,1994
94IN00125,1993040068,A0068,04,93,2,82,1,30,67,704203,087703,0,,,1,,2,153,153,2,,,,,C, 25,,2,1.0,,1994
94IN00126,1993040074,A0074,04,93,1,82,1,30,67,704203,495203,0,,,3,CTL,Y,131,153,0,,,93,0808,C,,,,1.0,SM. TESTES,1994
94IN00127,1993040075,A0075,04,93,2,82,1,30,67,704203,495203,0,,,2,50,1,115,131,2,,,92,0922,C,---,,,1.0,,1994
94IN00128,1993040078,A0078,04,93,1,80,1,30,P01,687403,558003,0,,,3,M,Y,146,159,0,,,93,0808,M,,,,1.0,,1994
94IN00129,1993040079,A0079,04,93,1,80,1,30,P01,687403,558003,2,,,3,LIB,Y,134,160,0,,L,,,M,,,,1.0,,1994
94IN00130,1993040080,A0080,04,93,1,80,1,30,P03,678403,372203,0,,,3,LIB,Y,153,176,0,,L,,,M,,,,1.0,,1994
94IN00131,1993040082,A0082,04,93,2,81,1,30,P01,687403,214203,0,,,3,OVX,5,103,135,1,,,,,M,---,,,1.0,NEW OVX,1994
94IN00132,1993040084,A0084,04,93,2,82,1,30,61,673403,472703,0,,,1,,2,141,141,2,,,,,C, 26,,2,1.0,,1994
94IN00133,1993040089,A0089,04,93,1,80,1,30,P02,760003,403203,0,,,3,M,Y,133,163,0,,,93,0808,M,,,,1.0,,1994
94IN00134,1993040092,A0092,04,93,1,82,1,30,64,732403,205603,0,,,2,071,Y,151,156,0,,,92,0922,C,,,,1.0,,1994
94IN00135,1993040099,A0099,04,93,1,82,1,30,69,708803,214103,0,,,1,CTL,Y,143,168,0,,,,,C,,,,1.0,,1994
94IN00136,1993040102,A0102,04,93,1,82,1,30,63,675603,697103,0,,,2,069,Y,144,173,0,,,92,0922,C,,,,1.0,,1994
94IN00137,1993040103,A0103,04,93,2,82,1,30,63,675603,697103,0,,,2,53,5,112,145,1,,,92,0922,C,---,,,1.0,ENTR,1994
94IN00138,1993040105,A0105,04,93,1,80,1,30,P02,760003,354403,0,,,2,068,Y,139,164,0,,,92,0922,M,,,,1.0,,1994
94IN00139,1993040113,A0113,04,93,2,82,1,30,61,673403,764703,0,,,1,,1,135,142,1,,,,,C, 27,,2,1.0,,1994
94IN00140,1993040117,A0117,04,93,1,82,1,30,69,708803,703803,0,,,6,CTL,Y,135,157,0,,,04,0803,C,,,,1.0,,1994
94IN00141,1993040118,A0118,04,93,1,82,1,30,61,673403,054603,0,,,1,CTL,Y,130,148,0,,,,,C,,,,1.0,,1994
94IN00142,1993040120,A0120,04,93,2,82,1,30,71,770403,754403,0,,,1,,2,155,145,2,,,,,C, 28,,2,1.0,,1994
94IN00143,1993040129,A0129,04,93,2,81,1,30,P02,760003,512303,0,,,1,,2,136,135,2,,,,,M, 03,,2,1.0,,1994
94IN00144,1993040136,A0136,04,93,2,82,1,30,66,677303,545403,0,,,2,57,2,128,140,2,,,92,0922,C,---,,,1.0,NR BRITCHY,1994
94IN00145,1993040138,A0138,04,93,2,82,1,30,69,708803,567503,0,,,3,OVX,5,95,120,1,,,,,C,---,,,1.0,NEW OVX,1994
94IN00146,1993040147,A0147,04,93,2,81,1,30,P03,678403,200703,0,,,1,,2,131,134,2,,,,,M, 02,,2,1.0,,1994
94IN00147,1993040152,A0152,04,93,2,81,1,30,p.2,751903,868403,0,,,1,SAV,5,157,171,1,,,,,M, 04,,2,1.0,,1994
94IN00148,1993040153,A0153,04,93,2,82,1,30,69,708803,496603,0,,,1,,5,140,147,1,,,,,C, 29,,2,1.0,,1994
94IN00149,1993040156,A0156,04,93,1,80,1,30,P04,684903,655603,0,,,2,076,Y,158,184,0,,,92,0922,M,,,,1.0,,1994
94IN00150,1993040161,A0161,04,93,1,82,1,30,60,723903,245303,0,,,1,CTL,Y,131,154,0,,,,,C,,,,1.0,,1994
94IN00151,1993040162,A0162,04,93,2,82,1,30,60,723903,245303,0,,,1,,5,131,147,1,,,,,C, 30,,2,1.0,FOUNDER '94,1994
94IN00152,1993040165,A0165,04,93,2,81,1,30,P02,760003,100603,0,,,1,,1,135,143,2,,,,,M, 01,,2,1.0,,1994
94IN00153,1993040166,A0166,04,93,2,81,1,30,p.1,685303,917703,0,,,1,,1,126,139,1,,,,,M, 02,,2,1.0,,1994
94IN00154,1993040167,A0167,04,93,1,82,1,30,68,780303,214003,0,,,1,CTL,Y,137,164,0,,,,,C,,,,1.0,MM,1994
94IN00155,1993040168,A0168,04,93,2,82,1,30,68,780303,214003,0,,,2,50,2,141,138,1,,,92,0922,C,---,,,1.0,,1994
94IN00156,1993040171,A0171,04,93,2,82,1,30,65,687203,507103,0,,,1,,2,147,143,2,,,,,C, 31,,2,1.0,,1994
94IN00157,1993040174,A0174,04,93,1,82,1,30,65,687203,207703,0,,,3,CTL,Y,132,158,0,,,93,0808,C,,,,1.0,,1994
94IN00158,1993040175,A0175,04,93,2,81,1,30,P04,684903,665403,0,,,2,51,5,120,148,1,,,92,0922,M,---,,,1.0,,1994
94IN00159,1993040177,A0177,04,93,1,82,1,30,65,687203,401803,0,,,3,LIB,Y,124,143,0,,L,,,C,,,,1.0,MOR,1994
94IN00160,1993040180,A0180,04,93,1,80,1,30,P02,760003,380403,0,,,2,070,Y,144,171,0,,,92,0922,M,,,,1.0,,1994
94IN00161,1993040181,A0181,04,93,2,81,1,30,P02,760003,380403,0,,,1,,2,157,161,2,,,,,M, 04,,2,1.0,,1994
94IN00162,1993040184,A0184,04,93,2,82,1,30,70,701103,916702,0,,,1,,1,149,162,1,,,,,C, 20,,2,1.0,,1994
94IN00163,1993040185,A0185,04,93,2,82,1,30,70,701103,916702,0,,,1,,2,134,137,2,,,,,C, 21,,2,1.0,,1994
94IN00164,1993040187,A0187,04,93,2,82,1,30,63,675603,723403,0,,,1,,5,132,162,1,,,,,C, 22,,2,1.0,,1994
94IN00165,1993040190,A0190,04,93,1,80,1,30,P04,684903,339003,0,,,2,083,Y,153,181,0,,,92,0922,M,,,,1.0,,1994
94IN00166,1993040191,A0191,04,93,1,80,1,30,P04,684903,339003,0,,,2,082,Y,145,168,0,,,92,0922,M,,,,1.0,,1994
94IN00167,1993040194,A0194,04,93,1,82,1,30,69,708803,914002,0,,,3,CTL,Y,128,152,0,,,93,0808,C,,,,1.0,,1994
94IN00168,1993040198,A0198,04,93,1,82,1,30,66,677303,336903,0,,,3,CTL,Y,140,165,0,,,93,0808,C,,,,1.0,,1994
94IN00169,1993040210,A0210,04,93,2,81,1,30,p.2,751903,844103,0,,,1,SAV,2,145,169,1,,,,,M, 03,,2,1.0,,1994
94IN00170,1993040212,A0212,04,93,2,TT,1,30,R-0,000003,547103,2,,,3,OVX,2,131,137,2,,,,,c,REC,,X,1.0,,1994
94IN00171,1993040214,A0214,04,93,2,82,1,30,p.3,770603,872503,0,,,1,,1,121,131,2,,,,,C, 23,,2,1.0,WOUND L SHOU,1994
94IN00172,1993040218,A0218,04,93,2,82,1,30,p.3,770603,851603,0,,,1,,1,113,116,4,,,,,C, 24,,2,1.0,,1994
94IN00173,1993040219,A0219,04,93,1,82,1,30,68,780303,343303,0,,,3,CTL,Y,149,174,0,,,93,0808,C,,,,1.0,,1994
94IN00174,1993040221,A0221,04,93,3,80,1,30,p.1,685303,873803,1,,,1,BLK,W,114,146,1,,W,,,,BLK,,,1.0,BLK WETHER,1994
94IN00175,1993040225,A0225,04,93,1,TT,1,30,R-0,000003,083303,2,,,1,ctl,Y,132,143,0,,,93,1017,c,,,,1.0,,1994
94IN00176,1993040241,A0241,04,93,2,00,1,30,p.1,685303,914403,1,,,1,BLK,B,111,136,1,,,,,M,972,,1,1.0,BLACK,1994
94IN00177,1993040248,A0248,04,93,2,72,2,30,721,602803,297803,6,,,3,FL,*,0,0,0,,,93,0214,,,,,0.5,,1994
94IN00178,1993040249,A0249,04,93,2,72,2,30,721,602803,297803,6,,,3,FL,*,0,0,0,,,93,0214,,,,,0.5,,1994
94IN00179,1993040250,A0250,04,93,2,72,2,30,721,602803,449303,6,,,1,CLO,F,115,115,1,,,,,,-FL,,F,0.5,,1994
94IN00180,1993040251,A0251,04,93,2,72,2,30,721,602803,449303,6,,,3,FL,*,0,0,0,,,93,0214,,,,,0.5,,1994
94IN00181,1993040252,A0252,04,93,2,73,2,30,  7,947703,772503,6,,,1,-FL,F,95,95,1,,,,,, 41,,2,0.5,,1994
94IN00182,1993040253,A0253,04,93,2,73,2,30,  5,944003,763003,6,,,3,FL,*,0,0,0,,,93,0214,,,,,0.5,BRITCHY,1994
94IN00183,1993040255,A0255,04,93,2,73,2,30,  9,946003,295403,6,,,1,-FL,F,110,113,1,,,,,, 42,,2,0.5,,1994
94IN00184,1993040257,A0257,04,93,2,72,2,30,721,602803,174303,6,,,1,-FL,F,115,115,1,,,,,, 43,,2,0.5,,1994
