UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
83IN00001,         0,,2,00001,,00,,,1,,,0,,,,,,,,,,,133,0,3,,00,,00,0606,,,9,,,93,,1983
83IN00002,         0,,2,00003,,00,,,1,,,0,,,,,,,,,,,150,0,3,,00,,00,0606,,,9,,,93,,1983
83IN00003,         0,,2,00005,,00,,,1,,,0,,,,,,,,,,,142,0,3,,00,,00,0606,,,7,,,93,,1983
83IN00004,         0,,2,00006,,00,,,1,,,0,,,,,,,,,,,167,0,3,,00,,00,0606,,,7,,,93,,1983
83IN00005,         0,,2,00007,,00,,,1,,,0,,,,,,,,,,,0,0,3,,00,,00,0117,,,*,,,93,,1983
83IN00006,         0,,2,00008,,00,,,1,,,0,,,,,,,,,,,145,0,3,,00,,00,0606,,,7,,,93,,1983
83IN00007,         0,,2,00009,,00,,,1,,,0,,,,,,,,,,,0,0,3,,00,,00,0117,,,*,,,93,,1983
83IN00008,1972011421,72,2,P1421,,49,17,,1,,,0,,,,-0,,,,,,,177,0,7,,02,,01,0916,,014804,3,,103604,97,,1983
83IN00009,1973011996,73,2,P1996,,71,08,,1,3,,0,,,,00,,,,,, 3,132,123,3,,51,,01,1024,,078809,1,,013409,93,,1983
83IN00010,1973011999,73,2,P1999,,71,08,,1,2,,0,,,,00,,,,,, 2,130,144,2,,51,198,01,0922,,078809,2,,008909,92,,1983
83IN00011,1973012269,73,2,P2269,,49,15,,1,3,,0,,,,00,,,,,, 2,126,132,3,,02,,01,1024,,169704,3,,090404,93,,1983
83IN00012,1973012600,73,2,P2600,,76,551,,1,,,0,,,,00,,,,,,,0,0,6,,02,,01,0301,,144004,*,,142104,12,,1983
83IN00013,1974012787,74,2,P2787,,71,11,,1,3,,0,,,,90,,,,,, 2,166,176,3,,51,,01,2WSU,,001095,1,,248801,93,,1983
83IN00014,1974012840,74,2,P2840,,70,11,,1,,,0,,,,90,,,,,,,0,0,6,,51,,01,0310,,001095,*,,398201,19,,1983
83IN00015,1974012898,74,2,P2898,,74,22,,1,,,0,,,,90,,,,,,,0,0,6,,08,,01,0510,,118908,*,,099708,30,,1983
83IN00016,1974012926,74,2,P2926,,74,22,,1,3,,0,,,,90,,732,,,, 2,138,138,3,,08,,01,1205,,118908,7,,016508,93,,1983
83IN00017,1974012957,74,2,P2957,,70,19,,1,,,1,,,,90,,701,,,, 9,148,140,,,30,,01,,,137407,1,,179907,,,1983
83IN00018,1974012958,74,2,P2958,,75,19,,1,,,1,,,,90,,,,,,,0,0,7,,30,,01,0527,,137407,*,,179907,97,,1983
83IN00019,1974012993,74,2,P2993,,71,08,,1,,,0,,,,90,,,,,,,0,0,6,,51,,01,0426,,232809,*,,005909,01,,1983
83IN00020,1974013023,74,2,P3023,,49,17,,1,2,,0,,,,90,,,,,, 4,156,174,,,02,,01,,,149004,5,,097704,,,1983
83IN00021,1974013092,74,2,P3092,,70,09,,1,2,,0,,,,90,,,,,, 3,134,136,2,,51,198,01,0922,,237709,1,,161009,92,,1983
83IN00022,1974013135,74,2,P3135,,49,17,,1,3,,0,,,,90,,,,,, 1,143,144,3,,02,,01,1024,,149004,5,,071504,93,,1983
83IN00023,1974013174,74,2,P3174,,75,23,,1,,,0,,,,90,,754,,,, 2,150,163,,,08,,01,,,102508,7,,327508,,2,1983
83IN00024,1974013191,74,2,P3191,,49,17,,1,,,0,,,,90,,,,,,,170,0,6,,02,,01,0816,,149004,3,,075604,11,,1983
83IN00025,1974013256,74,2,P3256,,49,15,,1,,,0,,,,90,,,,,,,156,0,7,,02,,01,0916,,190404,3,,008404,97,,1983
83IN00026,1974013318,74,2,P3318,,70,11,,1,,3,0,,,,90,,,,,,,0,0,3,,51,,01,0307,,001095,*,,265701,93,,1983
83IN00027,1974013359,74,2,P3359,,71,34,,1,,,1,,,,90,,,,,,,0,0,6,,30,,01,0322,,135107,*,,165607,02,,1983
83IN00028,1974013444,74,2,P3444,,71,12,,2,,,0,,,,85,,,,,,,150,0,6,,51,,01,0525,,000009,3,,166509,02,,1983
83IN00029,1974013457,74,2,P3457,,75,05,,2,,,1,,,,85,,,,,,,0,0,3,,30,,01,0103,,000007,*,,269907,93,,1983
83IN00030,1974013503,74,2,P3503,,75,05,,2,,,1,,,,85,,751,,,, 2,140,140,,,30,,01,,,000007,7,,141607,,3,1983
83IN00031,1974013573,74,2,P3573,,49,02,,2,3,,0,,,,85,,,,,,11,129,128,3,,02,,01,1024,,000004,3,,142104,93,,1983
83IN00032,1974013624,74,2,P3624,,49,02,,2,3,,0,,,,85,,,,,, 3,118,124,3,,02,,01,1024,,000004,3,,080304,93,,1983
83IN00033,1975013673,75,2,P3673,,49,05,,1,,,0,,,,80,,,,,, 3,176,174,,,01,,01,,,149004,1,,167201,,,1983
83IN00034,1975013695,75,2,P3695,,73,13,,1,,,0,,,,80,,733,,,, 2,169,199,,,08,,01,,,301408,7,,123308,,,1983
83IN00035,1975013709,75,2,P3709,,75,08,,1,,,1,,,,80,,751,,,, 3,130,141,,,30,,01,,,135107,7,,145907,,3,1983
83IN00036,1975013734,75,2,P3734,,49,04,,1,,,0,,,,80,,,,,,,0,0,6,,02,,01,0309,,144004,*,,013804,09,,1983
83IN00037,1975013784,75,2,P3784,,71,17,,1,2,,0,,,,80,,,,,, 3,144,148,2,,51,198,01,0922,,313809,1,,005709,92,,1983
83IN00038,1975013791,75,2,P3791,,70,16,,1,3,,0,,,,80,,,,,, 2,112,125,3,,51,,01,1024,,237909,2,,199909,93,,1983
83IN00039,1975013812,75,2,P3812,,75,09,,1,,,1,,,,80,,754,,,, 2,146,156,,,30,,01,,,216307,7,,164207,,1,1983
83IN00040,1975013827,75,2,P3827,,73,08,,1,,,1,,,,80,,734,,,, 2,184,137,,,30,,01,,,135107,7,,187907,,,1983
83IN00041,1975013859,75,2,P3859,,75,13,,1,2,,0,,,,80,,752,,,, 1,156,172,,,08,,01,,,301408,7,,001908,,2,1983
83IN00042,1975013862,75,2,P3862,,70,17,,1,3,,0,,,,80,,,,,, 3,120,124,3,,51,,01,1024,,313809,2,,009709,93,,1983
83IN00043,1975013866,75,2,P3866,,70,16,,1,,,0,,,,80,,,,,,,170,0,7,,51,,01,0916,,237909,3,,060809,97,,1983
83IN00044,1975013874,75,2,P3874,,70,16,,1,,,0,,,,80,,,,,,,105,0,3,,51,,01,0606,,237909,5,,002109,93,,1983
83IN00045,1975013957,75,2,P3957,,49,05,,1,,3,0,,,,80,,,,,,,0,0,3,,02,,01,0307,,149004,*,,182604,93,,1983
83IN00046,1975013972,75,2,P3972,,73,13,,1,,3,0,,,,80,,,,,,,0,0,3,,08,,01,0117,,301408,*,,124908,93,,1983
83IN00047,1975014052,75,2,P4052,,76,06,,1,,,0,,,,80,,,,,, 2,178,174,,,02,,01,,,320204,7,,009404,,4,1983
83IN00048,1975014099,75,2,P4099,,73,11,,1,,,0,,,,80,,,,,,,129,0,3,,08,,01,0606,,213708,7,,027708,05,,1983
83IN00049,1975014124,75,2,P4124,,71,38,,1,,3,0,,,,80,,,,,,,0,0,3,,51,,01,0117,,237709,*,,170409,93,,1983
83IN00050,1975014194,75,2,P4194,,49,06,,1,3,,0,,,,80,,,,,, 3,165,163,,,02,,01,,,320204,3,,123004,,,1983
83IN00051,1975014229,75,2,P4229,,49,05,,1,,,0,,,,80,,,,,,,0,0,6,,02,,01,0408,,149004,*,,140504,15,,1983
83IN00052,1975014274,75,1,P4274,,,37,,1,,,0,,,,80,,,,,,,0,0,6,,08,,01,0324,,118908,*,,239208,50,,1983
83IN00053,1975014398,75,2,P4398,,70,12,,2,2,,0,,,,75,,,,,, 3,144,152,2,,51,198,01,0922,,000009,3,,011109,92,,1983
83IN00054,1975014432,75,2,P4432,,76,03,,2,,,0,,,,75,,,,,, 2,153,157,,,02,,01,,,000004,7,,357304,,3,1983
83IN00055,1975014454,75,2,P4454,,75,06,,2,,,1,,,,75,,753,,,, 2,115,122,,,30,,01,,,000007,7,,052507,,3,1983
83IN00056,1975014456,75,2,P4456,,75,04,,2,,,1,,,,75,,,,,,,0,0,6,,30,,01,0228,,000007,*,,213907,19,,1983
83IN00057,1975014501,75,2,P4501,,73,09,,2,,,0,,,,75,,734,,,, 2,141,147,,,08,,01,,,000008,7,,230308,,,1983
83IN00058,1975014514,75,2,P4514,,73,04,,2,3,,1,,,,75,,734,,,, 3,130,130,3,,30,,01,1205,,000007,7,,138407,93,,1983
83IN00059,1976014555,76,2,P4555,,71, 10,,1,,,0,,,,70,,,,,,,0,0,6,,30,,01,0204,,380908,*,,199609,01,,1983
83IN00060,1976014557,76,2,P4557,,71, 10,,1,3,,0,,,,70,,,,,, 1,152,143,3,,30,,01,1024,,380908,1,,199609,93,,1983
83IN00061,1976014568,76,2,P4568,,71, 08,,1,,,0,,,,70,,711,,,, 2,135,140,,,30,,01,,,376209,2,,315408,,,1983
83IN00062,1976014579,76,2,P4579,,71, 11,,1,,,0,,,,70,,,,,,,0,0,6,,30,,01,0315,,213708,*,,203909,20,,1983
83IN00063,1976014600,76,2,P4600,,75, 09,,1,,,0,,,,70,,,,,,,0,0,3,,30,,01,0103,,339109,*,,017908,93,,1983
83IN00064,1976014627,76,2,P4627,,70, 38,,1,,,0,,,,70,,,,,,,0,0,6,,30,,01,0402,,219808,*,,331809,33,,1983
83IN00065,1976014635,76,2,P4635,,71, 11,,1,,,0,,,,70,,712,,,, 3,145,156,,,30,,01,,,213708,1,,278709,,,1983
83IN00066,1976014647,76,2,P4647,,76, 02,,1,,,0,,,,70,,,,,,,0,0,7,,02,,01,0527,,248604,*,,001804,97,,1983
83IN00067,1976014668,76,2,P4668,,49, 01,,1,,,0,,,,70,,,,,, 4,169,167,,,02,,01,,,351804,3,,013804,,,1983
83IN00068,1976014675,76,2,P4675,,72, 04,,1,,,1,,,,70,,721,,72,, 1,141,156,,,30,,01,,,423407,6,,269507,,,1983
83IN00069,1976014681,76,2,P4681,,73, 07,,1,,,0,,,,70,,,,,,,0,0,7,,30,,01,0527,,364909,*,,230108,97,,1983
83IN00070,1976014683,76,2,P4683,,70, 04,,1,3,,1,,,,70,,701,,,, 1,145,155,,,30,,01,,,423407,1,,138107,,,1983
83IN00071,1976014716,76,2,P4716,,70, 11,,1,,,0,,,,70,,,,,,,0,0,6,,30,,01,0319,,213708,*,,063409,20,,1983
83IN00072,1976014720,76,2,P4720,,70, 10,,1,,,0,,,,70,,704,,,, 2,153,172,,,30,,01,,,380908,2,,248909,,,1983
83IN00073,1976014725,76,2,P4725,,72, 38,,1,,,0,,,,70,,724,,72,, 2,138,150,6,,30,,01,1130,,219808,7,,348109,95,,1983
83IN00074,1976014741,76,2,P4741,,71, 06,,1,,,1,,,,70,,713,,,, 2,130,135,,,30,,01,,,404307,1,,250007,,,1983
83IN00075,1976014751,76,2,P4751,,73, 11,,1,,,0,,,,70,,731,,,, 1,126,153,,,30,,01,,,213708,7,,002109,,,1983
83IN00076,1976014781,76,2,P4781,,71, 11,,1,3,,0,,,,70,,714,,,,11,159,156,,,30,,01,,,213708,1,,236009,,,1983
83IN00077,1976014798,76,2,P4798,,70, 08,,1,,,0,,,,70,,,,,,,119,0,7,,30,,01,0916,,376209,3,,301008,97,,1983
83IN00078,1976014806,76,2,P4806,,72, 04,,1,,,1,,,,70,,722,,72,, 2,143,164,,,30,,01,,,423407,6,,246707,,,1983
83IN00079,1976014822,76,2,P4822,,75, 12,,1,,,0,,,,70,,754,,,, 2,150,161,,,30,,01,,,118908,7,,142309,,1,1983
83IN00080,1976014840,76,2,P4840,,74, 38,,1,,,0,,,,70,,,,,,,0,0,3,,30,,01,0117,,219808,*,,351509,93,,1983
83IN00081,1976014842,76,2,P4842,,49, 02,,1,3,,0,,,,70,,,,,, 4,131,147,,,02,,01,,,248604,3,,229004,,,1983
83IN00082,1976014857,76,2,P4857,,72, 38,,1,,,0,,,,70,,723,,72,,,129,0,7,,30,,01,0701,,219808,1,,284409,97,,1983
83IN00083,1976014861,76,2,P4861,,72, 08,,1,,,0,,,,70,,723,,72,, 1,138,153,,,30,,01,,,376209,7,,154408,,,1983
83IN00084,1976014872,76,2,P4872,,73, 39,,1,,,0,,,,70,,732,,,, 2,158,165,,,30,,01,,,352608,7,,091109,,,1983
83IN00085,1976014887,76,2,P4887,,75, 08,,1,,,0,,,,70,,751,,,, 2,154,143,,,30,,01,,,376209,7,,119108,,3,1983
83IN00086,1976014888,76,2,P4888,,70, 08,,1,,,0,,,,70,,702,,,, 3,145,144,,,30,,01,,,376209,1,,317408,,,1983
83IN00087,1976014898,76,2,P4898,,71, 07,,1,,,0,,,,70,,711,,,, 3,143,140,,,30,,01,,,364909,1,,083308,,,1983
83IN00088,1976014915,76,2,P4915,,49, 01,,1,,,0,,,,70,,,,,, 3,153,163,,,02,,01,,,351804,1,,320504,,,1983
83IN00089,1976014931,76,2,P4931,,75, 09,,1,,,0,,,,70,,752,,,, 2,171,171,,,30,,01,,,339109,7,,069608,,3,1983
83IN00090,1976014934,76,2,P4934,,72, 12,,1,,,0,,,,70,,,,,,,0,0,6,,30,,01,0301,,118908,*,,324509,12,,1983
83IN00091,1976014935,76,2,P4935,,76, 03,,1,,,0,,,,70,,,,,, 1,194,185,,,01,,01,,,320204,7,,215801,,4,1983
83IN00092,1976014942,76,2,P4942,,73, 11,,1,,,0,,,,70,,,,,,,90,0,3,,30,,01,0606,,213708,7,,284309,93,,1983
83IN00093,1976014943,76,2,P4943,,70, 11,,1,,,0,,,,70,,703,,,, 2,142,152,,,30,,01,,,213708,1,,284309,,,1983
83IN00094,1976014947,76,2,P4947,,71, 08,,1,,,0,,,,70,,712,,,, 2,137,142,,,30,,01,,,376209,1,,010508,,,1983
83IN00095,1976014975,76,2,P4975,,71, 12,,1,,,0,,,,70,,714,,,, 4,148,166,,,30,,01,,,118908,1,,009709,,,1983
83IN00096,1976014987,76,2,P4987,,72, 09,,1,,,0,,,,70,,,,,,,0,0,3,,30,,01,0117,,339109,*,,352508,93,,1983
83IN00097,1976014990,76,2,P4990,,73, 10,,1,,,0,,,,70,,733,,,, 1,256,184,,,30,,01,,,380908,7,,016909,,,1983
83IN00098,1976015011,76,2,P5011,,74, 05,,1,,,1,,,,70,,734,,,, 2,167,174,,,30,,01,,,386307,7,,286207,,,1983
83IN00099,1976015027,76,2,P5027,,70, 04,,1,,,1,,,,70,,,,,,,0,0,6,,30,,01,0330,,423407,*,,064507,09,,1983
83IN00100,1976015070,76,2,P5070,,75, 36,,1,,,0,,,,70,,,,,,,0,0,3,,30,,01,0117,,233109,*,,139408,93,,1983
83IN00101,1976015077,76,2,P5077,,72, 36,,1,,,0,,,,70,,724,,72,, 2,164,166,,,30,,01,,,233109,6,,346908,,,1983
83IN00102,1976015091,76,2,P5091,,75, 08,,1,3,,0,,,,70,,,,,, 3,155,134,3,,30,,01,1024,,376209,7,,222708,93,,1983
83IN00103,1976015152,76,2,P5152,,74, 08,,1,,,0,,,,70,,731,,,, 1,139,156,,,30,,01,,,376209,7,,017708,,,1983
83IN00104,1976015164,76,2,P5164,,74, 39,,1,,,0,,,,70,,732,,,, 2,127,145,,,30,,01,,,352608,7,,125709,,,1983
83IN00105,1976015186,76,4,P5186,,00, 36,,1,1,,0,,,,70,,,,,,,196,216,,,30,,01,,,233109,M,,023508,,,1983
83IN00106,1976015227,76,2,P5227,,73, 05,,2,3,,1,,,,65,,734,,,,11,124,124,3,,30,,01,1205,,000007,7,,435107,93,,1983
