UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,BRAND,C34,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
79IN00107,1977015796,77,2,P5796,,76, 15,,1,,,0,,,7,30,, 02,,,,132,162,,,02,,01,,,413204,8,,011404,,4,1979
79IN00108,1977015817,77,2,P5817,,76, 14,,1,3,,0,,,5,30,,492,   8,,,146,,,,02,,01,,,460704,8,,227604,,,1979
79IN00109,1977015819,77,2,P5819,,76, 14,,1,,3,0,,,8,,,,,,,165,,7,,02,,01,1025,,460704,K,,393104,97,,1979
79IN00110,1977015826,77,2,P5826,,76, 13,,1,1,,0,,,1,30,,493,   9,,,152,,,,02,,01,,,472404,8,,447204,,,1979
79IN00111,1977015833,77,2,P5833,,76, 15,,1,1,,0,,,5,30,,491,   7,,,129,,,,02,,01,,,413204,8,,229004,,,1979
79IN00112,1977015850,77,2,P5850,,76, 15,,1,1,,0,,,5,30,, 11,,,,146,175,, 00,02,0,01,,,413204,8,,395704,,,1979
79IN00113,1977015859,77,2,P5859,,76, 16,,1,1,,0,,,3,30,,493,   9,, 1,122,128,,,02,,01,,,351804,8,,392304,,,1979
79IN00114,1977015865,77,2,P5865,,76, 15,,1,,,0,,,5,30,, 03,,,,134,166,,,02,,01,,,413204,8,,418304,,3,1979
79IN00115,1977015871,77,1,P5871,,76, 14,,1,,,0,,,5,,,,,,,,,7,,02,,01,0525,,460704,*,,169604,97,,1979
79IN00116,1977015876,77,2,P5876,,76, 15,,1,1,,0,,,5,,,,,,,127,,6,,02,,01,0926,,413204,8,,258804,01,,1979
79IN00117,1977015915,77,2,P5915,,76, 16,,1,1,,0,,,3,30,,491,   7,, 2,139,154,,,02,,01,,,351804,8,,389004,,,1979
79IN00118,1977015945,77,2,P5945,,76, 16,,1,3,,0,,,5,,,,,, 1,145,156,,,02,,01,,,351804,8,,260004,,,1979
79IN00119,1977015946,77,2,P5946,,76, 16,,1,,,0,,,5,30,, 01,,,,133,163,,,02,,01,,,351804,8,,260004,,4,1979
79IN00120,1977016003,77,2,P6003,,76, 16,,1,1,,0,,,5,30,,492,   8,, 2,132,158,,,02,,01,,,351804,8,,144804,,,1979
79IN00121,1977016010,77,2,P6010,,76, 15,,1,2,,0,,,5,,, 46,,, 1,137,152,2, 00,02,0,01,0920,,413204,8,,142104,92,,1979
79IN00122,1977016017,77,2,P6017,,76, 15,,1,,,0,,,5,,,,,,,,,6,,02,,01,0303,,413204,*,,196704,01,,1979
79IN00123,1977016037,77,2,P6037,,76, 13,,1,,,0,,,8,,,,,,,,,6,,02,,01,0115,,472404,*,,152704,15,,1979
79IN00124,1977016038,77,2,P6038,,76, 13,,1,,,0,,,8,30,, 02,,,,141,158,,,02,,01,,,472404,8,,152704,,4,1979
79IN00125,1977016041,77,2,P6041,,76, 15,,1,1,,0,,,3,30,,493,   9,,,149,,,,02,,01,,,413204,8,,157604,,,1979
79IN00126,1977016050,77,2,P6050,,76, 15,,1,1,,0,,,3,30,,491,   7,, 2,153,164,,,02,,01,,,413204,8,,175304,,,1979
79IN00127,1977016060,77,2,P6060,,76, 16,,1,,,0,,,3,30,, 03,,,,141,174,,,02,,01,,,351804,8,,313204,,3,1979
79IN00128,1977016113,77,2,P6113,,76, 14,,1,,,0,,,5,,,,,,,,,6,,02,,01,0102,,460704,*,,118804,01,,1979
79IN00129,1977016118,77,2,P6118,,76, 16,,1,2,,0,,,3,30,,492,   8,,,141,,,,02,,01,,,351804,8,,230004,,,1979
79IN00130,1977016120,77,2,P6120,,76, 13,,1,1,,0,,,1,30,,493,   9,,,150,,,,02,,01,,,472404,8,,464704,,,1979
79IN00131,1977016166,77,1,P6166,,76, 14,,1,1,,0,,,5,,,,,,,153,161,,,02,,01,,,460704,M,233,302304,,,1979
79IN00132,1977016219,77,2,P6219,,76, 09,,2,,,0,,,,,,,,,,,,6,,02,,01,0521,,000004,*,,505904,01,,1979
79IN00133,1977016221,77,2,P6221,,76, 07,,2,1,,0,,,,25,,491,   7,, 2,118,131,,,02,,01,,,000004,8,,449802,,,1979
79IN00134,1977016226,77,2,P6226,,76, 09,,2,,,0,,,,25,,493,   9,,,130,,,,02,,01,,,000004,8,,477002,,,1979
79IN00135,1977016229,77,2,P6229,,76, 07,,2,,,0,,,,25,, 09,,,,109,130,,,02,,01,,,000004,8,,524804,,3,1979
79IN00136,1977016232,77,2,P6232,,76, 08,,2,,,0,,,,,,,,,,,,6,,02,,01,0109,,000004,*,,169604,15,,1979
79IN00137,1977016236,77,2,P6236,,76, 07,,2,1,,0,,,,25,,493,   9,, 2,132,144,,,02,,01,,,000004,8,,226804,,,1979
79IN00138,1977016238,77,2,P6238,,76, 07,,2,1,,0,,,,25,,493,   9,,,102,,,,02,,01,,,000004,8,,000804,,,1979
79IN00139,1977016247,77,2,P6247,,76, 09,,2,,,0,,,,25,, 02,,,,101,122,,,02,,01,,,000004,8,,484504,,4,1979
79IN00140,1977016250,77,2,P6250,,76, 09,,2,1,,0,,,,25,,493,   9,, 1,101,119,,,02,,01,,,000004,8,,464704,,,1979
79IN00141,1977016251,77,2,P6251,,76, 08,,2,,,0,,,,25,, 03,,,,129,162,,,02,,01,,,000004,8,,152304,,3,1979
79IN00142,1978016402,78,2,P6402,,76,012,,1,,,0,,,5,20,, 01,,,,115,126,,,02,,01,,,368304,8,,226904,,4,1979
79IN00143,1978016423,78,1,P6423,,76,013,,1,1,,0,,,5,,,,,,,194,184,,-,02,,01,,,435204,Y,207,367302,,,1979
79IN00144,1978016424,78,2,P6424,,76,013,,1,,,0,,,5,20,, 02,,,,124,137,,,02,,01,,,435204,8,,367302,,3,1979
79IN00145,1978016433,78,2,P6433,,76,012,,1,1,,0,,,5,20,,491,   7,, 1,102,110,,,02,,01,,,368304,8,,494604,,,1979
79IN00146,1978016508,78,2,P6508,,76,013,,1,,,0,,,1,20,, 03,,,,148,160,,,02,,01,,,435204,8,,260004,,4,1979
