UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
19IN00001,2012057423,H7423,05,H7423,12,2,,1,30,39,H6529,00,H4302,05,0,,,1,.,D,,229,216,1,,,,,,,7.0,LameLF,MARC,,,1,,0.0,,2019
19IN00002,2012057426,H7426,05,H7426,12,2,,1,30,45,H5779,05,H3160,05,7,,,1,.,1,,193,172,3,,,,,,,7.0,.,MARC,,,1,,0.059,,2019
19IN00003,2012057439,H7439,05,H7439,12,2,,1,30,39,H6529,00,H4317,05,0,,,1,.,1,,186,154,2,,,,,,,7.0,ToeAbscessBot,MARC,,,1,,0.0,,2019
19IN00004,2012057496,H7496,05,H7496,12,2,,1,30,45,H5779,05,H3708,05,7,,,6,.,,,0,0,0,,20,0315,,,,7.0,SCOURS,,,,1,,0.056,,2019
19IN00005,2012057592,H7592,05,H7592,12,2,,1,30,43,H6533,00,H2522,05,7,,,3,.,2,,162,183,12,,93,0920,,,,7.0,X Bag,,,1733,1,,0.0,,2019
19IN00006,2012057601,H7601,05,H7601,12,2,,1,30,40,H6281,05,H2730,05,0,,,1,.,1,,176,174,3,,,,,,,7.0,.,MARC,,,1,,0.057,,2019
19IN00007,2012057612,H7612,05,H7612,12,2,,1,30,42,H6478,05,H4499,05,0,,,1,.,1,,153,154,2,,,,,,,7.0,.,MARC,,,1,,0.055,,2019
19IN00008,2012057767,H7767,05,H7767,12,2,,1,30,e9,H6005,05,H7089,05,0,,,6,.,1,,143,138,2,,01,1129,,,,7.0,.,MARC,,,1,,0.023,,2019
19IN00009,2012057848,H7848,05,H7848,12,2,,1,30,41,H6452,05,H5730,05,0,,,6,.,,,0,0,0,,66,0419,,,,7.0,SeverelyLame,,,,1,,0.032,,2019
19IN00010,2012057866,H7866,05,H7866,12,2,,1,30,43,H6533,00,H3638,05,7,,,1,.,1,,187,204,2,,,,,,,7.0,.,MARC,,,1,,0.0,,2019
19IN00011,2012057877,H7877,05,H7877,12,2,,1,30,39,H6529,00,H6032,05,0,,,1,.,1,,171,165,2,,,,,,,7.0,.,MARC,,,1,,0.0,,2019
19IN00012,2012057892,H7892,05,H7892,12,2,,1,30,45,H5779,05,H5430,05,0,,,1,.,2,,174,155,3,,,,,,,7.0,.,MARC,,,1,,0.051,,2019
19IN00013,2012057935,H7935,05,H7935,12,2,,1,30,e10,H6258,05,H7162,05,0,,,1,.,D,,196,185,2,,,,,,,7.0,ADRU Term,MARC,,,1,,0.03,,2019
19IN00014,2013057986,H7986,05,H7986,13,2,,1,30,53,H7199,05,H3491,05,7,,,1,GRN,2,,167,168,3,,,,,,,6.0,.,,M.Ovis,,1,,0.034,,2019
19IN00015,2013058005,H8005,05,H8005,13,2,,1,30,54,H5934,05,H5213,05,,,,1,,2,,222,212,2,,,,,,,6.0,.,,M.Ovis,,1,,0.029,,2019
19IN00016,2013058036,H8036,05,H8036,13,2,,1,30,55,H6777,05,H4333,05,,,,1,,1,,155,166,2,,,,,,,6.0,LameRHTx,,,,1,,0.033,,2019
19IN00017,2013058054,H8054,05,H8054,13,2,,1,30,56,H6952,05,H7103,05,0,,,1,,1,,196,189,2,,,,,,,6.0,.,EC,M.Ovis,,1,,0.026,,2019
19IN00018,2013058063,H8063,05,H8063,13,2,,1,30,54,H5934,05,H1520,05,0,,,1,GRN,1,,160,175,2,,,,,,,6.0,.,MARC,M.Ovis,,1,,0.027,,2019
19IN00019,2013058097,H8097,05,H8097,13,2,,1,30,57,H6969,05,H7123,05,0,,,6,,,,0,0,0,,16,0404,,,,6.0,.,,M.Ovis,,1,,0.026,,2019
19IN00020,2013058135,H8135,05,H8135,13,2,,1,30,58,H7260,05,H6419,05,0,,,1,,1,,233,213,1,,,,,,,6.0,.,EC,,,1,,0.025,,2019
19IN00021,2013058155,H8155,05,H8155,13,2,,1,30,56,H6952,05,H5730,05,0,,,6,,,,0,0,0,,66,0423,,,,6.0,OPP,,,,1,,0.023,,2019
19IN00022,2013058209,H8209,05,H8209,13,2,,1,30,59,H7410,00,H4891,05,,,,1,,1,,158,154,2,,,,,,,6.0,.,MARC,,,1,,0.0,,2019
19IN00023,2013058248,H8248,05,H8248,13,2,,1,30,56,H6952,05,H6231,05,0,,,1,,2,,207,176,2,,,,,,,6.0,BlackInWool,,M.Ovis,,1,,0.029,,2019
19IN00024,2013058262,H8262,05,H8262,13,2,,1,30,57,H6969,05,H2838,05,7,,,1,GRN,1,,171,169,3,,,,,,,6.0,L.T.,EC,M.Ovis,,1,,0.032,,2019
19IN00025,2013058293,H8293,05,H8293,13,2,,1,30,56,H6952,05,H6576,05,0,,,1,,2,,202,176,2,,,,,,,6.0,HD.LUMP.LFLAN,MARC,,,1,,0.031,,2019
19IN00026,2013058307,H8307,05,H8307,13,2,,1,30,59,H7410,00,H4886,05,,,,1,GRN,1,,180,178,2,,,,,,,6.0,WARTS,EC,M.Ovis,,1,,0.0,,2019
19IN00027,2013058317,H8317,05,H8317,13,2,,1,30,56,H6952,05,H6120,05,0,,,1,,1,,152,160,3,,,,,,,6.0,.,EC,M.Ovis,,1,,0.031,,2019
19IN00028,2013058328,H8328,05,H8328,13,2,,1,30,57,H6969,05,H4591,05,,,,1,,1,,161,145,2,,,,,,,6.0,.,,,,1,,0.037,,2019
19IN00029,2013058410,H8410,05,H8410,13,2,,1,30,e18,H6039,05,H7866,05,7,,,1,,D,,200,189,2,,,,,,,6.0,LowMilkOxytoc,EC,,,1,,0.027,,2019
19IN00030,2013058450,H8450,05,H8450,13,2,,1,30,e18,H6039,05,H7837,05,0,,,1,,1,,165,166,2,,,,,,,6.0,.,EC,M.Ovis,,1,,0.044,,2019
19IN00031,2013058452,H8452,05,H8452,13,2,,1,30,e19,H7324,05,H7506,05,7,,,1,,1,,230,186,3,,,,,,,6.0,LHToeUlcer,EC,M.Ovis,,1,,0.026,,2019
19IN00032,2014058468,H8468,05,H8468,14,2,,1,30,16,H7410,00,H4017,05,,,,1,.,1,,116,140,2,,,,,,,5.0,.,,M.Ovis,,1,,0.0,,2019
19IN00033,2014058491,H8491,05,H8491,14,2,,1,30,16,H7410,00,H6058,05,0,,,1,.,1,,207,227,3,,,,.,,,5.0,CHUNKS,EC,M.Ovis,,1,,0.0,,2019
19IN00034,2014058492,H8492,05,H8492,14,2,,1,30,e9,H7881,05,H8307,05,,,,1,.,2,,178,177,2,,,,,,,5.0,.,EC,M.Ovis,,1,,0.036,,2019
19IN00035,2014058495,H8495,05,H8495,14,2,,1,30,13,H7809,05,H7782,05,7,,,1,GRN,H,,195,186,2,,,,,,,5.0,.,EC,M.Ovis,,1,,0.026,,2019
19IN00036,2014058511,H8511,05,H8511,14,2,,1,30,10,H5934,05,H7476,05,0,,,1,.,1,,183,173,2,,,,,,,5.0,.,EC,M.Ovis,,1,,0.029,,2019
19IN00037,2014058514,H8514,05,H8514,14,2,,1,30,10,H5934,05,H7467,05,0,,,3,.,1,,173,145,3,,93,1017,,,,5.0,X Bag,Term,M.Ovis,1607,1,,0.027,,2019
19IN00038,2014058519,H8519,05,H8519,14,2,,1,30,10,H5934,05,H3898,05,,,,1,GRN,1,,184,183,2,,,,,,,5.0,.,EC,M.Ovis,,1,,0.027,,2019
19IN00039,2014058524,H8524,05,H8524,14,2,,1,30,10,H5934,05,H7496,05,7,,,1,GRN,1,,140,144,2,,,,,,,5.0,.,,M.Ovis,,1,,0.03,,2019
19IN00040,2014058530,H8530,05,H8530,14,2,,1,30,13,H7809,05,H4891,05,,,,1,.,1,,164,150,2,,,,,,,5.0,WEAK,,M.Ovis,,1,,0.0,,2019
19IN00041,2014058540,H8540,05,H8540,14,2,,1,30,10,H5934,05,H6364,05,0,,,3,GRN,1,,161,174,2,,93,0920,.,,,5.0,X Thin,,M.Ovis,1722,1,,0.0,,2019
19IN00042,2014058545,H8545,05,H8545,14,2,,1,30,14,H7835,05,H5730,05,0,,,1,GRN,1,,202,185,3,,,,.,,,5.0,.,,,,1,,0.027,,2019
19IN00043,2014058571,H8571,05,H8571,14,2,,1,30,14,H7835,05,H5668,05,0,,,1,.,2,,193,182,2,,,,.,,,5.0,.,EC,M.Ovis,,1,,0.033,,2019
19IN00044,2014058591,H8591,05,H8591,14,2,,1,30,15,H7508,05,H6057,05,0,,,3,GRN,H,,198,0,0,,93,0605,.,,,5.0,LameLH,Term,M.Ovis,14964,1,,0.027,,2019
