UID,ID10,YR,SEX,ETAG,C8,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,GOK,YRREC,AGE
70IN03624,1969423777,69,2,T3777,4,78,58,,,,,,,,2,02,6,1,31,094,08,,94,122,2,,088,,42,0926,114,2,796641,,,963741,,,,1970,1.0
70IN03625,1969423778,69,2,T3778,4,70,712,,,,X,,,,2,02,2,1,700,091,06,,91,128,,,084,,42,,078,2,201342,,,011642,,,01,1970,1.0
70IN03626,1969423779,69,2,T3779,4,70,712,,,,,,,,2,02,2,1,700,098,10,,98,137,,,093,,42,,098,3,201342,,,011642,,,01,1970,1.0
70IN03627,1969423781,69,2,T3781,4,74,59,,,,,,,,2,02,6,1,740,103,06,,103,135,,,089,,42,,103,3,180342,,,080242,,,01,1970,1.0
70IN03628,1969423783,69,1,T3783,4,75,55,,,,,,,,2,02,6,1,,148,08,,148,155,,,088,,42,,123,3,624241,,245,134442,,,,1970,1.0
70IN03629,1969423784,69,2,T3784,4,75,52,,,,X,,,,2,02,6,1,752,119,05,,119,147,,,114,,42,,142,4,786541,,,085442,,,01,1970,1.0
70IN03630,1969423786,69,1,T3786,4,78,56,,,,,,,,2,02,6,4,,095,08,,95,122,3,,090,,42,0803,085,2,178242,,217,103242,,,,1970,1.0
70IN03631,1969423788,69,1,T3788,4,74,60,,,,,,,,2,02,6,1,,116,11,,116,155,,,109,,42,,149,5,131842,,230,896041,,,,1970,1.0
70IN03632,1969423789,69,2,T3789,4,74,60,,,,,,,,2,02,6,1,,092,10,,92,,6,,105,,42,0711,130,3,131842,,,896041,,,,1970,1.0
70IN03633,1969423790,69,1,T3790,4,75,51,,,,,,,,2,02,6,2,205,105,07,,105,135,2,,094,,42,0926,111,3,000842,,221,173442,,,,1970,1.0
70IN03634,1969423793,69,2,T3793,4,72,892,,,,,,,,2,02,3,1,88,091,08,,91,120,,,095,,42,,101,2,209342,,,766041,,,01,1970,1.0
70IN03635,1969423795,69,2,T3795,4,75,53,,,,,,,,2,02,6,6,32,097,10,,97,127,2,,101,,42,0926,094,2,197342,,,090342,,,,1970,1.0
70IN03636,1969423796,69,1,T3796,4,76,56,,,,,,,,2,02,6,1,193,117,07,,117,150,2,,093,,42,0926,088,3,178242,,228,153242,,,,1970,1.0
70IN03637,1969423797,69,1,T3797,4,76,56,,,,,,,,2,02,6,2,133,131,07,,131,155,2,,101,,42,1296,100,4,178242,,243,153242,,,,1970,1.0
70IN03638,1969423798,69,1,T3798,4,75,58,,,,,,,,2,02,6,,,,,,94,,,,,,42,,,,796641,,,073342,,,,1970,1.0
70IN03639,1969423799,69,1,T3799,4,70,732,,,,,,,,2,02,2,5,,093,08,,93,125,3,,090,,42,0803,103,3,229842,,216,806741,,,,1970,1.0
70IN03640,1969423800,69,1,T3800,4,70,732,,,,,,,,2,02,2,1,142,130,08,,130,168,2,,105,,42,4104,139,4,229842,,251,806741,,,,1970,1.0
70IN03641,1969423801,69,2,T3801,4,73,52,,,,,,,,2,02,6,3,731,094,14,,94,115,,,104,,42,,089,3,786541,,,887541,,,01,1970,1.0
70IN03642,1969423804,69,1,T3804,4,78,60,,,,,,,,2,02,6,1,209,096,08,,96,132,2,,095,,42,0926,081,2,131842,,225,157242,,,,1970,1.0
70IN03643,1969423809,69,2,T3809,4,77,59,,,,X,,,,2,02,6,1,771,078,09,,78,120,,,094,,42,,079,3,180342,,,156342,,,01,1970,1.0
70IN03644,1969423810,69,2,T3810,4,77,51,,,,X,,,,2,02,6,1,770,103,08,,103,144,,,103,,42,,116,3,000842,,,915841,,,02,1970,1.0
70IN03645,1969423812,69,2,T3812,4,76,57,,,,,,,,2,02,6,1,761,130,08,,130,165,,,092,,42,,117,3,108242,,,894941,,,01,1970,1.0
70IN03646,1969423813,69,2,T3813,4,70,732,,,,,,,,2,02,2,1,28,064,10,,64,88,2,,102,,42,0926,063,3,229842,,,150742,,,,1970,1.0
70IN03647,1969423815,69,2,T3815,4,76,55,,,,,,,,2,02,6,1,22,102,08,,102,150,2,,116,,42,0926,115,4,624241,,,214942,,,,1970,1.0
70IN03648,1969423816,69,2,T3816,4,70,732,,,,,,,,2,02,2,1,701,104,07,,104,145,,,093,,42,,084,3,229842,,,237942,,,01,1970,1.0
70IN03649,1969423818,69,2,T3818,4,73,60,,,,,,,,2,02,6,1,732,117,08,,117,157,,,112,,42,,140,5,131842,,,904641,,,02,1970,1.0
70IN03650,1969423819,69,1,T3819,4,76,60,,,,,,,,2,02,6,1,,080,07,,80,119,3,,082,,42,0803,076,2,131842,,190,011942,,,,1970,1.0
70IN03651,1969423820,69,1,T3820,4,76,60,,,,,,,,2,02,6,2,,088,06,,88,123,3,,107,,42,0803,118,4,131842,,206,011942,,,,1970,1.0
70IN03652,1969423821,69,1,T3821,4,73,60,,,,,,,,2,02,6,2,154,130,09,,130,162,2,,106,,42,4116,145,3,131842,,245,989041,,,,1970,1.0
70IN03653,1969423822,69,2,T3822,4,73,60,,,,,,,,2,02,6,1,730,088,07,,88,120,,,090,,42,,091,3,131842,,,989041,,,07,1970,1.0
70IN03654,1969423823,69,2,T3823,4,77,57,,,,,,,,2,02,6,1,19,070,08,,70,110,2,,083,,42,0926,064,2,108242,,,889741,,,,1970,1.0
70IN03655,1969423824,69,2,T3824,4,77,57,,,,,,,,2,02,6,1,30,089,06,,89,118,2,,088,,42,0926,086,2,108242,,,889741,,,,1970,1.0
70IN03656,1969423825,69,2,T3825,4,75,56,,,,,,,,2,02,6,1,750,106,05,,106,147,,,092,,42,,119,3,178242,,,136142,,,01,1970,1.0
70IN03657,1969423826,69,2,T3826,4,75,56,,,,X,,,,2,02,6,1,750,108,03,,108,141,,,106,,42,,075,3,178242,,,136142,,,01,1970,1.0
70IN03658,1969423827,69,2,T3827,4,77,57,,,,X,,,,2,02,6,1,772,093,08,,93,127,,,103,,42,,110,4,108242,,,153942,,,01,1970,1.0
70IN03659,1969423829,69,1,T3829,4,76,51,,,,,,,,2,02,6,2,204,125,07,,125,148,2,,091,,42,0926,118,3,000842,,226,070642,,,,1970,1.0
70IN03660,1969423830,69,2,T3830,4,73,59,,,,X,,,,2,02,6,1,731,123,07,,123,158,,,099,,42,,140,4,180342,,,161642,,,02,1970,1.0
70IN03661,1969423834,69,2,T3834,4,75,53,,,,,,,,2,02,6,1,751,107,06,,107,142,,,100,,42,,105,4,197342,,,174542,,,02,1970,1.0
70IN03662,1969423835,69,1,T3835,4,75,53,,,,,,,,2,02,6,1,,100,07,,100,135,3,,082,,42,0803,093,2,197342,,216,174542,,,,1970,1.0
70IN03663,1969423836,69,2,T3836,4,72,972,,,,,,,,2,02,3,1,89,083,09,,83,116,,,113,,42,,103,4,199742,,,080642,,,02,1970,1.0
70IN03664,1969423837,69,2,T3837,4,72,972,,,,,,,,2,02,3,1,28,074,11,,74,110,2,,097,,42,0926,091,3,199742,,,080642,,,,1970,1.0
70IN03665,1969423838,69,1,T3838,4,70,722,,,,,,,,2,02,2,2,201,132,08,,132,158,2,,086,,42,0926,138,3,208042,,252,181542,,,,1970,1.0
70IN03666,1969423839,69,1,T3839,4,74,60,,,,,,,,2,02,6,2,,122,08,,122,143,,,089,,42,,116,3,131842,,230,189342,,,,1970,1.0
70IN03667,1969423840,69,1,T3840,4,73,52,,,,,,,,2,02,6,1,148,134,07,,134,153,2,,113,,42,4110,142,4,786541,,256,966841,,,,1970,1.0
70IN03668,1969423841,69,2,T3841,4,73,52,,,,,,,,2,02,6,1,22,103,09,,103,136,2,,105,,42,0926,121,4,786541,,,966841,,,,1970,1.0
70IN03669,1969423842,69,2,T3842,4,76,61,,,,X,,,,2,02,6,1,760,098,08,,98,135,,,098,,42,,098,4,219242,,,951441,,,01,1970,1.0
70IN03670,1969423845,69,2,T3845,4,73,52,,,,,,,,2,02,6,1,28,066,07,,66,103,2,,085,,42,0926,084,2,786541,,,913441,,,,1970,1.0
70IN03671,1969423847,69,1,T3847,4,76,60,,,,,,,,2,02,6,2,199,112,09,,112,145,2,,087,,42,0926,103,3,131842,,216,101242,,,,1970,1.0
70IN03672,1969423850,69,1,T3850,4,73,60,,,,,,,,2,02,6,1,207,128,11,,128,158,2,,082,,42,0926,114,2,131842,,230,142442,,,,1970,1.0
70IN03673,1969423851,69,2,T3851,4,72,912,,,,X,,,,2,02,3,1,90,084,08,,84,132,,,097,,42,,100,2,210442,,,141042,,,01,1970,1.0
70IN03674,1969423853,69,2,T3853,4,74,59,,,,X,,,,2,02,6,1,740,110,08,,110,142,,,101,,42,,133,4,180342,,,953841,,,01,1970,1.0
70IN03675,1969423856,69,1,T3856,4,70,712,,,,,,,,2,02,2,1,203,105,05,,105,133,2,,079,,42,0926,098,3,201342,,222,046742,,,,1970,1.0
70IN03676,1969423858,69,1,T3858,4,77,51,,,,,,,,2,02,6,1,,105,09,,105,137,,,112,,42,,120,4,000842,,228,224042,,,,1970,1.0
70IN03677,1969423860,69,1,T3860,4,73,50,,,,,,,,2,02,6,1,,107,12,,107,145,,,092,,42,,125,3,107742,,214,998441,,,,1970,1.0
70IN03678,1969423861,69,1,T3861,4,73,50,,,,,,,,2,02,6,1,,102,09,,102,133,3,,093,,42,0803,111,2,107742,,220,998441,,,,1970,1.0
70IN03679,1969423862,69,2,T3862,4,73,58,,,,X,,,,2,02,6,1,732,110,11,,110,150,,,094,,42,,112,3,796641,,,128942,,,02,1970,1.0
70IN03680,1969423863,69,2,T3863,4,73,58,,,,,,,,2,02,6,1,15,108,08,,108,142,2,,108,,42,0926,102,3,796641,,,128942,,,,1970,1.0
70IN03681,1969423866,69,1,T3866,4,72,842,,,,,,,,2,02,3,2,,115,05,,115,147,3,,104,,42,0803,113,3,229042,,239,008342,,,,1970,1.0
70IN03682,1969423867,69,1,T3867,4,72,842,,,,,,,,2,02,3,2,,090,06,,90,130,,,102,,42,,115,3,229042,,218,008342,,,,1970,1.0
70IN03683,1969423868,69,2,T3868,4,76,52,,,,,,,,2,02,6,1,762,096,07,,96,122,,,109,,42,,129,4,786541,,,070242,,,02,1970,1.0
70IN03684,1969423870,69,2,T3870,4,70,722,,,,,,,,2,02,2,1,29,073,11,,73,115,2,,073,,42,0926,068,2,208042,,,232642,,,,1970,1.0
70IN03685,1969423872,69,2,T3872,4,72,812,,,,X,,,,2,02,3,1,91,094,10,,94,121,,,092,,42,,085,3,190642,,,090842,,,01,1970,1.0
70IN03686,1969423873,69,2,T3873,4,70,722,,,,,,,,2,02,2,1,,094,10,,94,,6,,099,,42,0603,098,3,208042,,,102042,,,,1970,1.0
70IN03687,1969423874,69,2,T3874,4,70,722,,,,,,,,2,02,2,1,32,087,08,,87,128,2,,072,,42,0926,080,2,208042,,,112642,,,,1970,1.0
70IN03688,1969423875,69,1,T3875,4,70,722,,,,,,,,2,02,2,1,,092,08,,92,,7,,079,,42,0801,085,3,208042,,210,112642,,,,1970,1.0
