UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,TRT1,TRT2,PD,RGRP,ELG,INBR,TBR,ADAM,STM,TM,HORN,BPEN,YRWT,FACE,BAG,SPRGWT,FALLWT,DISP,LNDAM,STAPL,CLFL,BRD,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,PHYS,YRREC,AGE
69IN02736,1968422957,68,1,T2957,4,83,48,,,,,,,1,2,02,7,1,185,133,10,,133,175,2,82,110,,42,0927,125,5,968541,,228,109442,,,1969,1.0
69IN02737,1968422958,68,2,T2958,4,77,43,,,,,,,1,2,02,7,1,771,113,09,,113,114,,82,116,,42,,122,3,008142,,,034342,,,1969,1.0
69IN02738,1968422959,68,2,T2959,4,70,712,,,,,,,1,2,02,2,1, 15,132,10,,132,140,2,70,099,,42,0927,088,3,108242,,,125242,,,1969,1.0
69IN02739,1968422962,68,2,T2962,4,70,732,,,,,,,2,2,02,2,,,,,,,,6,70,,,42,0123,,,000842,,,021242,,,1969,1.0
69IN02740,1968422964,68,2,T2964,4,70,722,,,,,,,3,2,02,2,1,700,077,11,,77,101,,70,108,,42,,088,2,065942,,,489341,,,1969,1.0
69IN02741,1968422966,68,2,T2966,4,70,712,,,,,,,1,2,02,2,1,701,106,09,,106,137,,70,098,,42,,099,2,108242,,,086742,,,1969,1.0
69IN02742,1968422968,68,2,T2968,4,77,48,,,,,,,3,2,02,7,1,770,098,09,,98,128,,82,104,,42,,089,3,968541,,,114642,,,1969,1.0
69IN02743,1968422969,68,2,T2969,4,75,41,,,,,,,3,2,02,7,1,751,123,09,,123,138,,82,131,,42,,133,5,040542,,,044142,,,1969,1.0
69IN02744,1968422971,68,2,T2971,4,76,46,,,,,,,2,2,02,7,1, 24,106,08,,106,122,2,82,095,,42,0927,114,3,137642,,,104642,,,1969,1.0
69IN02745,1968422973,68,1,T2973,4,77,46,,,,,,,1,2,02,7,1,,122,11,,122,150,3,82,118,,42,0812,140,5,137642,,225,030842,,,1969,1.0
69IN02746,1968422974,68,1,T2974,4,75,48,,,,,,,1,2,02,7,1,,128,10,,128,160,3,82,093,,42,0812,145,3,968541,,226,076142,,,1969,1.0
69IN02747,1968422975,68,1,T2975,4,77,43,,,,,,,1,2,02,7,1,174,134,09,,134,165,2,82,102,,42,0927,150,4,008142,,240,118742,,,1969,1.0
69IN02748,1968422976,68,2,T2976,4,73,41,,,,,,,1,2,02,7,1,731,132,09,,132,153,,82,114,,42,,136,4,040542,,,060142,,,1969,1.0
69IN02749,1968422977,68,2,T2977,4,72,982,,,,,,,2,2,02,3,1, 25,093,09,,93,123,2,72,112,,42,0927,109,3,135342,,,080642,,,1969,1.0
69IN02750,1968422978,68,1,T2978,4,72,982,,,,,,,2,2,02,3,2,,114,09,,114,152,,72,090,,42,,117,5,135342,,223,080642,,,1969,1.0
69IN02751,1968422979,68,2,T2979,4,70,712,,,,,,,1,2,02,2,1,700,115,09,,115,140,,70,101,,42,,109,3,108242,,,691841,,,1969,1.0
69IN02752,1968422981,68,1,T2981,4,72,832,,,,,,,3,2,02,3,1,,110,11,,110,133,3,72,091,,42,0812,103,4,077642,,223,996741,,,1969,1.0
69IN02753,1968422984,68,1,T2984,4,77,44,,,,,,,1,2,02,7,1,,115,12,,115,158,3,82,105,,42,0812,138,4,023042,,218,025342,,,1969,1.0
69IN02754,1968422986,68,1,T2986,4,72,892,,,,,,,2,2,02,3,,,,,,,,,72,,,42,,,,142142,,,780941,,,1969,1.0
69IN02755,1968422987,68,2,T2987,4,72,902,,,,,,,2,2,02,3,1,97,100,08,,100,133,,72,099,,42,,093,3,139042,,,851541,,,1969,1.0
69IN02756,1968422988,68,2,T2988,4,72,902,,,,,,,2,2,02,3,1, 16,094,07,,94,125,2,72,097,,42,0927,093,2,139042,,,851541,,,1969,1.0
69IN02757,1968422989,68,2,T2989,4,78,48,,,,,,,3,2,02,7,1,,068,08,,68,83,3,82,121,,42,1229,113,3,968541,,,134242,,,1969,1.0
69IN02758,1968422990,68,2,T2990,4,77,48,,,,,,,3,2,02,7,1,771,090,10,,90,114,,82,095,,42,,103,3,968541,,,134242,,,1969,1.0
69IN02759,1968422991,68,2,T2991,4,78,03,,,,,,,2,2,02,9,1,780,100,12,,100,128,,08,122,,42,,129,4,624241,,,938141,,,1969,1.0
69IN02760,1968422992,68,2,T2992,4,77,03,,,,,,,2,2,02,9,1,771,098,12,,98,136,,08,113,,42,,122,4,624241,,,938141,,,1969,1.0
69IN02761,1968422994,68,2,T2994,4,77,45,,,,,,,3,2,02,7,1, 18,130,10,,130,155,2,82,094,,42,0927,121,2,986141,,,992841,,,1969,1.0
69IN02762,1968422995,68,1,T2995,4,70,732,,,,,,,1,2,02,2,4,190,118,09,,118,160,2,70,088,,42,0927,134,4,000842,,226,720741,,,1969,1.0
69IN02763,1968422996,68,4,T2996,4,,032,,,,,,24,1,2,02,1,2,,083,07,,83,120,,03,103,,42,,095,3,980341,,231,620441,,,1969,1.0
69IN02764,1968422997,68,1,T2997,4,70,732,,,,,,,2,2,02,2,1,187,125,09,,125,155,2,70,107,,42,0927,143,5,000842,,232,503941,,,1969,1.0
69IN02765,1968423001,68,2,T3001,4,70,732,,,,,,,1,2,02,2,,,,,,,,6,70,,,42,0510,,,000842,,,122842,,,1969,1.0
69IN02766,1968423002,68,1,T3002,4,14,142,,,,,,37,1,2,02,1,1,,095,07,,95,130,3,14,099,,42,0812,117,3,862041,,219,866541,,,1969,1.0
69IN02767,1968423003,68,2,T3003,4,76,48,,,,,,,1,2,02,7,1,760,128,04,,128,145,,82,097,,42,,124,2,968541,,,008642,,,1969,1.0
69IN02768,1968423004,68,1,T3004,4,74,41,,,,,,,1,2,02,7,1,,133,09,,133,150,3,82,121,,42,0930,155,5,040542,,239,131642,,,1969,1.0
69IN02769,1968423012,68,2,T3012,4,72,882,,,,,,,2,2,02,3,1, 10,087,07,,87,115,2,72,082,,42,0927,104,2,078242,,,904241,,,1969,1.0
69IN02770,1968423013,68,1,T3013,4,72,962,,,,,,,3,2,02,3,1,,096,09,,96,130,,72,104,,42,,103,4,115542,,210,827741,,,1969,1.0
69IN02771,1968423014,68,1,T3014,4,72,872,,,,,,,2,2,02,3,2,,097,09,,97,142,,72,103,,42,,127,5,148642,,215,896841,,,1969,1.0
