UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,NAX,IDZ65,CLPG1,CLPG2,CLPG3,YRREC
02IN00001,1992443593,T3593,44,T3593,92,2,48,1,02,,133844,196044,2,,,,O,OVX,5,,147,0,0,X,,,.,OVX,O,10.0,SLICK GUMMER,,,,0,0,0,2002
02IN00002,1994000250,40250,00, 5148,94,2,00,1,00,,000010,509000,2,,,,O,OVX,5,,204,0,0,X,95,1010,.,OVX,.,8.0,OVX,,,,0,0,0,2002
02IN00003,1996006002, 6002,00, 6002,96,2,00,1,00,,000044, 57800,2,,,,2,  M,3,,166,179,2,,92,0920,.,,.,6.0,,,,,0,0,0,2002
02IN00004,1996006013, 6013,00, 6013,96,2,00,1,00,,000044,907300,2,,,,3,.,4,,164,152,2,,93,1024,.,,.,6.0,LOW BAG,,,,0,0,0,2002
02IN00005,1996006038, 6038,00, 6038,96,2,00,1,00,,000044,  8800,2,,,,3,"B,A",3,,167,160,3,,93,1024,.,,.,6.0,SW.BAG,U,,,0,0,0,2002
02IN00006,1996006054, 6054,00, 6054,96,2,00,1,00,,000044,450900,2,,,,3,.,2,,160,167,2,,93,1024,.,,.,6.0,ABD. RUPTURE,,,,0,0,0,2002
02IN00007,1996006059, 6059,00, 6059,96,2,00,1,00,,000044,513200,2,,,,2,  M,1,,145,190,2,,92,0920,.,,.,6.0,,,,,0,0,0,2002
02IN00008,1996006062, 6062,00, 6062,96,2,00,1,00,,000044,018805,2,,,,U,"B,A",3,,178,183,2,,,,.,UTE,U,6.0,,U,,,0,0,0,2002
02IN00009,1996006071, 6071,00, 6071,96,2,00,1,00,,000044,209000,2,,,,2,  M,4,,167,176,2,,92,0920,.,,.,6.0,,,,,0,0,0,2002
02IN00010,1996006077, 6077,00, 6077,96,2,00,1,00,,000044,155200,2,,,,2,  M,4,,170,172,2,,92,0920,.,,.,6.0,SW.BAG,,,,0,0,0,2002
