UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,BRAND,C34,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
78IN00001,1971011241,71,2,P1241,,76,03,1,2,2,,0,,,,,,067,,, 1,137,147,2,,07,,01,0921,,000001,7,,006601,92,,1978
78IN00002,1972011672,72,2,P1672,,76,31,1,1,2,,0,,,,,,066,,, 2,152,170,2,,07,,01,0921,,003701,6,,412201,92,,1978
78IN00003,1972011686,72,2,P1686,,76,11,2,1,3,,0,,,,,,,,,12,197,206,,,07,,01,,,032101,7,,387501,,,1978
78IN00004,1972011979,72,2,P1979,,76,01,1,2,2,,0,,,,,,066,,, 3,139,156,2,,07,,01,0921,,000001,7,,266401,92,,1978
78IN00005,1973012158,73,2,P2158,,76,12,1,1,2,,0,,,,,,065,,, 2,162,161,2,,07,,01,0921,,126101,6,,386101,92,,1978
78IN00006,1973012488,73,2,P2488,,76,11,1,1,2,,0,,,,,,065,,, 2,176,212,2,,07,,01,0921,,121301,7,,326201,92,,1978
78IN00007,1973012712,73,2,P2712,,76,03,2,2,2,,0,,,,,,065,,, 1,147,156,2,,07,,01,0921,,177401,7,,007301,92,,1978
78IN00008,1975013673,75,2,P3673,,76,05,2,1,,,0,,,1,40,, 11,,, 2,146,165,,,01,,01,,,149004,7,,167201,,,1978
78IN00009,1975014498,75,2,P4498,,76,02,2,2,2,,0,,,,,,040,,, 3,162,167,2,,01,,01,0921,,000004,6,,265701,92,,1978
78IN00010,1976014770,76,2,P4770,,76, 02,2,1,2,,0,,,1,,,040,,, 2,148,128,2,,01,,01,0921,,248604,6,,197901,92,,1978
78IN00011,1976014881,76,2,P4881,,76, 01,1,1,3,,0,,,3,,,,,,11,114,112,,,01,,01,,,351804,6,,124101,,,1978
78IN00012,1976014935,76,2,P4935,,76, 03,2,1,,,0,,,1,30,, 10,,, 2,152,160,,,01,,01,,,320204,7,,215801,,,1978
78IN00013,1976015048,76,2,P5048,,76, 01,1,1,3,,0,,,1,,,,,,13,141,145,,,01,,01,,,351804,6,,009601,,,1978
78IN00014,1976015318,76,2,P5318,,76, 03,2,2,2,,0,,,,,,040,,, 2,137,151,2,,01,,01,0921,,000004,7,,265701,92,,1978
78IN00015,1977015691,77,2,P5691,,76, 15,1,1,,,0,,,3,20,, 11,,, 1,106,114,,,01,,01,,,413204,6,,124101,,,1978
78IN00016,1977015741,77,2,P5741,,76, 16,1,1,2,,0,,,7,,,040,,, 1,88,110,2,,01,,01,0921,,351804,5,,248801,92,,1978
78IN00017,1977015750,77,2,P5750,,76, 14,2,1,,,0,,,3,20,, 10,,, 2,135,121,,,01,,01,,,460704,6,,197901,,,1978
78IN00018,1977016025,77,2,P6025,,76, 13,1,1,,,0,,,5,20,, 02,,, 2,103,133,,,01,,01,,,472404,5,,271201,,,1978
78IN00019,1977016253,77,1,P6253,,76, 09,,2,,,0,,,,,,,,,,,,3,,01,,01,0508,,000004,*,,215801,93,,1978
78IN00020,1969340008,69,2,40008,,76,15,2,1,3,,0,,,,,,,,,12,150,148,,,02,,34,,,000004,6,,065604,,,1978
78IN00021,1969340018,69,2,40018,,76,15,1,1,3,,0,,,,,,,,, 3,193,183,3,,02,,34,0927,,000004,7,,109104,93,,1978
78IN00022,1969340043,69,2,40043,,76,15,2,1,3,,0,,,,,,,,, 1,190,187,3,,02,,34,0927,,000004,5,,068504,93,,1978
78IN00023,1969340084,69,2,40084,,76,15,,2,,,0,,,,,,,,,,140,,5,,02,,34,1005,,000004,K,,051404,95,,1978
78IN00024,1970340114,70,2,40114,,76,26,1,1,2,,0,,,,,,056,,, 2,190,206,2,,02,,34,0921,,000004,7,,329804,92,,1978
78IN00025,1970340123,70,2,40123,,76,15,,1,,,0,,,,,,,,,,,,3,,02,,34,0403,,000904,*,,108804,93,,1978
78IN00026,1970340138,70,2,40138,,76,15,2,1,2,,0,,,,,,056,,, 3,151,146,2,,02,,34,0921,,000904,7,,070904,92,,1978
78IN00027,1970340178,70,2,40178,,76,16,1,1,3,,0,,,,,,,,, 2,156,148,3,,02,,34,0929,,004504,6,,093204,93,,1978
78IN00028,1971010715,71,2,P0715,,76,17,2,1,,,0,,,,80,, 11,,, 2,169,186,,,02,,01,,,000904,7,,063904,,,1978
78IN00029,1971010733,71,2,P0733,,76,17,1,1,2,,0,,,,,,056,,, 2,175,191,2,,02,,01,0921,,000904,7,,072404,92,,1978
78IN00030,1971011188,71,2,P1188,,76,05,2,2,2,,0,,,,,,056,,, 5,147,159,2,,02,,01,0921,,000004,7,,011404,92,,1978
78IN00031,1971011218,71,2,P1218,,76,05,1,2,,,0,,,,75,,,,,4,137,134,,,02,,01,,,000004,6,,000704,,,1978
78IN00032,1971011229,71,2,P1229,,76,04,2,2,2,,0,,,,,,056,,, 2,146,151,2,,02,,01,0921,,000004,7,,090404,92,,1978
78IN00033,1972011405,72,2,P1405,,76,17,2,1,,,0,,,,70,, 12,,, 2,145,175,,,02,,01,,,014804,7,,009404,,,1978
78IN00034,1972011421,72,2,P1421,,76,17,1,1,,,0,,,,70,, 10,,, 3,168,184,,,02,,01,,,014804,7,,103604,,,1978
78IN00035,1972011448,72,2,P1448,,76,16,2,1,,,0,,,,70,, 11,,, 3,170,182,,,02,,01,,,011504,7,,327104,,,1978
78IN00036,1972011510,72,2,P1510,,76,15,,1,,,0,,,,,,,,,,,,6,,02,,01,0127,,009104,*,,094004,19,,1978
78IN00037,1972011523,72,2,P1523,,76,15,1,1,,,0,,,,70,, 10,,, 2,156,178,,,02,,01,,,009104,5,,104504,,,1978
