UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,TRT1,SEA,PD,RGRP,ELG,ELGI,ELGC,TBR,ADAM,C2426,BPEN,C3034,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT2,YRREC
77IN00001,1976014929,76,2,P4929,,,8,,,,&,,,,2,1,,,,,,,5,,75,,01,0118,,000097,*,,406109,95,,1977
77IN00002,1976015204,76,3,P5204,,,337,,,,&,,,,1,1,,,,,,,5,,20,,01,0204,,000097,*,,170308,95,,1977
77IN00003,1969310073,69,2,10073,,76,11,,1,2,,0,,,,8,,,, 2,128,115,5,,07,,31,1017,,000001,8,,288001,95,,1977
77IN00004,1969310096,69,2,10096,,76,10,,2,2,,0,,,,8,,,, 1,124,143,5,,07,,31,1017,,000001,8,,370501,95,,1977
77IN00005,1971011241,71,2,P1241,,76,03,,2,,,0,,,,6,, 12,, 3,122,123,,,07,,01,,,000001,8,,006601,,,1977
77IN00006,1972011672,72,2,P1672,,76,31,,1,,,0,,,,5,, 11,, 3,152,146,,,07,,01,,,003701,3,,412201,,,1977
77IN00007,1972011686,72,2,P1686,,76,11,,1,,,0,,,,5,, 12,,10,180,203,,,07,,01,,,032101,8,,387501,,,1977
77IN00008,1972011979,72,2,P1979,,76,01,,2,,,0,,,,5,, 12,, 3,134,152,,,07,,01,,,000001,8,,266401,,,1977
77IN00009,1973012158,73,2,P2158,,76,12,,1,,,0,,,,4,, 15,, 3,146,148,,,07,,01,,,126101,8,,386101,,,1977
77IN00010,1973012488,73,2,P2488,,76,11,,1,,,0,,,,4,, 12,, 2,169,121,,,07,,01,,,121301,8,,326201,,,1977
77IN00011,1973012712,73,2,P2712,,76,03,,2,,,0,,,,4,, 12,, 2,136,128,,,07,,01,,,177401,2,,007301,,,1977
77IN00012,1968102900,68,2,U2900,,76,10,,1,,,0,,,,9,,,,,136,,7,,07,,10,0916,,000001,5,,349301,97,,1977
77IN00013,1975013673,75,2,P3673,,76,05,,1,,,0,,,1,2,, 13,, 2,136,144,,,01,,01,,,149004,8,,167201,,,1977
77IN00014,1975014498,75,2,P4498,,76,02,,2,,,0,,,,2,, 15,, 2,137,174,,,01,,01,,,000004,8,,265701,,,1977
77IN00015,1976014770,76,2,P4770,,76, 02,,1,,,0,,,1,1,, 15,, 1,140,151,,,01,,01,,,248604,8,,197901,,,1977
77IN00016,1976014881,76,2,P4881,,76, 01,,1,,,0,,,3,1,, 12,, 1,116,100,,,01,,01,,,351804,3,,124101,,,1977
77IN00017,1976014935,76,2,P4935,,76, 03,,1,,,0,,,1,1,, 11,, 2,115,118,,,01,,01,,,320204,8,,215801,,,1977
77IN00018,1976015048,76,2,P5048,,76, 01,,1,,,0,,,1,1,, 13,, 1,111,120,,,01,,01,,,351804,3,,009601,,,1977
77IN00019,1976015318,76,2,P5318,,76, 03,,2,,,0,,,,1,, 13,, 1,96,87,,,01,,01,,,000004,8,,265701,,,1977
77IN00020,1969340008,69,2,40008,,76,15,,1,,,0,,,,8,, 15,, 3,157,166,,,02,,34,,,000004,8,,065604,,,1977
77IN00021,1969340018,69,2,40018,,76,15,,1,,,0,,,,8,, 13,, 3,163,156,,,02,,34,,,000004,8,,109104,,,1977
77IN00022,1969340043,69,2,40043,,76,15,,1,,,0,,,,8,, 12,, 5,171,166,,,02,,34,,,000004,5,,068504,,,1977
77IN00023,1969340082,69,2,40082,,76,15,,2,,,0,,,,8,,,,,118,,3,,02,,34,0620,,000004,8,,084604,93,,1977
77IN00024,1969340084,69,2,40084,,76,15,,2,3,,0,,,,8,,,,11,147,170,,,02,,34,,,000004,8,,051404,,,1977
77IN00025,1970340094,70,2,40094,,76,16,,1,2,,0,,,,7,,033,, 2,132,147,2,,02,,34,0922,,004504,5,,072404,92,,1977
77IN00026,1970340114,70,2,40114,,76,26,,1,,,0,,,,7,, 11,, 3,197,178,,,02,,34,,,000004,8,,329804,,,1977
77IN00027,1970340123,70,2,40123,,76,15,,1,3,,0,,,,7,,,,11,199,190,,,02,,34,,,000904,8,,108804,,,1977
77IN00028,1970340137,70,2,40137,,76,26,,1,2,,0,,,,7,,033,, 9,204,199,2,,02,,34,0922,,000004,8,,006204,92,,1977
77IN00029,1970340138,70,2,40138,,76,15,,1,,,0,,,,7,, 12,, 3,139,140,,,02,,34,,,000904,8,,070904,,,1977
77IN00030,1970340178,70,2,40178,,76,16,,1,,,0,,,,7,, 13,, 5,156,165,,,02,,34,,,004504,8,,093204,,,1977
77IN00031,1971010583,71,2,P0583,,76,16,,1,2,,0,,,,6,,032,, 2,127,117,2,,02,,01,0922,,011804,5,,065604,92,,1977
77IN00032,1971010715,71,2,P0715,,76,17,,1,,,0,,,,6,, 11,, 4,170,156,,,02,,01,,,000904,8,,063904,,,1977
77IN00033,1971010733,71,2,P0733,,76,17,,1,,,0,,,,6,, 12,, 4,156,172,,,02,,01,,,000904,8,,072404,,,1977
77IN00034,1971010908,71,2,P0908,,76,16,,1,2,,0,,,,6,,031,, 5,141,142,2,,02,,01,0922,,011804,5,,104504,92,,1977
77IN00035,1971011188,71,2,P1188,,76,05,,2,,,0,,,,6,, 11,, 3,132,144,,,02,,01,,,000004,8,,011404,,,1977
77IN00036,1971011218,71,2,P1218,,76,05,,2,,,0,,,,6,, 13,, 4,117,129,,,02,,01,,,000004,8,,000704,,,1977
77IN00037,1971011229,71,2,P1229,,76,04,,2,,,0,,,,6,, 11,, 3,125,141,,,02,,01,,,000004,8,,090404,,,1977
77IN00038,1971011230,71,2,P1230,,,04,,2,,3,0,,,,6,,,,,139,,3,,02,,01,0630,,000004,K,,090404,93,,1977
77IN00039,1972011330,72,2,P1330,,76,16,,1,,,0,,,,5,,,,,,,6,,02,,01,0429,,011504,*,,067404,01,,1977
77IN00040,1972011405,72,2,P1405,,76,17,,1,,,0,,,,5,, 13,, 1,142,150,,,02,,01,,,014804,8,,009404,,,1977
77IN00041,1972011421,72,2,P1421,,76,17,,1,,,0,,,,5,, 11,, 3,142,141,,,02,,01,,,014804,8,,103604,,,1977
77IN00042,1972011448,72,2,P1448,,76,16,,1,,,0,,,,5,, 13,, 4,167,179,,,02,,01,,,011504,8,,327104,,,1977
77IN00043,1972011510,72,2,P1510,,76,15,,1,,,0,,,,5,, 11,, 3,136,123,,,02,,01,,,009104,3,,094004,,,1977
77IN00044,1972011523,72,2,P1523,,76,15,,1,,,0,,,,5,, 15,, 3,149,177,,,02,,01,,,009104,8,,104504,,,1977
77IN00045,1972011527,72,2,P1527,,76,15,,1,,,0,,,,5,, 13,, 3,161,160,,,02,,01,,,009104,8,,326104,,,1977
77IN00046,1972011571,72,2,P1571,,76,16,,1,,,0,,,,5,, 11,, 4,201,182,,,02,,01,,,011504,8,,080104,,,1977
77IN00047,1972011576,72,2,P1576,,76,17,,1,,,0,,,,5,, 13,, 2,149,149,,,02,,01,,,014804,8,,080304,,,1977
77IN00048,1972011598,72,2,P1598,,76,17,,1,,,0,,,,5,,,,,189,,7,,02,,01,0916,,014804,3,,095104,97,,1977
77IN00049,1972011696,72,2,P1696,,76,17,,1,,,0,,,,5,, 15,, 4,127,170,,,02,,01,,,014804,8,,329804,,,1977
