UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,DNA,ELG,PD,LOT,BAND,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,SEMEN,BGRP,AGE,RMK,YRREC
97IN02458,1995105825,S5825,10,S5825,95,2,13,1,07, 41,346010,421010,0,,,,1,,5,167,177,1,,,,F,32,0,1,2.0,,1997
97IN02459,1995105827,S5827,10,S5827,95,2,13,1,07, 44,1958TX,282910,0,,,,1,,1,151,150,3,,,,F,31,0,1,2.0,4TEATS,1997
97IN02460,1995105828,S5828,10,S5828,95,2,13,1,07, 44,1958TX,282910,0,,,,7,,2,182,0,0,,93,1117,F,,0,1,2.0,"MKT,STRAY",1997
97IN02461,1995105831,S5831,10,S5831,95,2,10,1,07, 22,314210,246610,2,,,,3,OVX,5,172,180,1,X,,,M,,0,*,2.0,BARREN 2yrs,1997
97IN02462,1995105833,S5833,10,S5833,95,2,13,1,07, 41,346010,092910,0,,,,1,,2,165,167,3,,,,F,33,0,1,2.0,"VLT,SUCK1SIDE",1997
97IN02463,1995105834,S5834,10,S5834,95,2,10,1,43, 23,257610,317410,0,,,,1,,2,165,159,3,,,,M,23,0,1,2.0,R.P.,1997
97IN02464,1995105836,S5836,10,S5836,95,2,11,1,07, 32,235910,231710,0,,,,1,,1,162,170,2,,,,R,12,0,1,2.0,,1997
97IN02465,1995105837,S5837,10,S5837,95,2,10,1,07, 21,354710,012810,0,,,,1,,1,146,149,3,,,,M,22,0,1,2.0,,1997
97IN02466,1995105841,S5841,10,S5841,95,1,11,1,07, 31,231510,279410,0,,,,3,X,*,0,0,0,,93,0407,R,,0,,2.0,XTHIN SM.TSTS,1997
97IN02467,1995105842,S5842,10,S5842,95,2,11,1,07, 31,231510,279410,0,,,,1,,1,157,139,2,,,,R,11,0,1,2.0,,1997
97IN02468,1995105845,S5845,10,S5845,95,2,13,1,07, 44,1958TX,193410,0,,,,1,,2,185,187,2,,,,F,33,0,1,2.0,W/ LAMB,1997
97IN02469,1995105848,S5848,10,S5848,95,2,13,1,42, 43,250010,057510,0,,,,1,,2,164,153,3,,,,F,32,0,1,2.0,,1997
97IN02470,1995105860,S5860,10,S5860,95,1,12,1,07, 84,234910,095910,0,,,,2,136,M,229,251,0,,92,0918,C,,0,,2.0,NICE,1997
97IN02471,1995105861,S5861,10,S5861,95,1,12,1,07, 84,234910,095910,2,,,,3,LIB,*,0,0,0,,,,,,0,,2.0,DUD,1997
97IN02472,1995105866,S5866,10,S5866,95,1,13,1,42, 41,346010,076710,0,,,,2,162,M,201,231,0,,92,0918,F,,0,,2.0,1TAG,1997
97IN02473,1995105872,S5872,10,S5872,95,1,13,1,43, 43,250010,249310,0,,,,2,158,M,219,246,0,,92,0918,F,,0,,2.0,/MM &WORKER,1997
97IN02474,1995105881,S5881,10,S5881,95,2,10,1,07, 22,314210,067910,0,,,,3,,1,154,136,2,,93,1020,M,,0,*,2.0,X RUPTURE @L,1997
97IN02475,1995105883,S5883,10,S5883,95,2,13,1,07, 41,346010,190410,0,,,,1,,2,148,142,2,,,,F,34,0,1,2.0,HAIRY,1997
97IN02476,1995105887,S5887,10,S5887,95,2,10,1,07, 21,354710,093210,0,,,,1,,1,178,160,2,,,,M,23,0,1,2.0,HAIRY,1997
97IN02477,1995105890,S5890,10,S5890,95,2,10,1,07, 22,314210,252110,0,,,,1,,2,151,146,2,,,,M,21,0,1,2.0,,1997
97IN02478,1995105891,S5891,10,S5891,95,1,10,1,07, 22,314210,252110,0,,,,2,144,M,206,223,0,,92,0918,M,,0,,2.0,,1997
97IN02479,1995105893,S5893,10,S5893,95,2,13,1,41, 42,263010,052810,0,,,,3,,1,150,148,2,,93,0912,F,,0,*,2.0,PPL,1997
97IN02480,1995105898,S5898,10,S5898,95,2,12,1,43, 90,279310,182910,0,,,,1,,1,189,176,2,,,,C,90,0,1,2.0,,1997
97IN02481,1995105900,S5900,10,S5900,95,2,11,1,07, 33,250510,903619,0,,,,1,,2,151,148,2,,,,R,14,0,1,2.0,,1997
97IN02482,1995105907,S5907,10,S5907,95,2,13,1,43, 43,250010,245110,0,,,,1,,2,158,161,2,,,,F,32,0,1,2.0,,1997
97IN02483,1995105908,S5908,10,S5908,95,2,13,1,43, 43,250010,245110,0,,,,1,,2,168,146,3,,,,F,32,0,1,2.0,,1997
97IN02484,1995105913,S5913,10,S5913,95,2,10,1,07, 22,314210,296610,0,,,,1,,2,149,160,2,,,,M,22,0,1,2.0,4TEATS,1997
97IN02485,1995105914,S5914,10,S5914,95,1,10,1,07, 22,314210,296610,2,,,,3,LIB,*,0,0,0,,,,,,0,,2.0,"DUD,lbwn 127",1997
97IN02486,1995105916,S5916,10,S5916,95,2,11,1,43, 31,231510,238010,0,,,,1,,1,167,170,5,,,,R,13,0,1,2.0,H3,1997
97IN02487,1995105917,S5917,10,S5917,95,2,10,1,07, 23,257610,145110,0,,,,1,,1,162,151,3,,,,M,21,0,1,2.0,,1997
97IN02488,1995105919,S5919,10,S5919,95,2,11,1,07, 34,256710,916519,0,,,,1,,1,169,182,2,,,,R,13,0,1,2.0,,1997
97IN02489,1995105921,S5921,10,S5921,95,2,13,1,07, 41,346010,015010,0,,,,1,,1,167,148,2,,,,F,31,0,1,2.0,4TEATS,1997
97IN02490,1995105923,S5923,10,S5923,95,2,12,1,07, 91,255210,280610,0,,,,1,,1,168,163,2,,,,C,86,0,1,2.0,,1997
97IN02491,1995105934,S5934,10,S5934,95,2,10,1,07, 24,258510,301310,0,,,,1,,1,155,154,2,,,,M,24,0,1,2.0,4TEATS,1997
97IN02492,1995105935,S5935,10,S5935,95,2,11,1,07, 32,235910,992819,0,,,,1,,2,171,161,2,,,,R,13,0,1,2.0,4TEATS,1997
97IN02493,1995105943,S5943,10,S5943,95,2,13,1,07, 41,346010,359810,0,,,,1,,2,126,129,1,,,,F,32,0,1,2.0,,1997
97IN02494,1995105947,S5947,10,S5947,95,2,13,1,07, 44,1958TX,079710,0,,,,1,,2,149,151,2,,,,F,34,0,1,2.0,,1997
97IN02495,1995105951,S5951,10,S5951,95,2,13,1,07, 44,1958TX,293310,0,,,,1,,2,167,166,2,,,,F,31,0,1,2.0,,1997
97IN02496,1995105953,S5953,10,S5953,95,2,12,1,07, 87,284810,872619,0,,,,1,,1,181,167,2,,,,C,83,0,1,2.0,,1997
97IN02497,1995105958,S5958,10,S5958,95,1,12,1,42, 86,328610,041610,2,,,,6,LIB,*,0,0,0,,01,0610,,,0,,2.0,DUD MAG.HORN,1997
97IN02498,1995105961,S5961,10,S5961,95,1,12,1,43, 86,328610,098010,0,,,,3,,M,192,208,0,,93,0811,C,,0,,2.0,4TEATS,1997
97IN02499,1995105966,S5966,10,S5966,95,2,11,1,07, 33,250510,293410,0,,,,6,,1,157,0,2,,01,0626,R,,0,1,2.0,TAG IN 06/26,1997
97IN02500,1995105967,S5967,10,S5967,95,2,11,1,07, 33,250510,293410,0,,,,1,,2,134,132,2,,,,R,11,0,1,2.0,,1997
97IN02501,1995105969,S5969,10,S5969,95,2,10,1,07, 23,257610,074010,0,,,,1,,2,167,156,3,,,,M,23,0,1,2.0,4TEATS,1997
97IN02502,1995105970,S5970,10,S5970,95,1,10,1,07, 23,257610,074010,0,,,,2,143,M,197,224,0,,92,0918,M,,0,,2.0,,1997
97IN02503,1995105971,S5971,10,S5971,95,2,12,1,07, 81,6139TX,250610,0,,,,1,,1,172,167,2,,,,C,91,0,1,2.0,L.BLOODY MILK,1997
97IN02504,1995105973,S5973,10,S5973,95,1,13,1,07, 41,346010,191010,2,,,,3,LIB,*,0,0,0,,,,,,0,,2.0,DUD,1997
97IN02505,1995105976,S5976,10,S5976,95,1,10,1,07, 21,354710,034710,0,,,,3,,M,197,229,0,,93,0811,M,,0,,2.0,H7,1997
97IN02506,1995105978,S5978,10,S5978,95,2,12,1,43, 89,324410,245010,0,,,,1,,1,181,151,2,,,,C,90,0,1,2.0,,1997
97IN02507,1995105989,S5989,10,S5989,95,2,12,1,07, 85,296410,051810,0,,,,1,,1,161,161,2,,,,C,91,0,1,2.0,,1997
