UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,REG,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
81IN00041,1973012292,73,2,P2292,,49,17,,1,2,,0,,,,80,,214,,,, 2,153,164,2,,02,,01,0917,,000904,3,,084504,92,,1981
81IN00042,1973012398,73,2,P2398,,73,21,,1,,,0,,,,80,,008,,,,,163,0,,,08,,01,,,102508,8,,023508,,,1981
81IN00043,1973012415,73,2,P2415,,71,181,,1,2,,1,,,,80,,711,,,, 2,139,162,,,30,,01,,,135107,2,,156207,,,1981
81IN00044,1973012452,73,2,P2452,,70,181,,1,2,,1,,,,80,,161,,,, 2,116,129,2,,30,,01,0917,,135107,1,,165607,92,,1981
81IN00045,1973012454,73,2,P2454,,70,38,,1,,,0,,,,80,,,,,,,111,0,7,,51,,01,0910,,116509,2,,020509,97,,1981
81IN00046,1973012489,73,2,P2489,,71,09,,1,,,0,,,,80,,,,,,,109,0,7,,51,,01,0910,,070509,1,,004609,97,,1981
81IN00047,1973012509,73,2,P2509,,76,17,,1,3,,0,,,,80,,,,,, 9,172,156,4,163,02,,01,,,000904,2,,327104,,2,1981
81IN00048,1973012600,73,2,P2600,,76,551,,1,,,0,,,,80,,001,,,, 2,174,208,,197,02,,01,,,144004,8,,142104,,3,1981
81IN00049,1973012613,73,2,P2613,,74,611,,1,,,0,,,,80,,006,,,,,201,0,,,08,,01,,,147608,8,,155608,,,1981
81IN00050,1973012640,73,2,P2640,,70,38,,1,3,,0,,,,80,,,,,, 2,122,100,3,,51,,01,0928,,116509,2,,099109,93,,1981
81IN00051,1973012675,73,2,P2675,,74,08,,2,,,0,,,,75,,007,,,,,145,0,,,08,,01,,,109208,8,,120608,,,1981
81IN00052,1973012689,73,2,P2689,,71,10,,2,3,,0,,,,75,,,,,, 3,113,122,3,122,51,,01,1207,,070509,1,,166509,93,5,1981
81IN00053,1973012733,73,2,P2733,,75,07,,2,2,,0,,,,75,,167,,,, 3,129,123,2,,08,,01,0917,,102508,1,,125508,92,,1981
81IN00054,1974012787,74,2,P2787,,71,11,,1,,,0,,,,70,,715,,,, 3,158,158,,,51,,01,,,001095,1,,248801,,,1981
81IN00055,1974012829,74,1,P2829,,,22,,1,1,,0,,,,70,,,,,,,182,211,,208,08,,01,,,118908,M,,010308,,,1981
81IN00056,1974012836,74,2,P2836,,71,08,,1,,,0,,,,70,,,,,,,114,0,7,,51,,01,0910,,232809,1,,094409,97,,1981
81IN00057,1974012840,74,2,P2840,,70,11,,1,,,0,,,,70,,715,,,, 5,127,144,,,51,,01,,,001095,2,,398201,,,1981
81IN00058,1974012862,74,2,P2862,,73,18,,1,,,1,,,,70,,001,,,, 2,123,138,7,,30,,01,1019,,177107,8,,054307,97,,1981
81IN00059,1974012870,74,2,P2870,,49,17,,1,,,0,,,,70,,493,,42,, 3,171,186,,,02,,01,,,149004,3,,112504,,,1981
81IN00060,1974012898,74,2,P2898,,74,22,,1,,,0,,,,70,,002,,,, 2,147,164,,160,08,,01,,,118908,8,,099708,,,1981
81IN00061,1974012926,74,2,P2926,,74,22,,1,,,0,,,,70,,008,,,,,160,0,,,08,,01,,,118908,8,,016708,,,1981
81IN00062,1974012957,74,2,P2957,,70,19,,1,,,1,,,,70,,703,,,, 2,122,132,,,30,,01,,,137407,1,,179907,,,1981
81IN00063,1974012958,74,2,P2958,,75,19,,1,,,1,1,,,70,,003,,,, 2,119,139,,148,30,,01,,,137407,8,,179907,,3,1981
81IN00064,1974012974,74,2,P2974,,71,09,,1,,,0,,,,70,,715,,,, 3,150,136,,,51,,01,,,237709,1,,013709,,,1981
81IN00065,1974012976,74,2,P2976,,75,23,,1,,,0,,,,70,,004,,,, 4,137,149,,147,08,,01,,,102508,8,,015608,,1,1981
81IN00066,1974012993,74,2,P2993,,71,08,,1,,,0,,,,70,,715,,,, 3,116,125,,,51,,01,,,232809,1,,005909,,,1981
81IN00067,1974013023,74,2,P3023,,49,17,,1,,,0,,,,70,,492,,41,, 9,153,157,,,02,,01,,,149004,3,,097704,,,1981
81IN00068,1974013092,74,2,P3092,,70,09,,1,,,0,,,,70,,715,,,, 3,128,128,,,51,,01,,,237709,1,,161009,,,1981
81IN00069,1974013094,74,2,P3094,,73,21,,1,3,,0,,,,70,,,,,, 2,149,146,3,140,08,,01,1207,,231008,8,,010508,93,,1981
81IN00070,1974013135,74,2,P3135,,49,17,,1,,,0,,,,70,,491,,40,, 2,148,152,,,02,,01,,,149004,2,,071504,,,1981
81IN00071,1974013161,74,2,P3161,,49,15,,1,,,0,,,,70,,493,,42,, 3,154,160,,,02,,01,,,190404,1,,001604,,,1981
81IN00072,1974013174,74,2,P3174,,75,23,,1,,,0,,,,70,,005,,,, 3,153,145,,152,08,,01,,,102508,7,,327508,,1,1981
81IN00073,1974013175,74,2,P3175,,75,21,,1,,,0,,,,70,,,,,,,0,0,7,,08,,01,0614,,231008,*,,170308,97,,1981
81IN00074,1974013191,74,2,P3191,,49,17,,1,,,0,,,,70,,491,,40,, 3,163,171,,,02,,01,,,149004,2,,075604,,,1981
81IN00075,1974013245,74,2,P3245,,70,11,,1,,,0,,,,70,,715,,,, 2,149,158,,,51,,01,,,001095,1,,434201,,,1981
81IN00076,1974013256,74,2,P3256,,49,15,,1,,,0,,,,70,,492,,41,, 3,133,152,,,02,,01,,,190404,3,,008404,,,1981
81IN00077,1974013318,74,2,P3318,,70,11,,1,2,,0,,,,70,,170,,,, 4,135,146,4,137,51,,01,,,001095,3,,265701,,2,1981
81IN00078,1974013359,74,2,P3359,,71,34,,1,,,1,,,,70,,712,,,, 2,115,116,,,30,,01,,,135107,1,,165607,,,1981
81IN00079,1974013419,74,2,P3419,,70,35,,1,2,,1,,,,70,,161,,,, 2,120,118,2,,30,,01,0917,,249707,2,,175107,92,,1981
81IN00080,1974013444,74,2,P3444,,71,12,,2,,,0,,,,65,,715,,,, 2,112,127,,,51,,01,,,000009,1,,166509,,,1981
81IN00081,1974013457,74,2,P3457,,75,05,,2,,,1,,,,65,,007,,,,,141,0,,,30,,01,,,000007,8,,269907,,,1981
81IN00082,1974013502,74,2,P3502,,74,04,,2,,3,1,,,,65,,,,,,,0,0,7,,30,,01,0614,,000007,*,,134607,97,,1981
81IN00083,1974013503,74,2,P3503,,75,05,,2,,,1,,,,65,,007,,,,,128,0,,,30,,01,,,000007,8,,141607,,,1981
81IN00084,1974013557,74,2,P3557,,74,09,,2,,,0,,,,65,,003,,,, 4,157,168,,167,08,,01,,,000008,7,,016208,,,1981
81IN00085,1974013573,74,2,P3573,,49,02,,2,,,0,,,,65,,492,,41,, 3,125,142,,,02,,01,,,000004,2,,142104,,,1981
81IN00086,1974013612,74,2,P3612,,73,08,,2,,,0,1,,,65,,003,,,, 3,143,162,,154,08,,01,,,000008,8,,202108,,,1981
81IN00087,1974013624,74,2,P3624,,49,02,,2,,,0,,,,65,,491,,40,, 2,115,132,,,02,,01,,,000004,2,,080304,,,1981
81IN00088,1975013651,75,2,P3651,,76,06,,1,,3,0,,,,60,,,,,,,190,0,3,,02,,01,0629,,320204,9,,171704,93,,1981
81IN00089,1975013660,75,2,P3660,,70,08,,1,,,1,,,,60,,704,,,, 2,123,135,,,30,,01,,,135107,1,,136407,,,1981
81IN00090,1975013672,75,2,P3672,,75,07,,1,,,1,,,,60,,,,,,,0,0,7,,30,,01,0614,,177107,*,,170607,97,,1981
81IN00091,1975013673,75,2,P3673,,49,05,,1,,,0,,,,60,,493,,42,, 2,139,158,,,01,,01,,,149004,1,,167201,,,1981
81IN00092,1975013695,75,2,P3695,,73,13,,1,,,0,,,,60,,005,,,,,170,0,,199,08,,01,,,301408,8,,123308,,,1981
81IN00093,1975013696,75,2,P3696,,74,11,,1,,,0,1,,,60,,004,,,, 3,128,149,,127,08,,01,,,213708,8,,083308,,,1981
81IN00094,1975013709,75,2,P3709,,75,08,,1,,,1,,,,60,,007,,,,,146,0,,,30,,01,,,135107,8,,145907,,,1981
81IN00095,1975013734,75,2,P3734,,49,04,,1,,,0,,,,60,,491,,40,, 3,144,162,,,02,,01,,,144004,1,,013804,,,1981
81IN00096,1975013784,75,2,P3784,,71,17,,1,,,0,,,,60,,715,,,, 2,134,143,,,51,,01,,,313809,1,,005709,,,1981
81IN00097,1975013790,75,2,P3790,,70,16,,1,,,0,,,,60,,715,,,, 3,112,112,,,51,,01,,,237909,1,,199909,,,1981
81IN00098,1975013791,75,2,P3791,,70,16,,1,,,0,,,,60,,715,,,, 2,124,124,,,51,,01,,,237909,3,,199909,,,1981
81IN00099,1975013795,75,2,P3795,,71,17,,1,,,0,,,,60,,,,,,,116,0,7,,51,,01,0910,,313809,1,,119509,97,,1981
81IN00100,1975013812,75,2,P3812,,75,09,,1,,,1,,,,60,,001,,,, 2,146,164,,162,30,,01,,,216307,8,,164207,,2,1981
81IN00101,1975013822,75,2,P3822,,71,35,,1,,,1,,,,60,,713,,,, 2,119,124,,,30,,01,,,259207,2,,250007,,,1981
81IN00102,1975013827,75,2,P3827,,73,08,,1,,,1,1,,,60,,002,,,, 5,135,160,,161,30,,01,,,135107,8,,187907,,,1981
81IN00103,1975013830,75,2,P3830,,74,08,,1,,,1,1,,,60,,005,,,, 2,147,163,,173,30,,01,,,135107,8,,121607,,,1981
81IN00104,1975013859,75,2,P3859,,75,13,,1,,,0,,,,60,,002,,,, 2,174,182,,177,08,,01,,,301408,8,,001908,,3,1981
81IN00105,1975013862,75,2,P3862,,70,17,,1,,,0,,,,60,,715,,,, 6,129,143,,,51,,01,,,313809,3,,009709,,,1981
81IN00106,1975013866,75,2,P3866,,70,16,,1,,,0,,,,60,,715,,,, 2,160,156,,,51,,01,,,237909,1,,060809,,,1981
81IN00107,1975013874,75,2,P3874,,70,16,,1,,,0,,,,60,,715,,,, 3,116,125,,,51,,01,,,237909,1,,002109,,,1981
81IN00108,1975013883,75,2,P3883,,49,05,,1,,3,0,,,,60,,,,,,,169,0,3,,02,,01,0713,,149004,9,,229204,93,,1981
81IN00109,1975013888,75,2,P3888,,74,09,,1,,,1,,,,60,,,,,,,0,0,7,,30,,01,0614,,216307,*,,170007,97,,1981
81IN00110,1975013919,75,2,P3919,,76,05,,1,,3,0,,,,60,,,,,,,173,0,3,,02,,01,0629,,149004,9,,308004,93,,1981
81IN00111,1975013923,75,2,P3923,,49,06,,1,,3,0,,,,60,,,,,,,122,0,3,,02,,01,0608,,320204,9,,013704,93,,1981
81IN00112,1975013957,75,2,P3957,,49,05,,1,,,0,,,,60,,,,,,,118,0,4,,02,,01,,,149004,1,,182604,,,1981
81IN00113,1975013972,75,2,P3972,,73,13,,1,,,0,1,,,60,,004,,,, 2,180,193,,194,08,,01,,,301408,8,,124908,,,1981
81IN00114,1975013990,75,2,P3990,,49,04,,1,,,0,,,,60,,492,,41,, 2,137,132,,,02,,01,,,144004,3,,079104,,,1981
81IN00115,1975014008,75,2,P4008,,74,12,,1,,,0,,,,60,,001,,,, 2,162,162,6,,08,,01,0820,,219808,7,,015608,01,,1981
81IN00116,1975014049,75,2,P4049,,75,09,,1,,,1,,,,60,,003,,,, 2,158,176,,175,30,,01,,,216307,8,,052507,,2,1981
81IN00117,1975014052,75,2,P4052,,76,06,,1,,,0,,,,60,,002,,,, 3,191,192,,183,02,,01,,,320204,7,,009404,,2,1981
81IN00118,1975014055,75,2,P4055,,76,06,,1,2,,0,,,,60,,213,,,, 4,158,169,2,,02,,01,0917,,320204,8,,223604,92,,1981
81IN00119,1975014073,75,2,P4073,,70,16,,1,3,,0,,,,60,,,,,, 2,113,128,6,,51,,01,0927,,237909,1,,016509,09,,1981
81IN00120,1975014086,75,2,P4086,,76,05,,1,,,0,,,,60,,003,,,, 2,168,201,,194,02,,01,,,149004,8,,118804,,1,1981
81IN00121,1975014099,75,2,P4099,,73,11,,1,,,0,1,,,60,,005,,,, 3,134,139,,148,08,,01,,,213708,7,,027708,,,1981
81IN00122,1975014104,75,2,P4104,,71,17,,1,,,0,,,,60,,,,,,,141,0,7,,51,,01,0910,,313809,1,,010709,97,,1981
81IN00123,1975014124,75,2,P4124,,71,38,,1,3,,0,,,,60,,,,,,12,140,147,4,150,51,,01,,,237709,2,,170409,,1,1981
81IN00124,1975014128,75,2,P4128,,73,09,,1,,3,1,,,,60,,,,,,,164,0,3,,30,,01,0608,,216307,9,,241507,93,,1981
81IN00125,1975014129,75,2,P4129,,74,35,,1,,,1,,,,60,,,,,,,0,0,6,,30,,01,0125,,259207,*,,138407,01,,1981
81IN00126,1975014148,75,2,P4148,,49,05,,1,,,0,,,,60,,493,,42,, 2,152,167,,,02,,01,,,149004,2,,073304,,,1981
81IN00127,1975014194,75,2,P4194,,49,06,,1,,,0,,,,60,,493,,42,, 3,138,164,,,02,,01,,,320204,2,,123004,,,1981
81IN00128,1975014229,75,2,P4229,,49,05,,1,,,0,,,,60,,491,,40,, 3,129,139,,,02,,01,,,149004,2,,140504,,,1981
81IN00129,1975014274,75,1,P4274,,,37,,1,1,,0,,,,60,,,,,,,201,215,,218,08,,01,,,118908,M,,239208,,,1981
81IN00130,1975014298,75,2,P4298,,73,34,,1,,3,1,,,,60,,,,,,,196,0,3,,30,,01,0629,,137407,9,,058507,93,,1981
81IN00131,1975014328,75,2,P4328,,70,04,,2,,,1,,,,55,,,,,,,104,0,3,,30,,01,0629,,000007,3,,207207,93,,1981
81IN00132,1975014355,75,2,P4355,,74,06,,2,,,1,,,,55,,008,,,,,129,0,,,30,,01,,,000007,8,,270607,,,1981
81IN00133,1975014389,75,2,P4389,,49,02,,2,,,0,,,,55,,,,,,,0,0,6,,02,,01,0426,,000004,*,,215204,09,,1981
81IN00134,1975014391,75,2,P4391,,75,04,,2,2,,1,1,,,55,,151,,,, 2,144,160,2,,30,,01,0917,,000007,8,,194107,92,,1981
81IN00135,1975014398,75,2,P4398,,70,12,,2,,,0,,,,55,,715,,,, 2,128,139,,,51,,01,,,000009,2,,011109,,,1981
81IN00136,1975014432,75,2,P4432,,76,03,,2,,,0,,,,55,,004,,,, 2,125,155,,156,02,,01,,,000004,8,,357304,,2,1981
81IN00137,1975014438,75,2,P4438,,71,05,,2,,,1,,,,55,,,,,,,134,0,7,,30,,01,0910,,000007,2,,303207,97,,1981
81IN00138,1975014440,75,2,P4440,,75,06,,2,2,,1,,,,55,,141,,,, 2,136,140,3,,30,,01,0928,,000007,8,,170007,93,,1981
81IN00139,1975014454,75,2,P4454,,75,06,,2,,,1,,,,55,,008,,,,,142,0,,,30,,01,,,000007,8,,052507,,,1981
81IN00140,1975014456,75,2,P4456,,75,04,,2,,,1,,,,55,,004,,,, 4,161,172,,165,30,,01,,,000007,7,,213907,,3,1981
81IN00141,1975014472,75,2,P4472,,49,03,,2,,,0,,,,55,,,,,,,0,0,6,,02,,01,0512,,000004,*,,009404,01,,1981
81IN00142,1975014490,75,2,P4490,,74,08,,2,3,,0,,,,55,,,,,,12,143,151,4,134,08,,01,,,000008,8,,023508,,5,1981
81IN00143,1975014501,75,2,P4501,,73,09,,2,,,0,,,,55,,001,,,, 2,135,163,,152,08,,01,,,000008,8,,230308,,,1981
81IN00144,1975014504,75,2,P4504,,49,03,,2,,,0,,,,55,,492,,41,, 2,140,133,,,02,,01,,,000004,3,,111004,,,1981
81IN00145,1975014514,75,2,P4514,,73,04,,2,,,1,,,,55,,002,,,, 2,137,154,,150,30,,01,,,000007,8,,138407,,,1981
81IN00146,1976014555,76,2,P4555,,71, 10,,1,,,0,,,,50,,712,,,, 9,158,156,,,30,,01,,,380908,1,,199609,,,1981
81IN00147,1976014557,76,2,P4557,,71, 10,,1,,,0,,,,50,,711,,,, 2,156,165,,,30,,01,,,380908,1,,199609,,,1981
81IN00148,1976014568,76,2,P4568,,71, 08,,1,,,0,,,,50,,714,,,, 3,121,129,,,30,,01,,,376209,2,,315408,,,1981
81IN00149,1976014578,76,2,P4578,,70, 11,,1,,,0,,,,50,,701,,,, 2,148,161,,,30,,01,,,213708,2,,203909,,,1981
