UID,ID10,YR,SEX,ETAG,RMK,LINE,PEN,PAD1,SEA,PD,RGRP,ELG,ELGI,ELGC,RC,ADAM,PAD2,BPEN,PAD3,BRAND,SYNC,BAG,SPRGWT,FALLWT,DISP,MISC,STM,LOT,BRD,DAYDIS,GRP,PAD4,ABEWE,SIRE,BAND,IDX,DAM,CAUSE,TRT,YRREC
86IN00001,         0,81,1,01499,,00,,,1,1,,,,,,50,,,,,,,206,0,,,02,,00,,,,,CALIF,M,,,,,1986
86IN00002,         0,82,1,02419,,00,,,1,,,,,,,40,,,,,,,153,0,3,,02,,00,0623,,,,CALIF,M,,,93,,1986
86IN00003,         0,82,1,02586,,00,,,1,1,,,,,,40,,,,,,,243,0,,,02,,00,,,,,CALIF,M,,,,,1986
86IN00004,         0,82,1,02689,,00,,,1,,,,,,,40,,,,,,,0,0,,,02,,00,,,,,CALIF,*,,,,,1986
86IN00005,         0,83,1,03650,,00,,,1,,,,,,,30,,,,,,,0,0,,,02,,00,,,,,CALIF,*,,,,,1986
86IN00006,         0,83,1,03684,,00,,,1,,,,,,,30,,,,,,,233,0,3,,02,,00,0623,,,,CALIF,M,,,93,,1986
86IN00007,         0,83,1,03701,,00,,,1,,,,,,,30,,,,,,,0,0,3,,02,,00,1103,,,,CALIF,*,,,93,,1986
86IN00008,         0,83,1,03709,,00,,,1,,,,,,,30,,,,,,,0,0,,,02,,00,,,,,CALIF,*,,,,,1986
86IN00009,         0,84,1,04274,,00,,,1,,,,,,,20,,,,,,,0,0,,,02,,00,,,,,CALIF,*,,,,,1986
86IN00010,         0,84,1,04308,,00,,,1,,,,,,,20,,,,,,,0,0,,,02,,00,,,,,CALIF,*,,,,,1986
86IN00011,1975013673,75,2,P3673,,48,05,,1,3,,0,,,,-0,,,,,, 3,159,137,3,,01,,01,1005,4,,47,149004,1,,167201,93,,1986
86IN00012,1975014501,75,2,P4501,,73,09,,2,,1,0,,,,05,,,,,,,125,0,,,08,,01,,,,,000008,4,,230308,,,1986
86IN00013,1976014568,76,2,P4568,,71, 08,,1,3,2,0,,,,00,,,,,,,93,0,5,,30,,01,1027,5,,45,376209,4,,315408,95,,1986
86IN00014,1976014635,76,2,P4635,,71, 11,,1,3,,0,,,,00,,,,,, 3,121,102,6,,30,,01,0923,,,47,213708,3,,278709,76,,1986
86IN00015,1976014668,76,2,P4668,,48, 01,,1,,,0,,,,00,,,,,,,135,0,3,,02,,01,0616,,,,351804,9,,013804,02,,1986
86IN00016,1976014675,76,2,P4675,,72, 04,,1,3,0,1,,,,00,,,,,,,173,160,3,,30,,01,1006,3,,47,423407,5,,269507,93,,1986
86IN00017,1976014720,76,2,P4720,,70, 10,,1,3,,0,,,,00,,,,,, 9,163,159,3,,30,,01,1103,2,,06,380908,3,,248909,93,,1986
86IN00018,1976014751,76,2,P4751,,73, 11,,1,3,2,0,,,,00,,,,,,,105,0,5,,30,,01,1027,5,,45,213708,4,,002109,95,,1986
86IN00019,1976014888,76,2,P4888,,70, 08,,1,,,0,,,,00,,,,,,,173,0,3,,30,,01,0616,,,,376209,9,,317408,02,,1986
86IN00020,1976014915,76,2,P4915,,48, 01,,1,,,0,,,,00,,,,,,,183,0,3,,02,,01,0616,,,,351804,9,,320504,02,,1986
86IN00021,1976014975,76,2,P4975,,71, 12,,1,3,2,0,,,,00,,,,,, 1,164,166,,166,30,,01,,2,,47,118908,3,,009709,,,1986
86IN00022,1977015346,77,2,P5346,,74, 11,,1,,6,0,,,,90,,,,,,,0,0,3,,30,,01,0303,,,,441508,*,,344409,93,,1986
86IN00023,1977015354,77,2,P5354,,73, 08,,1,3,2,0,,,,90,,,,,,,156,0,,148,30,,01,,2,, 2,237909,4,,397208,,,1986
86IN00024,1977015378,77,2,P5378,,73, 08,,1,,2,0,,,,90,,,,,,,0,0,6,,30,,01,0418,,,,237909,*,,001908,01,,1986
86IN00025,1977015381,77,2,P5381,,72, 05,,1,,6,0,,,,90,,,,,,,147,0,6,,30,,01,0721,,,,425309,4,,261308,01,,1986
86IN00026,1977015400,77,2,P5400,,74, 07,,1,,0,0,,,,90,,,,,,,0,0,3,,30,,01,0303,,,,237909,*,,289808,93,,1986
86IN00027,1977015589,77,2,P5589,,70, 23,,1,3,,0,,,,90,,,,,,,144,0,3,,30,,01,1006,3,,44,237909,5,,355708,93,,1986
86IN00028,1977015594,77,2,P5594,,70, 22,,1,3,2,1,,,,90,,,,,,11,156,148,,148,30,,01,,2,,06,437007,1,,193407,,,1986
86IN00029,1977015729,77,2,P5729,,71, 22,,1,3,,1,,,,90,,,,,, 3,123,118,5,,30,,01,1027,5,,3V,437007,2,,456807,95,,1986
86IN00030,1977015748,77,2,P5748,,72, 25,,1,3,2,0,,,,90,,,,,,,106,0,5,,30,,01,1027,5,,45,427408,4,,248909,95,,1986
86IN00031,1977015760,77,2,P5760,,70, 21,,1,3,,1,,,,90,,,,,, 2,129,113,5,,30,,01,1027,5,,3V,476107,1,,154107,95,,1986
86IN00032,1977015768,77,2,P5768,,48, 13,,1,3,,0,,,,90,,004,,,, 3,154,146,,,02,,01,,1,,45,472404,2,,323504,,,1986
86IN00033,1977015777,77,2,P5777,,72, 21,,1,,0,1,,,,90,,,,,,,202,0,3,,30,,01,0616,,,,476107,9,,070407,93,,1986
86IN00034,1977015815,77,2,P5815,,71, 26,,1,3,2,1,,,,90,,,,,, 2,142,137,,137,30,,01,,2,,66,476007,2,,443807,,,1986
86IN00035,1977015825,77,2,P5825,,75, 18,,1,,6,1,,,,90,,,,,,,0,0,6,,30,,01,0328,,,,511807,*,,315107,95,,1986
86IN00036,1977015833,77,2,P5833,,48, 15,,1,3,,0,,,,90,,,,,, 3,143,136,3,,02,,01,1006,3,,30,413204,3,,229004,93,,1986
86IN00037,1977015842,77,2,P5842,,71, 25,,1,2,,0,,,0,90,,,,,, 3,149,147,2,,30,141,01,0925,,,,427408,1,,236009,92,,1986
86IN00038,1977015906,77,2,P5906,,71, 26,,1,1,,1,,,,90,,712,,,, 2,125,137,,,30,,01,,,,,476007,2,,478107,,,1986
86IN00039,1977015940,77,2,P5940,,70, 21,,1,3,,1,,,,90,,,,,, 2,148,134,5,,30,,01,1027,5,,45,476107,2,,138407,95,,1986
86IN00040,1977015951,77,2,P5951,,71, 25,,1,3,2,0,,,,90,,,,,,11,143,147,,147,30,,01,,2,,06,427408,1,,199909,,,1986
86IN00041,1977016107,77,2,P6107,,72, 21,,1,,6,1,,,,90,,,,,,,121,0,6,,30,,01,0914,,,,476107,4,,492507,69,,1986
86IN00042,1977016138,77,2,P6138,,70, 21,,1,3,,1,,,,90,,,,,, 3,168,152,3,,30,,01,1006,3,,3#,476107,3,,503807,93,,1986
86IN00043,1977016208,77,2,P6208,,74, 06,,2,,6,0,,,,85,,,,,,,0,0,6,,30,,01,0422,,,,237909,*,,005808,02,,1986
86IN00044,1977016247,77,2,P6247,,48, 09,,2,3,,0,,,,85,,,,,, 2,176,134,3,,02,,01,1006,3,,47,000004,3,,484504,93,,1986
86IN00045,1978016266,78,2,P6266,,75,005,,1,1,6,0,,,,80,,,,,, 2,147,0,,191,30,,01,,,,,282908,4,,063409,,,1986
86IN00046,1978016278,78,2,P6278,,73,007,,1,1,6,0,,,,80,,,,,, 2,189,0,,224,30,,01,,,,,233109,4,,219308,,,1986
86IN00047,1978016314,78,2,P6314,,72,008,,1,,2,0,,,,80,,,,,,,173,0,3,,30,,01,0602,,,,425309,4,,139408,93,,1986
86IN00048,1978016332,78,2,P6332,,73, 07,,1,1,6,0,,,,80,,,,,, 2,175,0,,223,30,,01,,,,,233109,4,,001908,,,1986
86IN00049,1978016370,78,2,P6370,,73,007,,1,1,6,0,,,,80,,,,,, 2,163,0,,203,30,,01,,,,,233109,4,,369508,,,1986
86IN00050,1978016521,78,2,P6521,,72,004,,1,1,6,1,,,,80,,,,,, 2,136,0,,166,30,,01,,,,,549107,4,,207207,,,1986
86IN00051,1978016651,78,2,P6651,,75,009,,1,3,2,1,,,,80,,,,,, 2,152,168,,170,30,,01,,2,,46,523007,4,,526607,,,1986
86IN00052,1978016680,78,2,P6680,,75,007,,1,1,6,0,,,,80,,,,,, 2,138,0,,180,30,,01,,,,,233109,4,,182708,,,1986
86IN00053,1978016755,78,2,P6755,,75,006,,1,1,6,0,,,,80,,,,,, 3,169,0,,226,30,,01,,,,,427408,4,,439809,,,1986
86IN00054,1978016814,78,2,P6814,,48,012,,1,,0,0,,,,80,,,,,,,186,0,3,,02,,01,0602,,,,368304,9,,325604,93,,1986
86IN00055,1978016872,78,2,P6872,,48,012,,1,,,0,,,,80,,,,,,,173,0,3,,02,,01,0616,,,,368304,9,,405204,93,,1986
86IN00056,1978016936,78,2,P6936,,73,001,,1,2,6,1,,,2,80,,,,,,,155,168,2,,30,120,01,0925,,,,535807,4,,552007,92,,1986
86IN00057,1978017034,78,2,P7034,,70,701,,1,3,,0,,,,80,,,,,, 2,128,146,5,,30,,01,1027,5,,65,233109,1,,170308,95,,1986
86IN00058,1978017038,78,2,P7038,,70,703,,1,1,,1,,,,80,,702,,,, 2,152,144,,,30,,01,,,,,573507,2,,293007,,,1986
86IN00059,1978017044,78,2,P7044,,71,714,,1,,,1,,,,80,,,,,,,168,0,7,,30,,01,0917,,,,479407,3,,455507,97,,1986
86IN00060,1978017066,78,2,P7066,,71,714,,1,,0,1,,,,80,,,,,,,150,0,3,,30,,01,0602,,,,479407,9,,318107,93,,1986
86IN00061,1978017076,78,2,P7076,,71,712,,1,,1,0,,,,80,,,,,,,0,0,6,,30,,01,0114,,,,213708,*,,127709,95,,1986
86IN00062,1978017114,78,2,P7114,,70,703,,1,1,,1,,,,80,,701,,,, 2,150,150,,,30,,01,,,,,573507,1,,589907,,,1986
86IN00063,1978017131,78,2,P7131,,71,713,,1,,,1,,,,80,,,,,,,162,0,6,,30,,01,0528,,,,556507,1,,313307,04,,1986
86IN00064,1978017196,78,2,P7196,,71,712,,1,1,,0,,,,80,,711,,,, 3,147,153,,,30,,01,,,,,213708,1,,075609,,,1986
86IN00065,1978017252,78,2,P7252,,71,714,,1,3,2,1,,,,80,,,,,, 5,150,162,,162,30,,01,,2,,66,479407,1,,596907,,,1986
86IN00066,1978017293,78,2,P7293,,70,704,,1,3,,1,,,,80,,,,,, 2,180,182,3,,30,,01,1006,3,,57,584607,1,,154107,93,,1986
86IN00067,1978017300,78,2,P7300,,70,703,,1,1,,1,,,,80,,703,,,, 2,176,178,,,30,,01,,,,,573507,1,,496307,,,1986
86IN00068,1978017302,78,2,P7302,,72,712,,1,1,6,0,,,,80,,,,,, 2,146,0,,156,30,,01,,,,,213708,4,,324509,,,1986
