UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AOD,DINBR,TM,HORN,BPEN,YRWT,FACE,FLUSHTRT,SPRGWT,FALLWT,DISP,FLUSHWT,STAPL,CLFL,PENTRT,DAYDIS,GRFL,FLGR,SIRE,BAND,IDX,DAM,C78,AGE,ADAM,YRREC
61IN00001,1958809001,58,2,J9001,,61,,80,,,,,,,,3,014,,14,,,115,,,,,,,,,,,,,,3.0,4,1961
61IN00002,1958809002,58,2,J9002,,61,,80,,,,,,,,1,015,,14,,,114,,,,,,,,,,,,,,3.0,4,1961
61IN00003,1958809003,58,2,J9003,,61,,80,,,,,,,,1,028,,12,,,108,,,,,,,,,,,,,,3.0,4,1961
61IN00004,1958809005,58,2,J9005,,61,,80,,,,,,,,4,024,,14,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00005,1958809006,58,2,J9006,,61,,80,,,,,,,,1,014,,11,,,143,,,,,,,,,,,,,,3.0,4,1961
61IN00006,1958809007,58,2,J9007,,61,,80,,,,,,,,1,028,,12,,,114,,,,,,,,,,,,,,3.0,4,1961
61IN00007,1958809009,58,2,J9009,,61,,80,,,,,,,,1,029,,13,,,104,,,,,,,,,,,,,,3.0,4,1961
61IN00008,1958809010,58,2,J9010,,61,,80,,,,,,,,1,015,,09,,,126,,,,,,,,,,,,,,3.0,4,1961
61IN00009,1958809011,58,2,J9011,,61,,80,,,,,,,,1,024,,10,,,142,,,,,,,,,,,,,,3.0,4,1961
61IN00010,1958809012,58,2,J9012,,61,,80,,,,,,,,1,038,,13,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN00011,1958809013,58,2,J9013,,61,,80,,,,,,,,5,025,,08,,,98,,,,,,,,,,,,,,3.0,4,1961
61IN00012,1958809014,58,2,J9014,,61,,80,,,,,,,,5,079,,13,,,103,,,,,,,,,,,,,,3.0,4,1961
61IN00013,1958809015,58,2,J9015,,61,,80,,,,,,,,3,034,,14,,,104,,,,,,,,,,,,,,3.0,4,1961
61IN00014,1958809016,58,2,J9016,,61,,80,,,,,,,,4,035,,15,,,144,,,,,,,,,,,,,,3.0,4,1961
61IN00015,1958809017,58,2,J9017,,61,,80,,,,,,,,1,029,,13,,,109,,,,,,,,,,,,,,3.0,4,1961
61IN00016,1958809018,58,2,J9018,,61,,80,,,,,,,,1,264,,16,,,126,,,,,,,,,,,,,,3.0,4,1961
61IN00017,1958809019,58,2,J9019,,61,,80,,,,,,,,1,044,,14,,,132,,,,,,,,,,,,,,3.0,4,1961
61IN00018,1958809020,58,2,J9020,,61,,80,,,,,,,,3,039,,13,,,110,,,,,,,,,,,,,,3.0,4,1961
61IN00019,1958809021,58,2,J9021,,61,,80,,,,,,,,3,048,,12,,,137,,,,,,,,,,,,,,3.0,4,1961
61IN00020,1958809022,58,2,J9022,,61,,80,,,,,,,,1,045,,14,,,133,,,,,,,,,,,,,,3.0,4,1961
61IN00021,1958809023,58,2,J9023,,61,,80,,,,,,,,1,049,,12,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN00022,1958809024,58,2,J9024,,61,,80,,,,,,,,1,058,,12,,,105,,,,,,,,,,,,,,3.0,4,1961
61IN00023,1958809025,58,2,J9025,,61,,80,,,,,,,,3,034,,09,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00024,1958809026,58,2,J9026,,61,,80,,,,,,,,4,059,,13,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN00025,1958809027,58,2,J9027,,61,,80,,,,,,,,1,068,,13,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00026,1958809028,58,2,J9028,,61,,80,,,,,,,,1,054,,15,,,109,,,,,,,,,,,,,,3.0,4,1961
61IN00027,1958809029,58,2,J9029,,61,,80,,,,,,,,3,035,,10,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN00028,1958809030,58,2,J9030,,61,,80,,,,,,,,4,038,,13,,,151,,,,,,,,,,,,,,3.0,4,1961
61IN00029,1958809031,58,2,J9031,,61,,80,,,,,,,,2,044,,09,,,128,,,,,,,,,,,,,,3.0,4,1961
61IN00030,1958809032,58,2,J9032,,61,,80,,,,,,,,1,055,,15,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00031,1958809033,58,2,J9033,,61,,80,,,,,,,,1,069,,12,,,125,,,,,,,,,,,,,,3.0,4,1961
61IN00032,1958809034,58,2,J9034,,61,,80,,,,,,,,1,064,,14,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN00033,1958809035,58,2,J9035,,61,,80,,,,,,,,1,078,,12,,,133,,,,,,,,,,,,,,3.0,4,1961
61IN00034,1958809036,58,2,J9036,,61,,80,,,,,,,,1,079,,13,,,113,,,,,,,,,,,,,,3.0,4,1961
61IN00035,1958809037,58,2,J9037,,61,,80,,,,,,,,1,088,,12,,,115,,,,,,,,,,,,,,3.0,4,1961
61IN00036,1958809038,58,2,J9038,,61,,80,,,,,,,,1,089,,12,,,102,,,,,,,,,,,,,,3.0,4,1961
61IN00037,1958809039,58,2,J9039,,61,,80,,,,,,,,1,065,,15,,,120,,,,,,,,,,,,,,3.0,4,1961
61IN00038,1958809040,58,2,J9040,,61,,80,,,,,,,,2,074,,14,,,107,,,,,,,,,,,,,,3.0,4,1961
61IN00039,1958809041,58,2,J9041,,61,,80,,,,,,,,1,075,,16,,,112,,,,,,,,,,,,,,3.0,4,1961
61IN00040,1958809042,58,2,J9042,,61,,80,,,,,,,,1,098,,13,,,115,,,,,,,,,,,,,,3.0,4,1961
61IN00041,1958809043,58,2,J9043,,61,,80,,,,,,,,4,099,,12,,,106,,,,,,,,,,,,,,3.0,4,1961
61IN00042,1958809044,58,2,J9044,,61,,80,,,,,,,,2,084,,14,,,124,,,,,,,,,,,,,,3.0,4,1961
61IN00043,1958809045,58,2,J9045,,61,,80,,,,,,,,1,108,,13,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00044,1958809046,58,2,J9046,,61,,80,,,,,,,,3,085,,14,,,138,,,,,,,,,,,,,,3.0,4,1961
61IN00045,1958809047,58,2,J9047,,61,,80,,,,,,,,1,045,,10,,,111,,,,,,,,,,,,,,3.0,4,1961
61IN00046,1958809048,58,2,J9048,,61,,80,,,,,,,,3,094,,15,,,106,,,,,,,,,,,,,,3.0,4,1961
61IN00047,1958809049,58,2,J9049,,61,,80,,,,,,,,4,109,,12,,,112,,,,,,,,,,,,,,3.0,4,1961
61IN00048,1958809050,58,2,J9050,,61,,80,,,,,,,,1,118,,12,,,136,,,,,,,,,,,,,,3.0,4,1961
61IN00049,1958809051,58,2,J9051,,61,,80,,,,,,,,1,054,,10,,,120,,,,,,,,,,,,,,3.0,4,1961
61IN00050,1958809052,58,2,J9052,,61,,80,,,,,,,,1,055,,09,,,104,,,,,,,,,,,,,,3.0,4,1961
61IN00051,1958809053,58,2,J9053,,61,,80,,,,,,,,3,128,,13,,,140,,,,,,,,,,,,,,3.0,4,1961
61IN00052,1958809054,58,2,J9054,,61,,80,,,,,,,,1,095,,14,,,98,,,,,,,,,,,,,,3.0,4,1961
61IN00053,1958809055,58,2,J9055,,61,,80,,,,,,,,4,104,,15,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00054,1958809056,58,2,J9056,,61,,80,,,,,,,,1,818,,12,,,108,,,,,,,,,,,,,,3.0,4,1961
61IN00055,1958809057,58,2,J9057,,61,,80,,,,,,,,1,908,,13,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN00056,1958809058,58,2,J9058,,61,,80,,,,,,,,1,105,,14,,,133,,,,,,,,,,,,,,3.0,4,1961
61IN00057,1958809059,58,2,J9059,,61,,80,,,,,,,,1,039,,12,,,127,,,,,,,,,,,,,,3.0,4,1961
61IN00058,1958809060,58,2,J9060,,61,,80,,,,,,,,1,748,,12,,,111,,,,,,,,,,,,,,3.0,4,1961
61IN00059,1958809061,58,2,J9061,,61,,80,,,,,,,,1,064,,10,,,123,,,,,,,,,,,,,,3.0,4,1961
61IN00060,1958809062,58,2,J9062,,61,,80,,,,,,,,3,065,,09,,,124,,,,,,,,,,,,,,3.0,4,1961
61IN00061,1958809063,58,2,J9063,,61,,80,,,,,,,,1,048,,08,,,122,,,,,,,,,,,,,,3.0,4,1961
61IN00062,1958809064,58,2,J9064,,61,,80,,,,,,,,1,758,,12,,,132,,,,,,,,,,,,,,3.0,4,1961
61IN00063,1958809065,58,2,J9065,,61,,80,,,,,,,,1,049,,10,,,103,,,,,,,,,,,,,,3.0,4,1961
61IN00064,1958809066,58,2,J9066,,61,,80,,,,,,,,2,114,,15,,,118,,,,,,,,,,,,,,3.0,4,1961
61IN00065,1958809067,58,2,J9067,,61,,80,,,,,,,,1,014,,12,,,105,,,,,,,,,,,,,,3.0,4,1961
61IN00066,1958809068,58,2,J9068,,61,,80,,,,,,,,3,115,,14,,,123,,,,,,,,,,,,,,3.0,4,1961
61IN00067,1958809069,58,2,J9069,,61,,80,,,,,,,,1,124,,14,,,114,,,,,,,,,,,,,,3.0,4,1961
61IN00068,1958809070,58,2,J9070,,61,,80,,,,,,,,1,058,,15,,,97,,,,,,,,,,,,,,3.0,4,1961
61IN00069,1958809071,58,2,J9071,,61,,80,,,,,,,,1,074,,10,,,126,,,,,,,,,,,,,,3.0,4,1961
61IN00070,1958809072,58,2,J9072,,61,,80,,,,,,,,1,075,,09,,,115,,,,,,,,,,,,,,3.0,4,1961
61IN00071,1958809073,58,2,J9073,,61,,80,,,,,,,,1,084,,10,,,127,,,,,,,,,,,,,,3.0,4,1961
61IN00072,1958809074,58,2,J9074,,61,,80,,,,,,,,1,125,,14,,,116,,,,,,,,,,,,,,3.0,4,1961
