UID,ID10,YR,SEX,ETAG,BD1,LINE,PEN,BRD,REG,TYPE,INBR,TBR,AGE_LMG,DINBR,TM,HORN,BPEN,YRWT,FACE,C3536,SPRGWT,FALLWT,DISP,REASON,STAPL,CLFL,BRDNEW,C5457,GRFL,FLGR,C6263,SIRE,SB1,DAYDIS,C7378,AGE_BRDG,C80,YRREC,AGE
55IN00023,1952101655,52,2,U1655,0,68,,10,,,,,4,,,,348,,,,143,162,,,,,,,,,,,,,,3,,1955,3.0
55IN00024,1952101656,52,2,U1656,0,68,,10,,,,,4,,,,681,,,,133,153,,,,,,,,,,,,,,3,,1955,3.0
55IN00025,1952101657,52,2,U1657,0,68,,10,,,,,4,,,,718,,,,120,142,,,,,,,,,,,,,,3,,1955,3.0
55IN00026,1952101658,52,2,U1658,0,68,,10,,,,,4,,,,409,,,,115,146,,,,,,,,,,,,,,3,,1955,3.0
55IN00027,1952101659,52,2,U1659,0,68,,10,,,,,4,,,,329,,,,120,144,,,,,,,,,,,,,,3,,1955,3.0
55IN00028,1952101660,52,2,U1660,0,68,,10,,,,,4,,,,,,,,128,145,5,80,,,,,,,,,,,,3,,1955,3.0
55IN00029,1952101661,52,2,U1661,0,68,,10,,,,,4,,,,349,,,,128,166,,,,,,,,,,,,,,3,,1955,3.0
55IN00030,1952101662,52,2,U1662,0,68,,10,,,,,4,,,,,,,,113,145,8,07,,,,,,,,,,,,3,,1955,3.0
55IN00031,1952101663,52,2,U1663,0,68,,10,,,,,4,,,,671,,,,126,167,,,,,,,,,,,,,,3,,1955,3.0
55IN00032,1952101664,52,2,U1664,0,68,,10,,,,,4,,,,348,,,,125,152,,,,,,,,,,,,,,3,,1955,3.0
55IN00033,1952101665,52,2,U1665,0,68,,10,,,,,4,,,,681,,,,102,133,,,,,,,,,,,,,,3,,1955,3.0
55IN00034,1952101666,52,2,U1666,0,68,,10,,,,,4,,,,468,,,,113,137,,,,,,,,,,,,,,3,,1955,3.0
55IN00035,1952101667,52,2,U1667,0,68,,10,,,,,4,,,,399,,,,116,140,,,,,,,,,,,,,,3,,1955,3.0
55IN00036,1952101668,52,2,U1668,0,68,,10,,,,,4,,,,409,,,,136,159,,,,,,,,,,,,,,3,,1955,3.0
55IN00037,1952101670,52,2,U1670,0,68,,10,,,,,4,,,,329,,,,110,140,,,,,,,,,,,,,,3,,1955,3.0
55IN00038,1952101671,52,2,U1671,0,68,,10,,,,,4,,,,349,,,,123,138,,,,,,,,,,,,,,3,,1955,3.0
55IN00039,1952101672,52,2,U1672,0,68,,10,,,,,4,,,,469,,,,119,160,,,,,,,,,,,,,,3,,1955,3.0
55IN00040,1952101673,52,2,U1673,0,68,,10,,,,,4,,,,701,,,,107,144,,,,,,,,,,,,,,3,,1955,3.0
55IN00041,1952101675,52,2,U1675,0,68,,10,,,,,4,,,,,,,,122,148,2,29,,,,,,,,,,,,3,,1955,3.0
55IN00042,1952101676,52,2,U1676,0,68,,10,,,,,4,,,,498,,,,135,150,,,,,,,,,,,,,,3,,1955,3.0
55IN00043,1952101677,52,2,U1677,0,68,,10,,,,,4,,,,478,,,,123,163,,,,,,,,,,,,,,3,,1955,3.0
55IN00044,1952101678,52,2,U1678,0,68,,10,,,,,4,,,,671,,,,120,153,,,,,,,,,,,,,,3,,1955,3.0
55IN00045,1952101679,52,2,U1679,0,68,,10,,,,,4,,,,348,,,,93,137,,,,,,,,,,,,,,3,,1955,3.0
55IN00046,1952101680,52,2,U1680,0,68,,10,,,,,4,,,,,,,,108,,6,,,,,,,,,,,,,3,,1955,3.0
55IN00047,1952101682,52,2,U1682,0,68,,10,,,,,4,,,,701,,,,101,128,,,,,,,,,,,,,,3,,1955,3.0
55IN00048,1952101683,52,2,U1683,0,68,,10,,,,,4,,,,328,,,,137,161,,,,,,,,,,,,,,3,,1955,3.0
55IN00049,1952101684,52,2,U1684,0,68,,10,,,,,4,,,,,,,,,,6,,,,,,,,,,,,   6,3,,1955,3.0
55IN00050,1952101685,52,2,U1685,0,68,,10,,,,,4,,,,728,,,,106,132,,,,,,,,,,,,,,3,,1955,3.0
55IN00051,1952101686,52,2,U1686,0,68,,10,,,,,4,,,,718,,,,103,117,,,,,,,,,,,,,,3,,1955,3.0
55IN00052,1952101687,52,2,U1687,0,68,,10,,,,,4,,,,498,,,,110,136,,,,,,,,,,,,,,3,,1955,3.0
55IN00053,1952101688,52,2,U1688,0,68,,10,,,,,4,,,,478,,,,125,148,,,,,,,,,,,,,,3,,1955,3.0
55IN00054,1952101689,52,2,U1689,0,68,,10,,,,,4,,,,691,,,,115,142,,,,,,,,,,,,,,3,,1955,3.0
55IN00055,1952101690,52,2,U1690,0,68,,10,,,,,4,,,,479,,,,120,146,,,,,,,,,,,,,,3,,1955,3.0
55IN00056,1952101691,52,2,U1691,0,68,,10,,,,,4,,,,499,,,,116,150,,,,,,,,,,,,,,3,,1955,3.0
55IN00057,1952101692,52,2,U1692,0,68,,10,,,,,4,,,,601,,,,121,155,,,,,,,,,,,,,,3,,1955,3.0
55IN00058,1952101693,52,2,U1693,0,68,,10,,,,,4,,,,,,,,108,138,8,07,,,,,,,,,,,,3,,1955,3.0
55IN00059,1952101694,52,2,U1694,0,68,,10,,,,,4,,,,408,,,,108,128,,,,,,,,,,,,,,3,,1955,3.0
55IN00060,1952101695,52,2,U1695,0,68,,10,,,,,4,,,,718,,,,123,148,,,,,,,,,,,,,,3,,1955,3.0
55IN00061,1952101696,52,2,U1696,0,68,,10,,,,,4,,,,498,,,,117,133,,,,,,,,,,,,,,3,,1955,3.0
55IN00062,1952101697,52,2,U1697,0,68,,10,,,,,4,,,,591,,,,118,147,,,,,,,,,,,,,,3,,1955,3.0
55IN00063,1952101698,52,2,U1698,0,68,,10,,,,,4,,,,,,,,125,155,5,80,,,,,,,,,,,,3,,1955,3.0
55IN00064,1952101699,52,2,U1699,0,68,,10,,,,,4,,,,469,,,,100,115,,,,,,,,,,,,,,3,,1955,3.0
55IN00065,1952101700,52,2,U1700,0,68,,10,,,,,4,,,,468,,,,113,137,,,,,,,,,,,,,,3,,1955,3.0
55IN00066,1952101701,52,2,U1701,0,68,,10,,,,,4,,,,399,,,,93,126,,,,,,,,,,,,,,3,,1955,3.0
55IN00067,1952101702,52,2,U1702,0,68,,10,,,,,4,,,,691,,,,124,156,,,,,,,,,,,,,,3,,1955,3.0
55IN00068,1952101703,52,2,U1703,0,68,,10,,,,,4,,,,479,,,,132,160,,,,,,,,,,,,,,3,,1955,3.0
55IN00069,1952101704,52,2,U1704,0,68,,10,,,,,4,,,,,,,,124,150,8,07,,,,,,,,,,,,3,,1955,3.0
55IN00070,1952101705,52,2,U1705,0,68,,10,,,,,4,,,,499,,,,128,166,,,,,,,,,,,,,,3,,1955,3.0
55IN00071,1952101706,52,2,U1706,0,68,,10,,,,,4,,,,591,,,,128,163,,,,,,,,,,,,,,3,,1955,3.0
55IN00072,1952101707,52,2,U1707,0,68,,10,,,,,4,,,,,,,,102,128,2,29,,,,,,,,,,,,3,,1955,3.0
55IN00073,1954101792,54,2,U1792,0,68,,10,,,,,2,,,,409,,,,98,125,,,,,,,,,,,,,,1,,1955,1.0
55IN00074,1954101793,54,2,U1793,0,68,,10,,,,,2,,,,329,,,,120,152,,,,,,,,,,,,,,1,,1955,1.0
55IN00075,1954101794,54,2,U1794,0,68,,10,,,,,2,,,,349,,,,94,114,,,,,,,,,,,,,,1,,1955,1.0
55IN00076,1949101795,49,2,U1795,0,68,,10,,,,,7,,,,,,,,117,154,8,07,,,,,,,,,,,,6,,1955,6.0
55IN00077,1949101796,49,2,U1796,0,68,,10,,,,,7,,,,,,,,,,6,,,,,,,,,,,,   6,6,,1955,6.0
55IN00078,1949101797,49,2,U1797,0,68,,10,,,,,7,,,,469,,,,120,,2,11,,,,,,,,,,,,6,,1955,6.0
55IN00079,1949101798,49,2,U1798,0,68,,10,,,,,7,,,,,,,,126,150,3,05,,,,,,,,,,,,6,,1955,6.0
55IN00080,1949101799,49,2,U1799,0,68,,10,,,,,7,,,,398,,,,151,185,,,,,,,,,,,,,,6,,1955,6.0
55IN00081,1954101738,54,1,U1738,0,69,268,10,,1,,,2,,,,,,,,111,153,2,17,,,,,,,,,,,,1,,1955,1.0
55IN00082,1954101776,54,2,U1776,0,69,268,10,,08,,,2,,4,3,468,075,15,,75,111,,,069, 30,,,074,2,,0502,2,,,1,,1955,1.0
55IN00083,1954101765,54,1,U1765,0,69,298,10,,8,,,2,,,,,,,,118,166,2,17,,,,,,,,,,,,1,,1955,1.0
55IN00084,1954101781,54,2,U1781,0,69,328,10,,07,,,2,,4,1,409,083,11,,83,121,,,066, 36,,,080,2,,7491,1,,,1,,1955,1.0
55IN00085,1954101743,54,2,U1743,0,69,358,10,,05,,,2,,4,3,671,101,13,,101,146,,,070, 41,,,097,2,,0511,2,,,1,,1955,1.0
55IN00086,1954101710,54,2,U1710,0,69,359,10,,10,,,2,,4,3,499,085,16,,85,113,,,077, 48,,,100,2,,0781,2,,,1,,1955,1.0
55IN00087,1954101717,54,2,U1717,0,69,368,10,,,,,2,,,,,,,,79,122,2,13,,,,,,,,,,,,1,,1955,1.0
55IN00088,1954101751,54,2,U1751,0,69,368,10,,06,,,2,,4,3,469,092,10,,92,137,,,083, 49,,,097,2,,0604,2,,,1,,1955,1.0
55IN00089,1954101757,54,2,U1757,0,69,368,10,,08,,,2,,4,5,349,098,10,,98,131,,,071, 45,,,106,2,,0604,2,,,1,,1955,1.0
55IN00090,1954101766,54,2,U1766,0,69,369,10,,08,,,2,,4,4,479,080,15,,80,118,,,072, 37,,,090,2,,0838,2,,,1,,1955,1.0
55IN00091,1954101718,54,1,U1718,0,69,398,10,,,,,2,,,,,,,,107,153,3,10,,,,,,,,,,,14,1,,1955,1.0
55IN00092,1954101774,54,1,U1774,0,69,398,10,,1,,,2,,,,,,,,107,157,2,17,,,,,,,,,,,,1,,1955,1.0
55IN00093,1954101789,54,2,U1789,0,69,398,10,,07,,,2,,4,3,701,094,10,,94,130,,,076, 49,,,098,2,,0396,2,,,1,,1955,1.0
55IN00094,1954101712,54,2,U1712,0,69,399,10,,07,,,2,,4,4,409,088,10,,88,132,,,078, 48,,,113,2,,1637,2,,,1,,1955,1.0
55IN00095,1954101778,54,2,U1778,0,69,408,10,,10,,,2,,4,4,398,091,15,,91,125,,,072, 38,,,094,2,,0714,2,,,1,,1955,1.0
55IN00096,1954101760,54,2,U1760,0,69,458,10,,11,,,2,,4,3,348,076,13,,76,105,,,080, 39,,,080,2,,1828,1,,,1,,1955,1.0
55IN00097,1954101724,54,2,U1724,0,69,468,10,,07,,,2,,4,4,328,087,12,,87,128,,,074, 40,,,093,2,,0693,2,,,1,,1955,1.0
55IN00098,1954101726,54,1,U1726,0,69,468,10,,4,,,2,,,,,,,,112,156,2,17,,,,,,,,,,,,1,,1955,1.0
55IN00099,1954101769,54,2,U1769,0,69,468,10,,07,,,2,,4,1,499,073,15,,73,108,,,065, 36,,,080,2,,0693,2,,,1,,1955,1.0
55IN00100,1954101731,54,2,U1731,0,69,469,10,,08,,,2,,4,1,399,081,11,,81,105,,,080, 40,,,093,2,,1853,2,,,1,,1955,1.0
55IN00101,1954101758,54,2,U1758,0,69,469,10,,07,,,2,,4,3,718,091,15,,91,110,,,080, 40,,,075,2,,1853,2,,,1,,1955,1.0
55IN00102,1954101752,54,1,U1752,0,69,498,10,,8,,,2,,,,,,,,114,154,2,17,,,,,,,,,,,,1,,1955,1.0
55IN00103,1954101756,54,2,U1756,0,69,498,10,,07,,,2,,4,4,408,110,10,,110,142,,,082, 52,,,119,2,,0410,2,,,1,,1955,1.0
55IN00104,1954101742,54,1,U1742,0,69,499,10,,,,,2,,,,,,,,112,159,6,17,,,,,,,,,,,24,1,,1955,1.0
55IN00105,1954101759,54,2,U1759,0,69,499,10,,06,,,2,,4,3,478,090,12,,90,126,,,081, 41,,,089,2,,1771,2,,,1,,1955,1.0
55IN00106,1954101728,54,2,U1728,0,69,508,10,,07,,,2,,4,4,728,090,13,,90,117,,,074, 50,,,096,2,,0705,2,,,1,,1955,1.0
55IN00107,1954101736,54,2,U1736,0,69,508,10,,06,,,2,,4,3,498,085,15,,85,125,,,095, 53,,,098,2,,0705,2,,,1,,1955,1.0
55IN00108,1954101762,54,2,U1762,0,69,508,10,,06,,,2,,4,3,681,080,15,,80,114,,,073, 40,,,089,2,,0705,2,,,1,,1955,1.0
55IN00109,1954101730,54,2,U1730,0,69,509,10,,10,,,2,,4,3,468,088,14,,88,128,,,084, 47,,,090,2,,0412,2,,,1,,1955,1.0
55IN00110,1954101782,54,2,U1782,0,69,518,10,,09,,,2,,4,3,329,075,15,,75,113,,,078, 44,,,088,2,,0875,2,,,1,,1955,1.0
55IN00111,1954101786,54,1,U1786,0,69,518,10,,9,,,2,,,,,,,,100,148,2,17,,,,,,,,,,,,1,,1955,1.0
55IN00112,1954101722,54,1,U1722,0,69,519,10,,1,,,2,,,,,,,,128,166,2,17,,,,,,,,,,,,1,,1955,1.0
55IN00113,1954101733,54,2,U1733,0,69,519,10,,05,,,2,,4,3,691,085,15,,85,118,,,076, 46,,,098,2,,0069,2,,,1,,1955,1.0
55IN00114,1954101719,54,2,U1719,0,69,748,10,,07,,,2,,4,5,328,087,11,,87,127,,,080, 45,,,105,2,,6910,3,,,1,,1955,1.0
55IN00115,1946112202,46,2,R2202,1,19,,11,,,,,0,,,,,,,,100,,6,,,,,,,,,,,,,9,,1955,9.0
55IN00116,1948112494,48,2,R2494,1,19,,11,,,,,8,,,,,,,,128,,6,,,,,,,,,,,,,7,,1955,7.0
55IN00117,1948112560,48,2,R2560,1,19,,11,,,,,8,,,,,,,,127,153,2,11,,,,,,,,,,,,7,,1955,7.0
55IN00118,1948112636,48,2,R2636,1,19,,11,,,,,8,,,,,,,,,,6,,,,,,,,,,,,   6,7,,1955,7.0
55IN00119,1950113085,50,2,R3085,1,19,,11,,,,,6,,,,,,,,,,6,,,,,,,,,,,,   6,5,,1955,5.0
55IN00120,1948112634,48,2,R2634,1,19,190,11,,05,13,,8,24,1,3,190,083,14,,136,169,,,083,,,,077,1,,1984,1,,,7,,1955,7.0
55IN00121,1948112678,48,2,R2678,1,19,190,11,,06,13,,8,25,1,3,190,074,15,,116,137,,,067,,,,063,1,,1984,1,,,7,,1955,7.0
55IN00122,1949112782,49,2,R2782,1,19,190,11,,06,14,,7,25,1,5,190,086,14,,129,158,,,074,,,,086,2,,2296,1,,,6,,1955,6.0
55IN00123,1949112919,49,2,R2919,1,19,190,11,,06,22,,7,32,1,3,190,080,15,,123,159,,,075,,,,089,2,,2296,1,,,6,,1955,6.0
55IN00124,1949112968,49,2,R2968,1,19,190,11,,05,14,,7,31,1,3,190,088,15,,140,148,,,075,,,,078,2,,2296,1,,,6,,1955,6.0
55IN00125,1951113322,51,2,R3322,1,19,190,11,,08,30,,5,34,1,3,190,086,14,,121,140,,,069,043,,,084,2,,2837,1,,,4,,1955,4.0
55IN00126,1951113381,51,2,R3381,1,19,190,11,,09,16,,5,26,1,3,190,088,12,,115,150,,,071,040,,,078,2,,2837,1,,,4,,1955,4.0
55IN00127,1951113411,51,2,R3411,1,19,190,11,,,,,5,,,,,,,,113,143,2,06,,,,,,,,,,,,4,,1955,4.0
55IN00128,1952113696,52,2,R3696,1,19,190,11,,08,15,,4,26,1,3,190,088,14,,135,132,,,072,044,,,096,2,,2837,1,,,3,,1955,3.0
55IN00129,1952113699,52,2,R3699,1,19,190,11,,07,24,,4,31,1,3,190,088,14,,114,135,,,084,050,,,091,2,,2837,1,,,3,,1955,3.0
55IN00130,1952113728,52,2,R3728,1,19,190,11,,08,15,,4,26,1,3,190,089,15,,111,142,,98,081,048,,,109,2,,2837,1,,,3,,1955,3.0
55IN00131,1952113760,52,2,R3760,1,19,190,11,,,,,4,,,,,,,,116,155,2,06,,,,,,,,,,,,3,,1955,3.0
55IN00132,1952113761,52,1,R3761,1,19,190,11,,,,,4,,,,,,,,144,175,3,22,,,,,,,,,,,14,3,,1955,3.0
55IN00133,1953113791,53,2,R3791,1,19,190,11,,,,,3,,,,,,,,,,6,,,,,,,,,,,,   6,2,,1955,2.0
55IN00134,1953113806,53,2,R3806,1,19,190,11,,11,34,,3,34,1,3,190,071,16,,105,131,,,078,038,,,103,2,,3509,1,,,2,,1955,2.0
55IN00135,1953113833,53,1,R3833,1,19,190,11,,,,,3,,,,,,,,134,165,3,87,,,,,,,,,,,14,2,,1955,2.0
55IN00136,1953113857,53,2,R3857,1,19,190,11,,,,,3,,,,,,,,100,,6,,,,,,,,,,,,,2,,1955,2.0
55IN00137,1953113885,53,2,R3885,1,19,190,11,,07,25,,3,31,1,3,190,068,15,,89,115,,,073,038,,,071,2,,3509,1,,,2,,1955,2.0
55IN00138,1953113893,53,2,R3893,1,19,190,11,,08,27,,3,28,1,3,190,082,14,,108,140,,,071,036,,,100,2,,3509,1,,,2,,1955,2.0
55IN00139,1953113975,53,1,R3975,1,19,190,11,,,,,3,,,,,,,,120,156,,,,,,,,,,,,,,2,,1955,2.0
55IN00140,1953113991,53,2,R3991,1,19,190,11,,,,,3,,,,,,,,,,6,,,,,,,,,,,,   6,2,,1955,2.0
55IN00141,1953114005,53,2,R4005,1,19,190,11,,10,29,,3,30,1,3,190,066,14,,95,124,,,066,031,,,072,2,,3509,1,,,2,,1955,2.0
55IN00142,1954114089,54,1,R4089,1,19,190,11,,,,,2,,,,,,,,96,127,3,10,,,,,,,,,,,14,1,,1955,1.0
55IN00143,1954114116,54,2,R4116,1,19,190,11,,,,,2,,,,,,,,78,104,2,12,,,,,,,,,,,,1,,1955,1.0
55IN00144,1954114121,54,1,R4121,1,19,190,11,,,,,2,,,,,,,,93,130,3,88,,,,,,,,,,,14,1,,1955,1.0
55IN00145,1954114142,54,2,R4142,1,19,190,11,,10,32,,2,35,1,3,190,070,13,,70,101,,,078, 41,,,091,2,,3761,1,,,1,,1955,1.0
55IN00146,1954114153,54,1,R4153,1,19,190,11,,,,,2,,,,,,,,103,140,,,,,,,,,,,,,,1,,1955,1.0
55IN00147,1954114160,54,1,R4160,1,19,190,11,,,,,2,,,,,,,,100,136,,,,,,,,,,,,,,1,,1955,1.0
55IN00148,1954114179,54,1,R4179,1,19,190,11,,,,,2,,,,,,,,114,110,,,,,,,,,,,,,,1,,1955,1.0
55IN00149,1954114180,54,2,R4180,1,19,190,11,,06,35,,2,42,1,3,190,086,14,,86,120,,,072, 39,,,089,2,,3761,1,,,1,,1955,1.0
55IN00150,1954114198,54,2,R4198,1,19,190,11,,06,36,,2,39,1,3,190,090,15,,90,126,,,075, 37,,,091,2,,3761,1,,,1,,1955,1.0
55IN00151,1954114204,54,2,R4204,1,19,190,11,,06,22,,2,34,1,3,190,078,14,,78,116,,,079, 41,,,084,2,,3761,1,,,1,,1955,1.0
55IN00152,1954114208,54,2,R4208,1,19,190,11,,07,34,,2,38,1,3,190,081,12,,81,113,,,077, 44,,,081,2,,3761,1,,,1,,1955,1.0
55IN00153,1954114239,54,1,R4239,1,19,190,11,,,,,2,,,,,,,,95,141,3,10,,,,,,,,,,,,1,,1955,1.0
55IN00154,1954114286,54,1,R4286,1,19,190,11,,,,,2,,,,,,,,98,126,,,,,,,,,,,,,,1,,1955,1.0
55IN00155,1954114303,54,2,R4303,1,19,190,11,,07,23,,2,35,1,3,190,080,15,,80,108,,,077, 33,,,077,2,,3761,1,,,1,,1955,1.0
55IN00156,1954114314,54,2,R4314,1,19,190,11,,08,25,,2,35,1,4,190,076,16,,76,114,,,077, 39,,,077,2,,3761,1,,,1,,1955,1.0
55IN00157,1954114353,54,2,R4353,1,19,190,11,,07,34,,2,37,1,3,190,077,15,,77,110,,,073, 37,,,087,2,,3761,1,,,1,,1955,1.0
55IN00158,1954114363,54,2,R4363,1,19,190,11,,08,31,,2,35,1,3,190,073,15,,73,105,,,075, 32,,,062,2,,3761,1,,,1,,1955,1.0
55IN00159,1947112418,47,2,R2418,1,20,,11,,1,,,9,,,,,,,,118,163,2,11,,,,,,,,,,,,8,,1955,8.0
55IN00160,1948112500,48,2,R2500,1,20,,11,,,,,8,,,,,,,,105,,3,,,,,,,,,,,,,7,,1955,7.0
55IN00161,1948112651,48,2,R2651,1,20,,11,,,,,8,,,,,,,,105,130,2,11,,,,,,,,,,,,7,,1955,7.0
55IN00162,1949112845,49,2,R2845,1,20,,11,,1,,,7,,,,,,,,107,148,2,11,,,,,,,,,,,,6,,1955,6.0
55IN00163,1948112522,48,2,R2522,1,20,200,11,,07,22,,8,23,1,3,200,086,11,,133,155,,,097,,,,109,1,,2116,1,,,7,,1955,7.0
55IN00164,1948112538,48,2,R2538,1,20,200,11,,06,17,,8,23,1,3,200,083,14,,114,144,,,089,,,,092,1,,2116,1,,,7,,1955,7.0
55IN00165,1948112579,48,2,R2579,1,20,200,11,,06,21,,8,,1,3,550,076,12,,146,154,,,085,,,,092,1,,2116,1,,,7,,1955,7.0
55IN00166,1948112677,48,2,R2677,1,20,200,11,,07,18,,8,20,1,3,200,072,13,,101,124,,,087,,,,063,1,,2116,1,,,7,,1955,7.0
55IN00167,1949112832,49,2,R2832,1,20,200,11,,06,32,,7,26,1,3,200,077,15,,120,148,,,067,,,,071,K,,2362,1,,,6,,1955,6.0
55IN00168,1950113084,50,2,R3084,1,20,200,11,,07,26,,6,21,1,3,200,073,10,,122,148,,,082, 47,,,100,2,,2531,1,,,5,,1955,5.0
55IN00169,1950113090,50,2,R3090,1,20,200,11,,08,23,,6,,1,4,570,073,16,,114,138,,,077, 39,,,087,2,,2531,1,,,5,,1955,5.0
55IN00170,1950113102,50,2,R3102,1,20,200,11,,05,24,,6,19,1,3,200,097,15,,126,164,,,069, 39,,,097,2,,2531,1,,,5,,1955,5.0
55IN00171,1950113103,50,2,R3103,1,20,200,11,,07,24,,6,,1,3,560,076,15,,128,140,,,064, 41,,,075,2,,2531,1,,,5,,1955,5.0
55IN00172,1950113202,50,2,R3202,1,20,200,11,,06,24,,6,20,1,3,200,090,15,,137,168,,,064, 38,,,085,2,,2531,1,,,5,,1955,5.0
55IN00173,1951113302,51,1,R3302,1,20,200,11,,,,,5,,,,,,,,184,211,,,,,,,,,,,,,,4,,1955,4.0
55IN00174,1951113303,51,2,R3303,1,20,200,11,,08,19,,5,,1,3,580,094,14,,159,170,,,077,061,,,105,2,,2903,1,,,4,,1955,4.0
55IN00175,1951113378,51,2,R3378,1,20,200,11,,,,,5,,,,,,,,,,6,,,,,,,,,,,,   6,4,,1955,4.0
55IN00176,1951113434,51,2,R3434,1,20,200,11,,09,22,,5,,1,3,570,078,15,,116,135,,,088,054,,,105,2,,2903,1,,,4,,1955,4.0
55IN00177,1951113448,51,2,R3448,1,20,200,11,,09,27,,5,,1,3,560,080,15,,106,141,,,069,050,,,088,2,,2903,1,,,4,,1955,4.0
55IN00178,1951113457,51,1,R3457,1,20,200,11,,,,,5,,,,,,,,160,187,3,23,,,,,,,,,,,14,4,,1955,4.0
55IN00179,1951113458,51,2,R3458,1,20,200,11,,08,24,,5,32,1,3,200,073,13,,117,133,,,057,036,,,069,2,,2903,1,,,4,,1955,4.0
55IN00180,1951113519,51,2,R3519,1,20,200,11,,09,24,,5,31,1,3,200,071,12,,111,155,,,077,042,,,074,2,,2903,1,,,4,,1955,4.0
55IN00181,1951113562,51,2,R3562,1,20,200,11,,09,24,,5,31,1,3,200,076,13,,114,151,,,083,056,,,090,2,,2903,1,,,4,,1955,4.0
55IN00182,1951113575,51,2,R3575,1,20,200,11,,08,24,,5,,1,3,580,076,14,,100,128,,,072,046,,,083,2,,2903,1,,,4,,1955,4.0
55IN00183,1951113607,51,2,R3607,1,20,200,11,,10,28,,5,37,1,3,200,074,15,,109,139,,,059,040,,,072,2,,2903,1,,,4,,1955,4.0
55IN00184,1952113670,52,2,R3670,1,20,200,11,,09,27,,4,25,1,3,200,067,12,,90,120,,,073,050,,,096,2,,2362,1,,,3,,1955,3.0
55IN00185,1952113686,52,2,R3686,1,20,200,11,,08,20,,4,28,1,3,200,084,11,,128,164,,,062,039,,,085,2,,2362,1,,,3,,1955,3.0
55IN00186,1952113741,52,2,R3741,1,20,200,11,,08,26,,4,24,1,3,200,078,14,,118,165,,,072,043,,,090,2,,2362,1,,,3,,1955,3.0
55IN00187,1952113778,52,2,R3778,1,20,200,11,,,,,4,,,,,,,,90,141,5,80,,,,,,,,,,,,3,,1955,3.0
